ACCEPT;Aceitar
GENERIC_BUTTON_TEXT_PLAY;Jogar
GENERIC_BUTTON_TEXT_SHOP;Loja
GENERIC_GAMEPLAY_ATTACK;Ataque
GENERIC_GAMEPLAY_COST;Custo
GENERIC_GAMEPLAY_LIFE;Vida
GENERIC_GAMEPLAY_WILD_COST;Custo de Terrenos Selvagens
GOT_IT;Entendi!
GO_TO_CRAFT_MODE;Criar
GO_TO_SHOP_BUTTON_TEXT;Ir para a loja
GOLD_MINER_HIRING_TITLE;Obrigado por me contratar!\nEstou indo direto para o trabalho.
GOLD_MINER_REGULAR_GOLD;Olá {0}.\nAqui estão seus fragmentos.
GOLD_MINER_ABOVE_AVERAGE_GOLD;Eu tive uma ótima sorte nas minas!
GOLD_MINER_JACKPOT;Santo iaque, nós ganhamos na loteria!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Bom te ver novamente ! Aqui estão seus fragmentos.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Bom te ver novamente ! Aqui estão seus fragmentos.
GOLD_MINER_LONG_DELAY_JACKPOT;Você finalmente está de volta! Nós ganhamos na loteria!
GRAPHIC_QUALITY_HIGHER;Muito alta
GRAPHIC_QUALITY_HIGHEST;Altíssima
GRAPHIC_QUALITY_HIGH_IPAD;Alta
GRAPHIC_QUALITY_LOWER;Baixa
GRAPHIC_QUALITY_LOWEST;Mais baixa
GRAPHIC_QUALITY_LOW_IPAD;Média
GRAPHIC_QUALITY_TITLE;Qualidade
GUEST_ACCOUNT_NAME;Convidado
INFO_NB_CONNECTED;Jogadores conectados: {0}
INFO_NB_FINDING_ARENA;Procurando partida Pandora: {0}
INFO_NB_FINDING_CLASSIC;Procurando partida Casual: {0}
INFO_NB_FINDING_CONSTRUCTED;Procurando partida Ranqueada: {0}
INFO_NB_GAMES;Jogo em andamento: {0}
INFO_TIME_TO_FIND_GAME;Tempo estimado de busca: {0}
INGAME_DEFEAT;Derrota
INGAME_OPPONENT_STILL_MULLIGAN;O seu oponente ainda está escolhendo quais cartas substituir
INGAME_ALLY_STILL_MULLIGAN;O seu aliado ainda está escolhendo quais cartas substituir
INGAME_PANDORA_OPENS;A Pandora desperta!
INGAME_PLAYER_TURN;Turno de {0}
INGAME_PUZZLE_SOLVED;Enigma resolvido
INGAME_PUZZLE_WIN_THIS_TURN;Vença nesse turno!
INGAME_VERSUS;Contra
INGAME_VICTORY;Vitória
INGAME_YOUR_TURN;Sua vez!
INVITED_TO_LOBBY;{0} te convidou para jogar.
ITEM_RARITY_COMMON;Comum
ITEM_RARITY_EPIC;Épica
ITEM_RARITY_LEGENDARY;Lendária
ITEM_RARITY_RARE;Rara
ITEM_VALUE;Vale
KEEP;MANTER
KICKED_FROM_LOBBY;Você foi expulso(a) da sala de espera.
LANE_COMPLETED_QUEST;Completo!
LANE_NEW_QUEST;Novo!
LANE_UNLOCKED;Desbloqueado!
LANGUAGE;Idioma:
LEAGUE_UP;Passou de Liga!
LEGENDARY_CARD_LIMIT_MESSAGE;Uma carta lendária é limitada a 1 cópia por baralho.
LEVEL;Nível {0}
LOADING;Carregando
LOADING_LONG;O carregamento está demorando mais do que o esperado.
LOBBY_ACCOUNT_SUGGESTED;Sugestão realizada
LOBBY_DECK_PICKING_CANCELED;A seleção de baralho foi cancelada por {0}.
LOBBY_GAME_INVITE_PENDING;Convite pendente...
LOBBY_KICK_PLAYER;Expulsar jogador
LOBBY_PLAYERS_IN_GAME;Aguardando jogadores ainda na partida...
LOBBY_PLAYERS_PICKING_DECKS;Os jogadores estão selecionando os baralhos...
LOBBY_PLAYER_1_STATUS;Jogador 1
LOBBY_PLAYER_2_STATUS;Jogador 2
LOBBY_READY_BUTTON_TEXT;Pronto
LOBBY_SET_PLAYER_1;Definir como jogador 1
LOBBY_SET_PLAYER_2;Definir como jogador 2
LOBBY_SET_SPECTATOR;Definir como espectador
LOBBY_SPECTATOR_STATUS;Espectador
LOBBY_CO_OP_WITH;Com
MAINMENU_BUTTON_BOOSTERS;Baús
MAINMENU_BUTTON_COLLECTION;Coleção
MAINMENU_BUTTON_DAILY_QUESTS;Missões Diárias
MAINMENU_BUTTON_EVENT_END_TIME;O evento termina em {0} horas e {1} minutos.
MAINMENU_BUTTON_FRIEND_LIST;Lista de Amigos
MAINMENU_BUTTON_HOME;Início
MAINMENU_BUTTON_SETTINGS;Configurações
MAINMENU_TITLE_BATTLE;BATALHA
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;AVENTURA
MAINMENU_TITLE_VIEWPROFILE;Ver perfil
MAP_QUEST_LOCKED;Bloqueado
MARKET_BUTTON_BUY_GEMS;Informação
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Pacote
MARKET_CATEGORY_CARD_BACK;Verso de Carta
MARKET_CATEGORY_EMOTES;Expressão
MARKET_CATEGORY_ORB;Orbe
MARKET_CATEGORY_WELL;Poço
MARKET_FEATURED_TAB_AVATAR;Avatares
MARKET_FEATURED_TAB_BUNDLE;Pacotes
MARKET_FEATURED_TAB_CARD_BACK;Versos de Carta
MARKET_FEATURED_TAB_EMOTE;Expressões
MARKET_FEATURED_TAB_ORB;Orbes
MARKET_FEATURED_TAB_WELL;Poços
MARKET_HOW_MANY_CHEST;Quantos você quer?
MARKET_ITEM_CONFIRM_PURCHASE;COMPRAR
MARKET_ITEM_OWNED;Adquirido
MARKET_MENU_FEATURED;Em destaque
MARKET_PROCESSING_ORDER;Processando...
MARKET_ROTATINGITEMS_TITLE;Promoções do Dia
MARKET_TITLE;Loja
MATCHES_FORMAT;Formato de partida:
MISSION_PACK_NPC_REWARD_TOOLTIP;Completar a última missão deste pacote lhe recompensará com um aliado único
MISSION_PACK_XP_REWARD_TOOLTIP;Este é o total de EXP que você pode ganhar ao completar as missões deste pacote
MORNING;Manhã
MULLIGAN;Deseja manter as cartas ou recomprá-las?
MULLIGAN_BUTTON_TEXT_CONFIRM;Confirmar
MULLIGAN_HINT_TEXT;Recomprar
MUSIC;Música
MY_CHESTS;Meus Baús
NEW_ACCOUNT_BUTTON;Criar uma conta
NEW_ACCOUNT_LABEL;Novato no Faeria?
NEW_ACCOUNT_WARNING;Se você já possui uma conta no Faeria, não será possível usá-la com esta conta {0}!
NEW_CARD_HINT;Nova
NEW_DAILY_QUEST_RECEIVED;Você recebeu uma nova missão diária!
NEW_DECK_NAME;Meu Baralho
NIGHT;Noite
NO_DAILY_QUESTS_LEFT;Não resta nenhuma Missão Diária. Confira novamente amanhã!
OBJECTIVES;Objetivos
OK;Sim
OVERSKY;Céu-Acima
OVERSKY_ALL_CARDS_NAME;Todas as cartas do Céu-Acima
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Comprar ilha
OVERSKY_BUY_ISLAND_TEXT;Você não possui esta ilha.\nVocê precisa comprá-la para receber as recompensas desta missão.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> novas cartas serão adicionadas à sua coleção após a compra
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;O preço do pacote foi ajustado porque você já possui esta ilha
OVERSKY_COSMETIC_SET_TOOLTIP;Incluindo itens lendários únicos: Verso de Carta, Poço de faeria, Avatar e Orbe
OVERSKY_GET_POINTS_EMPEROR;Desafio do Imperador
OVERSKY_GET_POINTS_MISSION;Missão do Céu-Acima
OVERSKY_GET_POINTS_PVP;Vitória PvP
OVERSKY_GET_POINTS_WILD_PACK;Pacote Indomável Completo
OVERSKY_GET_POINTS_WORLD_BOSS;Chefão Mundial Derrotado
OVERSKY_GETTING_POINTS;Obter pontos para a sua bolsa
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;O poderoso Imperador de Mirnast lhe trará um novo desafio todo dia. Ganhe pontos para a sua bolsa na primeira vez que derrotá-lo, a cada dia.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;A cada dia, o poderoso Imperador de Misnast lhe trará um novo desafio. Adquira a sua bolsa para acessar esse modo limitado!
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Desafio do Imperador
OVERSKY_ONE_ISLAND;Esta ilha
OVERSKY_POINTS_REWARD;pontos para a sua bolsa
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Suas Recompensas da Bolsa de Aventura
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Continue ganhando pontos da Bolsa de Aventura para desbloquear tantas recompensas quanto conseguir! Abaixo, você pode encontrar a lista de recompensas e ver o seu progresso.
OVERSKY_POUCH_OWNED_ENDED;Sua Bolsa de Aventura fechou
OVERSKY_POUCH_OWNED_END_DAYS;Sua Bolsa de Aventura irá abrir imediatamente e será fechada em {0} dias(s)
OVERSKY_POUCH_OWNED_END_HOURS;Sua Bolsa de Aventura irá abrir imediatamente e será fechada em {0} hora(s) e {1} minuto(s)
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Recompensas da Bolsa de Aventura
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Compre sua Bolsa de Aventura agora para desbloquear as recompensas mostradas abaixo - Quantos pontos você consegue ganhar antes da Bolsa de Aventura fechar?
OVERSKY_POUCH_NOT_OWNED_ENDED;O tempo acabou! A Bolsa de Aventura não está mais disponível.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Sua Bolsa de Aventura irá fechar em {0} dia(s)
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Sua Bolsa de Aventura irá fechar em {0} hora(s) e {1} minuto(s)
OVERSKY_POUCH_NAME;A Bolsa de Aventura
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Uma cópia mítica de uma das suas cartas do Céu-Acima\n<size=60%>Se você já possui a coleção completa das cartas míticas do Céu-Acima que você já liberou, você receberá esta recompensa na próxima vez que comprar uma ilha.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Avatar e Expressões do Kaios
OVERSKY_POUCH_TOOLTIP;Aprimore a sua bolsa para desbloquear recompensas aventurescas exclusivas! Mais informações em faeria.com/oversky
OVERSKY_SHOP_SLIDER_ITEM_NAME;Conteúdo Céu-Acima
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Céu-Acima chegou - agarre o novo conteúdo aqui!
OWNED_CARD_COUNT;Você possui {0} cópia(s) desta carta.
PANDORA_GATE_OPENED;Sua Jornada Começa!
PANDORA_KEY_POOL_HELP_TEXT;Clique em uma Moeda para entrar na Pandora!
PANDORA_LOSSES;Derrotas
PANDORA_SHARD_1_FOUND;Primeiro Fragmento Encontrado
PANDORA_SHARD_2_FOUND;Segundo Fragmento Encontrado
PANDORA_SHARD_3_FOUND;Terceiro Fragmento Encontrado
PANDORA_SHARD_4_FOUND;Quarto Fragmento Encontrado
PANDORA_SHARD_5_FOUND;Último Fragmento Encontrado
PANDORA_VICTORIES;Vitórias
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Seus baralhos contêm muitas cartas {0}. Você não pode ter mais do que {1} cópia(s) de uma carta Lendária nos seus 3 baralhos.
PANTHEON_DECK_NOT_RESPECTED;Seus baralhos contêm muitas cartas {0}. Você não pode ter mais do que {1} cópia(s) de uma carta que não seja Lendária nos seus 3 baralhos.
PASSWORDS_DO_NOT_MATCH;As senhas não combinam
PASSWORD_FIELD_CONFIRM;Confirmar senha*
PASSWORD_FIELD_MANDATORY;Senha*
PASSWORD_FIELD_NEW;Nova Senha*
PASSWORD_MANDATORY;Senha é obrigatória
PASSWORD_TOO_LONG;Senha muito longa (máx {0} caractéres).
PASSWORD_TOO_SHORT;Senha muito curta.
PAUSE_MENU_TEXT;Pausar
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: restam {1}
PINK_CHESTS_NOT_YET_AVAILABLE;Uma força desconhecida impede que você se aproxime desses baús. Eles não vão abrir... por enquanto.
PLAY_MENU_SOLO_STANDARD;Missões
PLAY_MENU_SOLO_OVERSKY;Céu-Acima
PLAYER_LEFT_TOURNAMENT;O jogador {0} saiu do torneio. O vencedor por padrão é {1}.
PLAYER_LOST_CONNECTION;O jogador {0} perdeu a conexão\nPossui {1} segundos para reconectar
PRACTICE_BUTTON_TEXT;Praticar
PRIVATE_LOBBY;Sala de Espera privada
PRIVATE_LOBBY_INFO;Bem-vindo à sala de espera privada! A partida começa quando os dois jogadores estiverem prontos.
PRIVATE_PLAY_ALLY_READY;Aliado pronto!
PRIVATE_PLAY_OPPONENT_READY;Oponente pronto!
PRIVATE_PLAY_PLAYER_READY;Você está pronto!
PRIVATE_PLAY_READY;Cancelar
PROFILE_BATTLERANK_TITLE;Batalha
PROFILE_MENU_PROFILE;Perfil
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Classificação
PROLOGUE_HINT_ATTACK;Causa essa quantia de dano em combate
PROLOGUE_HINT_COST;Custa essa quantia de faeria para entrar em jogo
PROLOGUE_HINT_LIFE;Pode sofrer essa quantia de dano antes de morrer
PROLOGUE_SPEECH_BUBBLE;Complete essas missões para desbloquear seus poderes!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Olá {0}!</size>\n\nVocê está jogando como convidado.\n\nValide sua conta entrando e confirmando seu endereço de e-mail e você será recompensado com 2 Baús de Batalha (8 cartas)!
PROMPT_ACCOUNT_INFO_WELCOME;Criação de Conta
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;O código de ativação foi enviado para seu endereço de email.
PROMPT_BINDING_SUCCESS;Um link de vinculação foi enviado para o seu endereço de email.
PROMPT_CANCEL_GAME_SEARCHES;Isso cancelará sua busca por partidas. Deseja continuar?
PROMPT_CHALLENGE_CONFIRMATION;Você tem apenas uma chance de vencer este desafio. Você está pronto?
PROMPT_CONFIRM_USER_NAME;Escolha cuidadosamente, você não poderá mudar seu nome depois!
PROMPT_CRASH;O jogo parou de funcionar :(
PROMPT_DECKEMPTY;Um jogador perdeu por comprar carta de um baralho vazio.
PROMPT_DEFEAT;Derrota
PROMPT_DELETE_DECK_CONFIRMATION;Tem certeza de que deseja excluir seu baralho?
PROMPT_DELETE_FRIEND_CONFIRMATION;Tem certeza de que deseja remover esse amigo?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Tem certeza de que deseja desencantar todo o excesso?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Se você desencantar essa carta, alguns baralhos serão alterados. Tem certeza disso?
PROMPT_DOUBLE_KO;A partida terminou em empate!
PROMPT_DROP_RUN_CONFIRMATION;Tem certeza de que deseja sair? Isso contará como {0} derrota(s)!
PROMPT_DUEL_PROPOSED;{0} desafiou você para um duelo.
PROMPT_EMAIL_HELP_TEXT;Validar a sua conta também traz as seguintes vantagens:\n\n\t- Recuperação de senha\n\t- Acesso aos nossos fóruns
PROMPT_TEXT_LATER;Depois
PROMPT_EMAIL_TITLE_TEXT;Endereço de email
PROMPT_EMAIL_WELCOME;Valide a sua conta e ganhe 2 Baús de Batalha (8 cartas)!
PROMPT_EXIT_CONFIRMATION;Tem certeza de que deseja sair?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Você quer aceitar este convite para jogar?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Você quer aceitar esta solicitação de amizade?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Você quer aceitar esta sugestão de amizade da Steam?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Aceitar esse pedido de amizade?
PROMPT_GAME_HAS_CRASHED;O jogo parou de funcionar!
PROMPT_LOBBY_CANCEL_CONFIRMATION;Tem certeza de que deseja cancelar e sair da sala de espera?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Tem certeza de que deseja sair da sala de espera?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Suas alterações não estão aplicadas. Você deseja descartá-las?
PROMPT_NEW_BINDING;Você já possui uma conta no Faeria?
PROMPT_NO_DECK_FOUND;Você deve criar um baralho para poder jogar
PROMPT_PASSWORD_CHANGE_SUCCESS;Senha modificada com sucesso para a conta {0}.
PROMPT_REFUSED_INVITEE_PLAYING;Seu amigo está jogando.
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Seu amigo já está procurando uma partida.
PROMPT_RESET_PASSWORD;Restaure Sua Senha
PROMPT_SAVE_DECK_FIRST;Você deseja salvar as mudanças no seu baralho?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Você parece se dar bem com jogos de cartas. Deseja pular o tutorial?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Pular Tutorial
PROMPT_STEAM_CONNECTION_REQUIRED;É necessária conexão com o Steam. Por favor, inicie o Faeria a partir da Steam.
PROMPT_SURRENDER_CONFIRMATION;Você tem certeza que quer se render?
PROMPT_TEXT_NO;Não
PROMPT_TEXT_OK;OK
PROMPT_TEXT_YES;Sim
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;O primeiro baralho que você escolher será aquele que você DEVE usar desde a primeira partida até sua primeira derrota. Tem certeza de que quer seguir em frente?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Sair da sala de espera do torneio antes que as partidas restantes sejam concluídas fará com que você perca suas partidas. Deseja mesmo sair?
