1.cardName;Menino da Fazenda
105.cardName;Cria da Tempestade
105.cardText;{last_words} - Ganha {faeria|10}.
106.cardName;Conto da Velha Tartaruga
106.cardText;Compra 3 cartas. Todas as criaturas compradas desta forma custam {faeria|2} a menos.
107.cardName;Colosso da Arrebentação
107.cardText;Custa {faeria|1} a menos para cada vez em que você coletou faeria de um poço inimigo neste jogo (custo mínimo: {faeria|4}).
108.cardName;Orosei, Sonho das Profundezas
108.cardText;{flying}, {charge|2}\n{gift} - Transforma todas as suas outras criaturas em criaturas que custam {faeria|2} a mais.
109.cardName;Elemental da Água
109.cardText;{jump}\n{gift} - Cria um {blue}.
110.cardName;Fada de Seda da Gema
110.cardText;{flying}\nNa primeira vez em que você comprar um evento, ganha +2/+2, e {charge|2}.
111.cardName;Torre Afundada
111.cardText;{activate} - Move um terreno. Isto sofre 1 de dano.
112.cardName;Centelha Lazúli
112.cardText;Sempre que você coletar faeria de um poço do oponente, esta criatura ganha +1/+1.
113.cardName;Santuário Tritão
113.cardText;Sempre que você coletar faeria, ganha +0/+1.\n{activate} - destrua esta estrutura e ganhe {faeria|1} igual à Vida dela.
114.cardName;Sonho de Aurora
114.cardText;Compra até ficar com 9 cartas na mão. Reduz o custo de todas as cartas na sua mão para {faeria|0}.
115.cardName;Lanceiro da Tempestade de Neve
115.cardText;{jump}\nSempre que você jogar um evento, ganha +2/+0 neste turno (limite +6/+0).
116.cardName;Luduan
116.cardText;Sempre que esta criatura coletar faeria de um poço do oponente, acrescenta uma carta azul aleatória em sua mão. Ela custará {faeria|2} a menos.
117.cardName;Ovo das Maravilhas
117.cardText;Na primeira vez em que você comprar uma criatura não-lendária, o Ovo das Maravilhas se torna uma cópia dela.
118.cardName;Arconte Gabriano
118.cardText;{charge|2}\nGanha +2/+2 se você tiver jogado duas cartas com custo base de {faeria|7} ou mais nesta partida.
119.cardName;Mergulhador Tritão
119.cardText;{aquatic}, {jump}
120.cardName;Maré Mutável
120.cardText;{options|Mova um terreno|Compra uma carta}\n- Mova um terreno.\n- Compra uma carta.
121.cardName;Profeta das Marés
121.cardText;{gift} - Move duas vezes o terreno desta criatura.
122.cardName;Visão da Humildade
122.cardText;Reduz o Ataque base e Vida base da criatura pela metade (arredondado para baixo).
123.cardName;Arauto Ancião
123.cardText;{gift} - A próxima criatura que você comprar que tenha 5 de vida ou mais custará {faeria|2} a menos.
124.cardName;Banquete Tritão
124.cardText;Dá +1/+1 e {jump} a uma criatura.
125.cardName;Aurora, Criadora de Mitos
125.cardText;{gift} - Altera uma outra criatura aliada para 6/6.
126.cardName;Criador de Ondas
126.cardText;No fim do turno do seu oponente, muda a faeria de TODOS os jogadores para {faeria|3}.
127.cardName;Experimento Fracassado
127.cardText;A próxima criatura que você jogar neste turno custará {faeria|4} a menos. Ela morre instantaneamente.
128.cardName;Truque de Aurora
128.cardText;Ganha controle sobre uma criatura com 2 de Ataque ou menos.
129.cardName;Sapos de Batalha
129.cardText;Invoca dois <b>Sapos</b> 2/2 com {jump}.
130.cardName;Ganho Inesperado
130.cardText;Ganha {faeria|12}.
131.cardName;Guerreiro Sagami
131.cardText;{dash|2}
132.cardName;Coletor de Ossos
132.cardText;Sempre que uma criatura adjacente morre, ganha +1/+1.
133.cardName;Sagami de Alma Atada
133.cardText;{last_words} - Dá a uma criatura aliada aleatória +3/+5.
134.cardName;Sagami Chama-Bosque
134.cardText;{gift} - Você pode teleportar outra criatura aliada para uma {green} que você controla.
135.cardName;Mestre das Feras Ancestral
135.cardText;Quando você invocar uma criatura com 5 ou mais de Vida, ela ganha +1/+1.
136.cardName;Bênção de Gaia
136.cardText;Uma criatura ganha +0/+3. Você ganha 3 de Vida.
137.cardName;Chefe Tiki
137.cardText;{gift} - Dá {taunt} a uma criatura.
138.cardName;Espírito da Floração
138.cardText;{last_words} - Acrescenta uma carta verde aleatória à sua mão. Ela custa {faeria|3} a menos.
139.cardName;Eremita do Bosque Ancestral
139.cardText;{last_words} - Dá a uma criatura aliada aleatória +2/+4.
140.cardName;Cuidadora Tiki
140.cardText;{gift} - Dá +2/+2 a uma criatura.
141.cardName;Flautista Tiki
141.cardText;{gift} - Dá +0/+4 a uma criatura.
142.cardName;Dança Xamânica
142.cardText;Dá +0/+4 e {taunt} a uma criatura.
143.cardName;Totem Tiki
143.cardText;Dá +1/+1 a primeira criatura que você invocar a cada turno.
144.cardName;Ursa Possuída
144.cardText;Após esta criatura sofrer dano, seu ataque é duplicado.
149.cardName;Carvalhoide
149.cardText;{last_words} - Dá +5/+5 a uma criatura verde aleatória em sua mão.
150.cardName;Golem Thyriano
151.cardName;Semeador
151.cardText;{gift} - Cria uma {green} adjacente aleatoriamente.
152.cardName;Barreira de Trepadeiras
152.cardText;{taunt}\n{last_words} - Cria uma {green} aleatoriamente.
153.cardName;Urso da Mata Densa
154.cardName;Curandeiro Tiki
154.cardText;{gift} - Ganhe 5 de Vida.
155.cardName;Santuário de Ruunin
155.cardText;{gift} - Ganha {faeria|2}.\n{last_words} - Seu oponente ganha {faeria|2}.
156.cardName;Pai Carvalho
156.cardText;{gift} - ganha +0/+1 para cada {green} que você controla.
157.cardName;Árvore de Faeria
157.cardText;{production} - Esta estrutura ganha +0/+1.\nQuando ela tiver 5 de Vida ou mais, ela se autodestrói e você ganha {faeria|10}.
158.cardName;Salgueiro Vivente
158.cardText;{taunt}
159.cardName;Crescimento Selvagem
159.cardText;Cria uma {green} aleatoriamente.
168.cardName;Colosso Primitivo
168.cardText;Isto custa {faeria|1} a menos para cada terreno especial que você controla (custo mínimo: {faeria|6}).
169.cardName;Tethra, Alma da Floresta
169.cardText;{flying}, {charge|2}\n{gift} - Dá +5/+5 a uma criatura.
170.cardName;Elemental da Madeira
170.cardText;{taunt}\n{gift} - Cria uma {green}.
171.cardName;Fada de Seda da Flor
171.cardText;{flying}\nNa priemria vez em que você comprar um evento, ganha +1/+4, {taunt} e {charge|2}.
172.cardName;Torre Encoberta
172.cardText;{activate} - Dá +1/+1 a uma criatura. Isto sofre 1 de dano.
173.cardName;Centelha do Florescer Eterno
173.cardText;Sempre que você criar uma {green}, esta criatura ganha +1/+1.
174.cardName;Espírito do Renascimento
174.cardText;Sempre que outra criatura aliada morrer, dá +1/+1 a uma criatura aleatória em sua mão.
175.cardName;Abraço do Bosque Ancestral
175.cardText;Dá +2/+4 a uma criatura.
176.cardName;Mensageiro de Ruunin
176.cardText;{jump}\nSempre que isto atacar um deus, adiciona uma carta verde aleatória à sua mão. Essa carta custa {faeria|2} a menos.
177.cardName;Força Verdurana
178.cardName;Guardião do Bosque
178.cardText;{taunt}
179.cardName;Tarum, o Mundo Florestal
179.cardText;{taunt}\n{last_words} - Preencha o mundo com florestas.
180.cardName;Ídolo Lacrimejante
180.cardText;Sempre que você sofrer dano, ganhe {faeria|1}.
181.cardName;Molda-Terreno
181.cardText;{options|Transforma um de seus terrenos em uma {green}|Transforma um de seus terrenos em um {blue}|Transforma um de seus terrenos em uma {red}|Transforma um de seus terrenos em um {yellow}}.\nTransforme um terreno que você controla na cor escolhida e compre uma carta.
182.cardName;Vingador Selvagem
182.cardText;{taunt}, {dash|2}\nganha +0/+1 para cada vez em que você sofreu dano neste jogo.
183.cardName;Javali Ancestral
183.cardText;{dash|2}\nCusta {faeria|2} a menos se você controla uma criatura que tenha 5 ou mais de vida.
184.cardName;Orientação de Ruunin
184.cardText;Escolha um alvo:\n- criatura: +2/+2\n- deus: 5 de Vida
185.cardName;Voz da Fome
185.cardText;{gift} - Destrói todas as criaturas aliadas adjacentes. Esta criatura ganha Ataque E Vida igual à soma das vidas das criaturas destruídas.
186.cardName;Sementoide
186.cardText;{production} - Se isto tem menos de 5 de Vida, ganha +1/+1.
187.cardName;Eredon, Voz de Todos
187.cardText;{last_words} - Dá a todas as criaturas em seu baralho e em sua mão +1/+1 .
188.cardName;Alimentar a Floresta
188.cardText;Destrua uma criatura aliada para ganhar faeria igual à vida dela e compre uma carta.
189.cardName;Presença de Ruunin
189.cardText;Adiciona uma carta verde aleatória a sua mão. Ela ganha +6/+6.
190.cardName;Ruunin, a Implacável
190.cardText;{dash|2}\n{last_words} - Retorna Ruunin à sua mão ao final do turno. Ela ganha +2/+2.
191.cardName;Bandido Subterrâneo
191.cardText;{combat} - Ganha {faeria|2}.
192.cardName;Comandante Kobold
192.cardText;{combat} - Dá a uma criatura aliada aleatória +3/+0.
193.cardName;Fera de Guerra Kobold
194.cardName;Dom do Aço
194.cardText;Dá a uma criatura +3/+0. Se for uma criatura com <b>Combate</b>, dá +3/+3 no lugar.
195.cardName;Líder Subterrâneo
195.cardText;{combat} - Ganha {faeria|2}.
196.cardName;Arquiteto
196.cardText;{gift} - Dá a uma estrutura +0/+2.
197.cardName;Ogro Exaltado
197.cardText;{gift} - Se seu oponente possui 10 ou menos de vida, ganha +2/+2.
198.cardName;Quartel dos Kobolds
198.cardText;Criaturas aliadas adjacentes tem +2/+0.
199.cardName;Semente de Ódio
199.cardText;Custa menos {faeria|1} para cada criatura que você invocou que tenha mais Ataque do que Vida nesta partida.
200.cardName;Lutador Ogro
200.cardText;{taunt}
201.cardName;Barganhador Ousado
201.cardText;{gift} - Uma carta aleatória em sua mão custa {faeria|7} a menos.
202.cardName;Seifer, Tirano Sanguinário
202.cardText;Quando Seifer destrói uma criatura, ele ganha Ataque e Vida iguais aos que a criatura possuía originalmente.
203.cardName;Ogro Bárbaro
204.cardName;Krog, o Rei Ogro
204.cardText;{combat} - Uma carta aleatória em sua mão custa {faeria|7} a menos.
205.cardName;Afiador de Machado
205.cardText;{gift} - Ganha +1/+1 se invocado adjacente a um poço do oponente.
206.cardName;Atirador de Rochas
206.cardText;{ranged_attack}\nQuando esta criatura ataca, ela também causa dano a todos os inimigos adjacentes ao alvo.
211.cardName;Bruto de Shedim
211.cardText;{combat} - Causa 2 de dano em seu oponente.
212.cardName;Cantor Sanguinário
212.cardText;Causa 1 de dano em seu oponente sempre que uma criatura inimiga morrer.
213.cardName;Forragem de Seifer
213.cardText;{last_words} - Causa 2 de dano em seu oponente.
214.cardName;Cuspidor de Chamas
214.cardText;{gift} - Causa 1 de dano a um inimigo.
215.cardName;Lorde do Terror
215.cardText;Sempre que um deus sofre dano, esta criatura ganha o equivalente em Ataque.
216.cardName;Peste de Shedim
216.cardText;{gift} - Ganha +2/+2 se você tem outra criatura com Ataque maior que a Vida.
217.cardName;Obelisco de Sangue
217.cardText;Sempre que uma criatura inimiga morrer em combate, causa 1 de dano em seu oponente e ganhe {faeria|1}.
218.cardName;Guarda Cruel
218.cardText;{taunt}\n{combat} - Causa 2 de dano em seu oponente.
223.cardName;Atirador de Bombas
223.cardText;{gift} - Causa 4 de dano a uma criatura ou estrutura inimiga adjacente.
224.cardName;Carregador de Canhão
224.cardText;{gift} - Lance um Mecha 4/2 em linha reta em qualquer terreno.
225.cardName;Explosão de Chamas
225.cardText;Causa 3 de dano.
226.cardName;Lançador de Chamas
226.cardText;{ranged_attack}\nSempre que esta criatura atacar um deus, causa 1 de dano em todas as criaturas inimigas.
231.cardName;Colosso Vulcânico
231.cardText;{ranged_attack}\nCusta {faeria|1} a menos para cada turno em que você infligiu dano ao seu oponente nesta partida. (custo mínimo: {faeria|5}).
232.cardName;Garudan, Coração da Montanha
233.cardName;Elemental do Fogo
233.cardText;{gift} - Cria uma {red}.
234.cardName;Fada de Seda da Chama
234.cardText;{flying}\nNa primeira vez em que você comprar um evento, ganha +3/+1 e {ranged_attack}.
235.cardName;Torre Abandonada
235.cardText;{activate} - Causa 1 de dano. Causa 1 de dano a esta estrutura.
236.cardName;Centelha do Fogo-Sangue
236.cardText;Sempre que uma criatura inimiga morre, ganha +2/+1.
237.cardName;Treme-Solo
237.cardText;{gift} - Causa 1 de dano em TODOS os inimigos.
238.cardName;Arauto do Fogo
238.cardText;Ganha +1/+1 sempre que você invocar uma criatura com Ataque maior que a Vida (enquanto no seu baralho ou mão).
239.cardName;Salamandra Ardente
239.cardText;{gift} - Causa 2 de dano a todos os inimigos adjacentes.
240.cardName;Espírito da Pedra de Sangue
240.cardText;Sempre que uma criatura aliada coletar faeria de um poço do oponente, causa 1 de dano ao seu oponente.
241.cardName;Ira de Seifer
241.cardText;Causa 2 de dano a uma criatura. Se a criatura morrer, causa 2 de dano ao seu controlador.
242.cardName;Planta Devoradora
242.cardText;{taunt}\n{production} - Causa 2 de dano a todas as criaturas inimigas adjacentes.
243.cardName;Bomba de Fogo
243.cardText;Causa 4 de dano a uma criatura ou estrutura.
244.cardName;Tempestade de Fogo
244.cardText;Escolha um espaço. Dê 3 de dano a todas as criaturas inimigas que estejam naquele espaço e nos adjacentes.
245.cardName;Lutador Enfurecido
245.cardText;Sempre que esta criatura sofrer dano, causa o mesmo dano ao seu oponente.
246.cardName;Golem Decadente
246.cardText;Sempre que seu oponente invocar uma criatura, causa 1 de dano a este golem.
247.cardName;Dança dos Ogros
247.cardText;Uma carta aleatória em sua mão custará {faeria|7} a menos.
248.cardName;Meteoro
248.cardText;Escolha um espaço. Destrua todas as criaturas, estruturas e terrenos que estejam naquele espaço e nos adjacentes.
249.cardName;Demônio Vermelho
249.cardText;{gift} - Ganha {faeria|5}.
250.cardName;Ignus, a Primeira Chama
250.cardText;Sempre que você selecionar +{faeria|1} na roda do poder, causa 4 de dano dividido aleatoriamente entre os inimigos.
251.cardName;Monge de Oradrim
251.cardText;{haste}\nSempre que esta criatura atacar um deus, compra uma carta.
252.cardName;Oração de Khalim
252.cardText;Ganha {faeria|2} e compra uma carta. Só pode ser utilizada se você atacou um deus nesse turno. Você não pode jogar outra Oração de Khalim neste turno.
253.cardName;Seguidor de Khalim
253.cardText;{haste}\nGanha +2/+0 contra deuses.
254.cardName;Templário de Oradrim
254.cardText;{dash|1}\nGanha +3/+0 contra deuses.
255.cardName;Sagitário de Oradrim
255.cardText;{ranged_attack}\nSempre que uma criatura aliada atacar um deus, ganha {faeria|1}.
256.cardName;Fanático de Oradrim
256.cardText;{jump}\n{gift} - Você pode mover uma criatura aliada.
257.cardName;Tufão do Deserto
257.cardText;Teleporta uma criatura para um {yellow} sob seu controle.
258.cardName;Portal do Vento
258.cardText;Você pode invocar criaturas adjacentes a esta estrutura.\n{activate} - Mova o Portal do Vento.
259.cardName;Espírito Maléfico
259.cardText;{gift} - Você drena 2 de vida do seu oponente.
260.cardName;Khalim, Prodígio do Céu
260.cardText;{flying}, {charge|2}\nQuando Khalim ataca um deus, acrescenta um <b>Seguidor de Khalim</b> à sua mão. Ele custará {faeria|0}.
261.cardName;Sombra Assassina
262.cardName;Carniçal Sedento de Morte
262.cardText;{last_words} - Ganha {faeria|2}.
263.cardName;Último Pesadelo
263.cardText;Destrói uma criatura.
264.cardName;Pacto de Alma
264.cardText;Causa 2 de dano a você mesmo e ganha {faeria|2}.
265.cardName;Altar das Almas
265.cardText;{activate} - Causa 2 de dano a você e acrescenta uma carta <b>Sombra Assassina</b> 6/1 à sua mão. Ela custará {faeria|2}.
266.cardName;Demônio de Shaytan
266.cardText;{production} - Causa 2 de dano a você.
267.cardName;Guarda Celeste de Khalim
267.cardText;{flying}\nPode ser invocada adjacente a uma criatura aliada.
268.cardName;Treinamento de Khalim
268.cardText;Dá +1/+0, {flying} e {charge|2} a uma criatura.
273.cardName;Soldado de Vento
273.cardText;{haste}, {charge|3}\nSoldado de Vento morre no fim do seu turno.
274.cardName;Capitão Celeste de Drakkar
274.cardText;{flying}\nSempre que você comprar uma criatura com {flying}, ela ganha +1/+1.
275.cardName;Emissário dos Ventos
275.cardText;{flying}.\nTem +2/+0 enquanto você controlar outra criatura voadora.
276.cardName;Carniceiro de Shaytan
276.cardText;Custa {faeria|2} a menos se você atacou um deus nesse turno.
277.cardName;Dragonete das Dunas
277.cardText;{flying}, {charge|2}\n Não pode coletar faeria.
278.cardName;Campeão dos Ventos
278.cardText;{flying}, {charge|5}\n{gift} - Mova uma criatura.
287.cardName;Colosso do Vendaval
287.cardText;{dash|3}\nCusta {faeria|1} a menos para cada evento que você jogou nesta partida(custo mínimo: {faeria|5}).
288.cardName;Azarai, Ira do Deserto
288.cardText;{flying}, {charge|2}\n{gift} - Azarai drena 2 de Ataque de cada criatura inimiga.
289.cardName;Elemental do Ar
289.cardText;{flying}\n{gift} - Cria um {yellow}.
290.cardName;Fada de Seda do Sol
290.cardText;{flying}\nNa primeira vez em que você comprar um evento, ganha +3/+1 e {charge|3}.
291.cardName;Torre Celestial
291.cardText;{activate} - Dá 1 de dano a essa estrutura e dê a uma criatura {charge|3} esse turno.
292.cardName;Centelha de Vento
292.cardText;{flying}, {charge|3}\nSempre que uma criatura aliada atacar um deus, ganha +3/+0.
293.cardName;Vento Ligeiro
294.cardName;Aviário Dourado
294.cardText;Todas as suas criaturas voadoras têm +1/+0.
295.cardName;Cruzador Zeloso
295.cardText;{charge|2}\nGanha +1/+1 toda vez que uma criatura aliada atacar um deus(enquanto esta carta está na sua mão ou baralho).
296.cardName;Soldado Keldraniano
297.cardName;Senhor da Terra Infértil
297.cardText;{gift} - Você pode sacrificar outra criatura para ganhar {faeria|3}.
298.cardName;Assassino de Shaytan
298.cardText;{deathtouch}\n{gift} - Você pode sacrificar outra criatura para esta criatura ganhar {protection}.
299.cardName;Demônio Briguento
299.cardText;{gift} - Você pode sacrificar outra criatura e invocar um <b>Asa Demônio</b> 5/2 com {flying} no lugar dela.
300.cardName;Andarilho da Morte
300.cardText;{deathtouch}\nVocê deve sacrificar outra criatura para invocar esta.
301.cardName;Juramento do Esquecimento
301.cardText;Sacrifica uma criatura. Invoca um <b>Cavaleiro do Esquecimento</b> com 6/3 e {charge|3} em seu lugar.
302.cardName;Monstruosidade de Shaytan
302.cardText;{charge|2}\nSempre que uma criatura aliada morrer, drena seu ataque.
303.cardName;Iona, Amada por Todos
303.cardText;{flying}\nIona não pode ser atacada.
304.cardName;Asa Demônio
304.cardText;{flying}
305.cardName;Cavaleiro do Esquecimento
305.cardText;{charge|3}
306.cardName;Dreno de Alma
306.cardText;Drena 2 de vida de uma criatura.
307.cardName;Areia Sufocante
307.cardText;Destrói uma criatura com 3 de Ataque ou menos.
308.cardName;Portal-Condenação, Porta para o Esquecimento
308.cardText;Quando o Portal-Condenação tem 13 de Vida ou mais, ele se destrói e invoca <b>Ostregoth</b> em seu lugar.\n{activate} - Sacrifica uma criatura, compra uma carta e ganha +0/+2.
309.cardName;Arqueiro do Vendaval
309.cardText;{ranged_attack}\nSempre que você jogar um evento, ganha +1/+0 neste turno.
310.cardName;Cavaleiro do Vendaval
310.cardText;{charge|2}\nSempre que você jogar um evento, ganha +2/+0 nesse turno (limite +6/+0).
311.cardName;Predador Supremo
311.cardText;{jump}\n{gift} - Ganha Ataque e Vida iguais ao de qualquer criatura.
312.cardName;Behemoth Rocha-de-Gelo
312.cardText;{taunt}, {protection}
313.cardName;Espírito de Alma Gêmea
313.cardText;{flying}\nPode ser invocado adjacente a uma criatura aliada.\n{gift} - Invoca outro <b>Espírito de Alma Gêmea</b>.
314.cardName;Fera do Espinheiro
314.cardText;{dash|2}\n{gift} - Causa 4 de dano dividido aleatoriamente entre os inimigos. Dá +4/+4 dividido aleatoriamente entre as criaturas aliadas.
315.cardName;Devorador de Almas
315.cardText;{flying}, {charge|3}\nGanha +1/+1 para cada criatura aliada que morreu nesta partida (enquanto estiver em seu baralho ou mão).
316.cardName;Espectro do Flagelo Ardente
316.cardText;{flying}, {haste}, {charge|2}\n{combat} - Causa 3 de dano ao seu oponente.
317.cardName;Soldado Gabriano
317.cardText;{aquatic}, {charge|3}
318.cardName;Sapo
318.cardText;{jump}
319.cardName;Cartógrafo
319.cardText;{last_words} - Cria uma {green}, um {blue}, uma {red} e um {yellow} aleatoriamente.
321.cardName;Engolidor de Céus
321.cardText;{flying}
322.cardName;Iaque Furioso da Pradaria
322.cardText;{haste}
323.cardName;Explorar
323.cardText;Cria uma pradaria e ganha {faeria|2}.
