QUEST_NAME_PUZZLE_DLC_YRUSH_2;Божественное вмешательство
QUEST_NAME_PUZZLE_10;Головоломка 10
QUEST_NAME_PUZZLE_09;Головоломка 09
QUEST_NAME_PUZZLE_08;Головоломка 08
QUEST_NAME_PUZZLE_07;Головоломка 07
QUEST_NAME_PUZZLE_06;Головоломка 06
QUEST_NAME_PUZZLE_05;Головоломка 05
QUEST_NAME_PUZZLE_04;Головоломка 04
QUEST_NAME_PUZZLE_03;Головоломка 03
QUEST_NAME_PUZZLE_02;Головоломка 02
QUEST_NAME_PUZZLE_01;Головоломка 01
ACT_LOYALTY_PATCH;Обновление "Верность"
ACT_JALMYR_04;Джалмир, акт IV
ACT_JALMYR_03;Джалмир, акт III
ACT_JALMYR_02;Джалмир, акт II
ACT_JALMYR_01;Джалмир, акт I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Ради высшего блага
ACT_DLC_ELEMENTS_TRIBES;Племена Сверхнебесья
ACT_DLC_ELEMENTS_REDBLUE;Стимпанк
ACT_DLC_ELEMENTS_PAIRS;Пары
ACT_DLC_ELEMENTS_MOBILITY;Верхом на ветрах
ACT_DLC_ELEMENTS_LEGENDS;Легенды
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Опасные создания
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Комбобулятор
ACT_DLC_ELEMENTS_CHALLENGE;Вызов
ACT_DLC_ELEMENTS_BOARD_CLEAR;Начисто
ACT_PUZZLE_TUTORIAL;Обучающие головоломки
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Яки атакуют
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;В случае вымирания
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Шедимские пустоши
QUEST_NAME_PUZZLE_DLC_HIPPO;Доблестная жертва
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Злобный медвед
QUEST_NAME_PUZZLE_DLC_COMMANDER;Рождённый летать
QUEST_NAME_PUZZLE_DLC_BARRACKS;Воздушная рыбалка
