ACCOUNT_DOES_NOT_EXIST;Questo account non esiste:
GAME_CANCELED_SERVER_STOPPING;La tua partita è stata annullata (il server si è bloccato).
GAME_CANCELED_VERSION;La partita è stata annullata poiché la versione del tuo client non è aggiornata.
INVALID_HIGHLANDER_DECK_DUPLICATE;Mazzo Highlander non valido: non puoi avere piú di una copia di ogni carta.
INVALID_STEAM_KEY;Chiave di Steam non valida
LEGENDARY_CARD_LIMITED;Può esserci soltanto 1 copia di una carta leggendaria in ciascun mazzo.
MAIL_ALREADY_EXISTS;L'indirizzo e-mail è già stato utilizzato.
MARKET_ITEM_ALREADY_OWNED;Possiedi già questo oggetto.
NEW_BOSS_MISSION_UNLOCKED;Nuovo boss di missione sbloccato!
NO_ACTIONS_LEFT_RETRYING_PUZZLE;Mosse terminate! Riprova...
ORB_DIED_RETRYING_PUZZLE;Ti ho sconfitto! Riprova...
PAUSE_LIMIT_REACHED;Non puoi più mettere in pausa il gioco (hai raggiunto il limite massimo di {0} pause).
PICK_TOURNAMENT_MATCHES_FORMAT;Seleziona un formato per il torneo
PLAYER_LEFT_GAME;Il giocatore {0} ha abbandonato la partita!
RECIPIENT_IS_OFFLINE;{0} è offline
RECRUITER_SET;Reclutatore impostato con successo!
SELECT_A_DECK;Devi selezionare un mazzo.
SERVER_BUSY_TRY_AGAIN;Il server è occupato, per favore riprova in un minuto.
SERVER_COULD_NOT_FIND_GAME;Il server non è riuscito a trovare la partita desiderata.
SERVER_SHUTDOWN;Aggiornamento server tra {0} minuto/i. È possibile che ti venga chiesto di riconnetterti al termine della partita.
SERVER_SHUTDOWN_CANCELED;Riavvio del server annullata.
SERVER_SHUTDOWN_WARNING;Aggiornamento server tra {0} minuto/i. Le code saranno disattivate tra {1} minuto/i.
SPECTATED_PLAYER_LEFT_GAME;Il giocatore che stavi osservando ha lasciato il gioco
STEAM_FINALISE_TXN_FAILED;La transazione non è andata a buon fine.
STEAM_ID_NOT_FOUND;SteamID non trovato.
STEAM_INIT_TXN_FAILED;Impossibile avviare la transazione.
STEAM_PRICE_CHANGED;Il prezzo di questo articolo è cambiato. Riprova.
STEAM_USER_INFO_NOT_FOUND;Non è stato possibile trovare i dati di Steam dell'utente.
UPDATE_CLIENT_TO_PLAY;Devi aggiornare il tuo client per giocare.
UPGRADE_ACCOUNT_FAILED;Aggiornamento account non riuscito.
USER_ALREADY_SET_YOU_AS_RECRUITER;{0} ti ha già nominato come reclutatore.
USER_ALREADY_SIGNED_IN;Questo utente ha già effettuato l'accesso, riprova tra 1 minuto. Se il problema persiste, contatta support@faeria.com.
USER_NAME_INVALID;I nomi utente possono contenere soltanto lettere, cifre, trattini e trattini bassi.
USER_NAME_RESERVED;Nome utente riservato
USER_NAME_SIZE_MAX_INVALID;La lunghezza massima del nome utente è {0}.
USER_NAME_SIZE_MIN_INVALID;La lunghezza minima del nome utente è {0}.
USER_NOT_FOUND;Questo utente non esiste: {0}
WRONG_ACTIVATION_KEY;Sembra che la chiave di attivazione inserita non sia corretta.
WRONG_DECK_SIZE;Il tuo mazzo deve contenere {0} carte per poter essere utilizzato.
WRONG_LEVEL_FOR_ARENA;Devi essere al livello {0} per accedere a Pandora.
WRONG_LEVEL_FOR_RANKED;Devi raggiungere il livello {0} per affrontare le Partite Classificate
ACCOUNT_IS_BANNED;Questo account è temporaneamente bloccato.
NO_AVAILABLE_LORE_PAGES_LEFT;Non sono rimaste pagine di storia disponibili!
WRONG_LEVEL_FOR_OVERSKY;Devi raggiungere il livello {0} per affrontare Altocielo.
WRONG_LEVEL_FOR_PUZZLE;Devi raggiungere il livello {0} per affrontare i Puzzles.
WRONG_LEVEL_FOR_BOSS;Devi raggiungere il livello {0} per sfidare i Boss del Mondo.
WRONG_LEVEL_FOR_DRAGONS_LAIR;Devi raggiungere il livello {0} per entrare nel Nido del Drago.
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;Gli amici su quella piattaforma sono visualizzabili solo quando sono connessi.
FRIEND_ADDED_SUCCESSFULLY;Amico aggiunto correttamente!
ALREADY_FRIENDS;Sei già amico di quel giocatore.
