ACCEPT;Accetta
EMOTE_MENU_WELL_PLAYED;Complimenti
EMOTE_MENU_WOW;Wow
END_TURN;Termina turno
ENEMY_TURN;Turno avversario
ENTER_DECK_NAME;Inserisci il nome del mazzo
ENTER_YOUR_RECRUITERS_NAME;Inserisci il nome del tuo reclutatore...
EVENING;Buonasera
EVENT_BUTTON_TEXT_SEND;invia
EVENT_EGG_HATCHING_HAS_EGG;Sembra che la tua incubatrice sia vuota al momento. Se trovi un'altro uovo puoi osservarlo qui!\n\nGuarda i nostri eventi in streaming sul canale Twitch FaeriaTV per la possibilità di ricevere il tuo uovo.\n\n<align=center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Benvenuto nell'incubatrice. Qui l'uovo starà al sicuro e al caldo fino alla sua schiusa!\nGuarda qui sotto e controlla che sia ancora intatto: può darsi che l'attesa sia quasi terminata...\nQuando l'uovo si è schiuso potrai cercarne un altro da posizionare qui.
EVENT_HATCH_EGG_BUTTON;Cova l'uovo
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Inserisci l'e-mail del tuo amico
EVENT_TEXT_LOCK_OVERLAY;Sblocca la seconda chiave vincendo 5 partite Pandora
EVENT_TEXT_TITLE;Evento: Invita i tuoi amici
EXIT_CRAFT_MODE;Creazione
FAERIA_AVERAGE;Costo medio in Faeria
FRIENDLIST;Lista amici
FRIENDLIST_FRIEND_REQUEST;Visualizza la Richiesta di Amicizia
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Aggiungi il tuo ultimo avversario agli amci
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Aggiungi amico di Steam
FRIENDLIST_GAME_INVITE;Visualizza l'invito in partita
FRIENDLIST_DISCORD_HINT;Unisciti al nostro canale Discord per restare in contatto!
FRIENDLIST_FRIEND;Amico
FRIENDLIST_INGAME;In partita
FRIENDLIST_INVITE_TO_LOBBY;Invita nel gruppo
FRIENDLIST_INVITE_TO_TOURNAMENT;Invita al torneo
FRIENDLIST_IN_LOBBY;Già in un gruppo
FRIENDLIST_OFFLINE;Offline
FRIENDLIST_ONLINE;Online
FRIENDLIST_RECENTLY_PLAYED;Ha giocato di recente
FRIENDLIST_REMOVE;Rimuovi amico
FRIENDLIST_REQUEST_INITIATOR;In attesa di risposta
FRIENDLIST_REQUEST_RECIPIENT;Amicizia richiesta
FRIENDLIST_SEND_MESSAGE;Invia messaggio
FRIENDLIST_SPECTATE_GAME;Assisti alla partita
FRIENDLIST_SPECTATING;Spettatori
FRIENDLIST_SPECTATING_YOU;Spettatore
FRIENDLIST_SUGGESTED;Suggeriti
FRIENDLIST_SUGGEST_TO_LOBBY;Suggerisci da invitare
FRIENDLIST_VIEW_PROFILE;Visualizza profilo
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Amicizia richiesta
FX;Effetti
GAME_CONNECTION_LOST_RECONNECTING;Connessione alla partita interrotta\nTentativo di riconnessione...
GAME_HAS_CRASHED;La partita si è interrotta ({0}). Era troppo bello per essere vero.
GEM_BONUS_AMOUNT;+ {0} Bonus
GEM_PURCHASE_POPUP_TITLE;Seleziona gemme
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;Non hai abbastanza gemme. Ora di prenderne delle altre.
GENERAL;Generale
GENERIC_BUTTON_TEXT_PLAY;Gioca
GENERIC_BUTTON_TEXT_SHOP;Negozio
GENERIC_GAMEPLAY_ATTACK;Attacca
GENERIC_GAMEPLAY_COST;Costo
GENERIC_GAMEPLAY_LIFE;Punti vita
GENERIC_GAMEPLAY_WILD_COST;Costo Selvaggio
GOT_IT;Capito!
GO_TO_CRAFT_MODE;Creazione
GO_TO_SHOP_BUTTON_TEXT;Vai al negozio
GOLD_MINER_HIRING_TITLE;Grazie per avermi ingaggiato!\nMi metto subito al lavoro.
GOLD_MINER_REGULAR_GOLD;Salve {0}.\nEcco i tuoi frammenti.
GOLD_MINER_ABOVE_AVERAGE_GOLD;Ho avuto parecchia fortuna nella mia ricerca!
GOLD_MINER_JACKPOT;Yak-cidenti! Abbiamo fatto jackpot!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Piacere di rivederti! Ecco i tuoi frammenti.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Piacere di rivederti! Ecco i tuoi frammenti.
GOLD_MINER_LONG_DELAY_JACKPOT;Sei tornato finalmente! Abbiamo fatto jackpot!
GRAPHIC_QUALITY_HIGHER;Più alta
GRAPHIC_QUALITY_HIGHEST;Massima
GRAPHIC_QUALITY_HIGH_IPAD;Alta
GRAPHIC_QUALITY_LOWER;Più bassa
GRAPHIC_QUALITY_LOWEST;Minima
GRAPHIC_QUALITY_LOW_IPAD;Bassa
GRAPHIC_QUALITY_TITLE;Qualità
GUEST_ACCOUNT_NAME;Ospite
INFO_NB_CONNECTED;Giocatori connessi: {0}
INFO_NB_FINDING_ARENA;In coda per Pandora: {0}
INFO_NB_FINDING_CLASSIC;In coda per casuale: {0}
INFO_NB_FINDING_CONSTRUCTED;In coda per Classificata: {0}
INFO_NB_GAMES;In partita: {0}
INFO_TIME_TO_FIND_GAME;Tempo di ricerca appross.: {0}
INGAME_DEFEAT;Sconfitta
INGAME_OPPONENT_STILL_MULLIGAN;Il tuo avversario sta ancora scegliendo le carte da cambiare
INGAME_ALLY_STILL_MULLIGAN;Il tuo alleato sta ancora scegliendo le carte da sostituire
INGAME_PANDORA_OPENS;Pandora si risveglia!
INGAME_PLAYER_TURN;Turno di {0}
INGAME_PUZZLE_SOLVED;Puzzle risolto
INGAME_PUZZLE_WIN_THIS_TURN;Vinci in questo turno!
INGAME_VERSUS;Contro
INGAME_VICTORY;Vittoria
INGAME_YOUR_TURN;È il tuo turno!
INVITED_TO_LOBBY;{0} ti sta invitando a giocare una partita
ITEM_RARITY_COMMON;Comune
ITEM_RARITY_EPIC;Epica
ITEM_RARITY_LEGENDARY;Leggendaria
ITEM_RARITY_RARE;Rara
ITEM_VALUE;Valore
KEEP;TIENI
KICKED_FROM_LOBBY;Sei stato espulso dal gruppo.
LANE_COMPLETED_QUEST;Completata!
LANE_NEW_QUEST;Novità!
LANE_UNLOCKED;Sbloccata!
LANGUAGE;Lingua:
LEAGUE_UP;Sei stato promosso a una lega superiore!
LEGENDARY_CARD_LIMIT_MESSAGE;Le carte leggendarie sono limitate a una per mazzo.
LEVEL;Livello {0}
LOADING;Caricamento
LOADING_LONG;Il caricamento sta richiedendo più tempo del previsto.
LOBBY_ACCOUNT_SUGGESTED;Suggerito
LOBBY_DECK_PICKING_CANCELED;La scelta del mazzo è stata annullata da {0}.
LOBBY_GAME_INVITE_PENDING;In attesa di risposta...
LOBBY_KICK_PLAYER;Espelli giocatore
LOBBY_PLAYERS_IN_GAME;In attesa dei giocatori ancora impegnati nella partita...
LOBBY_PLAYERS_PICKING_DECKS;I giocatori stanno scegliendo i propri mazzi...
LOBBY_PLAYER_1_STATUS;Giocatore 1
LOBBY_PLAYER_2_STATUS;Giocatore 2
LOBBY_READY_BUTTON_TEXT;Pronto
LOBBY_SET_PLAYER_1;Imposta come giocatore 1
LOBBY_SET_PLAYER_2;Imposta come giocatore 2
LOBBY_SET_SPECTATOR;Imposta come spettatore
LOBBY_SPECTATOR_STATUS;Spettatore
LOBBY_CO_OP_WITH;Con
MAINMENU_BUTTON_BOOSTERS;Forzieri
MAINMENU_BUTTON_COLLECTION;Collezione
MAINMENU_BUTTON_DAILY_QUESTS;Missioni giornaliere
MAINMENU_BUTTON_EVENT_END_TIME;L'evento termina tra {0} ore e {1} minuti.
MAINMENU_BUTTON_FRIEND_LIST;Lista amici
MAINMENU_BUTTON_HOME;Home
MAINMENU_BUTTON_SETTINGS;Impostazioni
MAINMENU_TITLE_BATTLE;BATTAGLIA
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;AVVENTURA
MAINMENU_TITLE_VIEWPROFILE;Visualizza profilo
MAP_QUEST_LOCKED;Bloccato
MARKET_BUTTON_BUY_GEMS;Info
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Bundle
MARKET_CATEGORY_CARD_BACK;Retro della carta
MARKET_CATEGORY_EMOTES;Emote
MARKET_CATEGORY_ORB;Sfera
MARKET_CATEGORY_WELL;Pozzo
MARKET_FEATURED_TAB_AVATAR;Avatar
MARKET_FEATURED_TAB_BUNDLE;Bundle
MARKET_FEATURED_TAB_CARD_BACK;Retro della carta
MARKET_FEATURED_TAB_EMOTE;Emote
MARKET_FEATURED_TAB_ORB;Sfere
MARKET_FEATURED_TAB_WELL;Pozzi
MARKET_HOW_MANY_CHEST;Quanti ne vuoi?
MARKET_ITEM_CONFIRM_PURCHASE;COMPRA
MARKET_ITEM_OWNED;Possedute
MARKET_MENU_FEATURED;Articoli
MARKET_PROCESSING_ORDER;Elaborazione in corso...
MARKET_ROTATINGITEMS_TITLE;Offerte del giorno
MARKET_TITLE;Negozio
MATCHES_FORMAT;Formato partita:
MISSION_PACK_NPC_REWARD_TOOLTIP;Completare l'ultima missione di questo pacchetto ti ricompenserà con un alleato unico
MISSION_PACK_XP_REWARD_TOOLTIP;Questo è il totale di XP che puoi ottienere completando le missioni di questo pacchetto
MORNING;Mattino
MULLIGAN;Vuoi tenere queste carte o pescare di nuovo?
MULLIGAN_BUTTON_TEXT_CONFIRM;Conferma
MULLIGAN_HINT_TEXT;Ripesca
MUSIC;Musica
MY_CHESTS;I miei forzieri
NEW_ACCOUNT_BUTTON;Crea un account
NEW_ACCOUNT_LABEL;Non hai mai giocato a Faeria?
NEW_ACCOUNT_WARNING;Se hai già un account Faeria, non potrai usarlo con questo account {0}!
NEW_CARD_HINT;Nuova
NEW_DAILY_QUEST_RECEIVED;Hai ricevuto una nuova missione giornaliera!
NEW_DECK_NAME;Il mio mazzo
NIGHT;Notte
NO_DAILY_QUESTS_LEFT;Non ci sono altre missioni giornaliere. Torna domani!
OBJECTIVES;Obiettivi
OK;Sì
OVERSKY;Altocielo
OVERSKY_ALL_CARDS_NAME;Tutte le carte di Altocielo
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Acquista isola
OVERSKY_BUY_ISLAND_TEXT;Non possiedi questa isola.\nHai bisogno di acquistarla per poter ricevere le ricompense di questa missione.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> nuove carte saranno aggiunte alla tua collezione una volta acquistate
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;Il prezzo del bundle è stato corretto perché possiedi già quest'isola
OVERSKY_COSMETIC_SET_TOOLTIP;Include oggetti leggendari unici: Retro della Carta, Pozzi di Faeria, Avatar e Sfera.
OVERSKY_GET_POINTS_EMPEROR;Sfida dell'Imperatore
OVERSKY_GET_POINTS_MISSION;Missioni Altocielo
OVERSKY_GET_POINTS_PVP;Vittoria PvP
OVERSKY_GET_POINTS_WILD_PACK;Pacchetto Selvaggio Completato
OVERSKY_GET_POINTS_WORLD_BOSS;Boss del Mondo Sconfitto
OVERSKY_GETTING_POINTS;Prendere punti per la tua borsa
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;Il grande Imperatore di Mirnast ti offrirà una nuova sfida ogni giorno. Ottiene punti per la tua borsa la prima volta che lo sconfiggi, ogni giorno.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Ogni giorno il grande Imperatore di Mirnast ti offrirà una nuova sfida. Acquista la tua borsa per accedere a questa modalità!
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Sfida dell'Imperatore
OVERSKY_ONE_ISLAND;Questa Isola
OVERSKY_POINTS_REWARD;punti per la tua borsa
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Le ricompense della tua Borsa Avventura
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Continua a raccogliere punti Borsa Avventura per sbloccare più ricompense possibile! Qui sotto puoi trovare la lista delle ricompense e controllare i tuoi progressi.
OVERSKY_POUCH_OWNED_ENDED;La tua Borsa Avventura si è chiusa
OVERSKY_POUCH_OWNED_END_DAYS;La tua Borsa Avventura si aprirà immediatamente, e si chiuderà in {0} giorno/i
OVERSKY_POUCH_OWNED_END_HOURS;La tua Borsa Avventura si aprirà immediatamente, e si chiuderà in {0} ora/e e {1} minuto/i
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Ricompense Borsa Avventura
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Acquista adesso la tua Borsa Avventura per sbloccare le ricompense mostrate qui sotto - quanti ponti puoi raccogliere prima che la Borsa Avventura si chiuda?
OVERSKY_POUCH_NOT_OWNED_ENDED;Tempo scaduto! La Borsa Avventura non è più disponibile.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;La tua Borsa Avventura si chiuderà in {0} giorno/i
OVERSKY_POUCH_NOT_OWNED_END_HOURS;La tua Borsa Avventura si chiuderà in {0} ora/e e {1} minuto/i
OVERSKY_POUCH_NAME;La Borsa Avventura
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Una copia mitica di una delle tue carte di Altocielo\n<size=60%>Se hai già il set completo delle versioni mitiche di tutte le carte di Altocielo che possiedi, riceverai questa ricompensa la prossima volta che acquisti un'isola.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Avatar ed Emotes di Kaios
OVERSKY_POUCH_TOOLTIP;Fai salire di livello la tua borsa per sbloccare esclusive ricompense avventurose! Più informazioni su faeria.com/oversky.
OVERSKY_SHOP_SLIDER_ITEM_NAME;contenuto di Altocielo
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Altocielo è arrivato - acchiappa nuovi contenuti qui!
OWNED_CARD_COUNT;Possiedi {0} copia/e di questa carta
PANDORA_GATE_OPENED;Il tuo torneo ha inizio!
PANDORA_KEY_POOL_HELP_TEXT;Trascina una moneta al centro del portale per partecipare a Pandora!
PANDORA_LOSSES;Sconfitte
PANDORA_SHARD_1_FOUND;Prima scheggia trovata
PANDORA_SHARD_2_FOUND;Seconda scheggia trovata
PANDORA_SHARD_3_FOUND;Terza scheggia trovata
PANDORA_SHARD_4_FOUND;Quarta scheggia trovata
PANDORA_SHARD_5_FOUND;Ultima scheggia trovata
PANDORA_VICTORIES;Vittorie
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Il mazzo contiene troppe {0}. Non puoi avere più di {1} copia di una carta Leggendaria tra tutti e 3 i mazzi.
PANTHEON_DECK_NOT_RESPECTED;Il mazzo contiene troppe {0}. Non puoi avere più di {1} copie di una carta non Leggendaria tra tutti e 3 i mazzi.
PASSWORDS_DO_NOT_MATCH;La password non corrisponde
PASSWORD_FIELD_CONFIRM;Conferma password*
PASSWORD_FIELD_MANDATORY;Password*
PASSWORD_FIELD_NEW;Nuova Password*
PASSWORD_MANDATORY;La password è obbligatoria
PASSWORD_TOO_LONG;Password troppo lunga (max {0} characters).
PASSWORD_TOO_SHORT;Password troppo corta.
PAUSE_MENU_TEXT;Metti in pausa
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} rimaste
PINK_CHESTS_NOT_YET_AVAILABLE;Una forza sconosciuta ti impedisce di avvicinarti a questi forzieri. Non puoi aprirli... per ora.
PLAY_MENU_SOLO_STANDARD;Missioni
PLAY_MENU_SOLO_OVERSKY;Altocielo
PLAYER_LEFT_TOURNAMENT;Il giocatore {0} ha abbandonato il torneo, pertanto il vincitore è {1}
PLAYER_LOST_CONNECTION;Il giocatore {0} ha perso la connessione\nHa {1} secondi per riconnettersi
PRACTICE_BUTTON_TEXT;Allenamento
PRIVATE_LOBBY;Gruppo privato
PRIVATE_LOBBY_INFO;Benvenuto nel gruppo privato! La partita inizierà quando entrambi i giocatori saranno pronti.
PRIVATE_PLAY_ALLY_READY;Tutti pronti!
PRIVATE_PLAY_OPPONENT_READY;Avversario pronto!
PRIVATE_PLAY_PLAYER_READY;Sei pronto!
PRIVATE_PLAY_READY;Annulla
PROFILE_BATTLERANK_TITLE;Battaglia
PROFILE_MENU_PROFILE;Profilo
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Classifiche
PROLOGUE_HINT_ATTACK;Quantità di danni che infligge in battaglia
PROLOGUE_HINT_COST;Faeria richiesti per giocarla
PROLOGUE_HINT_LIFE;Danni che può subire prima di morire
PROLOGUE_SPEECH_BUBBLE;Completa queste missioni per sbloccare i tuoi poteri!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Ciao {0}!</size>\n\nAl momento stai giocando come ospite.\n\nConvalida il tuo account inserendo e confermando il tuo indirizzo e-mail e riceverai come ricompensa 2 Casse da battaglia (8 carte)!
PROMPT_ACCOUNT_INFO_WELCOME;Creazione Account
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;Ti è stato inviata una e-mail con il codice di attivazione
PROMPT_BINDING_SUCCESS;Ti è stata inviata un'e-mail con un link per l'associazione.
PROMPT_CANCEL_GAME_SEARCHES;In questo modo annullerai la ricerca della partita. Vuoi continuare?
PROMPT_CHALLENGE_CONFIRMATION;Hai una sola opportunità di vincere questa sfida. Sei pronto?
PROMPT_CONFIRM_USER_NAME;Scegli con attenzione perché in seguito non lo potrai più cambiare!
PROMPT_CRASH;La partita si è interrotta :(
PROMPT_DECKEMPTY;Un giocatore ha perso perché ha pescato da un mazzo vuoto.
PROMPT_DEFEAT;Sconfitta
PROMPT_DELETE_DECK_CONFIRMATION;Vuoi davvero eliminare il mazzo?
PROMPT_DELETE_FRIEND_CONFIRMATION;Vuoi davvero rimuovere questo amico?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Vuoi davvero disincantare tutte le carte in eccesso?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Se disincanti questa carta, alcuni mazzi verranno modificati. Procedere comunque?
PROMPT_DOUBLE_KO;La partita è finita in pareggio!
PROMPT_DROP_RUN_CONFIRMATION;Vuoi davvero uscire? Conterà come {0} sconfitta/e!
PROMPT_DUEL_PROPOSED;{0} ti ha sfidato a duello.
PROMPT_EMAIL_HELP_TEXT;Convalidando il tuo account avrai anche i seguenti vantaggi:\n\n\t- Recupero Password\n\t- Accesso ai nostri forum
PROMPT_TEXT_LATER;Più tardi
PROMPT_EMAIL_TITLE_TEXT;Indirizzo e-mail
PROMPT_EMAIL_WELCOME;Convalida il tuo account e ricevi 2 Forzieri da Battaglia (8 carte)!
PROMPT_EXIT_CONFIRMATION;Vuoi davvero uscire?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Accettare l'invito a giocare?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Accettare questa richiesta di amicizia?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Vuoi aggiungere questa persona da Steam?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Accetti questo suggerimento di amico?
PROMPT_GAME_HAS_CRASHED;La partita si è interrotta!
PROMPT_LOBBY_CANCEL_CONFIRMATION;Vuoi davvero annullare e uscire dal gruppo?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Vuoi davvero abbandonare il gruppo?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Le tue modifiche non sono state applicate. Desideri annullarle?
PROMPT_NEW_BINDING;Hai già un account Faeria?
PROMPT_NO_DECK_FOUND;Devi creare un mazzo per giocare
PROMPT_PASSWORD_CHANGE_SUCCESS;Password modificata con successo per il tuo account {0}.
PROMPT_REFUSED_INVITEE_PLAYING;Il tuo amico sta giocando
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Il tuo amico sta già cercando una partita.
PROMPT_RESET_PASSWORD;Cambia la tua password
PROMPT_SAVE_DECK_FIRST;Vuoi salvare le modifiche al tuo mazzo?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Sembri cavartela bene con i giochi di carte, vuoi saltare il tutorial?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Salta tutorial
PROMPT_STEAM_CONNECTION_REQUIRED;Richiesta connessione a Steam. Si prega di avviare Faeria da Steam.
PROMPT_SURRENDER_CONFIRMATION;Sei sicuro di volerti arrendere?
PROMPT_TEXT_NO;No
PROMPT_TEXT_OK;Ok
PROMPT_TEXT_YES;Sì
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;Il primo mazzo che scegli sarà quello che DOVRAI usare per la prima partita di uno scontro, fino a quando perderai. Vuoi davvero procedere?
