1.cardName;Giovane Contadino
109.cardName;Elementale dell'Acqua
109.cardText;{jump}\n{gift} - Crea un {blue}
110.cardName;Perla di Seta
110.cardText;{flying}\nOttiene +2/+2 e {charge|2} la prima volta che peschi una carta evento.
111.cardName;Torre Sommersa
111.cardText;{activate} - Sposta un territorio. Infliggi 1 danno a questa struttura.
112.cardName;Spiritello Turchese
112.cardText;Ottiene +1/+1 ogniqualvolta estrai faeria da un pozzo avversario.
113.cardName;Santuario del Tritone
113.cardText;Ogniqualvolta raccogli faeria, questa struttura ottiene 1 punto vita.\n{activate} - Distruggi questa struttura ed ottieni {faeria|1} pari ai suoi punti vita.
114.cardName;Sogno di Aurora
114.cardText;Pesca fino a possedere 9 carte. Il costo di tutte le carte nella tua mano è ridotto a {faeria|0}.
115.cardName;Lanciere delle Nevi
115.cardText;{jump}\nOttiene +2/+0 fino alla fine del turno ogniqualvolta lanci una carta evento (massimo +6/+0).
116.cardName;Luduan
116.cardText;Ogniqualvolta questa creatura estrae faeria da un pozzo avversario, aggiungi una carta blu casuale alla tua mano. La carta costerà {faeria|2} in meno.
117.cardName;Uovo delle Meraviglie
117.cardText;Quando peschi una creatura non-leggendaria, l'Uovo delle Meraviglie diventa una copia di essa.
118.cardName;Arconte Gabriano
118.cardText;{charge|2}\nOttiene +2/+2 se hai giocato almeno 2 carte con costo base {faeria|7} o più in questa partita.
119.cardName;Tritone Pescatore
119.cardText;{aquatic}, {jump}
120.cardName;Marea Mutevole
120.cardText;{options|Sposta un territorio|Pesca una carta}\n- Sposta un territorio.\n- Pesca una carta.
121.cardName;Profeta delle Maree
121.cardText;{gift} - Muovi la terra di questa creatura due volte.
122.cardName;Visione Avvilente
122.cardText;Dimezza i valori di Attacco e Vita di una creatura (arrotondati per difetto).
123.cardName;Vecchio Messaggero
123.cardText;{gift} - La prossima creatura che peschi e che possiede almeno 5 punti vita ti costerà {faeria|2} in meno.
124.cardName;Banchetto del Tritone
124.cardText;Dona +1/+1 e {jump} a una creatura.
125.cardName;Aurora, Creatrice di Miti
125.cardText;{gift} - Modifica i valori iniziali di attacco e punti vita di una creatura alleata in 6/6.
126.cardName;Cavaliere delle Onde
126.cardText;Alla fine del turno dell'avversario, imposta il faeria di TUTTI i giocatori a {faeria|3}.
127.cardName;Esperimento Fallito
127.cardText;La prossima creatura che giochi questo turno costa {faeria|4} in meno. Muore una volta giocata.
128.cardName;Trucco di Aurora
128.cardText;Ottieni il controllo di una creatura con un valore di attacco pari o inferiore a 2.
129.cardName;Rospi da Battaglia
129.cardText;Evoca due <b>Rane</b> 2/2 con {jump}.
130.cardName;Dono Celeste
130.cardText;Ottiene {faeria|12}.
131.cardName;Guerriero Sagami
131.cardText;{dash|2}
132.cardName;Collezionista di Ossa
132.cardText;Ogniqualvolta una creatura confinante muore, ottiene +1/+1.
133.cardName;Vincolatore Sagami
133.cardText;{last_words} - Una creatura alleata casuale ottiene 3/+5.
134.cardName;Sagami Evocatore del Bosco
134.cardText;{gift} - Puoi teletrasportare un'altra creatura alleata in una {green} che controlli.
135.cardName;Vecchio Addestratore
135.cardText;Quando evoci una creatura con almeno 5 punti vita, essa ottiene +1/+1.
136.cardName;Grazia di Gaia
136.cardText;Una creatura ottiene +0/+3. Ottieni 3 punti vita.
137.cardName;Capotribù Tiki
137.cardText;{gift} - Fornisci {taunt} a una creatura.
138.cardName;Folletto dei Fiori
138.cardText;{last_words} - Aggiungi una carta verde alla tua mano. Essa costerà {faeria|3} in meno.
139.cardName;Eremita del Bosco Antico
139.cardText;{last_words} - Una creatura alleata casuale ottiene +2/+4.
140.cardName;Custode Tiki
140.cardText;{gift} - Dona +2/+2 a una creatura.
141.cardName;Pifferaio Tiki
141.cardText;{gift} - Dona +0/+4 a una creatura.
142.cardName;Danza dello Sciamano
142.cardText;Dona +0/+4 e {taunt} a una creatura.
143.cardName;Totem Tiki
143.cardText;La prima creatura che evochi ogni turno ottiene +1/+1.
144.cardName;Urside Indemoniato
144.cardText;Ogniqualvolta questa creatura viene danneggiata, il suo valore di attacco raddoppia.
149.cardName;Querciante
149.cardText;{last_words} - Una creatura verde casuale nella tua mano ottiene +5/+5.
150.cardName;Golem di Thyrian
151.cardName;Seminatore
151.cardText;{gift} -Crea una {green} adiacente casuale.
152.cardName;Muro Rampicante
152.cardText;{taunt}\{last_words} - Crea una {green} casuale.
153.cardName;Grizzly della Foresta Nera
154.cardName;Taumaturgo Tiki
154.cardText;{gift} – Ottieni 5 punti vita.
155.cardName;Santuario di Ruunin
155.cardText;{gift} - Ottiene {faeria|2}.\n{last_words} - Il tuo nemico ottiene {faeria|2}.
156.cardName;Padre Quercia
156.cardText;{gift} - Ottiene +0/+1 per ogni {green} che controlli.
157.cardName;Albero di Faeria
157.cardText;{production} - Questa struttura ottiene 1 punto vita.\nQuando ha almeno 5 punti vita, distruggila e ottieni {faeria|10}.
158.cardName;Salice Vivente
158.cardText;{taunt}
159.cardName;Crescita Selvaggia
159.cardText;Crea una {green} casuale.
168.cardName;Colosso Primordiale
168.cardText;Costa {faeria|1} in meno per ogni territorio speciale che controlli (costo minimo {faeria|6}).
169.cardName;Tethra, Anima Selvaggia
169.cardText;{flying}, {charge|2}\n{gift} - Dona a una creatura +5/+5.
170.cardName;Elementale del Legno
170.cardText;{taunt}\n{gift} - Crea una {green}
171.cardName;Fiore di Seta
171.cardText;{flying}\nOttiene +1/+4, {taunt} e {charge|2} la prima volta che peschi un evento.
172.cardName;Torre Abbandonata
172.cardText;{activate} - Una creatura ottiene +1/+1. Infliggi un danno a questa struttura.
173.cardName;Spiritello Silvano
173.cardText;Ottiene +1/+1 ogniqualvolta crei una {green}
174.cardName;Spirito della Rinascita
174.cardText;Ogniqualvolta una creatura alleata muore, una creatura casuale nella tua mano ottiene +1/+1.
175.cardName;Abbraccio del Bosco Antico
175.cardText;Dona +2/+4 a una creatura.
176.cardName;Messaggero di Ruunin
176.cardText;{jump}\nOgniqualvolta attacca un dio, aggiungi una creatura verde casuale alla tua mano. Costa {faeria|2}.
177.cardName;Forza Verde del Bosco
178.cardName;Guardiano del Boschetto
178.cardText;{taunt}
179.cardName;Tarum, il Mondo della Foresta
179.cardText;{taunt}\n{last_words} - Riempie il mondo di foreste.
180.cardName;Idolo Piangente
180.cardText;Ogniqualvolta subisci danno, ottieni {faeria|1}.
181.cardName;Arte della Terra
181.cardText;{options|Trasforma una delle tue terre in una {green}|Trasforma una delle tue terre in un {blue}|Trasforma una delle tue terre in una {red}|Trasforma una delle tue terre in un {yellow}} colore.\nTrasforma una terra che controlli in una terra del colore scelto e pesca una carta.
182.cardName;Vendicatore Selvaggio
182.cardText;{taunt}, {dash|2}\nHa +0/+1 per ogni volta che ti è stato inflitto danno in questa partita.
183.cardName;Antico Cinghiale
183.cardText;{dash|2}\nCosto ridotto di {faeria|2} se controlli una creatura con almeno 5 punti vita.
184.cardName;Guida di Ruunin
184.cardText;Scegli un bersaglio:\n- creatura: ottiene +2/+2\n- dio: ottiene 5 punti vita
185.cardName;Urlo della Fame
185.cardText;{gift} - Distruggi tutte le creature alleate adiacenti. Ottiene attacco E vita pari alla somma dei punti vita delle creature distrutte.
186.cardName;Piantina
186.cardText;{production} - Se ha meno di 5 punti vita ottiene +1/+1.
187.cardName;Eredon, Voce del Tutto
187.cardText;{last_words} - Tutte le creature nella tua mano e nel tuo mazzo ottengono +1/+1.
188.cardName;Nutrire la Foresta
188.cardText;Distruggi una creatura alleata per ottenere faeria pari ai suoi punti vita e pesca una carta.
189.cardName;Spirito di Ruunin
189.cardText;Aggiungi una creatura verde casuale alla tua mano. Ottiene +6/+6.
190.cardName;Ruunin l'Implacabile
190.cardText;{dash|2}\n{last_words} - Alla fine del turno metti Ruunin nella tua mano. Ottiene +2/+2.
191.cardName;Brigante dei Sotterranei
191.cardText;{combat} - Ottieni {faeria|2}.
192.cardName;Condottiero Koboldo
192.cardText;{combat} - Una creatura alleata casuale ottiene +3/+0.
193.cardName;Bestia da Guerra dei Koboldi
194.cardName;Dono d'Acciaio
194.cardText;Una creatura ottiene +3/+0. Se è una creatura con <b>Combatti</b> ottiene invece +3/+3.
195.cardName;Capo dei Sotterranei
195.cardText;{combat} - Ottieni {faeria|2}.
196.cardName;Architetto
196.cardText;{gift} - Una struttura ottiene 2 punti vita.
197.cardName;Orco Esaltato
197.cardText;{gift} - Ottiene +2/+2 se il tuo avversario ha 10 punti vita o meno.
198.cardName;Caserma dei Koboldi
198.cardText;Le creature alleate confinanti ottengono +2/+0.
199.cardName;Seme dell'Odio
199.cardText;Costa {faeria|1} in meno per ogni creatura con Attacco maggiore della sua Salute che hai evocato in questa partita.
200.cardName;Orco da Battaglia
200.cardText;{taunt}
201.cardName;Mercante Sfacciato
201.cardText;{gift} - Riduce il costo di una carta casuale nella tua mano di {faeria|7}.
202.cardName;Seifer, Tiranno Sanguinario
202.cardText;Quando distrugge una creatura, ottiene attacco e punti vita pari all'attacco ed i punti vita iniziali della creatura distrutta.
203.cardName;Orco Barbaro
204.cardName;Krog, Re degli Orchi
204.cardText;{combat} - Riduce il costo di una carta casuale nella tua mano di {faeria|7}.
205.cardName;Molatore di Asce
205.cardText;{gift} - Ottiene +1/+1 se evocato adiacente ad un pozzo nemico.
206.cardName;Lanciamassi
206.cardText;{ranged_attack}\nQuando attacca, danneggia tutti i nemici adiacenti al bersaglio.
211.cardName;Bestia di Shedim
211.cardText;{combat} - Infligge 2 danni al tuo avversario.
212.cardName;Cantore del Sangue
212.cardText;Ogniqualvolta una creatura nemica muore, infligge 1 danno al tuo avversario.
213.cardName;Scagnozzo di Seifer
213.cardText;{last_words} - Infligge 2 danni al tuo avversario.
214.cardName;Sputafuoco
214.cardText;{gift} - Infligge 1 danno a un nemico.
215.cardName;Signore del Terrore
215.cardText;Ogniqualvolta viene inflitto danno ad un dio, ottiene un pari valore d'attacco.
216.cardName;Piaga di Shedim
216.cardText;{gift} - Ottiene +2/+2 se controlli un'altra creatura con un valore di attacco maggiore dei suoi punti vita.
217.cardName;Obelisco di Sangue
217.cardText;Ogniqualvolta una creatura nemica muore in battaglia, infliggi 1 danno al tuo avversario e ottieni {faeria|1}.
218.cardName;Guardia Spietata
218.cardText;{taunt}\n{combat} - Infligge 2 danni al tuo avversario.
223.cardName;Lanciabombe
223.cardText;{gift} - Infligge 4 danni a una creatura o a una struttura nemiche confinanti.
224.cardName;Portacannone
224.cardText;{gift} - Lancia un Mecha 4/2 in una qualsiasi terra in linea retta.
225.cardName;Getto di Fiamme
225.cardText;Infliggi 3 danni.
226.cardName;Lanciafiamme
226.cardText;{ranged_attack}\nQuando questa creatura attacca un dio, infliggi 1 danno a tutte le creature nemiche.
231.cardName;Colosso Vulcanico
231.cardText;{ranged_attack}\nCosta {faeria|1} in meno per ogni turno in cui hai inflitto danno al tuo avversario in questa partita. (costo minimo {faeria|5}).
232.cardName;Garudan, Cuore della Montagna
233.cardName;Elementale del Fuoco
233.cardText;{gift} - Crea una {red}
234.cardName;Fiamma di Seta
234.cardText;{flying}\nOttiene +3/+1 e {ranged_attack} la prima volta che peschi un evento.
235.cardName;Torre Derelitta
235.cardText;{activate} - Infliggi 1 danno. Infliggi 1 danno a questa struttura.
236.cardName;Spiritello del Sangue Ardente
236.cardText;Ogniqualvolta una creatura nemica muore, ottiene +2/+1.
237.cardName;Sconquassatore
237.cardText;{gift} - Infligge 1 danno a TUTTI i nemici.
238.cardName;Creatura delle Fiamme
238.cardText;Ottiene +1/+1 ogni volta che evochi una creatura con valore d'attacco maggiore dei suoi punti vita (mentre si trova nel mazzo o in mano).
239.cardName;Salamandra di Fuoco
239.cardText;{gift} – Infliggi 2 danni a tutti i nemici adiacenti.
240.cardName;Spiritello di Sanguipietra
240.cardText;Ogniqualvolta una creatura alleata raccoglie faeria da un pozzo nemico, infliggi 1 danno al tuo avversario.
241.cardName;Ira di Seifer
241.cardText;Infliggi 2 danni a una creatura. Se muore, infliggi 2 danni al suo controllore.
242.cardName;Pianta Divoratrice
242.cardText;{taunt}\n{production} - Infliggi 2 danno ai nemici adiacenti.
243.cardName;Bomba di Fuoco
243.cardText;Infliggi 4 danni a una creatura o struttura.
244.cardName;Tempesta di Fuoco
244.cardText;Scegli una casella. Infliggi 3 danni a tutte le creature nemiche su quella casella o su una adiacente.
245.cardName;Furia da Combattimento
245.cardText;Ogniqualvolta subisce danno, infliggi lo stesso danno al tuo avversario.
246.cardName;Golem in Frantumi
246.cardText;Ogniqualvolta il tuo avversario evoca una creatura, infliggi 1 danno a questa creaura.
247.cardName;Danza degli Orchi
247.cardText;Una carta casuale nella tua mano costa {faeria|7} in meno.
248.cardName;Meteora
248.cardText;Scegli una casella. Distruggi tutte le creature, strutture e terre che si trovano in quella casella o in una adiacente.
249.cardName;Diavolo Rosso
249.cardText;{gift} - Ottieni {faeria|5}.
250.cardName;Ignis, la Prima Fiamma
250.cardText;Ogniqualvolta selezioni +{faeria|1} dalla ruota del potere, infliggi 4 danni distribuiti casualmente tra i tuoi nemici.
251.cardName;Monaco Oradriano
251.cardText;{haste}\nOgniqualvolta attacca un dio, pesca una carta.
252.cardName;Preghiera di Khalim
252.cardText;Ottiene {faeria|2} e pesca una carta. Puoi giocare la carta solo se hai attaccato un dio in questo turno. Puoi pregare solo una volta per turno.
253.cardName;Seguace di Khalim
253.cardText;{haste}\nOttiene +2/+0 contro gli dei.
254.cardName;Templare Oradriano
254.cardText;{dash|1}\nOttiene +3/+0 contro gli dei.
255.cardName;Sagittario Oradriano
255.cardText;{ranged_attack}\nOgniqualvolta una creatura alleata attacca un dio, ottieni {faeria|1}.
256.cardName;Fanatico Oradriano
256.cardText;{jump}\n{gift} - Puoi muovere una creatura alleata.
257.cardName;Tornado del Deserto
257.cardText;Teletrasporta una creatura in un {yellow} che controlli.
258.cardName;Porta del Vento
258.cardText;Puoi posizionare creature nelle zone adiacenti a questa struttura.\n{activate} - Sposta la Porta del Vento.
259.cardName;Spirito Maligno
259.cardText;{gift} - Sottrai 2 punti vita al tuo avversario.
260.cardName;Khalim, Prodigio dei Cieli
260.cardText;{flying}, {charge|2}\nOgniqualvolta Khalim attacca un dio, aggiungi un <b>Seguace di Khalim</b> alla tua mano. Esso ti costerà {faeria|0}.
261.cardName;Ombra Sterminatrice
262.cardName;Ghoul Suicida
262.cardText;{last_words} - Ottieni {faeria|2}.
263.cardName;Incubo Finale
263.cardText;Distruggi una creatura.
264.cardName;Patto dell'Anima
264.cardText;Infliggi 2 danno a te stesso ed ottieni {faeria|2}.
265.cardName;Altare delle Anime
265.cardText;{activate} - Infliggi 2 danni a te stesso e aggiungi un'<b>Ombra Sterminatrice</b> 6/1 alla tua mano. Essa ti costerà {faeria|2}.
266.cardName;Demone Shayatiano
266.cardText;{production} - Infliggi 2 danni a te stesso.
267.cardName;Guardiano dei Cieli di Khalim
267.cardText;{flying}\nSi può evocare in una casella adiacente a una creatura alleata.
268.cardName;Insegnamento di Khalim
268.cardText;Dona +1/+0, {flying} e {charge|2} a una creatura.
273.cardName;Soldato del Vento
273.cardText;{haste}, {charge|3}\nIl Soldato del Vento muore alla fine del turno.
274.cardName;Capitano dei Cieli di Drakkar
274.cardText;{flying}\nOgniqualvolta peschi una creatura con {flying} essa ottiene +1/+1.
275.cardName;Emissario del Vento
275.cardText;{flying}\nOttiene +2/+0 fintanto che controlli altre creature volanti.
276.cardName;Saprofago Shayatiano
276.cardText;Costa {faeria|2} in meno se hai attaccato un dio in questo turno.
277.cardName;Draghetto delle Dune
277.cardText;{flying}, {charge|2}\nNon può raccogliere faeria.
278.cardName;Campione del Vento
278.cardText;{flying}, {charge|5}\n{gift} - Sposta una creatura.
287.cardName;Colosso delle Tempeste
287.cardText;{dash|3}\nCosta {faeria|1} in meno per ogni evento che hai giocato in questa partita (costo minimo: {faeria|5}).
288.cardName;Azarai, Ira del Deserto
288.cardText;{flying}, {charge|2}\n{gift} - Azarai sottrae 2 punti di attacco da ogni creatura nemica.
289.cardName;Elementale dell'Aria
289.cardText;{flying}\n{gift} - Crea un {yellow}
290.cardName;Luce di Seta
290.cardText;{flying}\nOttiene +3/+1 e {charge|3} la prima volta che peschi un evento.
291.cardName;Torre Celestiale
291.cardText;{activate} - Una creatura ottiene {charge|3} per questo turno. Infliggi 1 danno a questa struttura.
292.cardName;Spiritello del Vento
292.cardText;{flying}, {charge|3}\nOttiene +3/+0 ogniqualvolta una creatura alleata attacca un dio.
293.cardName;Lampo nel Vento
293.cardText;Muovi una creatura alleata o paga {faeria|2} e muovi una cretura nemica.
294.cardName;Voliera Dorata
294.cardText;Tutte le creature volanti che controlli ottengono +1/+0.
295.cardName;Crociato Zelante
295.cardText;{charge|2}\nOttiene +1/+1 quando una creatura alleata attacca un dio (mentre è nel tuo mazzo o nella mano).
296.cardName;Soldato di Keldran
297.cardName;Signore delle Distese
297.cardText;{gift} - Puoi sacrificare un'altra creatura per ottenere {faeria|3}.
298.cardName;Assassino Shayatiano
298.cardText;{deathtouch}\n{gift} - Puoi sacrificare un'altra una creatura per donare {protection} a questa.
299.cardName;Invocatore di Demoni
299.cardText;{gift} - Puoi sacrificare un'altra creatura e sostituirla con un <b>Demone Alato</b> 5/2 con {flying}.
300.cardName;Morte Errante
300.cardText;{deathtouch}\nPer evocare la Morte Errante devi sacrificare una creatura.
301.cardName;Promessa d'Oblio
301.cardText;Sacrifica una creatura. Evoca un <b>Cavaliere dell'Oblio</b> 6/3 con {charge|3} al suo posto.
302.cardName;Mostruosità Shaytan
302.cardText;{charge|2}\nOgniqualvolta una creatura alleata muore, risucchia il suo valore d'attacco.
303.cardName;Iona, Adorata da Tutti
303.cardText;{flying}\nNon può essere attaccata.
304.cardName;Demone Alato
304.cardText;{flying}
305.cardName;Cavaliere dell'Oblio
305.cardText;{charge|3}
306.cardName;Assorbire l'Anima
306.cardText;Sottrai 2 punti vita a una creatura.
307.cardName;Sabbie Strangolatrici
307.cardText;Distruggi una creatura con un valore di attacco pari o inferiore a 3.
308.cardName;I Cancelli dell'Oblio
308.cardText;Quando questa struttura ha 13 o più punti vita, distruggila ed evoca <b>Ostregoth</b> al suo posto.\n{activate} - Sacrifica una creatura, pesca una carta e questa struttura ottiene 2 punti vita.
309.cardName;Arciere delle Tempeste
309.cardText;{ranged_attack}\nOgniqualvolta giochi un evento, questa creatura ottiene +1/+0 fino alla fine del turno.
310.cardName;Scatena-tempeste
310.cardText;{charge|2}\nOgniqualvolta giochi un evento, questa creatura ottiene +2/+0 fino alla fine del turno (massimo +6/+0)
311.cardName;Predatore Supremo
311.cardText;{jump}\n{gift} - Ottiene un valore di attacco e un ammontare di punti vita pari a quelli di una creatura a tua scelta.
312.cardName;Behemoth del Ghiaccio
312.cardText;{taunt}, {protection}
313.cardName;Spirito Gemello
313.cardText;{flying} \nSi può evocare in una casella adiacente a una creatura alleata.\n{gift} - Evoca un altro <b>Spirito Gemello</b>.
314.cardName;Bestia Spezzaspine
314.cardText;{dash|2}\n{gift} - Infliggi 4 danni distribuiti casualmente tra i tuoi nemici. Distribuisci casualmente +4/+4 tra i tuoi alleati.
315.cardName;Mangiatore di Anime
315.cardText;{flying}, {charge|3}\nOttiene +1/+1 per ogni creatura alleata morta in questa partita (mentre si trova nel mazzo o nella tua mano).
316.cardName;Spettro delle Fiamme
316.cardText;{flying}, {haste}. {charge|2}\n{combat} - Infliggi 3 danni al tuo avversario.
