1.cardName;소년 농부
77.cardName;게이브리아 수호자
77.cardText;{gift} - 아군 생물에게 {protection}을 줍니다.
82.cardName;봄의 모치
82.cardText;{gift} - 기본 비용이 {faeria|7} 이거나 더 높은 카드를 다음에 뽑을 경우, 그 카드의 비용이 {faeria|3} 줄어듭니다.
83.cardName;트라이튼 전사
83.cardText;{jump}
84.cardName;신비한 야수
84.cardText;{gift} - 상대의 우물 근처에 소환했을 경우 +2/+0 과 {jump} 를 얻습니다.
85.cardName;거울의 환영
85.cardText;{gift} - 다른 생물 하나를 5/5 <b>거울의 환영</b>으로 바꿉니다.
86.cardName;트라이튼 요리사
86.cardText;{gift} - <b>트라이튼 연회</b>를 손에 넣습니다.
87.cardName;닌자 개구리
87.cardText;{jump}, {haste}
88.cardName;개구리변신
88.cardText;생물 하나를 2/2, {jump}인 <b>개구리</b>로 변신시킵니다.
93.cardName;게이브리아 비술
93.cardText;생물 하나의 공격력을 그 생물의 생명력과 같게 바꿉니다. \n카드를 한장 뽑습니다.
94.cardName;오로라의 창조술
94.cardText;생물 하나의 복사본을 손에 넣습니다. 그 생물의 비용이 {faeria|5} 감소합니다.
95.cardName;어둠의 추적자
95.cardText;이번 턴에 이벤트를 사용했다면, 비용이 {faeria|2} 감소합니다.
96.cardName;마력 회오리
96.cardText;무작위 청색 카드 두 장을 손에 넣습니다.
97.cardName;게이브리아 귀족
97.cardText;{gift} - 1/1 <b>루비 피시</b>를 소환합니다(바다 타일에 소환할 수 있습니다.).
102.cardName;오로라의 제자
102.cardText;이벤트를 사용할 때마다 +1/+1을 얻습니다.
103.cardName;단단한 등껍질
103.cardText;{aquatic}
104.cardName;최초의 파도 베이루
104.cardText;{aquatic}\n{production} - 모든 인접한 땅들을 {blue}로 바꿉니다.
105.cardName;폭풍의 알
105.cardText;{last_words} - {faeria|10} 얻습니다.
106.cardName;오래된 거북이 이야기
106.cardText;카드를 세 장 뽑습니다. 뽑은 생물의 비용이 {faeria|2} 감소합니다.
107.cardName;쇄파의 거신
107.cardText;아군 생물이 상대 우물에서 수확할 때 마다 비용이 {faeria|1} 줄어듭니다. (최소 비용: {faeria|4}).
108.cardName;심연의 꿈 오로세이
108.cardText;{flying}, {charge|2}\n{gift} - 내 모든 생물을 비용이 {faeria|2} 높은 무작위 생물로 변신시킵니다.
109.cardName;물의 정령
109.cardText;{jump}\n{gift} - {blue}를 만듭니다.
110.cardName;보석결 요정
110.cardText;{flying}\n이벤트를 뽑으면 +2/+2와 {charge|2}를 얻습니다. (한 번만 적용)
111.cardName;물에 잠긴 탑
111.cardText;{activate} - 땅 하나를 이동시킵니다. 이 건물에 피해를 1 줍니다.
112.cardName;하늘빛 위습
112.cardText;상대의 우물에서 페어리아를 수확할 때마다 +1/+1을 얻습니다.
113.cardName;트라이튼 성소
113.cardText;페어리아를 수확할 때 마다 +0/+1을 얻습니다. \n{activate} - 이 건물을 파괴하고, 이 건물의 생명만큼 {faeria|1}을 얻습니다.
114.cardName;오로라의 꿈
114.cardText;손에 가진 카드가 9장이 될 때까지 카드를 뽑습니다. 손에 있는 모든 카드의 비용이 {faeria|0}이 됩니다.
115.cardName;눈보라 창병
115.cardText;{jump}\n이벤트를 사용하면, 이번 턴 동안 +2/+0을 얻습니다. (최대+6/+0)
116.cardName;루듀안
116.cardText;이 생물이 상대의 우물에서 페어리아를 수확하면 손에 청색 카드를 한 장 넣습니다. 그 카드의 비용이 {faeria|2} 감소합니다.
117.cardName;신비의 알
117.cardText;생물을 뽑으면 그 생물로 변합니다. (전설 제외)
118.cardName;게이브리아 집정관
118.cardText;{charge|2}\n기본 비용이 {faeria|7} 이상인 카드를 두 장 이상 사용했다면 +2/+2를 얻습니다.
119.cardName;트라이튼 잠수부
119.cardText;{aquatic}, {jump}
120.cardName;변화하는 파도
120.cardText;{options|땅 하나를 움직입니다.|카드 한 장을 뽑습니다.}\n- 땅 하나를 움직입니다.\n- 카드 한 장을 뽑습니다.
121.cardName;파도의 선지자
121.cardText;{gift} - 이 생물이 있는 땅을 두 번 움직입니다.
122.cardName;겸손
122.cardText;생물 하나의 공격력과 생명력을 절반으로 줄입니다. (내림)
123.cardName;고대의 전령
123.cardText;{gift} - 다음으로 뽑는 생명력이 5 이상인 생물의 비용이 {faeria|2} 감소합니다.
124.cardName;트라이튼 연회
124.cardText;생물 하나에게 +1/+1, {jump}를 줍니다.
125.cardName;신화를 만드는 자 오로라
125.cardText;{gift} - 다른 아군 생물 하나를 6/6으로 바꿉니다.
126.cardName;파도공예가
126.cardText;상대의 턴이 끝날 때, 모든 플레이어의 페어리아를 {faeria|3}으로 바꿉니다.
127.cardName;실험 실패
127.cardText;이번 턴에 다음번 소환하는 생물의 비용이 {faeria|4} 줄어듭니다. 소환하면 즉시 죽습니다.
128.cardName;오로라의 속임수
128.cardText;공격력이 2 이하인 생물 하나의 조종권을 얻습니다.
129.cardName;전투 개구리
129.cardText;{jump}을 가진 2/2 개구리를 둘 소환합니다.
130.cardName;횡재
130.cardText;{faeria|12}를 얻습니다.
131.cardName;사가미 전사
131.cardText;{dash|2}
132.cardName;뼈 수집가
132.cardText;인접한 생물이 죽으면 +1/+1을 얻습니다.
133.cardName;사가미 강령술사
133.cardText;{last_words} - 무작위 아군 생물에게 +3/+5를 부여합니다.
134.cardName;사가미 숲소환사
134.cardText;{gift} - 다른 아군 생물을 내가 조종하는 {green}으로 이동시킵니다.
135.cardName;고대 야수조련사
135.cardText;내가 생명력이 5 이상인 생물을 소환하면 그 생물에게 +1/+1을 부여합니다.
136.cardName;가이아의 은총
136.cardText;생물 하나에게 +0/+3을 부여하고 내 생명력을 3 회복합니다.
137.cardName;티키 족장
137.cardText;{gift} - 생물 하나에게 {taunt}을 줍니다.
138.cardName;꽃의 정령
138.cardText;{last_words} - 무작위 녹색 카드를 손에 더합니다. 그 카드의 비용은 {faeria|3} 줄어듭니다.
139.cardName;고목의 은둔자
139.cardText;{last_words} - 무작위 아군 생물에게 +2/+4를 부여합니다.
140.cardName;티키 양육자
140.cardText;{gift} - 생물 하나에게 +2/+2를 줍니다.
141.cardName;티키 피리꾼
141.cardText;{gift} - 생물 하나에게 +0/+4를 줍니다.
142.cardName;주술의 춤
142.cardText;생물 하나에게 +0/+4와 {taunt}을 줍니다.
143.cardName;티키 토템
143.cardText;매 턴 처음으로 소환한 아군 생물에게 +1/+1을 줍니다.
144.cardName;귀신들린 큰곰
144.cardText;피해를 입을 때마다 공격력이 2배가 됩니다.
149.cardName;떡갈나무 정령
149.cardText;{last_words} - 손에 있는 무작위 녹색 생물 하나가 +5/+5를 얻습니다.
150.cardName;티리안 골렘
151.cardName;씨를 심는 자
151.cardText;{gift} - 무작위 인접한 공간에 {green}을 만듭니다.
152.cardName;덩굴벽
152.cardText;{taunt}\n{last_words} - 무작위 공간에 {green}을 만듭니다.
153.cardName;깊은숲 그리즐리
154.cardName;티키 치유사
154.cardText;{gift} - 생명력을 5 얻습니다.
155.cardName;루닌의 성지
155.cardText;{gift} - {faeria|2}를 얻습니다.\n{last_words} - 상대가 {faeria|2}를 얻습니다.
156.cardName;아버지 떡갈나무
156.cardText;{gift} - 내 {green} 하나마다 +0/+1을 얻습니다.
157.cardName;페어리아 나무
157.cardText;{production} - 생명력 1을 얻습니다.\n생명력이 5 이상이면 파괴하고 {faeria|10} 을 얻습니다.
158.cardName;살아있는 버드나무
158.cardText;{taunt}
159.cardName;숲의 성장
159.cardText;무작위 공간에 {green}을 만듭니다.
168.cardName;태고의 거신
168.cardText;가지고 있는 속성 땅 하나 당 비용이 {faeria|1} 줄어듭니다. (최소 비용: {faeria|6})
169.cardName;자연의 혼 테스라
169.cardText;{flying}, {charge|2}\n{gift} - 생물 하나에게 +5/+5를 줍니다.
170.cardName;나무의 정령
170.cardText;{taunt}\n{gift} - {green}을 만듭니다.
171.cardName;꽃결 요정
171.cardText;{flying}\n이벤트를 뽑으면, +1/+4, {taunt}, {charge|2}를 얻습니다.
172.cardName;수풀로 뒤덮인 탑
172.cardText;{activate} - 생물 하나에게 +1/+1을 부여합니다. 이 건물에 피해를 1 줍니다.
173.cardName;사철꽃 위습
173.cardText;내가 {green}을 만들 때마다 +1/+1을 얻습니다.
174.cardName;재생의 정령
174.cardText;아군 생물이 죽을 때 마다 손에 있는 무작위 생물에게 +1/+1을 부여합니다.
175.cardName;고목의 포옹
175.cardText;생물 하나에게 +2/+4를 줍니다.
176.cardName;루닌의 전령
176.cardText;{jump}\n신을 공격하면 무작위 녹색 생물을 손으로 가져옵니다. 그 생물은 비용이 {faeria|2} 줄어듭니다.
177.cardName;신록의 군대
178.cardName;수풀 파수꾼
178.cardText;{taunt}
179.cardName;숲의 근원 타룸
179.cardText;{taunt}\n{last_words} - 세상을 숲으로 가득 채웁니다.
180.cardName;우는 우상
180.cardText;내가 피해를 입을 때마다 {faeria|1}을 얻습니다.
181.cardName;대지창조
181.cardText;색을 {options|내 땅 하나를 {green}으로 바꿉니다|내 땅 하나를 {blue}로 바꿉니다|내 땅 하나를 {red}으로 바꿉니다|내 땅 하나를 {yellow}으로 바꿉니다}합니다.\n 내 땅 하나를 선택한 색으로 바꾸고 카드를 한 장 뽑습니다.
182.cardName;야생의 복수자
182.cardText;{taunt}, {dash|2}\n이번 경기에서 피해를 입을 때 마다 +0/+1을 얻습니다.
183.cardName;고대 멧돼지
183.cardText;{dash|2}\n생명력이 5 이상인 생물을 가지고 있다면, 비용이 {faeria|2} 감소합니다.
184.cardName;루닌의 인도
184.cardText;생물과 신 중 하나를 지정합니다. 지정한 대상이:\n생물이라면 +2/+2를 부여합니다.\n나의 신이라면 생명력을 5 회복합니다.
185.cardName;허기진 목소리
185.cardText;{gift} - 인접한 아군 생물을 모두 파괴합니다. 파괴한 생물들의 체력의 합만큼 공격력과 체력을 얻습니다.
186.cardName;묘목령
186.cardText;{production} - 생명력이 5미만이면 +1/+1을 얻습니다.
187.cardName;숲의 대변인 에레돈
187.cardText;{last_words} - 내 덱과 손에 있는 모든 생물들에게 +1/+1을 부여합니다.
188.cardName;숲으로 돌아가다
188.cardText;아군 생물 하나를 파괴하고 그 생물의 생명력만큼 페어리아를 얻습니다. 카드를 한 장 뽑습니다.
189.cardName;루닌의 존재감
189.cardText;무작위 녹색 생물 하나를 손으로 가져옵니다. 그 생물은 +6/+6을 얻습니다.
190.cardName;불멸자 루닌
190.cardText;{dash|2}\n{last_words} - 턴이 끝날 때, 루닌을 패로 되돌리고 +2/+2를 부여합니다.
191.cardName;지하세계 도적
191.cardText;{combat} - {faeria|2}를 얻습니다.
192.cardName;코볼드 전쟁군주
192.cardText;{combat} - 무작위 아군 생물에게 +3/+0을 부여합니다.
193.cardName;코볼드 전쟁야수
194.cardName;강철의 선물
194.cardText;생물에게 +3/+0을 부여합니다. 그 생물이 <b>Combat</b> 생물이면 추가로 +0/+3을 부여합니다.
195.cardName;지하세계 두목
195.cardText;{combat} - {faeria|2}를 얻습니다.
196.cardName;건축가
196.cardText;{gift} - 건물 하나에 생명력 2를 부여합니다.
197.cardName;고위 오우거
197.cardText;{gift} - 상대의 생명력이 10 이하일 경우 +2/+2을 얻습니다.
198.cardName;코볼드 병영
198.cardText;인접한 아군 생물들이 +2/+0을 얻습니다.
199.cardName;증오의 씨앗
199.cardText;내가 생명력보다 공격력이 높은 생물을 소환할 때 마다 비용이 {faeria|1} 줄어듭니다.
200.cardName;오우거 투사
200.cardText;{taunt}
201.cardName;대담한 장사꾼
201.cardText;{gift} - 손에 있는 무작위 카드의 비용이 {faeria|7} 줄어듭니다.
202.cardName;피의 폭군 사이퍼
202.cardText;생물을 파괴하고 생존하였을 때 마다 파괴한 생물의 원래 공격력과 생명력만큼 각각 공격력과 생명력을 얻습니다.
203.cardName;야만적인 오우거
204.cardName;오우거 왕 크로그
204.cardText;{combat} - 손에 있는 무작위 카드의 비용이 {faeria|7} 줄어듭니다.
205.cardName;도끼갈이
205.cardText;{gift} - 상대 우물 근처에 소환되면 +1/+1을 얻습니다.
206.cardName;바위 투척자
206.cardText;{ranged_attack}\n공격하는 대상의 인접한 적들에게도 피해를 입힙니다.
211.cardName;셰딤 야만인
211.cardText;{combat} - 상대에게 2 피해를 줍니다.
212.cardName;피의 시인
212.cardText;적 생물이 죽을 때마다 상대에게 피해를 1 줍니다.
213.cardName;사이퍼의 화살받이
213.cardText;{last_words} - 상대에게 2 피해를 줍니다.
214.cardName;불꽃쏘개
214.cardText;{gift} - 적 하나에게 1 피해를 줍니다.
215.cardName;공포의 군주
215.cardText;신이 피해를 입을 때 마다 그만큼의 공격력을 얻습니다.
216.cardName;셰딤의 악령
216.cardText;{gift} - 생명력보다 공격력이 높은 다른 아군 생물이 있으면 +2/+2를 얻습니다.
217.cardName;피의 오벨리스크
217.cardText;적 생물이 전투로 죽을 때마다 {faeria|1}을 얻고 상대에게 1 피해를 줍니다.
218.cardName;기괴한 파수병
218.cardText;{taunt}\n{combat} - 상대에게 2 피해를 줍니다.
223.cardName;폭탄 투척수
223.cardText;{gift} - 인접한 적 생물 또는 건물에 4 피해를 줍니다.
224.cardName;대포 운반꾼
224.cardText;{gift} - 4/2 메카 하나를 직선으로 아무 땅에나 발사합니다.
225.cardName;불꽃 작렬
225.cardText;피해를 3 줍니다.
226.cardName;화염 발사기
226.cardText;{ranged_attack}\n이 생물이 신을 공격하면, 모든 적 생물에게 1 피해를 줍니다.
231.cardName;화산의 거신
231.cardText;{ranged_attack}\n이번 게임에서 적에게 피해를 준 턴만큼 비용이 {faeria|1} 감소합니다. (최소 비용: {faeria|5})
232.cardName;산의 심장 가루단
233.cardName;불의 정령
233.cardText;{gift} - {red}을 만듭니다.
234.cardName;화염결 요정
234.cardText;{flying}\n이벤트를 뽑으면 +3/+1과 {ranged_attack}을 얻습니다. (한 번만 적용)
235.cardName;버려진 탑
235.cardText;{activate} - 피해를 1 줍니다. 이 건물에 피해를 1 줍니다.
236.cardName;핏빛불꽃 위습
236.cardText;적 생물이 죽을 때 마다 +2/+1을 얻습니다.
237.cardName;지축을 흔드는 거상
237.cardText;{gift} - 모든 적에게 1 피해를 줍니다.
238.cardName;불의 인도자
238.cardText;내가 생명력보다 공격력이 높은 생물을 소환할 때 마다 +1/+1을 얻습니다. (덱 또는 손에 있을 때)
239.cardName;타오르는 불도마뱀
239.cardText;{gift} - 인접한 모든 적에게 피해를 2 줍니다.
240.cardName;혈석 정령
240.cardText;아군 생물이 상대 우물에서 수확할 때마다 상대에게 1 피해를 줍니다.
241.cardName;사이퍼의 분노
241.cardText;생물에게 2 피해를 줍니다. 그 생물이 죽으면, 그 주인에게 2 피해를 줍니다.
242.cardName;식인 식물
242.cardText;{taunt}\n{production} - 인접한 적 생물과 건물들에게 2 피해를 줍니다.
243.cardName;화염 폭탄
243.cardText;생물 또는 건물에 4 피해를 줍니다.
244.cardName;화염 폭풍
244.cardText;공간을 하나 지정합니다. 그 공간과 인접 공간에 있는 모든 적 생물에게 피해를 3 줍니다.
245.cardName;전투 격노자
245.cardText;피해를 입은만큼 상대에게 피해를 줍니다.
246.cardName;바스러지는 골렘
246.cardText;상대가 생물을 소환할 때 마다 이 생물에게 1 피해를 줍니다.
247.cardName;오우거의 춤
247.cardText;손에 있는 무작위 카드의 비용이 {faeria|7} 줄어듭니다.
248.cardName;메테오
248.cardText;공간을 지정합니다. 그 칸과 인접한 칸에 있는 모든 생물, 건물, 땅을 파괴합니다.
249.cardName;붉은 악마
249.cardText;{gift} - {faeria|5}를 얻습니다.
250.cardName;최초의 불꽃 이그누스
250.cardText;능력 바퀴에서 +{faeria|1} 능력을 선택할 때마다, 적들에게 4 피해를 무작위로 나누어 입힙니다.
251.cardName;오라드림 수도승
251.cardText;{haste}\n신을 공격할 때 마다 카드를 한장 뽑습니다.
252.cardName;칼림의 기도
252.cardText;{faeria|2}를 얻고 카드를 한 장 뽑습니다. 이번 턴에 신을 공격한 경우에만 사용 가능합니다. 기도는 한 턴에 한 번만 사용할 수 있습니다.
253.cardName;칼림의 추종자
253.cardText;{haste}\n신을 공격할 때 +2/+0을 얻습니다.
254.cardName;오라드림 기사단
254.cardText;{dash|1}\n신을 공격할 때만 +3/+0을 얻습니다.
255.cardName;오라드림 사수
255.cardText;{ranged_attack}\n아군 생물이 신을 공격할 때 마다 {faeria|1} 을 얻습니다.
256.cardName;오라드림 광신도
256.cardText;{jump}\n{gift} - 아군 생물 하나를 이동시킬 수 있습니다.
257.cardName;데저트 트위스터
257.cardText;내 {yellow}으로 생물 하나를 이동시킵니다.
258.cardName;바람 관문
258.cardText;이 건물 근처에 생물을 소환할 수 있습니다.\n{activate} - 바람 관문을 움직입니다.
259.cardName;사악한 영혼
259.cardText;{gift} - 상대로부터 2 생명력을 흡수합니다.
260.cardName;하늘의 신동 칼림
260.cardText;{flying}, {charge|2}\n칼림이 적 신을 공격할 때마다 <b>칼림의 추종자</b> 를 손에 넣습니다. 그 카드의 비용은 {faeria|0}이 됩니다.
261.cardName;학살의 그림자
262.cardName;죽음을 원하는 구울
262.cardText;{last_words} - {faeria|2}를 얻습니다.
263.cardName;마지막 악몽
263.cardText;생물 하나를 파괴합니다.
264.cardName;영혼의 계약
264.cardText;{faeria|2}를 얻고 내가 2 피해를 입습니다.
265.cardName;영혼의 제단
265.cardText;{activate} - 내가 2 피해를 받고 6/1 <b>학살의 그림자</b>를 손에 넣습니다. 그 카드의 비용은 {faeria|2}가 됩니다.
266.cardName;샤이탄 데몬
266.cardText;{production} - 내가 2 피해를 입습니다.
267.cardName;칼림의 하늘파수꾼
267.cardText;{flying}\n아군 생물 근처에 소환할 수 있습니다.
268.cardName;칼림의 훈련
268.cardText;생물 하나에게 +1/+0, {flying}, {charge|2}를 줍니다.
273.cardName;바람 전사
273.cardText;{haste}, {charge|3}\n바람 전사는 턴이 끝날 때 죽습니다.
274.cardName;하늘선장 드러커
274.cardText;{flying}\n{flying} 생물을 뽑을 때 마다 +1/+1을 부여합니다.
275.cardName;바람결의 전령
275.cardText;{flying}.\n다른 비행 생물을 가지고 있으면 +2/+0을 얻습니다.
276.cardName;샤이탄 처리꾼
276.cardText;이번 턴에 상대 신을 공격했으면 비용이 {faeria|2} 줄어듭니다.
277.cardName;사막 비룡
277.cardText;{flying}, {charge|2}\n페어리아를 수확할 수 없습니다.
278.cardName;바람결의 용사
278.cardText;{flying}, {charge|5}\n{gift} - 생물 하나를 움직입니다.
287.cardName;모래폭풍의 거신
287.cardText;{dash|3}\n이번 게임에서 이벤트를 사용할 때 마다 비용이 {faeria|1} 감소합니다. (최소 비용: {faeria|5})
288.cardName;사막의 분노 아자라이
288.cardText;{flying}, {charge|2}\n{gift} - 모든 적 생물로부터 공격력을 2 흡수합니다.
289.cardName;공기의 정령
289.cardText;{flying}\n{gift} - {yellow}을 만듭니다.
290.cardName;태양결 요정
290.cardText;{flying}\n이벤트를 뽑으면 +3/+1과 {charge|3}을 얻습니다. (한 번만 적용)
291.cardName;신성한 탑
291.cardText;{activate} - 이번 턴 동안 생물 하나에게 {charge|3}을 부여합니다. 이 건물에 피해를 1 줍니다.
292.cardName;산들바람 위습
292.cardText;{flying}, {charge|3}\n아군 생물이 신을 공격할 때 마다 +3/+0을 얻습니다.
293.cardName;돌풍
294.cardName;황금 새장
294.cardText;내 모든 비행 생물이 +1/+0을 얻습니다.
295.cardName;광적인 성전사
295.cardText;{charge|2}\n아군 생물이 신을 공격할 때 마다 +1/+1을 얻습니다. (덱 또는 손에 있을 때)
296.cardName;켈드란 병사
297.cardName;폐허의 제왕
297.cardText;{gift} - 아군 생물 하나를 희생하고 {faeria|3}을 얻을 수 있습니다.
298.cardName;샤이탄 암살자
298.cardText;{deathtouch}\n{gift} - 아군 생물 하나를 희생하고 {protection}을 얻을 수 있습니다.
299.cardName;데몬 사육사
299.cardText;{gift} - 아군 생물 하나를 희생하고 5/2 {flying} <b>데몬 윙</b>을 그 자리에 소환할 수 있습니다.
300.cardName;죽음을 걷는 자
300.cardText;{deathtouch}.\n이 생물을 소환하려면 다른 아군 생물 하나를 희생해야 합니다.
301.cardName;종말의 계약
301.cardText;아군 생물 하나를 파괴합니다. 그 자리에 6/3 {charge|3} <b>종말의 기수</b>를 소환합니다.
302.cardName;샤이탄 괴수
302.cardText;{charge|2}\n아군 생물이 죽을 때 마다 그 생물의 공격력을 이 생물에게 부여합니다.
303.cardName;사랑받는 자 이오나
303.cardText;{flying}\n공격받지 않습니다.
304.cardName;데몬 윙
304.cardText;{flying}
305.cardName;종말의 기수
305.cardText;{charge|3}
306.cardName;영혼 흡수
306.cardText;생물에게서 2 생명력을 흡수합니다.
307.cardName;조여오는 모래
307.cardText;공격력이 3 이하인 생물 하나를 파괴합니다.
308.cardName;둠게이트, 종언의 문
308.cardText;둠게이트가 13 이상의 체력을 가지고 있을 경우, 그것을 파괴하고 <b>오스트레고스</b>를 그 자리에 소환합니다. \n{activate} - 생물 하나를 희생하여 카드를 뽑고 둠게이트가 +0/+2를 얻습니다.
309.cardName;모래폭풍 궁수
