ACCEPT;동의
EVENT_TEXT_TITLE;이벤트: 친구 초대하기
EXIT_CRAFT_MODE;제작
FAERIA_AVERAGE;평균 비용
FRIENDLIST;친구 목록
FRIENDLIST_FRIEND_REQUEST;친구 요청 보기
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;제안 보기
FRIENDLIST_STEAM_FRIEND_SUGGESTION;스팀 친구 제안 보기
FRIENDLIST_GAME_INVITE;초대 보기
FRIENDLIST_DISCORD_HINT;디스코드 채널에 들어와서 새로운 소식을 확인하세요!
FRIENDLIST_FRIEND;친구
FRIENDLIST_INGAME;게임중
FRIENDLIST_INVITE_TO_LOBBY;로비로 초대
FRIENDLIST_INVITE_TO_TOURNAMENT;토너먼트 로비로 초대
FRIENDLIST_IN_LOBBY;로비에서 대기중
FRIENDLIST_OFFLINE;오프라인
FRIENDLIST_ONLINE;온라인
FRIENDLIST_RECENTLY_PLAYED;최근 상대
FRIENDLIST_REMOVE;친구 삭제
FRIENDLIST_REQUEST_INITIATOR;응답 대기
FRIENDLIST_REQUEST_RECIPIENT;친구 요청
FRIENDLIST_SEND_MESSAGE;메시지 보내기
FRIENDLIST_SPECTATE_GAME;게임 관전하기
FRIENDLIST_SPECTATING;관전중
FRIENDLIST_SPECTATING_YOU;나를 관전 중
FRIENDLIST_SUGGESTED;제안
FRIENDLIST_SUGGEST_TO_LOBBY;초대 제안하기
FRIENDLIST_VIEW_PROFILE;프로필 보기
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;친구 요청
FX;Fx
GAME_CONNECTION_LOST_RECONNECTING;접속이 끊어졌습니다. 재시도 중입니다...
GAME_HAS_CRASHED;게임이 비정상 종료되었습니다. ({0}). 이 세상에 존재하기에는 너무 아름다웠던 모양입니다.
GEM_BONUS_AMOUNT;+ {0} 보너스
GEM_PURCHASE_POPUP_TITLE;젬 선택
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;젬이 부족합니다. 구매하는 건 어떤가요?
GENERAL;일반
GENERIC_BUTTON_TEXT_PLAY;플레이
GENERIC_BUTTON_TEXT_SHOP;상점
GENERIC_GAMEPLAY_ATTACK;공격
GENERIC_GAMEPLAY_COST;비용
GENERIC_GAMEPLAY_LIFE;생명력
GENERIC_GAMEPLAY_WILD_COST;와일드 비용
GOT_IT;알겠습니다!
GO_TO_CRAFT_MODE;제작
GO_TO_SHOP_BUTTON_TEXT;상점으로
GOLD_MINER_HIRING_TITLE;불러주셔서 감사합니다!\n바로 일하러 가도록 하죠.
GOLD_MINER_REGULAR_GOLD;안녕하세요 {0}.\n샤드를 가져 왔습니다.
GOLD_MINER_ABOVE_AVERAGE_GOLD;오늘 채광은 운이 좋았습니다!
GOLD_MINER_JACKPOT;야크 맙소사, 대박이 터졌습니다!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;다시 만나뵙게 되어 반갑습니다! 샤드를 가져왔습니다.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;다시 만나뵙게 되어 반갑습니다! 샤드를 가져왔습니다.
GOLD_MINER_LONG_DELAY_JACKPOT;드디어 다시 오셨군요! 대박이 터졌습니다!
GRAPHIC_QUALITY_HIGHER;아주 높음
GRAPHIC_QUALITY_HIGHEST;가장 높음
GRAPHIC_QUALITY_HIGH_IPAD;높음
GRAPHIC_QUALITY_LOWER;아주 낮음
GRAPHIC_QUALITY_LOWEST;가장 낮음
GRAPHIC_QUALITY_LOW_IPAD;낮음
GRAPHIC_QUALITY_TITLE;품질
GUEST_ACCOUNT_NAME;손님
INFO_NB_CONNECTED;접속중: {0}
INFO_NB_FINDING_ARENA;판도라 찾는 중: {0}
INFO_NB_FINDING_CLASSIC;캐주얼 찾는 중:{0}
INFO_NB_FINDING_CONSTRUCTED;랭크 게임 찾는 중: {0}
INFO_NB_GAMES;게임 진행중: {0}
INFO_TIME_TO_FIND_GAME;예상 검색 시간:{0}
INGAME_DEFEAT;패배
INGAME_OPPONENT_STILL_MULLIGAN;상대가 교체할 카드를 고르는 중입니다.
INGAME_ALLY_STILL_MULLIGAN;동료가 교체할 카드를 고르는 중입니다.
INGAME_PANDORA_OPENS;판도라 개방!
INGAME_PLAYER_TURN;{0}님의 턴
INGAME_PUZZLE_SOLVED;퍼즐 해결
INGAME_PUZZLE_WIN_THIS_TURN;이번 턴에 이기세요!
INGAME_VERSUS;VS
INGAME_VICTORY;승리
INGAME_YOUR_TURN;내 턴
INVITED_TO_LOBBY;{0}님이 당신을 게임에 초대하였습니다.
ITEM_RARITY_COMMON;일반
ITEM_RARITY_EPIC;영웅
ITEM_RARITY_LEGENDARY;전설
ITEM_RARITY_RARE;희귀
ITEM_VALUE;보상 가치
KEEP;유지
KICKED_FROM_LOBBY;로비에서 추방되었습니다.
LANE_COMPLETED_QUEST;완료!
LANE_NEW_QUEST;새 미션!
LANE_UNLOCKED;잠금 해제!
LANGUAGE;언어 :
LEAGUE_UP;승급!
LEGENDARY_CARD_LIMIT_MESSAGE;전설 카드는 덱에 한 장만 넣을 수 있습니다.
LEVEL;레벨 {0}
LOADING;불러오는 중
LOADING_LONG;불러오는 데에 시간이 오래 걸리고 있습니다.
LOBBY_ACCOUNT_SUGGESTED;제안
LOBBY_DECK_PICKING_CANCELED;{0}님이 덱 선택을 취소시켰습니다.
LOBBY_GAME_INVITE_PENDING;초대 대기중...
LOBBY_KICK_PLAYER;플레이어 추방하기
LOBBY_PLAYERS_IN_GAME;게임중인 플레이어를 기다리는 중...
LOBBY_PLAYERS_PICKING_DECKS;플레이어들이 덱을 고르는 중입니다.
LOBBY_PLAYER_1_STATUS;플레이어 1
LOBBY_PLAYER_2_STATUS;플레이어 2
LOBBY_READY_BUTTON_TEXT;준비
LOBBY_SET_PLAYER_1;플레이어 1로 이동
LOBBY_SET_PLAYER_2;플레이어 2로 이동
LOBBY_SET_SPECTATOR;관전자로 이동
LOBBY_SPECTATOR_STATUS;관전자
LOBBY_CO_OP_WITH;협력
MAINMENU_BUTTON_BOOSTERS;상자
MAINMENU_BUTTON_COLLECTION;콜렉션
MAINMENU_BUTTON_DAILY_QUESTS;일일 퀘스트
MAINMENU_BUTTON_EVENT_END_TIME;{0}시간 {1}분 뒤에 종료됩니다.
MAINMENU_BUTTON_FRIEND_LIST;친구 목록
MAINMENU_BUTTON_HOME;홈
MAINMENU_BUTTON_SETTINGS;설정
MAINMENU_TITLE_BATTLE;대전
MAINMENU_TITLE_PANDORA;판도라
MAINMENU_TITLE_SOLO;모험
MAINMENU_TITLE_VIEWPROFILE;프로필 보기
MAP_QUEST_LOCKED;잠김
MARKET_BUTTON_BUY_GEMS;정보
MARKET_CATEGORY_AVATAR;아바타
MARKET_CATEGORY_BUNDLE;번들
MARKET_CATEGORY_CARD_BACK;카드 뒷면
MARKET_CATEGORY_EMOTES;감정 표현
MARKET_CATEGORY_ORB;오브
MARKET_CATEGORY_WELL;우물
MARKET_FEATURED_TAB_AVATAR;아바타
MARKET_FEATURED_TAB_BUNDLE;번들
MARKET_FEATURED_TAB_CARD_BACK;카드 뒷면
MARKET_FEATURED_TAB_EMOTE;감정 표현
MARKET_FEATURED_TAB_ORB;오브
MARKET_FEATURED_TAB_WELL;우물
MARKET_HOW_MANY_CHEST;얼마나 구매하겠습니까?
MARKET_ITEM_CONFIRM_PURCHASE;구매
MARKET_ITEM_OWNED;보유
MARKET_MENU_FEATURED;추천 상품
MARKET_PROCESSING_ORDER;진행중...
MARKET_ROTATINGITEMS_TITLE;오늘의 상품
MARKET_TITLE;상점
MATCHES_FORMAT;매치 포맷:
MISSION_PACK_NPC_REWARD_TOOLTIP;팩의 마지막 미션을 완료하면 특별한 동료를 얻을 수 있습니다.
MISSION_PACK_XP_REWARD_TOOLTIP;이 미션을 완료하면 얻을 수 있는 경험치
MORNING;아침
MULLIGAN;교체할 카드를 선택하세요.
MULLIGAN_BUTTON_TEXT_CONFIRM;확인
MULLIGAN_HINT_TEXT;교체
MUSIC;음악
MY_CHESTS;내 상자
NEW_ACCOUNT_BUTTON;계정 생성
NEW_ACCOUNT_LABEL;페어리아가 처음인가요?
NEW_ACCOUNT_WARNING;페어리아 계정을 이미 가지고 있다면, 이 {0}계정으로 사용할 수 없습니다.
NEW_CARD_HINT;New
NEW_DAILY_QUEST_RECEIVED;새로운 일일 퀘스트를 받았습니다.
NEW_DECK_NAME;내 덱
NIGHT;밤
NO_DAILY_QUESTS_LEFT;남은 일일 퀘스트가 없습니다. 내일 다시 확인하세요.
OBJECTIVES;목표
OK;확인
OVERSKY;창공
OVERSKY_ALL_CARDS_NAME;모든 창공 카드
OVERSKY_BUY_ISLAND_BUTTON_TEXT;섬 구매
OVERSKY_BUY_ISLAND_TEXT;이 섬을 가지고 있지 않습니다.\n이 미션의 보상을 얻으려면, 미션을 구매해야 합니다.
OVERSKY_CARD_REWARD;새 카드 <size=200%><color=white>{0}</color></size>장이 콜렉션에 추가됩니다
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;이 섬을 가지고 있기 때문에 번들 가격이 할인됩니다.
OVERSKY_COSMETIC_SET_TOOLTIP;특별한 전설 아이템 포함: 카드 뒷면, 페어리아 우물, 아바타와 오브
OVERSKY_GET_POINTS_EMPEROR;황제의 시련
OVERSKY_GET_POINTS_MISSION;창공 미션
OVERSKY_GET_POINTS_PVP;PvP 승리
OVERSKY_GET_POINTS_WILD_PACK;무작위 팩 완료
OVERSKY_GET_POINTS_WORLD_BOSS;월드 보스 격파
OVERSKY_GETTING_POINTS;모험 보따리 포인트 수집
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;미나스트의 위대한 황제가 매일 새로운 도전을 제공합니다. 매일 처음 보스를 쓰러뜨리면, 모험 보따리 포인트를 얻습니다.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;미나스트의 위대한 황제가 매일 새로운 시련을 제공합니다. 모험 보따리를 구매해서 구매자 한정 보스에게 도전하세요.
OVERSKY_LIMITED_BOSS_BATTLE_NAME;황제의 시련
OVERSKY_ONE_ISLAND;이 섬
OVERSKY_POINTS_REWARD;모험 보따리 포인트
OVERSKY_POUCH_OWNED_CONTENT_TITLE;모험 보따리 보상
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;모험 보따리 포인트로 받을 수 있는 보상을 확인하세요. 아래에서 진행상황을 볼 수 있습니다.
OVERSKY_POUCH_OWNED_ENDED;모험 보따리가 닫혀 있습니다
OVERSKY_POUCH_OWNED_END_DAYS;모험 보따리가 곧 열리고, {0}일 후에 닫힙니다.
OVERSKY_POUCH_OWNED_END_HOURS;모험 보따리가 곧 열리고, {0}시간 {1}분 후에 닫힙니다.
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;모험 보따리 보상
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;모험 보따리를 구매하면 아래 보상을 얻을 수 있습니다 - 모험 보따리가 닫힐 때까지 포인트를 모아 보세요!
OVERSKY_POUCH_NOT_OWNED_ENDED;시간이 다 됐습니다! 이제 모험 보따리를 구매할 수 없습니다.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;모험 보따리가 {0}일 후에 닫힙니다.
OVERSKY_POUCH_NOT_OWNED_END_HOURS;모험 보따리가 {0}시간 {1}분 후에 닫힙니다.
OVERSKY_POUCH_NAME;모험 보따리
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;신화 창공 카드 창공 카드 한 장\n<size=60%>이미 모든 신화 창공 카드를 가지고 있다면, 다음번 섬을 구매할 때 이 보상이 지급됩니다.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;카이오스 아바타와 감정 표현
OVERSKY_POUCH_TOOLTIP;파우치를 업그레이드해 구매자 한정 모험 보상을 받으세요! 자세한 정보는 faeria.com/oversky에서 확인할 수 있습니다.
OVERSKY_SHOP_SLIDER_ITEM_NAME;창공 구성
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;창공이 열렸습니다 - 새로운 컨텐츠를 즐기세요!
OWNED_CARD_COUNT;이 카드를 {0}장 가지고 있습니다.
PANDORA_GATE_OPENED;판도라에 입장합니다!
PANDORA_KEY_POOL_HELP_TEXT;판도라 코인으로 문을 열어 판도라에 입장하세요!
PANDORA_LOSSES;패
PANDORA_SHARD_1_FOUND;첫번째 조각 발견
PANDORA_SHARD_2_FOUND;두번째 조각 발견
PANDORA_SHARD_3_FOUND;세번째 조각 발견
PANDORA_SHARD_4_FOUND;네번째 조각 발견
PANDORA_SHARD_5_FOUND;마지막 조각 발견
PANDORA_VICTORIES;승
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;{0} 카드가 너무 많이 들어갔습니다. 전설 카드는 {1}장까지 사용할 수 있습니다.
PANTHEON_DECK_NOT_RESPECTED;{0} 카드가 너무 많이 들어갔습니다. 전설이 아닌 카드들은 {1}장까지 사용할 수 있습니다.
PASSWORDS_DO_NOT_MATCH;입력된 패스워드가 서로 다릅니다
PASSWORD_FIELD_CONFIRM;패스워드 확인*
PASSWORD_FIELD_MANDATORY;패스워드*
PASSWORD_FIELD_NEW;새 패스워드*
PASSWORD_MANDATORY;패스워드는 필수 항목입니다.
PASSWORD_TOO_LONG;패스워드가 너무 깁니다.(최대 {0}글자).
PASSWORD_TOO_SHORT;패스워드가 너무 짧습니다.
PAUSE_MENU_TEXT;일시정지
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} 남음
PINK_CHESTS_NOT_YET_AVAILABLE;알 수 없는 힘이 상자를 감싸고 있어서 상자를 열 수 없습니다. 아직은 열리지 않습니다.
PLAY_MENU_SOLO_STANDARD;미션
PLAY_MENU_SOLO_OVERSKY;창공
PLAYER_LEFT_TOURNAMENT;플레이어 '{0}'이 토너먼트를 떠났습니다. '{1}'이 경기에서 승리했습니다.
PLAYER_LOST_CONNECTION;플레이어 {0}의 접속이 끊겼습니다.\n{1}초 안에 다시 연결할 수 있습니다.
PRACTICE_BUTTON_TEXT;연습
PRIVATE_LOBBY;연습 로비
PRIVATE_LOBBY_INFO;연습 로비에 어서오세요! 두 플레이어가 모두 준비되면 게임이 시작됩니다.
PRIVATE_PLAY_ALLY_READY;동료 준비!
PRIVATE_PLAY_OPPONENT_READY;상대 준비!
PRIVATE_PLAY_PLAYER_READY;시작 준비!
PRIVATE_PLAY_READY;취소
PROFILE_BATTLERANK_TITLE;전투
PROFILE_MENU_PROFILE;프로필
PROFILE_PANDORARANK_TITLE;판도라
PROFILE_RANKINGS_TITLE;랭킹
PROLOGUE_HINT_ATTACK;전투에서 이 수치만큼 피해를 줍니다.
PROLOGUE_HINT_COST;페어리아를 이 수치만큼 지불해야 낼 수 있습니다
PROLOGUE_HINT_LIFE;이 수치만큼 피해를 받아야 파괴됩니다
PROLOGUE_SPEECH_BUBBLE;이 미션들을 해결하고 힘을 개방하세요!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>안녕하세요 {0}!</size>\n\n현재 손님 계정으로 게임하고 있습니다.\n\n이메일 주소를 입력하여 계정을 생성하면 2개의 전리품 상자 (카드 8장)을 얻을 수 있습니다!
PROMPT_ACCOUNT_INFO_WELCOME;계정 생성
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;입력하신 이메일 주소로 활성화 코드가 전송되었습니다.
PROMPT_BINDING_SUCCESS;입력하신 이메일 주소로 연결 링크가 전송되었습니다.
PROMPT_CANCEL_GAME_SEARCHES;게임 검색을 취소합니다. 계속 진행하시겠습니까?
PROMPT_CHALLENGE_CONFIRMATION;이 미션은 한번만 도전할 수 있습니다. 준비됐나요?
PROMPT_CONFIRM_USER_NAME;신중히 결정하세요, 이름은 나중에 변경할 수 없습니다.
PROMPT_CRASH;게임이 비정상 종료되었습니다 :(
PROMPT_DECKEMPTY;덱에 더 이상 뽑을 카드가 없어 패배했습니다.
PROMPT_DEFEAT;패배
PROMPT_DELETE_DECK_CONFIRMATION;정말로 덱을 삭제하겠습니까?
PROMPT_DELETE_FRIEND_CONFIRMATION;정말로 친구를 삭제하겠습니까?
PROMPT_DISENCHANT_ALL_IN_EXCESS;정말로 모든 남는 카드를 분해합니까?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;정말로 이 카드를 분해하겠습니까? 이 카드를 분해하면 사용할 수 없게 되는 덱이 있습니다.
PROMPT_DOUBLE_KO;게임이 무승부로 끝났습니다!
PROMPT_DROP_RUN_CONFIRMATION;정말로 포기하겠습니까? {0}패 취급됩니다!
PROMPT_DUEL_PROPOSED;{0}님이 대전을 신청했습니다.
PROMPT_EMAIL_HELP_TEXT;이메일 계정을 인증하면 좋은 점들:\n\n\t- 패스워드 찾기\n\t- 포럼에 접속
PROMPT_TEXT_LATER;나중에
PROMPT_EMAIL_TITLE_TEXT;이메일 주소
PROMPT_EMAIL_WELCOME;계정을 인증하고 전리품 상자 2개 (카드 8장)을 획득하세요!
PROMPT_EXIT_CONFIRMATION;정말로 종료합니까?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;게임 초대에 응하겠습니까?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;친구 초대를 승낙합니까?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;이 스팀 친구 제안을 승낙합니까?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;친구 초대를 승낙합니까?
PROMPT_GAME_HAS_CRASHED;게임이 비정상 종료되었습니다!
PROMPT_LOBBY_CANCEL_CONFIRMATION;정말로 게임을 취소하고 로비를 떠나겠습니까?
PROMPT_LOBBY_LEAVE_CONFIRMATION;정말로 로비를 떠나겠습니까?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;변경사항이 적용되지 않았습니다. 이대로 계속하시겠습니까?
PROMPT_NEW_BINDING;이미 페어리아 계정을 가지고 있나요?
PROMPT_NO_DECK_FOUND;게임을 하려면 덱이 있어야 합니다.
PROMPT_PASSWORD_CHANGE_SUCCESS;계정 {0}의 패스워드가 성공적으로 변경되었습니다.
PROMPT_REFUSED_INVITEE_PLAYING;친구가 게임을 플레이하는 중입니다.
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;친구가 게임을 찾는 중입니다.
PROMPT_RESET_PASSWORD;패스워드 초기화
PROMPT_SAVE_DECK_FIRST;덱에 변경사항을 적용하겠습니까?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;게임에 익숙하신 것 같군요. 튜토리얼을 건너뛰겠습니까?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;튜토리얼 건너뛰기
PROMPT_STEAM_CONNECTION_REQUIRED;스팀 연결이 필요합니다. 페어리아를 스팀에서 실행해 주세요.
PROMPT_SURRENDER_CONFIRMATION;정말로 항복하시겠습니까?
PROMPT_TEXT_NO;아니오
PROMPT_TEXT_OK;확인
PROMPT_TEXT_YES;예
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;첫번째로 등록한 덱은 첫번째 게임에 반드시 사용해야 하고, 질 때까지 바꿀 수 없습니다. 등록하시겠습니까?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;모든 게임이 끝나기 전에 토너먼트 로비를 떠나면 패배 처리됩니다. 정말로 떠나겠습니까?
