ACTIVATE;<b>발동</b>
EMOTE_FUGORO_LASTWORDS_NAME;손님은 왕이니까.
EMOTE_FUGORO_OPENING_NAME;소중한 고객이 함께하는군!
EMOTE_FUGORO_THINKING_NAME;끌리는 수가 너무 많은 걸..
EMOTE_KHALIM_LASTWORDS_NAME;좋은 승부였다. 네가 이겼다.
EMOTE_KHALIM_OPENING_NAME;바람을 받아들여라.
EMOTE_KHALIM_THINKING_NAME;좋은 수가 있을 거야...
EMOTE_KROG_LASTWORDS_NAME;나 갈래. 배고파!
EMOTE_KROG_OPENING_NAME;왕을 경배하라!
EMOTE_KROG_THINKING_NAME;... 오! 내 턴이었군!
EMOTE_MAGDA_LASTWORDS_NAME;인상적이군. 항복하겠다.
EMOTE_MAGDA_OPENING_NAME;내 궁정에 어서 오너라.
EMOTE_MAGDA_THINKING_NAME;가능성이 아주 많군.
EMOTE_RUUNIN_LASTWORDS_NAME;승리를 즐겨라.
EMOTE_RUUNIN_OPENING_NAME;사냥할 시간이군.
EMOTE_RUUNIN_THINKING_NAME;어떻게 할까...
EVENT;이벤트
FAERIA;<sprite="icon_faeria_cost" index={0}>
FLYING;<b>비행</b>
GIFT;<b>선물</b>
GREEN;<sprite="icon_green" index=0>
HASTE;<b>신속</b>
ICON_COIN;<sprite="icon_coin" index=0><b>{0}</b>
ICON_GEM;<sprite="icon_gem" index=0><b>{0}</b>
IGNORE;무시
JUMP;<b>점프</b>
LANGUAGE_NAME_NATIVE;한국어
LAST_WORDS;<b>유언</b>
OPTIONS;<b>선택</b>
PRODUCTION;<b>생산</b>
PROTECTION;<b>보호막</b>
QUEST_LANE_ACT_AURORA_NAME;오로라
QUEST_LANE_ACT_FUGORO_NAME;후고로
QUEST_LANE_ACT_HOAKA_NAME;호아카
QUEST_LANE_ACT_JALMYR_01_NAME;얄미어 I
QUEST_LANE_ACT_JALMYR_02_NAME;얄미어 II
QUEST_LANE_ACT_JALMYR_03_NAME;얄미어 III
QUEST_LANE_ACT_JALMYR_04_NAME;얄미어 IV
QUEST_LANE_ACT_MAGDA_NAME;마그다
QUEST_LANE_ACT_RAPALA_NAME;라팔라
QUEST_LANE_ACT_SEIFER_NAME;사이퍼
QUEST_LANE_ACT_SHARRA_NAME;샤라
QUEST_LANE_ACT_TRAINING_NAME;연습
RANGED_ATTACK;<b>원거리 공격</b>
RED;<sprite="icon_red" index=0>
SLAM;<b>강타</b>
SUBTYPE_YAK;야크
SUBTYPE_TRITON;트라이튼
SUBTYPE_BEAST;야수
SUBTYPE_MECHA;기계
SUBTYPE_RAKOAN;라코아
SWALLOW;<b>포식</b>
STRUCTURE;건물
TAUNT;<b>도발</b>
TOOLTIP_AQUATIC;<color=white><b>수생</b></color> 바다나 호수에서만 이동할 수 있습니다.
TOOLTIP_CHARGE;<color=white><b>돌진 {0}:</b></color> 한 번에 {0}칸까지 같은 방향으로 움직일 수 있습니다.
TOOLTIP_COMBAT;<color=white><b>교전:</b></color> 이 생물이 싸울 때 효과가 발동합니다.
TOOLTIP_CONVOKE;<color=white><b>Convoke:</b> 내 땅이 아니더라도 근처에 생물을 소환할 수 있습니다.
TOOLTIP_CORRUPT;<color=white><b>오염:</b></color> 이 생물이 처음 적 땅 위에 올라갈 때 발동됩니다.
TOOLTIP_DARK_RITUAL;<color=white><b>Dark Ritual:</b> You MAY sacrifice a creature when you play this card. Get extra benefits if you do.
TOOLTIP_DASH;<color=white><b>질주 {0}:</b></color> 소환할 때, {0}칸까지 같은 방향으로 이동할 수 있습니다.
TOOLTIP_DEATHTOUCH;<color=white><b>죽음의 손길:</b></color> 이 생물로부터 피해를 받은 생물을 파괴합니다.
TOOLTIP_DIVINE;<color=white><b>신성:</b></color> 이벤트나 능력의 대상으로 지정할 수 없습니다.
TOOLTIP_FLYING;<color=white><b>비행:</b></color> 바다 위에서 이동할 수 있습니다.
TOOLTIP_GIFT;<color=white><b>선물:</b></color> 손에서 낼 때 효과가 발동합니다.
TOOLTIP_HASTE;<color=white><b>신속:</b></color> 소환한 턴에 공격, 수확, 이동할 수 있습니다.
TOOLTIP_JUMP;<color=white><b>점프:</b></color> 두 칸까지 움직일 수 있습니다. 장애물을 무시합니다.
TOOLTIP_LAST_WORDS;<color=white><b>유언:</b></color> 죽을 때 효과가 발동합니다.
TOOLTIP_OPTIONS;<b>선택:</b> 여러 효과 중 하나를 선택할 수 있습니다.
TOOLTIP_PRODUCTION;<color=white><b>생산:</b></color> 턴이 시작될 때 효과가 발동합니다.
TOOLTIP_PROTECTION;<color=white><b>보호막:</b></color> 이 생물이 피해를 입을 때, 보호막이 사라지고 피해를 무시합니다.
TOOLTIP_RANGED_ATTACK;<color=white><b>원거리 공격:</b></color> 일직선상에 있는 가장 가까운 적을 공격합니다. 이동한 후 공격할 수 없습니다.
TOOLTIP_SWALLOW;<color=white><b>포식:</b></color> 다른 생물을 이 카드 안에 가둡니다. 이 카드가 죽으면, 그 생물이 풀려납니다.(다른 생물을 포식한 생물을 가둘 수 없습니다.)
TOOLTIP_TAUNT;<color=white><b>도발:</b></color> 인접한 적 생물은 이 생물을 공격해야 합니다.
TOOLTIP_WILD;<color=white><b>야생:</b></color> 필요로 하는 모든 땅이 야생일 때 그 카드를 야생이라 합니다.
WILD;<b>야생</b>
YELLOW;<sprite="icon_yellow" index=0>
NEWS_DEFENDING;러쉬덱 상대로 방어하기.
NEWS_FAERIA_TALES;페어리아 이야기: 1.0으로 가는 길
NEWS_OVERSKY;확장팩: 창공이 도착했습니다.
NEWS_PATCH_ANALYSIS;밸런스 패치 분석
NEWS_PATCH_NOTES;패치 노트
NEWS_RECRUIT_FRIEND;친구 모집하기
NEWS_STEAM_NEWS;특가: 페어리아 스팀 팩
NEWS_WAR_EFFORT;전쟁 보급에 참여하세요.
NEWS_WELCOME;페어리아 학원
DAILY_QUEST_1400_NAME;이야기
DAILY_QUEST_PLAY_CARD_3_TIMES;{0}를 3번 내세요.
NEWS_B2P_RELEASE;새로운 기능과 경제시스템 변경
NEWS_FOE_DLC;영생의 몰락 확장팩
NEWS_PREMIUM_DLC;프리미엄 업그레이드
NWILD;<sprite="icon_wild_cost" index={0}>
NEWS_THE_HUB;허브
NEWS_RESURGENCE_CARDS;소생 카드들
NEWS_RESURGENCE;소생 확장팩
NYELLOW;<nobr><b>{0}</b><sprite="icon_yellow" index=0></nobr>
NRED;<nobr><b>{0}</b><sprite="icon_red" index=0></nobr>
NHUMAN;<nobr><b>{0}</b><sprite="icon_human" index=0></nobr>
NGREEN;<nobr><b>{0}</b><sprite="icon_green" index=0></nobr>
NBLUE;<nobr><b>{0}</b><sprite="icon_blue" index=0></nobr>
MUTAGEN_SETUP_TETHRA_LAND_4;이 드래곤은 손에 비용 5, 와일드 지형 5개를 요구하는 <b>테스라</b>를 들고 게임을 시작합니다.
MUTAGEN_SETUP_OROSEI_LAND_4;이 드래곤은 손에 비용 5, 와일드 지형 5개를 요구하는 <b>오로세이</b>를 들고 게임을 시작합니다.
MUTAGEN_SETUP_MONO_COLOR_COSTS_MORE;단색 카드의 비용이 2 증가합니다.
MUTAGEN_SETUP_HARVEST_COSTS_2_LIFE;내가 페어리아를 수확할 때마다, 내가 피해를 2 입습니다.
MUTAGEN_SETUP_GARUDAN_LAND_4;이 드래곤은 손에 비용 5, 와일드 지형 5개를 요구하는 <b>가루단</b>을 들고 게임을 시작합니다.
MUTAGEN_SETUP_FAERIA_LIMITED_TO_6;내 페어리아가 6을 넘을 수 없습니다.
MUTAGEN_SETUP_EVERYONE_IS_SHOZEN;이 드래곤의 생물이 교전을 통해 적 생물을 죽였을 때, 대신 그 생물을 포식하고 드래곤이 그 소유권을 얻습니다.
MUTAGEN_SETUP_EVENTS_COST_MORE;내 이벤트의 비용이 2 증가합니다.
MUTAGEN_SETUP_ENEMIES_HAVE_DEATHTOUCH;이 드래곤의 모든 생물은 죽음의 손길을 얻습니다.
MUTAGEN_SETUP_EMPOWER_ENEMIES_WHEN_YOUR_CREATURES_DIE;내 생물이 죽을 때마다 드래곤의 모든 생물이 +1/+1을 얻습니다.
MUTAGEN_SETUP_DRAW_TWICE_ON_PLAY;내가 카드를 낼 때마다, 카드를 2장 더 뽑습니다.
MUTAGEN_SETUP_DAMAGE_ON_PLAYED_CREATURES;내 생물이 소환될 때마다 피해를 2 입습니다.
MUTAGEN_SETUP_CREATE_RANDOM_AI_LANDS;이 드래곤은 게임이 시작할 때 무작위 위치에
MUTAGEN_SETUP_CREATURES_COST_MORE;내 생물의 비용이 2 증가합니다.
MUTAGEN_SETUP_AZARAI_LAND_4;이 드래곤은 손에 비용 5, 와일드 지형 5개를 요구하는 <b>아자라이</b>를 들고 게임을 시작합니다.
MUTAGEN_SETUP_ALL_CARDS_COST_AT_LEAST_5;내 덱의 비용이 5 이하인 모든 카드의 비용이 5가 됩니다.
HUMAN;<sprite="icon_human" index=0>
DRAGON_TYPE_TETHRA;테스라
DRAGON_TYPE_OROSEI;오로세이
DRAGON_TYPE_GARUDAN;가루단
DRAGON_TYPE_CELESTE;셀레스트
DRAGON_TYPE_AZARAI;아자라이
TOOLTIP_DISCOVER;<color=white><b>발견:</b></color> 서로 다른 카드 3장 중 하나를 골라 내 손에 넣습니다.
DISCOVER;<b>발견</b>
TOOLTIP_DRAGONS_LAIR_REWARD;{0}에게 {1}번 더 승리하면 받을 수 있습니다.
NEWS_GAGANA_CARDS;가가나 카드 목록
NEWS_GAGANA;가가나 확장팩
GAMEPAD_RIGHT_BUTTONS_LEFT;<sprite="icon_gamepad_button_{gamepad_type}" index=9>
GAMEPAD_RIGHT_BUTTONS_TOP;<sprite="icon_gamepad_button_{gamepad_type}" index=11>
GAMEPAD_TOOLTIP_ACTIVATE;<color=white><b>발동:</b></color> 구조물의 효과를 발동하려면 구조물에 대고 {GAMEPAD_ACTION_CONFIRM}을 누르세요.
MOUSE_TOOLTIP_ACTIVATE;<color=white><b>발동:</b></color> 구조물의 효과를 발동하려면 구조물을 클릭하세요.
NEWS_ADDITIONAL_CONTENT;추가 콘텐츠
