ACCOUNT_DOES_NOT_EXIST;존재하지 않는 계정입니다.
USER_ALREADY_SIGNED_IN;이미 접속중인 유저입니다. 1분 뒤에 다시 시도해보세요. 문제가 지속된다면, support@faeria.com으로 연락해주세요.
USER_NAME_INVALID;유저명에는 알파뱃, 숫자, 하이픈, 언더스코어만을 사용할 수 있습니다.
USER_NAME_RESERVED;유저명이 예약되었습니다.
USER_NAME_SIZE_MAX_INVALID;유저명은 {0}글자 이하여야 합니다.
USER_NAME_SIZE_MIN_INVALID;유저명은 {0}글자 이상이어야 합니다.
USER_NOT_FOUND;유저가 존재하지 않습니다: {0}
WRONG_ACTIVATION_KEY;입력한 활성화 키가 잘못된 것 같습니다.
WRONG_DECK_SIZE;덱을 사용하려면 카드가 {0}장 필요합니다.
WRONG_LEVEL_FOR_ARENA;판도라에 입장하려면 레벨이 {0} 이상이어야 합니다.
WRONG_LEVEL_FOR_RANKED;등급전에 도전하기 위해서는 {0}레벨이 되어야 합니다.
ACCOUNT_IS_BANNED;이 계정은 현재 금지되어 있습니다.
NO_AVAILABLE_LORE_PAGES_LEFT;더이상 설화가 없습니다!
WRONG_LEVEL_FOR_OVERSKY;창공에 도전하기 위해서는 {0}레벨이 되어야 합니다.
WRONG_LEVEL_FOR_PUZZLE;퍼즐에 도전하기 위해서는 {0}레벨이 되어야 합니다.
WRONG_LEVEL_FOR_BOSS;월드 보스에 도전하기 위해서는 {0}레벨이 되어야 합니다.
WRONG_LEVEL_FOR_DRAGONS_LAIR;용의 둥지에 도전하기 위해서는 {0}레벨이 되어야 합니다.
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;해당 플랫폼에 있는 친구들은 접속 중일 때만 나타납니다.
FRIEND_ADDED_SUCCESSFULLY;친구가 추가되었습니다!
ALREADY_FRIENDS;이미 친구인 플레이어 입니다.
