CARD_ALREADY_OWNED_TOOLTIP_TEXT;あなたは既にこのカードを{0}枚持っている。
ENTER_COUPON_CODE;クーポンコードを入力する
ENTER_CARD_NAME;カード名を入力する
ENTER_FRIEND_ID;フレンドサポートIDを入力する
DLC_FEATURES_WELLS_PACK;このパッケージには、現在ゲーム内にある２０以上の井戸が含まれ、リリース時に追加の井戸が含まれます。
DLC_FEATURES_ORBS_PACK;このパッケージには、現在ゲーム内にある３０以上のオーブが含まれ、リリース時に追加のオーブが含まれます。
DLC_FEATURES_CARDBACKS_PACK;このパッケージには、現在ゲーム内にある２０以上のカードバックが含まれ、リリース時に追加のアバターが含まれます。
DLC_FEATURES_AVATARS_PACK;このパッケージには、現在ゲーム内にある５０以上のアバターが含まれ、リリース時に追加のアバターが含まれます。
DLC_FEATURES_PREMIUM_EDITION;- 全ての経験値が２倍！\n- バトルチェストとシャード通常の2倍のレートで獲得します。\n- 追加デッキスロットが１０個\n- プレミアムカードバック\n- ゴールデンファエリアロゴ\n- 装飾品いっぱいのミスティクチェスト５個\n- シャードボーナス
DLC_FEATURES_PUZZLE_ELEMENTS;- ４０個の新たな、かんたんからすごく難しい、パズル。\n- １０個分のミスティクチェスト報酬\n- アビリティアンロックでエレメンツカードバックを習得
DLC_FEATURES_FALL_OF_EVERLIFE;- ４０枚の新しいカードがアンロックされました\n- Corruptキーワードの紹介\n- サブタイプの紹介：ヤク、ラコアと獣！\n- ユニーク装飾品セット
DLC_FEATURES_RESURGENCE;- ４０枚の新しいカードがアンロックされました\n- トライトンサブタイプの紹介\n- ユニーク装飾品セット
DLC_FEATURES_CHRONICLES_OF_GAGANA;- ４０枚の新しいカードがアンロックされました\n- Discoverキーワードの紹介\n- 新しいメカサブタイプ\n- ユニーク装飾品セット
DLC_DESCRIPTION_WELLS_PACK;このDLCは、井戸のすべての装飾品アイテムをアンロックします。これらのアイテムは、ゲーム内の進行を通じてアンロックすることもできます。
DLC_DESCRIPTION_ORBS_PACK;このDLCは、オーブのすべての装飾品アイテムをアンロックします。これらのアイテムは、ゲーム内の進行を通じてアンロックすることもできます。
DLC_DESCRIPTION_CARDBACKS_PACK;このDLCは、カードバックのすべての装飾品アイテムをアンロックします、ゲーム内の進行を通じてアンロックすることもできます。
DLC_DESCRIPTION_AVATARS_PACK;このDLCは、アバターのすべての装飾品アイテムをアンロックします。これらのアイテムは、ゲーム内の進行を通じてアンロックすることもできます。
DLC_DESCRIPTION_PREMIUM_EDITION;ファエリアプレミアムをアンロックしよう！\n\nこのパッケージは、進行状況の加速と排他的なアイテムの混合をお届けします。２倍の経験値、より多くのデッキスロットとスペシャル装飾品などを使用して、ファエリアで過ごす時間を最大限に活用しよう。\n\nファエリアを最大限に活用したいですか？このコンテンツはあなたのためのものです。
DLC_DESCRIPTION_PUZZLE_ELEMENTS;あなたの通常のパズルマスタージャルミーは遠ざかり、エレメンツによる支配を許してしまった。\n\nこのファエリアパズルパックには新たな追加チャレンジパズルが４０個含まれています。\n\nエレメンツを上回ることができますか？\n\n注意：パズルの多くは非常に難しいです！
DLC_DESCRIPTION_FALL_OF_EVERLIFE;カイオス皇帝は永遠の命の樹の果実を食らうことで、オーバースカイに恐ろしい腐敗を解き放ちました。その野望を打ち砕くため、ヤクとラコア達と力を合わせよ。
DLC_DESCRIPTION_RESURGENCE;腐敗は世界中に広がり、すべての良いものや純粋なものを汚染しようとしている。新たなモンスターと邪悪な輩たちが帝国の旗に群がり、戦利品を分かち合いたいと願っています。\n\n大きな損失に苦しんでいるにもかかわらず、反撃することを選ぶ人々の心には希望が咲いています。勝利は、すべての可能性に反して、新たな同盟国が大義に加わることで可能になるようです。
DLC_DESCRIPTION_CHRONICLES_OF_GAGANA;カイオス皇帝が倒されオーバースカイは救われた。\n\n新たに迫る大変動の危機を防ぐため、ガガナーの船員たちは未知の領域へと向かう。\n\n彼らは新しい文明、新しい大陸、新しい生き物に出会い…最後にはガガナーの宝を目にするだろう。
DLC_SHOP_OPEN_SHOP;ストアを開く
DLC_SHOP_CONTENT_TITLE_TEXT;コンテンツ：
INTRO_FOURTH_SENTENCE;しかし正直なところ、我々はどちらのゴッドに祈るべきか?
INTRO_THIRD_SENTENCE;その兵士は誰よりも平和への祈りを捧ぐ。
