1.cardName;ファームボーイ
76.cardText;{aquatic}, {charge|2}\nこのクリーチャーが召喚されてから初めて元のコストが{faeria|7}以上のカードを引いた時、+1/+1と{flying}を得る。
77.cardName;ギャブリアの刑務所長
77.cardText;{gift} - 対象のクリーチャー1体は{protection}を得る。
82.cardName;春のモチ
82.cardText;{gift} - あなたが次に引いたベースコスト{faeria|7} 以上のカードは、コストが{faeria|3}少なくなる。
83.cardName;トライトンの戦士
83.cardText;{jump}
84.cardName;神秘的な獣
84.cardText;{gift} - 対戦相手の井戸と隣接したマスに召喚した場合、+2/+0と{jump}を得る。
85.cardName;鏡合わせの幻想
85.cardText;{gift} - 対象の他のクリーチャー1体は 5/5<b>鏡の幽霊</b>に変身する。
86.cardName;トライトンシェフ
86.cardText;{gift} - <b>トライトンの祝宴</b>を手札に加える。
87.cardName;カエルニンジャ
87.cardText;{jump}, {haste}
88.cardName;カエル変身
88.cardText;対象のクリーチャー1体を{jump}を持つ2/2の<b>カエル</b>に変身させる。
93.cardName;ギャブリアの魔術
93.cardText;対象のクリーチャー1体の攻撃値をライフと同じにする。\nカードを1枚引く。
94.cardName;アーロラーの創造
94.cardText;対象のクリーチャー1体のコピーをあなたの手札に加えて、それのコストを{faeria|5}少なくする。
95.cardName;ダークストーカー
95.cardText;あなたがこのターン中にイベントをプレイしていた場合、これのコストは{faeria|2}少なくなる。
96.cardName;魔力回転
96.cardText;ランダムに選ばれた青のカードを2枚手札に加える。
97.cardName;ギャブリアの貴族
97.cardText;{gift} - <b>ルビーフィッシュ</b>を1体召喚する。これは海に召喚することができる。
102.cardName;アーロラーの弟子
102.cardText;あなたがイベントをプレイするたび、+1/+1を得る。
103.cardName;頑丈な亀
103.cardText;{aquatic}
104.cardName;最初の波 バエル
104.cardText;{aquatic}\n{production} - 隣接する土地を全て{blue}に変える。
105.cardName;ストームスポーン
105.cardText;{last_words} - {faeria|10}を得る。
106.cardName;老いた亀の話
106.cardText;カードを3枚引く。この効果で引かれたクリーチャーのコストは{faeria|2}少なくなる。
107.cardName;波衝突の巨像
107.cardText;このゲーム中に対戦相手の井戸からフェアリアを収穫した回数だけ、コストが{faeria|1}少なくなる。（最少{faeria|4}）
108.cardName;怪夢 オローセイ
108.cardText;{flying}, {charge|2}\n{gift} - 全ての他の味方クリーチャーはコストが{faeria|2}上のクリーチャーに変身する。
109.cardName;ウォーターエレメンタル
109.cardText;{jump}\n{gift} - {blue}を１つ作成する。
110.cardName;ジェムシルクの妖精
110.cardText;{flying}\nこのクリーチャーが召喚されてからあなたが初めてイベントを引いた時、+2/+2と{charge|2}を得る。
111.cardName;沈没した塔
111.cardText;{activate} - 対象の土地を1回移動させる。このストラクチャーに1ダメージを与える。
112.cardName;青空のウィスプ
112.cardText;あなたが対戦相手のフェアリアを収穫するたび、+1/+1を得る。
113.cardName;トライトンの聖域
113.cardText;あなたがフェアリアを収穫するたび、このストラクチャーは1ライフを得る。\n{activate} - このストラクチャーを破壊し、ライフと等しい{faeria|1}を得る。
114.cardName;アーロラーの夢
114.cardText;手札が9枚になるまでカードを引き、その後手札のカード全てのコストを{faeria|0}にする。
115.cardName;スノーストームの槍騎兵
115.cardText;{jump}\nあなたがイベントをプレイするたび、ターン終了時まで+2/+0を得る。（最大+6/+0まで）
116.cardName;ルドアン
116.cardText;このクリーチャーが対戦相手の井戸からフェアリアを収穫するたび、ランダムに選ばれた青のカード1枚を手札に加え、それのコストを{faeria|2}少なくする。
117.cardName;不可思議な卵
117.cardText;このストラクチャーが召喚されてからあなたがレジェンド以外のクリーチャーを初めて引いた時、このストラクチャーは引いたカードのコピーになる。
118.cardName;ギャブリアの支配者
118.cardText;{charge|2}\nこのゲーム中にあなたが元のコストが{faeria|7}以上のカードを2枚以上プレイしている場合、+2/+2を得る。
119.cardName;トライトンのダイバー
119.cardText;{aquatic}, {jump}
120.cardName;推移する潮汐
120.cardText;{options|土地を1つ移動させる。|カードを1枚引く。}\n- 土地を1つ移動させる。\n- カードを1枚引く。
121.cardName;潮汐の預言者
121.cardText;{gift} - このクリーチャーがいる土地を2回まで移動させる。
122.cardName;謙虚な空想
122.cardText;対象のクリーチャー1体の攻撃値とライフを半分にする。（小数点以下切り捨て）
123.cardName;古代の伝令
123.cardText;{gift} - あなたが次に引いた5ライフ以上のクリーチャーは、コストが{faeria|2}少なくなる。
124.cardName;トライトンの祝宴
124.cardText;対象のクリーチャー1体は+1/+1と{jump}を得る。
125.cardName;神話の作り手　アーロラー
125.cardText;{gift} - 対象の他の味方クリーチャー1体の攻撃値とライフを6/6に変える。
126.cardName;波を生み出すもの
126.cardText;対戦相手のターン終了時に、全てのプレイヤーのフェアリアを{faeria|3}にする。
127.cardName;失敗した実験
127.cardText;あなたがこのターンにプレイする次のクリーチャーはコストが{faeria|4}少なくなる。それは即座に破壊される。
128.cardName;アーロラーの奇術
128.cardText;攻撃値が2以下のクリーチャー1体を選びそのコントロールを得る。
129.cardName;カエル召喚
129.cardText;{jump}を持つ2/2の<b>カエル</b>を2体召喚する。
130.cardName;ウインドフォール
130.cardText;{faeria|12}を得る。
131.cardName;サガミ族の戦士
131.cardText;{dash|2}
132.cardName;骨収集家
132.cardText;隣接するマスでクリーチャーが破壊されるたび、+1/+1を得る。
133.cardName;サガミ族の魂縛り
133.cardText;{last_words} - ランダムに選ばれた味方クリーチャー1体は+3/+5を得る。
134.cardName;サガミ族の木立訪問者
134.cardText;{gift} - 他の味方クリーチャー1体を、あなたのコントロールする{green}にテレポートさせてもよい。
135.cardName;古代の獣使い
135.cardText;あなたがライフ5以上のクリーチャーを召喚するたび、それに+1/+1を与える。
136.cardName;ガイアの恩寵
136.cardText;対象のクリーチャー1体は+0/+3を得る。あなたは3ライフを得る。
137.cardName;ティキ族の長
137.cardText;{gift} - 対象のクリーチャー1体は{taunt}を得る。
138.cardName;ブルームスプライト
138.cardText;{last_words} - ランダムに選ばれた緑のカードを1枚手札に加える。それのコストは{faeria|3}少なくなる。
139.cardName;古代樹の仙人
139.cardText;{last_words} - ランダムに選ばれた味方クリーチャー1体は+2/+4を得る。
140.cardName;ティキ族の世話人
140.cardText;{gift} - 対象のクリーチャー1体は+2/+2を得る。
141.cardName;ティキ族の笛吹き
141.cardText;{gift} - 対象のクリーチャー1体は+0/+4を得る。
142.cardName;シャーマンの踊り
142.cardText;対象のクリーチャー1体は+0/+4と{taunt}を得る。
143.cardName;ティキ族のトーテム
143.cardText;毎ターンあなたがターンの最初に召喚するクリーチャーは+1/+1を得る。
144.cardName;憑かれたクマ
144.cardText;このクリーチャーにダメージが与えられるたび、攻撃値を倍にする。
149.cardName;オークの苗木
149.cardText;{last_words} - ランダムに選ばれたあなたの手札の緑のクリーチャー1体は+5/+5を得る。
150.cardName;サイリアのゴーレム
151.cardName;種を蒔くもの
151.cardText;{gift} - ランダムに選ばれた作成可能な隣接するマスに{green}を1つ作成する。
152.cardName;蔦の壁
152.cardText;{taunt}\n{last_words} - {green}をランダムに1つ作成する。
153.cardName;深森のグリズリー
154.cardName;ティキ族の治療者
154.cardText;{gift} - あなたは5ライフを得る。
155.cardName;ルーニンの祭壇
155.cardText;{gift} - {faeria|2}を得る。\n{last_words} - 対戦相手は{faeria|2}を得る。
156.cardName;オークの父
156.cardText;{gift} - あなたがコントロールする{green}の数だけ、+0/+1を得る。
157.cardName;フェアリアツリー
157.cardText;{production} - このストラクチャーは1ライフを得る。\nライフが5以上になった時このストラクチャーは破壊され、{faeria|10}を得る。
158.cardName;生きている柳
158.cardText;{taunt}
159.cardName;野生の繁栄
159.cardText;ランダムに選ばれた作成可能なマスに{green}を1つ作成する。
168.cardName;太古の巨像
168.cardText;あなたがコントロールする特殊な土地の数につき、コストが{faeria|1}少なくなる。（最少{faeria|6}）
169.cardName;野生の霊魂　テスラ
169.cardText;{flying}, {charge|2}\n{gift} - 対象のクリーチャー1体は+5/+5を得る。
170.cardName;ウッドエレメンタル
170.cardText;{taunt}\n{gift} - {green}を1つ作成する。
171.cardName;フラワーシルクの妖精
171.cardText;{flying}\nこのクリーチャーが召喚されてからあなたが初めてイベントを引いた時、+1/+4と{taunt}、{charge|2}を得る。
172.cardName;伸び過ぎた塔
172.cardText;{activate} - 対象のクリーチャー1体は+1/+1を得る。このストラクチャーに1ダメージを与える。
173.cardName;枯れないウィスプ
173.cardText;あなたが{green}を作成するたび、+1/+1を得る。
174.cardName;再生の精霊
174.cardText;他の味方クリーチャーが破壊されるたび、ランダムに選ばれたあなたの手札のクリーチャー1体に+1/+1を与える。
175.cardName;老木の抱擁
175.cardText;対象のクリーチャー1体は+2/+4を得る。
176.cardName;ルーニンの使者
176.cardText;{jump}\nこのクリーチャーがゴッドを攻撃するたび、ランダムに選ばれた緑のクリーチャー1体を手札に加える。それはコストが{faeria|2}少なくなる。
177.cardName;バーダランの力
178.cardName;木立の守護者
178.cardText;{taunt}
179.cardName;森の世界 タラム
179.cardText;{taunt}\n{last_words} - 草原と海を全て森にする。
180.cardName;嘆き悲しむ神像
180.cardText;あなたにダメージが与えられるたび、{faeria|1}を得る。
181.cardName;大地創造
181.cardText;色を{options|あなたの土地を1つ{green}に変える。|あなたの土地を1つ{blue}に変える。|あなたの土地を1つ{red}に変える。|あなたの土地を1つ{yellow}に変える。}する。\nあなたがコントロールしている土地を1つ選択した色に変え、カードを1枚引く。
182.cardName;野生の復讐者
182.cardText;{taunt}, {dash|2}\nこのゲーム中にあなたがダメージを受けた回数だけ、+0/+1を得る。
183.cardName;古代のイノシシ
183.cardText;{dash|2}\nライフ5以上のクリーチャーをコントロールしている場合、コストは{faeria|2}少なくなる。
184.cardName;ルーニンの導き
184.cardText;対象に以下の効果を与える。\n- クリーチャー: +2/+2\n- ゴッド: 5ライフを得る
185.cardName;空腹の声
185.cardText;{gift} - 隣接する全ての味方クリーチャーを破壊する。破壊したクリーチャーのライフの合計値分、このクリーチャーは攻撃値とライフを得る。
186.cardName;実生
186.cardText;{production} - このクリーチャーのライフが5未満の時、+1/+1を得る。
187.cardName;万物の声　エラドン
187.cardText;{last_words} - あなたの手札とデッキの全てのクリーチャーに+1/+1を与える。
188.cardName;森の肥料
188.cardText;対象の味方クリーチャーを破壊し、そのライフと等しいフェアリアを得る。カードを1枚引く。
189.cardName;ルーニンの霊気
189.cardText;ランダムに選ばれた緑のクリーチャー1体を手札に加える。それに+6/+6を与える。
190.cardName;慈悲無き者　ルーニン
190.cardText;{dash|2}\n{last_words} - ターン終了時に手札に戻り、+2/+2を得る。この効果は累積する。
191.cardName;地下組織の盗賊
191.cardText;{combat} - {faeria|2}を得る。
192.cardName;コボルドの大将軍
192.cardText;{combat} - ランダムに選ばれた味方クリーチャー1体に+3/+0を与える。
193.cardName;コボルドの戦争獣
194.cardName;鋼の贈り物
194.cardText;対象のクリーチャー1体に+3/+0を与える。そのクリーチャーが<b>戦闘</b>を持っている場合、代わりに+3/+3を与える。
195.cardName;地下組織のボス
195.cardText;{combat} - {faeria|2}を得る。
196.cardName;建築家
196.cardText;{gift} - 対象のストラクチャー1体に2ライフを与える。
197.cardName;高揚したオーガ
197.cardText;{gift} - 対戦相手のライフが10以下の場合、+2/+2を得る。
198.cardName;コボルドの兵舎
198.cardText;隣接する味方のクリーチャーは+2/+0を持つ。
199.cardName;嫌悪の種
199.cardText;このゲーム中にあなたが召喚したライフより攻撃値が高いクリーチャー1体につき、コストが{faeria|1}少なくなる。
200.cardName;オーガの闘士
200.cardText;{taunt}
201.cardName;大胆な交渉人
201.cardText;{gift} - ランダムに選ばれたあなたの手札1枚のコストを{faeria|7}少なくする。
202.cardName;血の暴君　サイファー
202.cardText;このクリーチャーが敵クリーチャーを破壊した時、破壊したクリーチャーの元の攻撃値とライフの数値分、攻撃値とライフを得る。
203.cardName;野蛮なオーガ
204.cardName;オーガの王　クログ
204.cardText;{combat} - ランダムに選ばれたあなたの手札1枚のコストを{faeria|7}少なくする。
205.cardName;斧を砥ぐもの
205.cardText;{gift} - 対戦相手の井戸に隣接するマスに召喚した場合、+1/+1を得る。
206.cardName;巨岩を投げるオーガ
206.cardText;{ranged_attack}\nこのクリーチャーが攻撃した場合、攻撃した敵に隣接する全ての敵にもダメージを与える。
211.cardName;シェディムの粗暴者
211.cardText;{combat} - 対戦相手に2ダメージを与える。
212.cardName;血を歌うもの
212.cardText;敵クリーチャーが破壊されるたび、対戦相手に1ダメージ与える。
213.cardName;サイファーの雑兵
213.cardText;{last_words} - 対戦相手に2ダメージを与える。
214.cardName;炎を吐く鬼
214.cardText;{gift} - 対象の敵1体に1ダメージを与える。
215.cardName;恐怖の王
215.cardText;ゴッドにダメージが与えられるたび、それと等しい攻撃値を得る。
216.cardName;シェディムの邪魔者
216.cardText;{gift}­ - 他にライフより攻撃値が高いクリーチャーをコントロールしている場合、+2/+2を得る。
217.cardName;ブラッドオベリスク
217.cardText;敵クリーチャーが戦闘で破壊されるたび、対戦相手に1ダメージを与え、あなたは{faeria|1}を得る。
218.cardName;恐ろしい護衛
218.cardText;{taunt}\n{combat} - 対戦相手に2ダメージを与える。
223.cardName;爆弾投げ
223.cardText;{gift} - 対象の隣接するクリーチャーかストラクチャー1体に4ダメージを与える。
224.cardName;大砲運搬人
224.cardText;{gift} - 直線状の任意の土地に4/2のメカを発射する。
225.cardName;フレイムバースト
225.cardText;対象に3ダメージを与える。
226.cardName;火炎放射器
226.cardText;{ranged_attack}\nこのクリーチャーがゴッドを攻撃するたび、全ての敵クリーチャーに1ダメージを与える。
231.cardName;火山の巨像
231.cardText;{ranged_attack}\nこのゲーム中にあなたが対戦相手にダメージを与えたターンの数だけ、コストが{faeria|1}少なくなる。（最少{faeria|5}）
232.cardName;山の心 ガルダン
233.cardName;ファイアーエレメンタル
233.cardText;{gift} - {red}を1つ作成する。
234.cardName;フレイムシルクの妖精
234.cardText;{flying}\nこのクリーチャーが召喚されてからあなたが初めてイベントを引いた時、+3/+1と{ranged_attack}を得る。
235.cardName;遺棄された塔
235.cardText;{activate} - 対象に1ダメージを与える。このストラクチャーに1ダメージを与える。
236.cardName;ブラッドファイアウィスプ
236.cardText;敵クリーチャーが破壊されるたび、+2/+1を得る。
237.cardName;グランドシェイカー
237.cardText;{gift} - 全ての敵（ゴッドを含む）に1ダメージを与える。
238.cardName;火をもたらす者
238.cardText;あなたがライフより攻撃値が高いクリーチャーを召喚するたび、+1/+1を得る。（デッキと手札の中にある間）
239.cardName;灼熱のサラマンダー
239.cardText;{gift} - 隣接する敵全てに2ダメージを与える。
240.cardName;血石の妖精
240.cardText;あなたが対戦相手の井戸からフェアリアを収穫するたび、対戦相手に1ダメージを与える。
241.cardName;サイファーの怒り
241.cardText;対象のクリーチャー1体に2ダメージを与える。そのクリーチャーが破壊された場合、そのコントローラーに2ダメージを与える。
242.cardName;貪る植物
242.cardText;{taunt}\n{production} - 隣接する全ての敵クリーチャーに2ダメージを与える。
243.cardName;ファイアーボム
243.cardText;対象のクリーチャーかストラクチャー1体に4ダメージ与える。
244.cardName;ファイアーストーム
244.cardText;マスを1つ指定する。そのマスと隣接するマスにある全ての敵クリーチャーに3ダメージを与える。
245.cardName;バトルレイジャー
245.cardText;このクリーチャーにダメージが与えられるたび、それと等しいダメージを対戦相手に与える。
246.cardName;使い古されたゴーレム
246.cardText;対戦相手がクリーチャーを召喚するたび、このクリーチャーに1ダメージを与える。
247.cardName;オーガの踊り
247.cardText;ランダムに選ばれたあなたの手札1枚のコストを{faeria|7}少なくする。
248.cardName;隕石
248.cardText;マスを1つ指定する。そのマスと隣接するマスにある全ての土地とクリーチャー、ストラクチャーを破壊する。
249.cardName;赤い悪魔
249.cardText;{gift} - {faeria|5}を得る。
250.cardName;原初の炎　イグナス
250.cardText;パワーホイールから+{faeria|1}を選ぶたび、合計4ダメージを敵へランダムに与える。
251.cardName;オードリムの僧兵
251.cardText;{haste}\nこのクリーチャーがゴッドを攻撃するたび、カードを1枚引く。
252.cardName;カリムの祈願
252.cardText;カードを1枚引き、{faeria|2}を得る。このターンにゴッドを攻撃した場合のみプレイでき、1ターンに1回しかプレイできない。
253.cardName;カリムの信奉者
253.cardText;{haste}\nゴッドに対して+2/+0を得る。
254.cardName;オードリムの院僧
254.cardText;{dash|1}\nゴッドに対して+3/+0を得る。
255.cardName;オードリムの射手
255.cardText;{ranged_attack}\n味方クリーチャーがゴッドを攻撃するたび、{faeria|1}を得る。
256.cardName;オードリムの狂信者
256.cardText;{jump}\n{gift} - 対象の味方クリーチャー1体を移動させてもよい。
257.cardName;砂漠の竜巻
257.cardText;対象のクリーチャー1体をあなたがコントロールする{yellow}へテレポートさせる。
258.cardName;ウインドゲート
258.cardText;隣接するマスにクリーチャーを召喚することができる。\n{activate} - 移動する。
259.cardName;邪悪な魂
259.cardText;{gift} - あなたは対戦相手から2ライフを奪う。
260.cardName;空の天才 カリム
260.cardText;{flying}, {charge|2}\nこのクリーチャーがゴッドを攻撃した時、<b>カリムの信奉者</b>を1枚手札に加える。それのコストを{faeria|0}にする。
261.cardName;畜殺する影
262.cardName;デスウィッシュグール
262.cardText;{last_words} - {faeria|2}を得る。
263.cardName;最後の悪夢
263.cardText;対象のクリーチャー1体を破壊する。
264.cardName;霊魂条約
264.cardText;{faeria|2}を得る。あなたに2ダメージを与える。
265.cardName;霊魂の祭壇
265.cardText;{activate} - あなたに2ダメージを与える。6/1 <b>畜殺する影</b>をあなたの手札に加え、それのコストを{faeria|2}にする。
266.cardName;シェータンデーモン
266.cardText;{production} - あなたに2ダメージを与える。
267.cardName;カリムの空の護衛
267.cardText;{flying}\n味方クリーチャーの隣接するマスに召喚できる。
268.cardName;カリムのトレーニング
268.cardText;対象のクリーチャー1体は+1/+0と{flying}、{charge|2}を得る。
273.cardName;風の兵士
273.cardText;{haste}, {charge|3}\nこのクリーチャーはターン終了時に破壊される。
274.cardName;ドラッカーの飛空隊長
274.cardText;{flying}\nあなたが{flying}を持つクリーチャーを引くたび、それに+1/+1を与える。
275.cardName;風をまとう使者
275.cardText;{flying}\n他の飛行を持つクリーチャーをコントロールしている場合、+2/+0を持つ。
276.cardName;シェータンスカベンジャー
276.cardText;このターン中にゴッドを攻撃していた場合、コストが{faeria|2}少なくなる。
277.cardName;デューンドレイク
277.cardText;{flying}, {charge|2}\nフェアリアを収穫できない。
278.cardName;風をまとう覇者
278.cardText;{flying}, {charge|5}\n{gift} - 対象のクリーチャー1体を移動する。
287.cardName;暴風の巨像
287.cardText;{dash|3}\nこのゲーム中にあなたがイベントをプレイした回数だけ、コストが{faeria|1}少なくなる。（最少{faeria|5}）
288.cardName;砂漠の怒り　アザライ
288.cardText;{flying}, {charge|2}\n{gift} - 全ての敵クリーチャーから攻撃値を2吸収する。
289.cardName;エアーエレメンタル
289.cardText;{flying}\n{gift} - {yellow}を１つ作成する。
290.cardName;サンシルクの妖精
290.cardText;{flying}\nこのクリーチャーが召喚されてからあなたが初めてイベントを引いた時、+3/+1と{charge|3}を得る。
291.cardName;神聖な塔
291.cardText;{activate} - ターン終了時まで対象のクリーチャー1体に{charge|3}を与える。このストラクチャーに1ダメージを与える。
292.cardName;ウインドウィスプ
292.cardText;{flying}, {charge|3}\n味方クリーチャーがゴッドを攻撃するたび、+3/+0を得る。
293.cardName;フラッシュウィンド
294.cardName;金の鳥小屋
294.cardText;全ての飛行を持つ味方クリーチャーは+1/+0を持つ。
295.cardName;盲信した聖戦士
295.cardText;{charge|2}\n味方クリーチャーがゴッドを攻撃した回数だけ、+1/+1を得る。（デッキと手札の中にある間）
296.cardName;ケルドランの兵士
297.cardName;廃棄物の王
297.cardText;{gift} - 対象の他の味方クリーチャー1体を破壊してもよい。そうした場合{faeria|3}を得る。
298.cardName;シェータンの暗殺者
298.cardText;{deathtouch}\n{gift} - 対象の他の味方クリーチャー1体を破壊してもよい。そうした場合、{protection}を得る。
299.cardName;悪魔の世話人
299.cardText;{gift} - 対象の他の味方クリーチャー1体を破壊してもよい。そうした場合、その場所に{flying}を持つ5/2の<b>デーモンウィング</b>を召喚する。
300.cardName;デスウォーカー
300.cardText;{deathtouch}\nあなたはこのクリーチャーを召喚するために、追加のコストとしてクリーチャー1体を破壊する必要がある。
301.cardName;忘却への誓い
301.cardText;対象の味方クリーチャー1体を破壊する。{charge|3}を持つ6/3の<b>忘却のライダー</b>をその場所に召喚する。
302.cardName;シェータンの怪物
302.cardText;{charge|2}\n味方クリーチャーが破壊されるたび、そのクリーチャーの攻撃値を吸収する。
303.cardName;すべてから愛されるもの アイオナ
303.cardText;{flying}\n攻撃されない。
304.cardName;デーモンウィング
304.cardText;{flying}
305.cardName;忘却のライダー
305.cardText;{charge|3}
306.cardName;霊魂吸収
306.cardText;あなたはクリーチャー1体のライフを2吸収する
307.cardName;チョーキングサンド
307.cardText;対象の攻撃値が3以下のクリーチャーを破壊する。
308.cardName;忘却への扉　ドゥームゲート
308.cardText;このストラクチャーのライフが13以上になった時、これを破壊し<b>オストレゴス</b>をこの場所に召喚する。\n{activate} - 対象の味方クリーチャー1体を破壊する。カードを1枚引き、このストラクチャーは2ライフを得る。
309.cardName;暴風の射手
309.cardText;{ranged_attack}\nあなたがイベントをプレイするたび、ターン終了時まで+1/+0を得る。
310.cardName;暴風の突撃者
310.cardText;{charge|2}\nあなたがイベントをプレイするたび、ターン終了時まで+2/+0を得る。（最大+6/+0まで）
311.cardName;頂点捕食者
311.cardText;{jump}\n{gift} - 対象のクリーチャー1体の攻撃値とライフと同数の攻撃値とライフを得る。
312.cardName;氷岩ビヒモス
312.cardText;{taunt}, {protection}
313.cardName;双子の魂
313.cardText;{flying}\n味方クリーチャーに隣接するマスに召喚できる。\n{gift} - <b>双子の魂</b>を召喚する。
314.cardName;クラックソーンビースト
