ACCOUNT_DOES_NOT_EXIST;このアカウントがありません。
GAME_CANCELED_PLAYER_DID_NOT_REPLY_IN_TIME;あなたのゲームはキャンセルされました（プレーヤーは時間内に返信しませんでした）。
GAME_CANCELED_SERVER_DID_NOT_REPLY_IN_TIME;あなたのゲームはキャンセルされました（サーバーは時間内に応答しませんでした）。
GAME_CANCELED_SERVER_STOPPING;ゲームがキャンセルされました（サーバーが停止しています）。
GAME_CANCELED_VERSION;クライアントのバージョンが最新でないため、ゲームがキャンセルされました。
INVALID_HIGHLANDER_DECK_DUPLICATE;ハイランダーデッキは無効です。2枚以上の同じカードが入れません。
INVALID_STEAM_KEY;スチームキーは無効です。
LEGENDARY_CARD_LIMITED;デッキにはレジェンドカードを各1枚まで入れることができます。
MAIL_ALREADY_EXISTS;そのEメールアドレスはすでに存在しています。
MARKET_ITEM_ALREADY_OWNED;このアイテムはもう持っています。
NEW_BOSS_MISSION_UNLOCKED;新しいボスミッションをアンロックしました！
NO_ACTIONS_LEFT_RETRYING_PUZZLE;もう指し手が終わりました。再試行してね…
ORB_DIED_RETRYING_PUZZLE;私はあなたに勝ちました。再試行してね…
PAUSE_LIMIT_REACHED;もうゲームを一時停止することはできません（{0}ポーズの制限に達しました）。
PICK_TOURNAMENT_MATCHES_FORMAT;トーナメントマッチのフォーマットを選んでください。
PLAYER_LEFT_GAME;プレーヤー{0}がゲームから退出しました。
RECIPIENT_IS_OFFLINE;{0}はオフラインです。
RECRUITER_SET;招待者が設定されました！
SELECT_A_DECK;デッキを選ばなければいけません。
SERVER_BUSY_TRY_AGAIN;サーバーが不調のようです。少ししたらまた試してみてください
SERVER_COULD_NOT_FIND_GAME;サーバーはリクエストしたゲームを見つけませんでした。
SERVER_SHUTDOWN;{0}分でサーバーが更新されます。 ゲーム終了後に再接続する必要があるかもしれません。
SERVER_SHUTDOWN_CANCELED;今、サーバーはシャットダウンしていません。
SERVER_SHUTDOWN_WARNING;{0}分でサーバーが更新されます。 キューは{1}分で無効になります。
SPECTATED_PLAYER_LEFT_GAME;あなたが観戦していたプレイヤーがゲームから出ました。
STEAM_FINALISE_TXN_FAILED;取引はまだ確定していません
STEAM_ID_NOT_FOUND;steam IDを見つけませんでした。
STEAM_INIT_TXN_FAILED;取引を初期化できませんでした。
STEAM_PRICE_CHANGED;このアイテムの値段が変化しました。もう一度試してください。
STEAM_USER_INFO_NOT_FOUND;スチームのユーザ情報を検索できませんでした。
UPDATE_CLIENT_TO_PLAY;プレイするためには、クライアントをアップデートする必要があります。
UPGRADE_ACCOUNT_FAILED;アカウントのグレードアップを失敗しました。
USER_ALREADY_SET_YOU_AS_RECRUITER;{0}はもう招待者に設定されました。
USER_ALREADY_SIGNED_IN;ユーザーはもうサインインしています。再びトライしてください。もし問題が続いたら、support@faeria.comに連絡してください。
USER_NAME_INVALID;ユーザー名は文字や数字やハイフンやアンダーバーだけを使えます。
USER_NAME_RESERVED;ユーザー名は予約しました。
USER_NAME_SIZE_MAX_INVALID;ユーザー名の最長は{0}。
USER_NAME_SIZE_MIN_INVALID;ユーザー名の最短は{0}。
USER_NOT_FOUND;ユーザー「{0}」が存在していません。
WRONG_ACTIVATION_KEY;入力した有効化のキーは正しくないです。
WRONG_DECK_SIZE;あなたのデッキはカードがあと{0}枚が必要です
WRONG_LEVEL_FOR_ARENA;パンドラに入るには{0}レベルにならなければならない
WRONG_LEVEL_FOR_RANKED;ランク戦をプレイするには{0}レベルにならなければならない。
ACCOUNT_IS_BANNED;このアカウントは一時的に凍結されています。
NO_AVAILABLE_LORE_PAGES_LEFT;取得可能な伝承の頁が残っていません！
WRONG_LEVEL_FOR_OVERSKY;オーバースカイをプレイするには{0}レベルにならなければならない。
WRONG_LEVEL_FOR_PUZZLE;パズルをプレイするには{0}レベルにならなければならない。
WRONG_LEVEL_FOR_BOSS;ワールドボスをプレイするには{0}レベルにならなければならない。
WRONG_LEVEL_FOR_DRAGONS_LAIR;ドラゴンの巣をプレイするには{0}レベルにならなければならない。
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;そのプラットフォームのフレンドは、接続されている場合にのみ表示されます。
FRIEND_ADDED_SUCCESSFULLY;フレンドが追加されました！
ALREADY_FRIENDS;あなたはすでにそのプレイヤーのフレンドです。
