ACTIVATE;<b>活性</b>
DAILY_QUEST_WIN_HIGHLANDER_GAMES;ハイランダーデッキで{0}勝する。（ハイランダーデッキとは、30枚の別種のカードを使ったデッキのことです。）
DAILY_QUEST_WIN_PANDORA_GAMES;パンドラモードで{0}回勝利する
DAILY_QUEST_WIN_PVP_GAMES;カジュアル、ランク、マルチプレイヤーパンドラで{0}回勝利する
DASH;<b>進軍{0}</b>
DEATHTOUCH;<b>接死</b>
DIVINE;<b>神聖</b>
EMOTE_FUGORO_LASTWORDS_NAME;勝利はいつもお客様のものです。
EMOTE_FUGORO_OPENING_NAME;いらっしゃいませ！
EMOTE_FUGORO_THINKING_NAME;どの選択肢も魅力的だな…
EMOTE_KHALIM_LASTWORDS_NAME;よく戦った。 私は降伏する。
EMOTE_KHALIM_OPENING_NAME;野生の風を受け入れろ。
EMOTE_KHALIM_THINKING_NAME;方法はあるはずだ...
EMOTE_KROG_LASTWORDS_NAME;行かないと。 お腹が空いたよ！
EMOTE_KROG_OPENING_NAME;王の歓声が！
EMOTE_KROG_THINKING_NAME;...おお！俺のターンだ！
EMOTE_MAGDA_LASTWORDS_NAME;素晴らしい。降参よ。
EMOTE_MAGDA_OPENING_NAME;私の宮殿へようこそ。
EMOTE_MAGDA_THINKING_NAME;んん...時間をかけるとしましょう。
EMOTE_RUUNIN_LASTWORDS_NAME;勝利を楽しめ。
EMOTE_RUUNIN_OPENING_NAME;狩人はここに！
EMOTE_RUUNIN_THINKING_NAME;どうするか...
EVENT;イベント
FAERIA;<sprite="icon_faeria_cost" index={0}>
FLYING;<b>飛行</b>
GIFT;<b>生誕</b>
GREEN;<sprite="icon_green" index=0>
HASTE;<b>速攻</b>
ICON_COIN;<sprite="icon_coin" index=0><b>{0}</b>
ICON_GEM;<sprite="icon_gem" index=0><b>{0}</b>
IGNORE;無視
JUMP;<b>跳躍</b>
LANGUAGE_NAME_NATIVE;英語
LAST_WORDS;<b>遺言</b>
OPTIONS;<b>選択</b>
PRODUCTION;<b>生産</b>
PROTECTION;<b>加護</b>
QUEST_LANE_ACT_AURORA_NAME;アーロラー
QUEST_LANE_ACT_FUGORO_NAME;フーゴロ
QUEST_LANE_ACT_HOAKA_NAME;ホアーカ
QUEST_LANE_ACT_JALMYR_01_NAME;ジャルミー Ⅰ
QUEST_LANE_ACT_JALMYR_02_NAME;ジャルミー Ⅱ
QUEST_LANE_ACT_JALMYR_03_NAME;ジャルミー Ⅲ
QUEST_LANE_ACT_JALMYR_04_NAME;ジャルミー Ⅳ
QUEST_LANE_ACT_MAGDA_NAME;マグダー
QUEST_LANE_ACT_RAPALA_NAME;ラパラー
QUEST_LANE_ACT_SEIFER_NAME;サイファー
QUEST_LANE_ACT_SHARRA_NAME;シャーラー
QUEST_LANE_ACT_TRAINING_NAME;トレーニング
RANGED_ATTACK;<b>遠隔攻撃</b>
RED;<sprite="icon_red" index=0>
SLAM;<b>強打</b>
SUBTYPE_YAK;ヤク
SUBTYPE_TRITON;トライトン
SUBTYPE_BEAST;ビースト
SUBTYPE_MECHA;メカ
SUBTYPE_RAKOAN;ラコア族
SWALLOW;<b>嚥下</b>
STRUCTURE;ストラクチャー
TAUNT;<b>警衛</b>
TOOLTIP_AQUATIC;<color=white><b>水生:</b></color> 池と海だけ動ける。
TOOLTIP_CHARGE;<color=white><b>襲撃 {0}:</b></color> 一直線に{0}スペースを動ける。
TOOLTIP_COMBAT;<color=white><b>戦闘:</b> このクリーチャーが戦闘する時、効果が発動する。
TOOLTIP_CONVOKE;<color=white><b>召集:</b>このクリーチャーの隣の土地にクリーチャーを召喚できる、相手の土地でも召喚できる。
TOOLTIP_CORRUPT;<color=white><b>汚染：</b></color>このクリーチャーをプレイした次のターン以降、初めて相手の土地に侵入した時に効果を発動する。
TOOLTIP_DARK_RITUAL;<color=white><b> 暗黒の儀式:</b> このカードをプレイする時、クリーチャーを1体生け贄に捧げられる。もし捧げたら、恩恵を受ける。
TOOLTIP_DASH;<color=white><b>進軍{0}:</b></color>召喚した時、後に書いてある数字の分だけ移動できる。
TOOLTIP_DEATHTOUCH;<color=white><b>接死:</b>戦闘でダメージを与えた敵クリーチャーを破壊する。
TOOLTIP_DIVINE;<color=white><b>神聖:</b></color>イベントや能力の対象にならない。
TOOLTIP_FLYING;<color=white><b>飛行:</b></color>海の上も動ける。
TOOLTIP_GIFT;<color=white><b>生誕:</b></color>手札から召喚した時、効果が発動する。
TOOLTIP_HASTE;<color=white><b>速攻:</b></color>召喚したターンに行動することができる。
TOOLTIP_JUMP;<color=white><b>跳躍:</b></color>2スペース動くことができ、障害は飛び越えることができる。
TOOLTIP_LAST_WORDS;<color=white><b>遺言:</b></color>破壊されたとき、効果が発動する。
TOOLTIP_OPTIONS;<color=white><b>選択:</b></color>プレイした時、複数の効果のうち一つを選んで発動する。
TOOLTIP_PRODUCTION;<color=white><b>生産:</b></color>あなたのターンのスタート時、効果が発動する。
TOOLTIP_PROTECTION;<color=white><b>加護:</b></color>クリーチャーが受けるダメージを一度だけ無効化する。
TOOLTIP_RANGED_ATTACK;<color=white><b>遠隔攻撃:</b></color> 一直線にいる敵にダメージを与えることができる。１ターンの間に攻撃と移動は同時にできない。
TOOLTIP_SWALLOW;<color=white><b>嚥下:</b></color> これの中にクリーチャーを閉じ込める。これが破壊された場合、閉じ込めたクリーチャーを解放する。(他のクリーチャーを嚥下しているクリーチャーを嚥下することはできない。)
TOOLTIP_TAUNT;<color=white><b>警衛:</b></color>隣接する敵クリーチャーはそのクリーチャーを攻撃する以外の行動ができない。
TOOLTIP_WILD;<color=white><b>ワイルド：</b></color>土地条件が全てワイルドのカードは、どの色の土地でも召喚することができる。
WILD;<b>ワイルド</b>
YELLOW;<sprite="icon_yellow" index=0>
NEWS_DEFENDING;ラッシュから防御する
NEWS_FAERIA_TALES;フェアリア物語：1.0への道
NEWS_OVERSKY;拡張版：オーバースカイが登場
NEWS_PATCH_ANALYSIS;バランスパッチ分析
NEWS_PATCH_NOTES;パッチノート
NEWS_RECRUIT_FRIEND;友達を招待する
NEWS_STEAM_NEWS;限定：フェアリアスチームパック
NEWS_WAR_EFFORT;『ウォー・エフォート』に参加する
NEWS_WELCOME;フェアリアアカデミー
DAILY_QUEST_1400_NAME;伝承の頁
DAILY_QUEST_PLAY_CARD_3_TIMES;{0}を3回プレイする。
NEWS_B2P_RELEASE;新しい機能と通貨の変更点
NEWS_FOE_DLC;拡張版 : フォールオブエバーライフ
NEWS_PREMIUM_DLC;プレミアムアップグレード
NWILD;<sprite="icon_wild_cost" index={0}>
NEWS_THE_HUB;ハブ（公式コミュニティ）
NEWS_RESURGENCE_CARDS;リサージェンスのカード
NEWS_RESURGENCE;拡張版 : リサージェンス
NYELLOW;<nobr><b>{0}</b><sprite="icon_yellow" index=0></nobr>
NRED;<nobr><b>{0}</b><sprite="icon_red" index=0></nobr>
NHUMAN;<nobr><b>{0}</b><sprite="icon_human" index=0></nobr>
NGREEN;<nobr><b>{0}</b><sprite="icon_green" index=0></nobr>
NBLUE;<nobr><b>{0}</b><sprite="icon_blue" index=0></nobr>
MUTAGEN_SETUP_TETHRA_LAND_4;竜は5コスト、5ワイルドコストの<b>テスラ/b>を手札に持った状態でゲームを開始します。
MUTAGEN_SETUP_OROSEI_LAND_4;竜は5コスト、5ワイルドコストの<b>オローセイ</b>を手札に持った状態でゲームを開始します。
MUTAGEN_SETUP_MONO_COLOR_COSTS_MORE;一つしか色を持たないクリーチャーのコストは2増えます。
MUTAGEN_SETUP_HARVEST_COSTS_2_LIFE;あなたのクリーチャーがフェアリアを収穫するたび、、そのクリーチャーには2ダメージが与えられます。
MUTAGEN_SETUP_GARUDAN_LAND_4;竜は5コスト、5ワイルドコストの<b>ガルダン</b>を手札に持った状態でゲームを開始します。
MUTAGEN_SETUP_FAERIA_LIMITED_TO_6;あなたのフェアリアは7以上になりません。
MUTAGEN_SETUP_EVERYONE_IS_SHOZEN;竜のコントロールするクリーチャーは、あなたのクリーチャーを戦闘で破壊する時、代わりにそのクリーチャーを嚥下しコントロールを奪います。
MUTAGEN_SETUP_EVENTS_COST_MORE;あなたのイベントのコストは2増えます。
MUTAGEN_SETUP_ENEMIES_HAVE_DEATHTOUCH;竜のコントロールするクリーチャーは接死を持っています。
MUTAGEN_SETUP_EMPOWER_ENEMIES_WHEN_YOUR_CREATURES_DIE;あなたのクリーチャーが破壊されるたび、竜のコントロールするすべてのクリーチャーに+1/+1が与えられます。
MUTAGEN_SETUP_DRAW_TWICE_ON_PLAY;あなたがカードをプレイするたび、あなたはカードを2枚ドローします。
MUTAGEN_SETUP_DAMAGE_ON_PLAYED_CREATURES;あなたがクリーチャーを召喚するたび、そのクリーチャーには2ダメージが与えられます。
MUTAGEN_SETUP_CREATE_RANDOM_AI_LANDS;ゲーム開始時、竜は3つの草原を作成します。
MUTAGEN_SETUP_CREATURES_COST_MORE;あなたのクリーチャーのコストは2増えます。
MUTAGEN_SETUP_AZARAI_LAND_4;竜は5コスト、5ワイルドコストの<b>アザライ</b>を手札に持った状態でゲームを開始します。
MUTAGEN_SETUP_ALL_CARDS_COST_AT_LEAST_5;あなたのデッキの中のコスト5以下のクリーチャーは、すべてコスト5になります。
HUMAN;<sprite="icon_human" index=0>
DRAGON_TYPE_TETHRA;テスラ
DRAGON_TYPE_OROSEI;オローセイ
DRAGON_TYPE_GARUDAN;ガルダン
DRAGON_TYPE_CELESTE;チェレステ
DRAGON_TYPE_AZARAI;アザライ
TOOLTIP_DISCOVER;<color=white><b>発見：</b></color>3枚のカードの中から1枚を選び、それを手札に加える。
DISCOVER;<b>発見</b>
TOOLTIP_DRAGONS_LAIR_REWARD;この報酬をアンロックするために、{0}をあと{1}回打ち負かそう！
NEWS_GAGANA_CARDS;ガガナーのカード
NEWS_GAGANA;拡張版 : ガガナー
GAMEPAD_RIGHT_BUTTONS_LEFT;<sprite="icon_gamepad_button_{gamepad_type}" index=9>
GAMEPAD_RIGHT_BUTTONS_TOP;<sprite="icon_gamepad_button_{gamepad_type}" index=11>
GAMEPAD_TOOLTIP_ACTIVATE;<color=white><b>有効化:</b></color> {GAMEPAD_ACTION_CONFIRM}.を押すとその効果が有効になります。
MOUSE_TOOLTIP_ACTIVATE;<color=white><b>活性:</b></color> この構造をクリックして、効果を有効にします。
NEWS_ADDITIONAL_CONTENT;追加のコンテンツ
