LOADING_HINT_QUEST_0;助言：毎ターン{faeria|3}を得ます。
LOADING_HINT_RANDOM_HEAL_ORB_MAX_20;助言：あなたは20を超えてライフを得ることはできません。
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;助言：ソロコンテンツをクリアすることが、ゲームに慣れる最善の方法です。
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;助言：赤は火と戦争の色です。
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;助言：青は変身とトリッキーな色です。
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;助言：緑は成長と野生の捕食者の色です。
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;助言：黄色は風とスピードの色です。
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;助言：他のクリーチャーを通って襲撃することはできません。
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;助言：敵の水生クリーチャーを妨害する土地を作ろう。
LOADING_HINT_RANDOM_DAILY_QUEST_1;助言：バトルチェストを得る最も効率的な方法は、毎日ログインしてデイリークエストを完了することです。
LOADING_HINT_RANDOM_THE_HUB;あなたは知っていましたか？faeria.com/the-hubの公式サイトで、プレイヤーはガイドを公開しています
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;助言：ドラゴンカードバックをアンロックするには、ソロモードをすべて完了してください。
LOADING_HINT_RANDOM_PANDORA_ECONMY;助言：パンドラが覚醒すると、すべてのフェアリアの井戸は破壊されますが、プレイヤーは毎回2倍のフェアリアを得ます。
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;助言：警衛を持つクリーチャーは、自分のゴッドを守る最善の方法です。
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;助言：ゲーム序盤には土地を作りましょう。カードを+1枚引くボタンや+1フェアリアを得るボタンは後で使いましょう。
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;助言：多くの強力なデッキが、あなたの勝利を阻んできます。
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;助言：速攻に対抗するときは、クリーチャーを危険な土地に移動させます。
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;助言：それぞれの色の土地でストラクチャーをプレイできます。
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;助言：ストラクチャーは召還されたターンに活性化することができる。
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;助言：敵のゴッドに隣接する土地を建てましょう。
LOADING_HINT_RANDOM_OVERDRAWING_DESTROYS_CARDS;助言：一度に9枚のカードしか持てません。 余分なカードは引かれたときに破壊されます。
LOADING_HINT_RANDOM_COUNTERING_RUSH_2;助言：危険な土地を妨害して速攻を倒そう。
LOADING_HINT_RANDOM_YAK_LORE_1;<i>ヤクに害を与えると、世界に害が及びます</i>\n<align=right>サイランドの言葉</align>
LOADING_HINT_RANDOM_FRIENDS_BLOCK_RANGED;助言：遠隔攻撃を持つクリーチャーは友軍ユニットを撃つことはできません。
LOADING_HINT_RANDOM_LANDS_ARE_BETTER_THAN_CARDS;助言：土地を作ることは、カードを引くよりも重要な場合があります。
LOADING_HINT_RANDOM_ENDGAME_THREATS_EXIST;助言：多くの敵があなたを倒そうと襲ってきます。 一度有利をとったら、攻撃の時間だ！
LOADING_HINT_RANDOM_FATIGUE_HURTS;助言：あなたのデッキにカードがなくなると、ドローするたびにダメージが増加します。
LOADING_HINT_RANDOM_JALMYR_LORE_2;ジャルミーの難解なパズルは、しばしば熟練プレイヤーも困惑します。
LOADING_HINT_RANDOM_STEAM_FORGE_LORE;フェアリアによって供給される皇帝の蒸気鍛造は予測不可能ですが効果的です。
LOADING_HINT_RANDOM_JALMYR_LORE_3;ジャルミーは暗闇の主である兄弟を完全に破壊することはできませんでした。
LOADING_HINT_RANDOM_YELLOW_USES_HASTE;助言：黄色のデッキは、しばしば速攻を持つクリーチャーを使用します。 事前に防御の準備をしましょう。
LOADING_HINT_RANDOM_RED_DIRECT_DAMAGE;助言：赤デッキは直接ダメージを使用することがよくあります。 あなたのライフが少ないときは注意してください。
LOADING_HINT_RANDOM_FIRESTORM_EXISTS;助言：ファイアーストームは赤カードで、すべての敵クリーチャーに3点のダメージを与えることができます。
LOADING_HINT_RANDOM_UNIQUE_EMOTES_EXIST;助言：多くのアバターには独特のエモートがあります。
LOADING_HINT_RANDOM_BYPASSING_TAUNT;助言：警衛の周りにいるクリーチャーは自分自身を動かすことはできませんが、別の効果で動かすことができます。 ダッシュとか
LOADING_HINT_RANDOM_DON'T_OVERBUFF_CREATURES;助言：クリーチャーを6/6以上に強化する前に注意してください。効率的な除去方法で返されるかも。
LOADING_HINT_RANDOM_JOIN_FAERIA'S_DISCORD;助言：質問やコメントがありますか？ Official Faeria Discordサーバーに参加してみてください。
LOADING_HINT_RANDOM_ESPORTS_FAERIA_EXISTS;助言：faeriaのトーナメントや賞品については、esports.faeria.comをご覧ください。
LOADING_HINT_RANDOM_TOP_8_GODS_ON_LADDER_INVITED;助言：各シーズンでは、ゴッドランク上位10名の選手が特別トーナメントに招待されます
LOADING_HINT_RANDOM_HARD_REMOVAL_COSTS_6;助言：最高の除去カードは6フェアリアコストかかります
LOADING_HINT_RANDOM_KILL_BURN_FAST;助言：バーンデッキに対してプレイするときは、できるだけ早くゲームを終わらせましょう。
LOADING_HINT_RANDOM_REVIEW_FAERIA_PLEASE;あなたがフェアリアが好きなら、レビューを残すことを忘れないでください。 コミュニティを発展させるのに役立ちます。
LOADING_HINT_RANDOM_RAPALA_LORE_2;海辺の村で最も恐れられているのは、津波ではなく、笑顔の魚です。
LOADING_HINT_RANDOM_TIPS_EXIST;助言：読み込み中に助言が表示されることがあります。
LOADING_HINT_RANDOM_PROTECT_YOUR_ORB;助言：相手にあなたのゴッドの隣の土地を与えないでください。
LOADING_HINT_RANDOM_EMPEROR_LORE;皇帝は市民が必要にならない日を楽しみにしています。
LOADING_HINT_RANDOM_WISDOM_IS_BAD;助言：賢者は知恵カードを使うことはほとんどありません。
LOADING_HINT_RANDOM_IONA_LORE_1;アイオナの前で悪魔は「慈悲」の言葉を持っていなかった。
LOADING_HINT_RANDOM_OUTLAND_RANGER_LORE_1;アウトランドレンジャーズは、空の舞台と石の城を交換した古代の貴族です。
LOADING_HINT_RANDOM_SYLAND_FARMERS_LORE;確かに、各世代の農民は偉大な英雄を生み出します。
LOADING_HINT_RANDOM_IONA_LORE_2;アイオナにふさわしい敬意を捧げることは、すべての詩人の夢です。
LOADING_HINT_RANDOM_YAK_LEVEL;助言：ヤクレベルはありません
LOADING_HINT_RANDOM_KROG_LORE_1;クログは、自分こそがオーガの王だと皆に触れ回っています。
LOADING_HINT_RANDOM_RAPALA_LORE_1;いくつかの魚はただ世界が燃えるのを見たいと思っています。
LOADING_HINT_RANDOM_THYRIAN_LORE_1;サイリアのゴーレムは雲の上にある神話的な楽園から来たといわれている。
LOADING_HINT_RANDOM_YAKNUS_LORE_1;第1代のキングヤクナスはヨークスのブレーカーとオールバーデンズの野獣として知られている。
LOADING_HINT_RANDOM_MAGNUS_LORE_1;少年時代、マグナスはアーロラーによって夢を見せられ、王位に導かれました。
LOADING_HINT_RANDOM_RUUNIN_LORE_1;彼女の抗議にもかかわらず、ルーニンの信者は彼女が死ぬたびに彼女を名義的に葬りたがる。
LOADING_HINT_RANDOM_JALMYR_LORE_1;ジャルミーは彼に何か新しいことを教えることができる人に願いを捧げるという噂があります。
LOADING_HINT_RANDOM_GARUDAN_LORE_1;ガルダンは一種の暴君です。
LOADING_HINT_RANDOM_HEXAGON_JOKE;助言：六角形は素晴らしい形状です。 6つの素晴らしい面があります。
LOADING_HINT_RANDOM_SAGAMI_LORE_1;サガミ族の手法の中で、最も恐ろしい霊魂は神聖な守護者になる。
LOADING_HINT_RANDOM_SAGAMI_LORE_2;サガミ族は殺した霊を神聖な後見人として結びつける。
LOADING_HINT_RANDOM_SEIFER_LORE_1;サイファーにはDeathsparkというペットがいます。
LOADING_HINT_RANDOM_SEIFER_LORE_2;サイファーは一度、大会で太陽に挑んだ。 歴史は勝者を記録していないが。
LOADING_HINT_RANDOM_DROWNING;助言：水生か飛行を持たないクリーチャーは土地の上にいないとターンの終了時に破壊されます。
LOADING_HINT_RANDOM_PANDORA_GODS;パンドラは夢が起こる世界です。 ありがたいことに、ゴッドはそれに挑戦することができます。
LOADING_HINT_RANDOM_AURORA_DREAMS;人の夢を表現する彼女の能力のおかげで、アーロラーは自分の運命を変えることができます。
LOADING_HINT_RANDOM_MULTI_TAUNT;助言：複数のクリーチャーに同じクリーチャーが警衛されている場合、そのクリーチャーは好きなクリーチャーを攻撃することができる。
LOADING_HINT_RANDOM_HOLD_EXPLORE;助言：イベント関連のクリーチャーを後で強化するために<i>探検</i>カードを使わないでおける。
LOADING_HINT_RANDOM_FALCON_DIVE;助言：ハヤブサの急降下はほとんどすべてのデッキに入れることができる多目的なカードです。
LOADING_HINT_RANDOM_SYLAND_HORSEMASTER;助言：サイランドの馬術家で緑と赤のデッキは予期せぬ攻撃をする事ができる。
LOADING_HINT_RANDOM_GOD_HUNTER;助言：ゴッドハンターは警衛を持っているクリーチャーが近くにいる時は攻撃することができない。
LOADING_HINT_RANDOM_UNLIKELY_HERO;助言：見込みのないヒーローの能力は敵のオーブを攻撃したときに発動することができる。
LOADING_HINT_RANDOM_MOVING_WITH_JUMP_AND_CHARGE;助言：カードによってクリーチャーを動かすときには、跳躍と襲撃の能力がそのまま適用される。
LOADING_HINT_RANDOM_RADIANCE;助言：レディアンスはコストを減少させるカードの影響を受けない。
LOADING_HINT_RANDOM_ELEMENTALS;助言：エレメンタルは特殊な土地の作成を加速させるのに素晴らしい方法である。
LOADING_HINT_RANDOM_PANDORA_POINTS;助言：特別な賞品を手に入れるためにパンドラポイントを貯めよう。
LOADING_HINT_RANDOM_PANDORA_CARD_BACK;助言：特別なカードバックをもらうために各シーズンをランク15かそれ以上で終わらせよう。
LOADING_HINT_RANDOM_GOD_CARD_BACK;助言：ユニークゴールデンカードバックを受け取るためにゴッドランクになろう。
LOADING_HINT_RANDOM_SEASON_RESET;助言：ランクとパンドラシーズンは毎月第一月曜日にリセットされる。
LOADING_HINT_RANDOM_HARVEST_ORDER;助言：攻撃側のプレーヤーの視点で、クリーチャーは左から右、上から下にフェアリアを収穫する。
LOADING_HINT_RANDOM_TRANSFORM_WITH_HASTE;助言：速攻を持つクリーチャーを変身させるとき、速攻能力を失い攻撃できなくさせることがある。
LOADING_HINT_RANDOM_LAND_LOCK_COUNTER;助言：もし敵があなたの土地を塞いだら、クリーチャーを敵の土地に入れ海にあなた自身の土地を作ろう。
LOADING_HINT_RANDOM_CANNOT_CANCEL_GIFT;助言：生誕効果のあるクリーチャーは一度ボードに置いたらキャンセルすることができない
LOADING_HINT_RANDOM_OROSEI_LORE;オローセイはパンドラの領域と宝物を守る。
LOADING_HINT_RANDOM_FUGORO_LORE;フーゴロはパンドラの領域からの宝物を略奪する。
LOADING_HINT_RANDOM_GOKI_01;フーゴロにはゴキという名前の甥がいます。ショップで見つけられます。
LOADING_HINT_RANDOM_WORLD_BOSSES;全てのワールドボスを倒しチャンピオンのオーブと３つのジュエルをアンロックする。
LOADING_HINT_RANDOM_WILD_LANDS;色を持つ土地はすべて、ワイルドの土地コストとしてカウントできます。
LOADING_HINT_RANDOM_CORRUPT_1;助言：汚染を持つクリーチャーは移動札を好む！
LOADING_HINT_RANDOM_CORRUPT_2;助言：敵のクリーチャーにあなたの土地を汚染させるな！
LOADING_HINT_RANDOM_CRUCIBLE;プライベートロビーでは、フレンドと大会形式のゲームを練習することができます。
LOADING_HINT_RANDOM_FALL_OF_EVERLIFE;カイオスが「永遠の命」の果実を食べて以来、オーバースカイには汚染が広がっています。
LOADING_HINT_RANDOM_TRIBAL;一部のカードは種族の恩恵を受けることができます。ヤクは群れを成すのが好きなようです♡。
LOADING_HINT_RANDOM_LORE_BOOK;毎日の伝承クエストを完了するか、ミシックチェストを開けて、伝承を集めましょう。
LOADING_HINT_RANDOM_DECK_COSMETICS;新しいデッキにぴったりの装飾品を知ってる？デッキ編集画面でデッキに合った装飾品を選んでね。
LOADING_HINT_RANDOM_DRAGONS_LAIR;ドラゴンの巣で毎日新たなドラゴンに挑戦しよう。
