ACCEPT;引き受ける
DECK_EDITOR_FILTER_NO_RESULT;検索条件に一致するカードはありません。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;青カードがありません。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;緑カードを持っていません。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;ニュートラルカードを持っていません。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;赤カードがありません。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;黄色カードがありません。
DECK_SIZE;デッキサイズ：
DECK_SLOT_PURCHASE;デッキスロット+5
DELETE;削除
DISCONNECT;切断されている
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;分解するために、カードが{0}枚以上必要
DONE;完了する
DROP_RUN;やめる
DYNAMIC_BUNDLE_CONFIRM_WARNING;ダイナミック・バンダル：このバンダル内のアイテムを既に持っているので、それに応じて値段が下がっています。
EDIT;編集する
ELITE_MISSIONS_BUTTON_TEXT;ワールドボス
ELITE_MISSIONS_BUTTON_TOOLTIP;レベル{0}が必要
EMAIL_ADDRESS;Eメールアドレス
EMOTE_MENU_GREETINGS;挨拶
EMOTE_MENU_OOPS;失敗
EMOTE_MENU_TAUNT;挑発
EMOTE_MENU_UNIQUE;ユニーク
EMOTE_MENU_WELL_PLAYED;お見事
EMOTE_MENU_WOW;驚き
END_TURN;ターン終了
ENEMY_TURN;相手のターン
ENTER_DECK_NAME;デッキ名を入力する
ENTER_YOUR_RECRUITERS_NAME;招待者の名前を入力してください...
EVENING;イブニング
EVENT_BUTTON_TEXT_SEND;送る
EVENT_EGG_HATCHING_HAS_EGG;あなたの孵化器は現在空っぽのようです。卵を見つけたらまたここに来てください！\n\n卵を手に入れるために、TwitchでFaeriaTVのストリーミングイベントを観戦しましょう。\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;あなたの孵化器へようこそ。 あなたの卵は孵る準備ができるまで安全で暖かく保たれています！\nあなたの卵がまだ安全かどうか確認するためには下を見てください。あなたは長く待つことはないでしょう... \nあなたの卵が孵ったら、別の卵を探してここで安全に保つことができます。 次回のMonthly Cup Finalsをチェックしましょう！
EVENT_HATCH_EGG_BUTTON;卵を孵化する
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;友人のEメールアドレスを入力する
EVENT_TEXT_LOCK_OVERLAY;パンドラゲームに5回勝ち、2番目のキーをアンロックします。
EVENT_TEXT_TITLE;イベント：友人を招待する
EXIT_CRAFT_MODE;作成する
FAERIA_AVERAGE;フェアリアの平均
FRIENDLIST;フレンドリスト
FRIENDLIST_FRIEND_REQUEST;フレンドリクエストを確認する
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;提案を確認する
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Steamの提案を確認する
FRIENDLIST_GAME_INVITE;ゲームの招待を確認する
FRIENDLIST_DISCORD_HINT;Discordチャンネルに参加してみましょう！
FRIENDLIST_FRIEND;フレンド
FRIENDLIST_INGAME;ゲーム中
FRIENDLIST_INVITE_TO_LOBBY;ロビーに誘う
FRIENDLIST_INVITE_TO_TOURNAMENT;トーナメントに誘う
FRIENDLIST_IN_LOBBY;ロビーにいる
FRIENDLIST_OFFLINE;オフライン
FRIENDLIST_ONLINE;オンライン
FRIENDLIST_RECENTLY_PLAYED;最近プレイした相手
FRIENDLIST_REMOVE;フレンドを削除する
FRIENDLIST_REQUEST_INITIATOR;返事を待っている
FRIENDLIST_REQUEST_RECIPIENT;フレンドリクエストを受信
FRIENDLIST_SEND_MESSAGE;メッセージを送る
FRIENDLIST_SPECTATE_GAME;ゲームを観戦する
FRIENDLIST_SPECTATING;観戦中
FRIENDLIST_SPECTATING_YOU;あなたを観戦している
FRIENDLIST_SUGGESTED;推奨される
FRIENDLIST_SUGGEST_TO_LOBBY;ロビーに誘われている
FRIENDLIST_VIEW_PROFILE;プロフィールを見る
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;フレンドリクエストを受信
FX;効果音
GAME_CONNECTION_LOST_RECONNECTING;ゲームの接続に失敗しました。\n再接続を試しています...
GAME_HAS_CRASHED;ゲームがクラッシュしました（{0}）。 この世界にとってはあまりにも美しいものでした。
GEM_BONUS_AMOUNT;＋{0}ボーナス！
GEM_PURCHASE_POPUP_TITLE;ジェムを選ぶ
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;ジェムが足りない。買うべき時だ！
GENERAL;全体
GENERIC_BUTTON_TEXT_PLAY;プレイする
GENERIC_BUTTON_TEXT_SHOP;ショップ
GENERIC_GAMEPLAY_ATTACK;攻撃
GENERIC_GAMEPLAY_COST;コスト
GENERIC_GAMEPLAY_LIFE;ライフ
GENERIC_GAMEPLAY_WILD_COST;ワイルドコスト
GOT_IT;分かった！
GO_TO_CRAFT_MODE;作成する
GO_TO_SHOP_BUTTON_TEXT;ショップに行く
GOLD_MINER_HIRING_TITLE;雇ってくれてありがとうございます！\nすぐに仕事に着手します。
GOLD_MINER_REGULAR_GOLD;どうも、{0}。\nこちらがあなたのシャードです。
GOLD_MINER_ABOVE_AVERAGE_GOLD;今日は鉱山でラッキーでした！
GOLD_MINER_JACKPOT;ホーリーヤク！大当たりしました！
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;お久しぶりです！こちらがあなたのシャードです。
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;お久しぶりです！こちらがあなたのシャードです。
GOLD_MINER_LONG_DELAY_JACKPOT;やっと戻りました！大当たりしました！
GRAPHIC_QUALITY_HIGHER;より高い
GRAPHIC_QUALITY_HIGHEST;最も高い
GRAPHIC_QUALITY_HIGH_IPAD;高い
GRAPHIC_QUALITY_LOWER;より低い
GRAPHIC_QUALITY_LOWEST;最も低い
GRAPHIC_QUALITY_LOW_IPAD;低い
GRAPHIC_QUALITY_TITLE;画質設定
GUEST_ACCOUNT_NAME;ゲスト
INFO_NB_CONNECTED;オンラインプレイヤー：{0}
INFO_NB_FINDING_ARENA;パンドラ戦を探し中: {0}
INFO_NB_FINDING_CLASSIC;カジュアル戦を探し中: {0}
INFO_NB_FINDING_CONSTRUCTED;ランク戦を探し中: {0}
INFO_NB_GAMES;ゲーム中: {0}
INFO_TIME_TO_FIND_GAME;およその検索時間: {0}
INGAME_DEFEAT;負け
INGAME_OPPONENT_STILL_MULLIGAN;相手がマリガン中です
INGAME_ALLY_STILL_MULLIGAN;味方が入れ替えるカードを選択中です
INGAME_PANDORA_OPENS;パンドラの覚醒！
INGAME_PLAYER_TURN;{0}のターン
INGAME_PUZZLE_SOLVED;パズルを解いた
INGAME_PUZZLE_WIN_THIS_TURN;このターンで勝つ！
INGAME_VERSUS;対
INGAME_VICTORY;勝利
INGAME_YOUR_TURN;あなたのターン
INVITED_TO_LOBBY;{0}はあなたを誘っています
ITEM_RARITY_COMMON;コモン
ITEM_RARITY_EPIC;エピック
ITEM_RARITY_LEGENDARY;レジェンド
ITEM_RARITY_RARE;レア
ITEM_VALUE;価値
KEEP;キープ
KICKED_FROM_LOBBY;ロビーから追い出されました。
LANE_COMPLETED_QUEST;完了しました！
LANE_NEW_QUEST;新しい！
LANE_UNLOCKED;アンロックされました！
LANGUAGE;言語：
LEAGUE_UP;リーグ上昇！
LEGENDARY_CARD_LIMIT_MESSAGE;デッキにはレジェンドカードのコピー1枚だけ入れます。
LEVEL;レベル{0}
LOADING;ロード中...
LOADING_LONG;読み込みに予想以上の時間がかかります。
LOBBY_ACCOUNT_SUGGESTED;推奨される
LOBBY_DECK_PICKING_CANCELED;デッキの選択が{0}でキャンセルされました。
LOBBY_GAME_INVITE_PENDING;保留中の招待...
LOBBY_KICK_PLAYER;プレイヤーを追い出す
LOBBY_PLAYERS_IN_GAME;まだゲーム中のプレイヤーを待っています...
LOBBY_PLAYERS_PICKING_DECKS;プレイヤーはデッキを選んでいます...
LOBBY_PLAYER_1_STATUS;プレーヤー１
LOBBY_PLAYER_2_STATUS;プレーヤー２
LOBBY_READY_BUTTON_TEXT;準備
LOBBY_SET_PLAYER_1;プレーヤー１としてセットする
LOBBY_SET_PLAYER_2;プレーヤー２としてセットする
LOBBY_SET_SPECTATOR;観戦者としてセットする
LOBBY_SPECTATOR_STATUS;観戦者
LOBBY_CO_OP_WITH;協 力
MAINMENU_BUTTON_BOOSTERS;チェスト
MAINMENU_BUTTON_COLLECTION;コレクション
MAINMENU_BUTTON_DAILY_QUESTS;デイリークエスト
MAINMENU_BUTTON_EVENT_END_TIME;イベントは{0}時間{1}分後に終了します。
MAINMENU_BUTTON_FRIEND_LIST;フレンドリスト
MAINMENU_BUTTON_HOME;ホーム
MAINMENU_BUTTON_SETTINGS;設定
MAINMENU_TITLE_BATTLE;バトル
MAINMENU_TITLE_PANDORA;パンドラ
MAINMENU_TITLE_SOLO;アドベンチャー
MAINMENU_TITLE_VIEWPROFILE;プロフィールを見る
MAP_QUEST_LOCKED;ロックされている
MARKET_BUTTON_BUY_GEMS;情報
MARKET_CATEGORY_AVATAR;アバター
MARKET_CATEGORY_BUNDLE;バンドル
MARKET_CATEGORY_CARD_BACK;カードバック
MARKET_CATEGORY_EMOTES;エモート
MARKET_CATEGORY_ORB;オーブ
MARKET_CATEGORY_WELL;井戸
MARKET_FEATURED_TAB_AVATAR;アバター
MARKET_FEATURED_TAB_BUNDLE;バンドル
MARKET_FEATURED_TAB_CARD_BACK;カードバック
MARKET_FEATURED_TAB_EMOTE;エモート
MARKET_FEATURED_TAB_ORB;オーブ
MARKET_FEATURED_TAB_WELL;井戸
MARKET_HOW_MANY_CHEST;何個欲しいですか。
MARKET_ITEM_CONFIRM_PURCHASE;買う
MARKET_ITEM_OWNED;持っている
MARKET_MENU_FEATURED;注目
MARKET_PROCESSING_ORDER;処理中...
MARKET_ROTATINGITEMS_TITLE;今週のお得情報
MARKET_TITLE;ショップ
MATCHES_FORMAT;マッチのフォーマット：
MISSION_PACK_NPC_REWARD_TOOLTIP;このパックの最後のミッションをクリアすれば、あなたはユニークな一人の仲間を手に入れることが出来ます。
MISSION_PACK_XP_REWARD_TOOLTIP;この数字は、このパックのミッションをクリアして得られる経験値の合計を示しています。
MORNING;朝
MULLIGAN;カードをキープするか引き直したいですか。
MULLIGAN_BUTTON_TEXT_CONFIRM;確認する
MULLIGAN_HINT_TEXT;引き直す
MUSIC;音楽
MY_CHESTS;チェスト
NEW_ACCOUNT_BUTTON;アカウントを作る
NEW_ACCOUNT_LABEL;フェアリアの初心者ですか？
NEW_ACCOUNT_WARNING;あなたがすでにFaeriaアカウントをお持ちの場合、この{0}アカウントでアカウントを使用することはできません！
NEW_CARD_HINT;new
NEW_DAILY_QUEST_RECEIVED;新しいデイリークエストをもらいました！
NEW_DECK_NAME;マイデッキ
NIGHT;夜
NO_DAILY_QUESTS_LEFT;デイリークエストはありません。
OBJECTIVES;目的
OK;はい
OVERSKY;オーバースカイ
OVERSKY_ALL_CARDS_NAME;全てのオーバースカイのカード
OVERSKY_BUY_ISLAND_BUTTON_TEXT;島を購入する
OVERSKY_BUY_ISLAND_TEXT;この島を持っていません。\nミッションの報酬を獲得するためには、購入する必要があります。
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size>購入するごとに新しいカードがコレクションに加えられていきます。
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;バンドルの価格はあなたが既に持っている島の数に応じて値引きされます。
OVERSKY_COSMETIC_SET_TOOLTIP;このセット限定のレジェンドのアイテム（カードバック・井戸・アバター、オーブ）が入っています。
OVERSKY_GET_POINTS_EMPEROR;皇帝の挑戦
OVERSKY_GET_POINTS_MISSION;オーバースカイミッション
OVERSKY_GET_POINTS_PVP;PvPの勝利
OVERSKY_GET_POINTS_WILD_PACK;ワイルドパックをコンプリート
OVERSKY_GET_POINTS_WORLD_BOSS;ワールドボスを倒す
OVERSKY_GETTING_POINTS;アドベンチャーポーチのポイントを獲得できます。
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;マーナストの無敵の皇帝があなたに毎日新しい挑戦をもたらします。その日初めて彼を倒した際に、アドベンチャーポーチのポイントを手に入れることができます。
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;マーナストの無敵の皇帝は、毎日あなたに戦いを挑んでくる。アドベンチャーポーチを手に入れてこの限定モードをプレイしよう！
OVERSKY_LIMITED_BOSS_BATTLE_NAME;皇帝の挑戦
OVERSKY_ONE_ISLAND;この島
OVERSKY_POINTS_REWARD;ポーチのポイント
OVERSKY_POUCH_OWNED_CONTENT_TITLE;アドベンチャーポーチの報酬
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;アドベンチャーポーチのポイントを獲得しつづけ、出来るだけ多くの報酬を手に入れよう！下にある報酬のリストであなたの今の進捗を確認できます。
OVERSKY_POUCH_OWNED_ENDED;あなたのアドベンチャーポーチは終了しました
OVERSKY_POUCH_OWNED_END_DAYS;あなたのアドベンチャーポーチはもうすぐ開始されます。終了までは残り{0}日です。
OVERSKY_POUCH_OWNED_END_HOURS;あなたのアドベンチャーポーチはもうすぐ開始されます。終了までは残り{0}時間{1}分です。
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;アドベンチャーポーチの報酬
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;以下の報酬を手に入れるため、今すぐアドベンチャーポーチを購入しよう！終了時間までにどれだけのポイントを獲得できるかな？
OVERSKY_POUCH_NOT_OWNED_ENDED;タイムアップ！アドベンチャーポーチは今後利用できません。
OVERSKY_POUCH_NOT_OWNED_END_DAYS;あなたのアドベンチャーポーチが終了するまで残り{0}日です。
OVERSKY_POUCH_NOT_OWNED_END_HOURS;あなたのアドベンチャーポーチが終了するまで残り{0}時間{1}分です。
OVERSKY_POUCH_NAME;アドベンチャーポーチ
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;あなたが既に持っているオーバースカイのカードのうち一枚のミシック版<size=60%>既に全種類のミシックカードを持っている場合、この報酬はあなたが次の島を購入した時に持ち越されます。</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;カイオスのアバターとエモート
OVERSKY_POUCH_TOOLTIP;ポーチをレベルアップして限定のアドベンチャー報酬を手に入れましょう！詳しい情報は faeria.com/oversky
OVERSKY_SHOP_SLIDER_ITEM_NAME;オーバースカイコンテンツ
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;オーバースカイが届きました。ここから新しいコンテンツを手に入れましょう！
OWNED_CARD_COUNT;このカードを{0}枚持っている
PANDORA_GATE_OPENED;パンドラモードが始まるよ！
PANDORA_KEY_POOL_HELP_TEXT;パンドラに入るため、パンドラゲートの中にコインをドラッグします。
PANDORA_LOSSES;負け数
PANDORA_SHARD_1_FOUND;最初の破片を見つけた
PANDORA_SHARD_2_FOUND;二つ目の破片を見つけた
PANDORA_SHARD_3_FOUND;三つ目の破片を見つけた
PANDORA_SHARD_4_FOUND;四つ目の破片を見つけた
PANDORA_SHARD_5_FOUND;最後の破片を見つけた
PANDORA_VICTORIES;勝利数
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;あなたのデッキには{0}が多すぎます。3つのデッキにわたってレジェンドのカードは{1}枚まで入れることができます。
PANTHEON_DECK_NOT_RESPECTED;あなたのデッキには{0}が多すぎます。3つのデッキにわたってレジェンドではないカードは{1}枚まで入れることができます。
PASSWORDS_DO_NOT_MATCH;パスワードが違います
PASSWORD_FIELD_CONFIRM;パスワードを確認する＊
PASSWORD_FIELD_MANDATORY;パスワード＊
PASSWORD_FIELD_NEW;新しいパスワード＊
PASSWORD_MANDATORY;パスワードが必要
PASSWORD_TOO_LONG;パスワードは長過ぎる(最高は{0}文字)。
PASSWORD_TOO_SHORT;パスワードは短過ぎる。
PAUSE_MENU_TEXT;ポーズ
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1}残り
PINK_CHESTS_NOT_YET_AVAILABLE;不思議な力があなたにこのチェストを開かせまいとしています。
PLAY_MENU_SOLO_STANDARD;ミッション
PLAY_MENU_SOLO_OVERSKY;オーバースカイ
PLAYER_LEFT_TOURNAMENT;プレイヤー「{0}｣はトーナメントから出ました。規定により勝利者は「{1}｣です。
PLAYER_LOST_CONNECTION;プレイヤー{0}は接続を失いました。\n再接続まで残り{1}秒です。
PRACTICE_BUTTON_TEXT;プラクティス
PRIVATE_LOBBY;プライベートロビー
PRIVATE_LOBBY_INFO;プライベートロビーにようこそ！両方のプレイヤーが準備したら、ゲームを始めます。
PRIVATE_PLAY_ALLY_READY;味方の準備は完了！
PRIVATE_PLAY_OPPONENT_READY;相手は準備完了です！
PRIVATE_PLAY_PLAYER_READY;あなたは準備完了です！
PRIVATE_PLAY_READY;キャンセル
PROFILE_BATTLERANK_TITLE;バトル
PROFILE_MENU_PROFILE;プロフィール
PROFILE_PANDORARANK_TITLE;パンドラ
PROFILE_RANKINGS_TITLE;ランキング
PROLOGUE_HINT_ATTACK;戦いで与えるダメージです
PROLOGUE_HINT_COST;プレイするためのフェアリアコストです
PROLOGUE_HINT_LIFE;倒すために必要なダメージです
PROLOGUE_SPEECH_BUBBLE;あなたの力を解放するためにこれらのミッションをコンプリートしよう！
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>.{0}、こんにちは！</size>\n\nあなたは現在ゲストとして遊んでいます。\n\nメールアドレスを入力および確認してアカウントを検証すると、2つのバトルチェスト（8枚のカード）が貰えます！
PROMPT_ACCOUNT_INFO_WELCOME;アカウントを作る
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;あなたのEメールアドレスに有効化のコードを送りました。
PROMPT_BINDING_SUCCESS;あなたのEメールアドレスにバインディングリンクを送りました。
PROMPT_CANCEL_GAME_SEARCHES;ゲームの検索がキャンセルされます。本当に続けますか？
PROMPT_CHALLENGE_CONFIRMATION;あなたは一度だけこのチャレンジで勝つチャンスがあります。準備はできましたか？
PROMPT_CONFIRM_USER_NAME;後で名前を変更できないため入念に選んでください
PROMPT_CRASH;ゲームがクラッシュしました。((´д｀))
PROMPT_DECKEMPTY;空のデッキからカードを引いてしまったため、プレイヤーは敗北しました
PROMPT_DEFEAT;負け
PROMPT_DELETE_DECK_CONFIRMATION;本当にこのデッキを削除しますか？
PROMPT_DELETE_FRIEND_CONFIRMATION;本当にこのフレンドを削除しますか？
PROMPT_DISENCHANT_ALL_IN_EXCESS;余剰カードを分解しますか？
PROMPT_DISENCHANT_WILL_ALTER_DECKS;このカードを分解すれば、いくつかのデッキが使用不可になります。よろしいですか？
PROMPT_DOUBLE_KO;勝負は引き分けで終わりました！
PROMPT_DROP_RUN_CONFIRMATION;本当にやめますか？もしやめたら、{0}回分の負けと見なされます。
PROMPT_DUEL_PROPOSED;{0}はあなたに挑戦しています
PROMPT_EMAIL_HELP_TEXT;アカウントの検証には以下の利点もあります：\n\n\t-パスワードのリカバリー\n\t-フォーラムのアクセスをもらう
PROMPT_TEXT_LATER;後で
PROMPT_EMAIL_TITLE_TEXT;Eメールアドレス
PROMPT_EMAIL_WELCOME;アカウントを有効化し、2個のバトルチェスト（8枚のカード）を手に入れましょう！
PROMPT_EXIT_CONFIRMATION;本当に終了しますか？
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;このゲームの誘いを引き受けますか？
PROMPT_FRIENDLIST_ACCEPT_REQUEST;このフレンドリクエストを引き受けますか？
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;スチームのフレンドリクエストを引き受けますか？
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;このフレンドリクエストを引き受けますか？
PROMPT_GAME_HAS_CRASHED;ゲームがクラッシュしました！
PROMPT_LOBBY_CANCEL_CONFIRMATION;キャンセルしてロビーから退出しますか？
PROMPT_LOBBY_LEAVE_CONFIRMATION;本当にロビーから出ますか？
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;変更は保存されていません。元に戻しますか？
PROMPT_NEW_BINDING;もうフェアリアのアカウントを持っていますか？
PROMPT_NO_DECK_FOUND;プレイするためにデッキを作成しなくちゃいけない
PROMPT_PASSWORD_CHANGE_SUCCESS;アカウント{0}のパスワードは変更されました
PROMPT_REFUSED_INVITEE_PLAYING;あなたの友達はプレイ中です
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;あなたの友達はもうゲームの検索中です。
PROMPT_RESET_PASSWORD;パスワードをリセット
PROMPT_SAVE_DECK_FIRST;デッキの変更をセーブしますか？
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;カードゲームが上手に見えますね。チュートリアルをスキップしますか？
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;チュートリアルをスキップする
PROMPT_STEAM_CONNECTION_REQUIRED;Steamの接続が必要です。Steamからフェアリアを起動してください。
PROMPT_SURRENDER_CONFIRMATION;本当に降参しますか？
PROMPT_TEXT_NO;いいえ
PROMPT_TEXT_OK;オッケー
PROMPT_TEXT_YES;はい
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;あなたが最初に選んだデッキは、最初の試合ではじめに使用しなければならないデッキです。 続行してもよろしいですか？
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;残りのゲームがすべて完了する前にトーナメントロビーを出ると、ゲームが失われます。 本当に出ますか？
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;本当にこのデッキを使いますか？一度登録したらデッキを変更することはできません。
PROMPT_TRANSACTION_FAILED;取引失敗
PROMPT_USERNAME_SKIP_BUTTON_TEXT;スキップ
PROMPT_USER_NAME_TITLE_TEXT;プレイヤーの名前
PROMPT_VICTORY;ビクトリー！
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;続ける
PUBLIC_ARENA_GAME_SEARCH;探し中
PUBLIC_GAME_SEARCH;探し中
QUEST_HINT_WILD_COST;いくつかの特殊な土地が必要 （合計）
QUEST_HOW_TO_UNLOCK_LANE;このレーンのロックを解除するには、レベル{0}に到達してください。
QUEST_LANE_ACT_NAME;ミッションパック
QUEST_LANE_COMPLETED;レーンを完了しました！
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;ワイルド
