1.cardName;Chlapec z farmy
45.cardText;{options|Líznete si Ochrannou ruku zdarma|Líznete si Trest zdarma.}\n- Přidá do vaší ruky kartu <b>Ochranná ruka</b>. Získaná karta stojí {faeria|0}.\n- Přidá do vaší ruky kartu <b>Trest</b>. Získaná karta stojí {faeria|0}.
46.cardName;Kartograf
46.cardText;{last_words} - Přidá do vaší ruky kartu <b>Průzkum</b>.
47.cardName;Třpytivá socha
47.cardText;{taunt}\n{production} - Vylečte si 1 život.
48.cardName;Vesnický stařec
48.cardText;{last_words} - Líznete si kartu.
49.cardName;Vypravěč
49.cardText;{gift} - Každý hráč si lízne 2 karty a získá 2 životy.
50.cardName;Potulný mnich
50.cardText;Získá +1/+0, kdykoliv si líznete kartu.
51.cardName;Parní vymahač
52.cardName;Králův věrný
52.cardText;{protection}
53.cardName;Den Draků
53.cardText;Přidá do vaší ruky 4 <b>Draky</b>. Každá z těchto karet stojí o {faeria|3} méně a je {wild}.
54.cardName;Troufalý dobrodruh
54.cardText;{gift} - Za každou přilehlou nepřátelskou bytost získá +2/+2.
55.cardName;Muž s palicí
56.cardName;Baron Thulgar
56.cardText;{last_words} - Každý hráč si lízne kartu. Získaná karta stojí {faeria|0}.
57.cardName;Moudrost
57.cardText;Líznete si 2 karty.
58.cardName;Válečný jak
58.cardText;Má +2/+0, pokud má váš protivník 10 životů nebo méně.
59.cardName;Obránce domoviny
59.cardText;{taunt}\n{gift} - Pokud jste byli minulý tah napadeni, přivolá dalšího <b>Obránce domoviny</b>.
60.cardName;Královnin vrah
60.cardText;{deathtouch}
61.cardName;Lovený psanec
61.cardText;{last_words} - Váš protivník si lízne kartu a získá {faeria|2}.
62.cardName;Lovec štěstěny
62.cardText;Když sklidí faerii, získá náhodná spojenecká bytost +1/+1.
63.cardName;Hraničář z daleka
63.cardText;{gift} - Přidá do vaší ruky kartu <b>Táborák</b>.
64.cardName;Říšské čerpadlo
64.cardText;Studny faerie jsou prázdné.\n{production} - Udělí této budově 1 poškození.\n{last_words} - Doplňte studny faerie.
65.cardName;Průzkumník pralesa
65.cardText;Pokud ovládáte {blue}{blue}, má +1/+1. Pokud {green}{green}, má +0/+2.
66.cardName;Průzkumník kaldery
66.cardText;Pokud ovládáte {blue}{blue}, má +1/+1. Pokud {red}{red}, má +2/+0.
67.cardName;Průzkumník oázy
67.cardText;Pokud ovládáte {blue}{blue}, má +1/+1. Pokud {yellow}{yellow}, má +1/+1.
68.cardName;Průzkumník tajgy
68.cardText;Pokud ovládáte {red}{red}, má +2/+0. Pokud {green}{green}, má +0/+2.
69.cardName;Průzkumník savany
69.cardText;Pokud ovládáte {yellow}{yellow}, má +1/+1. Pokud {green}{green}, má +0/+2.
70.cardName;Průzkumník pískovce
70.cardText;Pokud ovládáte {red}{red}, má +2/+0. Pokud {yellow}{yellow}, má +1/+1.
71.cardName;Rubínová rybka
71.cardText;{aquatic}
72.cardName;Zloděj pověstí
72.cardText;{options|Získá +2/+2|Líznete si 2 karty.}\n- Získá +2/+2.\n- Líznete si 2 karty.
73.cardName;Gabrijská nádrž
73.cardText;{production} - Získáte {faeria|3}. Udělí této budově 1 poškození.
74.cardName;Tyranax
75.cardName;Gabrijská kouzelnice
75.cardText;{gift} - Útok jiné bytosti se stane rovný jejímu životu.
76.cardName;Gabrijský velitel
76.cardText;{aquatic}, {charge|2}\nPoprvé, kdy si líznete kartu se základní cenou {faeria|7} nebo vyšší, získá tato bytost vlastnost {flying} a +1/+1.
77.cardName;Gabrijský ochránce
77.cardText;{gift} - Přidá bytosti schopnost {protection}.
82.cardName;Pramenní mochi
82.cardText;{gift} - Další karta s původní cenou {faeria|7} nebo vyšší, kterou si líznete, stojí o {faeria|3} méně.
83.cardName;Tritonský válečník
83.cardText;{jump}
84.cardName;Mytická bestie
84.cardText;{gift} - Získá +2/+0 a vlastnost {jump}, je-li přivolána vedle nepřátelské studny.
85.cardName;Přízrak zrcadla
85.cardText;{gift} - Přemění další bytost na <b>Přízrak zrcadla</b> (5/5).
86.cardName;Tritonský šéfkuchař
86.cardText;{gift} - Přidá do vaší ruky kartu <b>Tritonská hostina</b>.
87.cardName;Ninjovská ropucha
87.cardText;{jump}, {haste}
88.cardName;Žabí kletba
88.cardText;Přemění bytost na <b>Žábu</b> (2/2) se schopností {jump}.
93.cardName;Gabrijské okouzlení
93.cardText;Útok bytosti se stane rovný jejímu životu.\nLíznete si kartu.
94.cardName;Aurořin výtvor
94.cardText;Přidá do vaší ruky kopii zvolené bytosti. Získaná karta stojí o {faeria|5} méně.
95.cardName;Temný stopař
95.cardText;Pokud jste v tomto tahu zahráli událost, stojí toto o {faeria|2} méně.
96.cardName;Vír kouzel
96.cardText;Přidá do vaší ruky 2 náhodné modré karty.
97.cardName;Gabrijský šlechtic
97.cardText;{gift} - Přivolá <b>Rubínovou rybku</b> (1/1, může být přivolána i na oceán).
102.cardName;Aurořin učeň
102.cardText;Kdykoliv zahrajete událost, tato bytost získá +1/+1.
103.cardName;Robustní krunýř
103.cardText;{aquatic}
104.cardName;Baeru, první vlna
104.cardText;{aquatic}\n{production} - Přemění všechny přilehlé pevniny na {blue}
105.cardName;Zplozenec bouře
105.cardText;{last_words} - Získáte {faeria|10}.
106.cardName;Pohádka staré želvy
106.cardText;Líznete si 3 karty. Všechny bytosti získané tímto způsobem stojí o {faeria|2} méně.
107.cardName;Vlnopádný kolos
107.cardText;Kdykoliv během hry z nepřátelské studny sklidíte faerii, sníží se cena této karty o {faeria|1} (maximálně na {faeria|4}.
108.cardName;Orosei, sen z hlubin
108.cardText;{flying}, {charge|2}\n{gift} - Přemění všechny vaše bytosti na bytosti o {faeria|2} dražší.
109.cardName;Vodní elementál
109.cardText;{jump}\n{gift} - Vytvoří {blue}
110.cardName;Křišťálová hedváběnka
110.cardText;{flying}\nPoprvé, když si líznete událost, získá tato bytost +2/+2 a {charge|2}.
111.cardName;Potopená věž
111.cardText;{activate} - Posuňte pevninu a udělte této budově 1 poškození.
112.cardName;Azurová bludička
112.cardText;Získá +1/+1, kdykoliv sklidíte faerii z nepřátelské studny.
113.cardName;Tritonská svatyně
113.cardText;Kdykoliv sklidíte faerii, tato budova získá +0/+1\n{activate} - Zničí tuto budovu a získáte tolik {faeria|1}, kolik má životů.
114.cardName;Aurořin sen
114.cardText;Lízejte si karty, dokud jich nemáte 9. Sníží cenu všech karet ve vaši ruce na {faeria|0}.
115.cardName;Kopiník vánice
115.cardText;{jump}\nKdykoliv zahrajete událost, získá tato bytost pro tento tah +2/+0 (maximálně +6/+0).
116.cardName;Luduan
116.cardText;Kdykoliv tato bytost sklidí faerii z nepřátelské studny, přidá náhodnou modrou kartu do vaší ruky. Získaná karta stojí o {faeria|2} méně.
117.cardName;Vejce divů
117.cardText;Vejce divů se stane kopií první bytosti (ne legendární), kterou si po jeho zahrání líznete.
118.cardName;Gabrijský archón
118.cardText;{charge|2}\nZíská +2/+2, pokud jste v této hře zahráli dvě karty se základní cenou minimálně {faeria|7}.
119.cardName;Tritonský potápěč
119.cardText;{aquatic}, {jump}
120.cardName;Změna proudu
120.cardText;{options|Posunout pevninu|Líznout kartu}\n- Posunete pevninu.\n- Líznete si kartu.
121.cardName;Prorok přílivu
121.cardText;{gift} - Dvakrát posune pevninu, na níž tato bytost stojí.
122.cardName;Ponižující vidina
122.cardText;Sníží základní útok a život bytosti na polovinu (zaokrouhleno dolů).
123.cardName;Davný hlasatel
123.cardText;{gift} - Další líznutá bytost s životem 5 nebo více vás stojí o {faeria|2} méně.
124.cardName;Tritonská hostina
124.cardText;Přidá bytosti +1/+1 a schopnost {jump}.
125.cardName;Aurora, tvůrce mýtů
125.cardText;{gift} - Změní hodnoty spřátelené bytosti na 6/6.
126.cardName;Vlnotvůrce
126.cardText;Na konci tahu vašeho protivníka nastaví faerii všech hráčů na {faeria|3}.
127.cardName;Nepovedený experiment
127.cardText;Další bytost, co zahrajete, stojí o {faeria|4} méně. Záhy však zemře.
128.cardName;Aurořina lest
128.cardText;Získáte vládu nad bytostí s útokem 2 nebo méně.
129.cardName;Bojové ropuchy
129.cardText;Přivolá dvě <b>Žáby</b> (2/2) se schopností {jump}.
130.cardName;Spadla z nebe
130.cardText;Získáte {faeria|12}.
131.cardName;Sagamský válečník
131.cardText;{dash|2}
132.cardName;Sběratel kostí
132.cardText;Získá +1/+1, kdykoliv vedle něho zemře bytost.
133.cardName;Duchovní Sagami
133.cardText;{last_words} - Přidá náhodné spojenecké bytosti +3/+5.
134.cardName;Sagamský vyvolávač háje
134.cardText;{gift} - Smíte teleportovat jinou spojeneckou bytost na {green} pod vaší nadvládou.
135.cardName;Pradávný pán bestií
135.cardText;Každá bytost s 5 a více životy, kterou vyvoláte, získá +1/+1.
136.cardName;Gaeina milost
136.cardText;Zvolená bytost získá +0/+3. Vylečte si 3 životy.
137.cardName;Tikijský náčelník
137.cardText;{gift} - Přidá bytosti schopnost {taunt}.
138.cardName;Květoskřítek
138.cardText;{last_words} - Přidá do vaší ruky náhodnou zelenou kartu. Získaná karta stojí o {faeria|3} méně.
139.cardName;Poustevník Starolesa
139.cardText;{last_words} - Náhodná spojenecká bytost získá +2/+4.
140.cardName;Tikijský správce
140.cardText;{gift} - Přidá bytosti +2/+2.
141.cardName;Tikijský dudák
141.cardText;{gift} - Přidá bytosti +0/+4.
142.cardName;Šamanský tanec
142.cardText;Přidá bytosti +0/+4 a schopnost {taunt}.
143.cardName;Tikijský totem
143.cardText;První bytost, kterou každý tah vyvoláte, získá +1/+1.
144.cardName;Posedlý Ursus
144.cardText;Kdykoliv je této bytosti uděleno poškození, její útok se zdvojnásobí.
149.cardName;Doubek
149.cardText;{last_words} - Přidá náhodné zelené bytosti ve vaší ruce +5/+5.
150.cardName;Thyrijský golem
151.cardName;Rozsévač semen
151.cardText;{gift} - Vytvoří {green} na náhodném přilehlém místě.
152.cardName;Stěna révy
152.cardText;{taunt}\n{last_words} - Vytvoří {green} na náhodném místě.
153.cardName;Grizzly z hlubin lesa
154.cardName;Tikijský léčitel
154.cardText;{gift} - Vylečte si 5 životů.
155.cardName;Ruuninina svatyně
155.cardText;{gift} - Získáte {faeria|2}.\n{last_words} - Váš protivník získá {faeria|2}.
156.cardName;Otec dubů
156.cardText;{gift} - Má +0/+1 za každý {green}, který ovládáte.
157.cardName;Strom faerie
157.cardText;{production} - Tato budova získá +0/+1.\nPokud má 5 nebo více životů, je zničena a získáte {faeria|10}.
158.cardName;Živá vrba
158.cardText;{taunt}
159.cardName;Nárůst divočiny
159.cardText;Vytvoří {green} na náhodném místě.
168.cardName;Prvotní kolos
168.cardText;Stojí o tolik {faeria|1} méně, kolik máte speciálních pevnin (minimum: {faeria|6}).
169.cardName;Tethra, duše větru
169.cardText;{flying}, {charge|2}\n{gift} - Přidá bytosti +5/+5.
170.cardName;Lesní elementál
170.cardText;{taunt}\n{gift} - Vytvoří {green}
171.cardName;Květinová hedváběnka
171.cardText;{flying}\nZíská +1/+4, {taunt} a {charge|2}, jakmile si líznete první událost.
172.cardName;Zarostlá věž
172.cardText;{activate} - Přidá bytosti +1/+1. Udělí této budově 1 poškození.
173.cardName;Vždykvetoucí bludička
173.cardText;Kdykoliv vytvoříte {green}, získá tato bytost +1/+1.
174.cardName;Duch znovuzrození
174.cardText;Kdykoliv zemře přátelská bytost, přidá náhodné bytosti ve vaší ruce +1/+1.
175.cardName;Objetí Starolesa
175.cardText;Přidá bytosti +2/+4.
176.cardName;Ruuninin posel
176.cardText;{jump}\nKdykoliv zaútočí na boha, přidá do vaší ruky náhodnou zelenou bytost, a sníží její cenu o {faeria|2}.
177.cardName;Síla zeleně
178.cardName;Ochránce háje
178.cardText;{taunt}
179.cardName;Tarum, lesní svět
179.cardText;{taunt}\n{last_words} - Zaplní svět lesy.
180.cardName;Plačící modla
180.cardText;Kdykoliv je vám uděleno poškození, ziskáte {faeria|1}
181.cardName;Zemětvorba
181.cardText;{options|Přemění jednu z vašich pevnin na {green}|Přemění jednu z vašich pevnin na {blue}|Přemění jednu z vašich pevnin na {red}|Přemění jednu z vašich pevnin na {yellow}} barvu.\nPřemění jednu z vašich pevnin na pevninu zvolené barvy a líznete si kartu.
182.cardName;Divoký mstitel
182.cardText;{taunt}, {dash|2}\nPokaždé, když v této hře utrpíte poškození, získá tato bytost +0/+1.
183.cardName;Dávný kanec
183.cardText;{dash|2}\nPokud máte bytost s životem 5 nebo více, stojí o {faeria|2} méně.
184.cardName;Ruuninino vedení
184.cardText;Přidá zvolené(mu):\n- bytosti: +2/+2\n- bohu: 5 životů
185.cardName;Hlas hladu
185.cardText;{gift} - Zničí všechny přilehlé spojenecké bytosti. Tato bytost získá životy A útok rovný součtu jejich životů.
186.cardName;Sazenice
186.cardText;{production} - Pokud má tato bytost méně než 5 životů, získá +1/+1.
187.cardName;Eredon, hlas všeho
187.cardText;{last_words} - Všechny bytosti ve vaší ruce a balíčku získají +1/+1.
188.cardName;Krmivo pro les
188.cardText;Zničte spojeneckou bytost a získejte faerii rovnou jejímu životu. Líznete si kartu.
189.cardName;Ruuninina přítomnost
189.cardText;Přidá do vaší ruky náhodnou zelenou bytost, která ihned získá +6/+6.
190.cardName;Ruunin, neúprosná
190.cardText;{dash|2}\n{last_words} - Na konci tahu se Ruunin vrátí do vaší ruky a získá +2/+2.
191.cardName;Zbojník z Podsvětí
191.cardText;{combat} - Získáte {faeria|2}.
192.cardName;Koboldí vojevůdce
192.cardText;{combat} - Přidá náhodné spojenecké bytosti +3/+0.
193.cardName;Koboldí válečná bestie
194.cardName;Dar z oceli
194.cardText;Přidá zvolené bytosti +3/+0, případně +3/+3, pokud má tato bytost vlastnost <b>Combat</b>.
195.cardName;Šéf Podsvětí
195.cardText;{combat} - Získáte {faeria|2}.
196.cardName;Architekt
196.cardText;{gift} - Přidá vybrané budově +0/+2.
197.cardName;Povýšený zlobr
197.cardText;{gift} - Získá +2/+2, pokud má váš soupeř 10 nebo méně životů.
198.cardName;Koboldí kasárny
198.cardText;Všechny přilehlé spojenecké bytosti mají +2/+0.
199.cardName;Semeno nenávisti
199.cardText;Stojí o {faeria|1} méně za každou vaši vyvolanou bytost s větším útokem než životy.
200.cardName;Zlobří bojovník
200.cardText;{taunt}
201.cardName;Troufalý vyjednávač
201.cardText;{gift} - Náhodná karta ve vaší ruce stojí o {faeria|7} méně.
202.cardName;Seifer, krvavý tyran
202.cardText;Když Seifer zničí bytost, získá útok a život rovný původnímu útoku a životu dané bytosti.
203.cardName;Barbarský zlobr
204.cardName;Krog, král zlobrů
204.cardText;{combat} - Náhodná karta ve vaší ruce stojí o {faeria|7} méně.
205.cardName;Brusič seker
205.cardText;{gift} - Získá +1/+1, pokud je vyvolán vedle nepřátelské studny.
206.cardName;Vrhač balvanů
206.cardText;{ranged_attack}\nKdyž zaútočí, poškodí také všechny nepřátele přilehlé k cíli útoku.
211.cardName;Shedimský surovec
211.cardText;{combat} - Udělí 2 poškození vašemu protivníkovi.
212.cardName;Krvavý zpěvák
212.cardText;Kdykoliv zemře nepřátelská bytost, udělí 1 poškození vašemu protivníkovi.
213.cardName;Seiferovo krmivo
213.cardText;{last_words} - Udělí 2 poškození vašemu protivníkovi.
214.cardName;Plivač plamene
214.cardText;{gift} - Udelí 1 poškození vybranému nepříteli.
215.cardName;Pán hrůzy
215.cardText;Kdykoliv bůh utrpí poškození, přičte se daná hodnota k útoku této bytosti.
216.cardName;Shedimský škůdce
216.cardText;{gift} - Získá +2/+2, pokud máte další bytost s větším útokem než životy.
217.cardName;Krvavý obelisk
217.cardText;Kdykoliv nepřátelská bytost zemře v boji, udělí 1 poškození vašemu protivníkovi a získáte {faeria|1}.
218.cardName;Ponurá stráž
218.cardText;{taunt}\n{combat} - Udělí 2 poškození vašemu protivníkovi.
223.cardName;Vrhač bomb
223.cardText;{gift} - Udelí 4 poškození přilehlé nepřátelské bytosti nebo budově.
224.cardName;Nosič kanónu
224.cardText;{gift} - Vystřelí na libovolnou pevninu v přímé linii Mecha (4/2).
225.cardName;Výbuch plamene
225.cardText;Udelí 3 poškození.
226.cardName;Vrhač plamene
226.cardText;{ranged_attack}\nKdykoliv tato bytost zaútočí na boha, udělí 1 poškození nepřátelským bytostem.
231.cardName;Sopečný Kolos
231.cardText;{ranged_attack}\nStojí o {faeria|1} méně za každý tah, během něhož jste udělili poškození protihráči. (minimum: {faeria|5}).
232.cardName;Garudan, srdce hory
233.cardName;Ohnivý elementál
233.cardText;{gift} - Vytvoří {red}
234.cardName;Plamenná hedváběnka
234.cardText;{flying}\nZíská +3/+1 a vlastnost {ranged_attack} ve chvíli, kdy si poprvé líznete událost.
235.cardName;Opuštěná věž
235.cardText;{activate} - Udělí 1 poškození. Udělí 1 poškození i této budově.
236.cardName;Krvavě žhnoucí bludička
236.cardText;Získá +2/+1 pokaždé, když zemře nepřátelská bytost.
237.cardName;Zemětřes
237.cardText;{gift} - Udělí 1 poškození VŠEM nepřátelům.
238.cardName;Rozsévač plamene
238.cardText;Zatímco je ve vaší ruce nebo balíčku, získá +1/+1, pokaždé když vyvoláte bytost s útokem vyšším než životy.
239.cardName;Sálající salamandr
239.cardText;{gift} - Udělí 2 poškození všem sousedním nepřátelům.
240.cardName;Skřítek z krvavých skal
240.cardText;Udělí nepříteli 1 poškození, kdykoliv spojenecká bytost sklidí faerii z nepřátelské studny.
241.cardName;Seiferův hněv
241.cardText;Udělí bytosti 2 poškození. Pokud zemře, udělí 2 poškození tomu, kdo jí ovládá.
242.cardName;Žravá rostlina
242.cardText;{taunt}\n{production} - Udělí 2 poškození přilehlým nepřátelským bytostem.
243.cardName;Ohnivá bomba
243.cardText;Udělí 4 poškození bytosti nebo budově.
244.cardName;Ohnivá bouře
244.cardText;Zvolte si pole. Udělí 3 poškození všem nepřátelským bytostem na daném poli nebo na polích přilehlých.
245.cardName;Bitevní zuřič
245.cardText;Je-li této bytosti uděleno poškození, udělí stejné poškození vašemu nepříteli.
246.cardName;Rozpadající se golem
246.cardText;Této bytosti je uděleno 1 poškození, kdykoliv nepřítel vyvolá bytost.
247.cardName;Zlobří tanec
247.cardText;Náhodná karta ve vaší ruce stojí o {faeria|7} méně.
248.cardName;Meteor
248.cardText;Zvolte si pole. Zničí všechny pevniny, bytosti a budovy na daném poli a polích přilehlých.
249.cardName;Rudý ďábel
249.cardText;{gift} - Získáte {faeria|5}.
250.cardName;Ignus, první plamen
250.cardText;Kdykoliv zvolíte +{faeria|1} z kola moci, náhodně rozdělí 4 poškození mezi neprátele.
251.cardName;Oradrimský mnich
251.cardText;{haste}\nLízněte si kartu, kdykoliv zaútočí na boha.
252.cardName;Khalimova modlitba
252.cardText;Získáte {faeria|2} a líznete si kartu. Lze zahrát jen pokud jste tento tah zaútočili na boha. Můžete se modlit jen jednou za tah.
253.cardName;Khalimův stoupenec
253.cardText;{haste}\nMá +2/+0 proti bohům.
254.cardName;Oradrimský templář
254.cardText;{dash|1}\nMá +3/+0 proti bohům.
255.cardName;Oradrimský střelec
255.cardText;{ranged_attack}\nZískáte {faeria|1}, kdykoliv spojenecká bytost zaútočí na boha.
256.cardName;Oradrimský fanatik
256.cardText;{jump}\n{gift} - Můžete pohnout spojeneckou bytostí.
257.cardName;Překroucení pouště
257.cardText;Teleportuje bytost na {yellow} pod vaší nadvládou.
258.cardName;Větrná brána
258.cardText;Můžete přivolávat bytosti na místa přilehlá k této budově.\n{activate} - Posune Větrnou bránu.
259.cardName;Zlomyslný duch
259.cardText;{gift} - Vysajete 2 body života z vašeho protivníka.
260.cardName;Khalim, zázrak nebes
260.cardText;{flying}, {charge|2}\nKdyž Khalim zaútočí na boha, přidá do vaší ruky kartu <b>Khalimův Stoupenec</b>. Získaná karta stojí {faeria|0}.
261.cardName;Vraždící stín
262.cardName;Bolestný ghůl
262.cardText;{last_words} - Získáte {faeria|2}.
263.cardName;Poslední noční můra
263.cardText;Zničí bytost.
264.cardName;Smlouva za duši
264.cardText;Udělí vám 2 poškození a získáte {faeria|2}.
265.cardName;Oltář duší
265.cardText;{activate} - Udělí vám 2 poškození a přidá do vaší ruky kartu <b>Vraždící stín</b> (6/1). Získaná karta stojí {faeria|2}.
266.cardName;Shaytanský démon
266.cardText;{production} - Udělí vám 2 poškození.
267.cardName;Khalimova nebeská stráž
267.cardText;{flying}\nMůže bát vyvolán vedle přátelských bytostí.
268.cardName;Khalimův výcvik
268.cardText;Přidá bytosti +1/+0 a schopnosti {flying} a {charge|2}.
273.cardName;Větrný voják
273.cardText;{haste}, {charge|3}\nVětrný voják na konci tahu zemře.
274.cardName;Drakkarský nebeský kapitán
274.cardText;{flying}\nKdykoliv si líznete bytost s vlastností {flying}, přidá jí +1/+1.
275.cardName;Větrorozený vyslanec
275.cardText;{flying}\nMá +2/+0 pokud máte jinou létající bytost.
276.cardName;Shaytanský mrchožrout
276.cardText;Stojí o {faeria|2} méně, pokud jste tento tah zaútočili na boha.
277.cardName;Drakón z duny
277.cardText;{flying}, {charge|2}\nNemůže sklízet faerii.
278.cardName;Větrorozený šampión
278.cardText;{flying}, {charge|5}\n{gift} - Posune bytost.
287.cardName;Větrobouřný kolos
287.cardText;{dash|3}\nStojí o {faeria|1} méně za každou událost, kterou jste v této hře zahráli (minimum: {faeria|5}).
288.cardName;Azarai, hněv pouště
288.cardText;{flying}, {charge|2}\n{gift} - Azarai vysaje 2 body útoku z každé nepřátelské bytosti.
289.cardName;Vzdušný elementál
289.cardText;{flying}\n{gift} - Vytvoří {yellow}
290.cardName;Sluneční hedváběnka
290.cardText;{flying}\nZíská +3/+1 a vlastnost {charge|3}, jakmile si líznete první událost.
291.cardName;Nebeská věž
291.cardText;{activate} - Přidá bytosti pro tento vlastnost {charge|3} this turn. Udělí 1 poškození této budově.
292.cardName;Větrná bludička
292.cardText;{flying}, {charge|3}\nZíská +3/+0, kdykoliv spojenecká bytost zaútočí na boha.
293.cardName;Záblesk větru
294.cardName;Zlatá voliéra
294.cardText;Všechny vaše létající bytosti mají +1/+0.
295.cardName;Fanatický křižák
295.cardText;{charge|2}\nZatímco je ve vaší ruce nebo balíčku, získá +1/+1 pokaždé, když spojenecká bytost zaútočí na boha.
296.cardName;Keldranský voják
297.cardName;Pán pustiny
297.cardText;{gift} - Můžete obětovat jinou bytost a získat tak {faeria|3}.
298.cardName;Shaytanský vrah
298.cardText;{deathtouch}\n{gift} - Můžete obětovat jinou bytost a přidat tak této bytosti schopnost {protection}.
299.cardName;Démoní honák
299.cardText;{gift} - Můžete obětovat jinou bytost a přivolat na její místo <b>Démoní křídlo</b> (5/2) se schopností {flying}.
300.cardName;Chodec smrti
300.cardText;{deathtouch}\nMusíte obětovat jinou bytost, abyste mohli vyvolat tuto.
301.cardName;Přísaha Zapomnění
301.cardText;Obětujte bytost. Vyvolá na jejím místě <b>Jezdce zapomnění</b> (6/3, {charge|3}).
302.cardName;Shaytanská nestvůra
302.cardText;{charge|2}\nKdykoliv zemře spojenecká bytost, tato bytost získá její útok.
303.cardName;Iona, všemi milovaná
303.cardText;{flying}\nNelze na ni zaútočit. Neplatí, pokud Iona získá schopnost Provokace.
304.cardName;Démoní křídlo
304.cardText;{flying}
305.cardName;Jezdec zapomnění
305.cardText;{charge|3}
306.cardName;Vysátí duše
306.cardText;Vysajete z bytosti 2 body života.
307.cardName;Škrtící písek
307.cardText;Zníčí bytost s útokem 3 nebo nižším.
308.cardName;Zkázobrána, dvěře do Zapomnění
308.cardText;Když má Zkázobrána 13 nebo více životů, zničte ji a přivolejte na jejím místě <b>Ostregotha</b>.\n{activate} - Obětuje spojeneckou bytost, líznete si kartu a Zkázobrána získá +0/+2.
309.cardName;Větrobouřný lučištník
309.cardText;{ranged_attack}\nKdykoliv zahrajete událost, tato bytost získá pro daný tah +1/+0.
310.cardName;Větrobouřný nájezdník
310.cardText;{charge|2}\nKdykoliv zahrajete událost, tato bytost získá pro daný tah +2/+0 (maximálně +6/+0).
311.cardName;Vrcholový predátor
311.cardText;{jump}\n{gift} - Získá útok a život rovný libovolné bytosti.
312.cardName;Ledový Behemot
312.cardText;{taunt}, {protection}
313.cardName;Spřízněné duše
313.cardText;{flying}\nMůže být vyvolána kdekoliv vedle spojenecké bytosti.\n{gift} - Přivolá další <b>Spřízněnou duši</b>.
314.cardName;Puklinová trnovka
314.cardText;{dash|2}\n{gift} - Náhodně rozdělí 4 poškození mezi neprátele. Náhodně rozdělí +4/+4 mezi spojence.
315.cardName;Pojídač duší
315.cardText;{flying}, {charge|3}\nZatímco je ve vaší ruce nebo balíčku, získává +1/+1 za každou spojeneckou bytost, která za danou hru zemře.
316.cardName;Planoucí přízrak
316.cardText;{flying}, {haste}, {charge|2}\n{combat} - Udělí vašemu protivníkovi 3 poškození.
317.cardName;Gabrijský voják
317.cardText;{aquatic}, {charge|3}
318.cardName;Žába
318.cardText;{jump}
319.cardName;Kartograf
319.cardText;{last_words} - Vytvoří {green}{blue}{red}{yellow} na náhodných místech.
321.cardName;Polykač nebes
321.cardText;{flying}
322.cardName;Rozhněvaný stepní jak
322.cardText;{haste}
323.cardName;Průzkum
323.cardText;Vytvoří prérii a získáte {faeria|2}.
