ID;Name;Rarity;IsPinkChestAvailable;IsHidden;IsSetItem;Text;AvatarReference;EmoteType
79;BombSlingerTaunt;LEGENDARY;;TRUE;TRUE;Exterminate!;AvatarBombSlinger;TAUNT
80;BombSlingerWellPlayed;LEGENDARY;;TRUE;TRUE;Well Played = True!;AvatarBombSlinger;WELL_PLAYED
81;BombSlingerWow;LEGENDARY;;TRUE;TRUE;Fun levels set to maximum!;AvatarBombSlinger;WOW
82;BombSlingerOops;LEGENDARY;;TRUE;TRUE;ERROR. ERROR.;AvatarBombSlinger;OOPS
83;BombSlingerUnique;LEGENDARY;;TRUE;TRUE;Installing updates...;AvatarBombSlinger;UNIQUE
84;AdventurerGreetings;LEGENDARY;;TRUE;TRUE;May the best frog win.;AvatarAdventurer;GREETINGS
85;AdventurerTaunt;LEGENDARY;;TRUE;TRUE;Maybe you should buy more cards.;AvatarAdventurer;TAUNT
86;AdventurerWellPlayed;LEGENDARY;;TRUE;TRUE;Brilliant.;AvatarAdventurer;WELL_PLAYED
87;AdventurerWow;LEGENDARY;;TRUE;TRUE;For frog's sake!;AvatarAdventurer;WOW
88;AdventurerOops;LEGENDARY;;TRUE;TRUE;Oopsie.;AvatarAdventurer;OOPS
89;AdventurerUnique;LEGENDARY;;TRUE;TRUE;Have you bought my oversky adventure yet?;AvatarAdventurer;UNIQUE
90;KaiosGreetings;LEGENDARY;;TRUE;TRUE;Welcome to my realm.;AvatarKaios;GREETINGS
91;KaiosTaunt;LEGENDARY;;TRUE;TRUE;Bow to me.;AvatarKaios;TAUNT
92;KaiosWellPlayed;LEGENDARY;;TRUE;TRUE;You exceeded my expectations.;AvatarKaios;WELL_PLAYED
93;KaiosWow;LEGENDARY;;TRUE;TRUE;Astonishing!;AvatarKaios;WOW
94;KaiosOops;LEGENDARY;;TRUE;TRUE;Foolish.;AvatarKaios;OOPS
95;KaiosUnique;LEGENDARY;;TRUE;TRUE;Join me. It is your destiny.;AvatarKaios;UNIQUE
