Id;Reference;ItemDescriptor;Rarity;IsVisible;ItemType;IsConsumable;Gold;USD;EUR;GBP;RUB;Matrix;MarketName;MarketShortDescription;MarketDescription;SliderDescription;
36;DreamhackSummer2016Bundle;DREAMHACK_SUMMER_2016_BUNDLE;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;Dreamhack bundle;;4 Battle Chests and 5 Pandora Coins;;
37;Memoria5;MEMORIA|5;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;5 Memoria;;Memoria is used to craft cards.;;
38;Memoria20;MEMORIA|20;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;20 Memoria;;Memoria is used to craft cards.;;
39;Memoria80;MEMORIA|80;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;80 Memoria;;Memoria is used to craft cards.;;
40;Memoria320;MEMORIA|320;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;320 Memoria;;Memoria is used to craft cards.;;
41;Memoria50;MEMORIA|50;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;50 Memoria;;Memoria is used to craft cards.;;
42;Memoria100;MEMORIA|100;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;100 Memoria;;Memoria is used to craft cards.;;
43;Memoria400;MEMORIA|400;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;400 Memoria;;Memoria is used to craft cards.;;
44;Memoria1600;MEMORIA|1600;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;1600 Memoria;;Memoria is used to craft cards.;;
45;OneMonthAnnuity;ONE_MONTH_ANNUITY;UNDEFINED;TRUE;NONE;TRUE;-1;-1;-1;-1;-1;;Goki, Adventurous Miner;Ongoing wealth!;Goki will mine for you each day for 30 days. He always finds at least 350 shards and sometimes he finds a LOT more! When you hire Goki, you also recieve a hiring bounty of 6000 shards right away.;;
46;PressBundle;PRESS_BUNDLE;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;Press Bundle;Boost your collection;4 Battle Chests and 2 Pandora Coins.;;
47;BlueChest25;BLUE_CHEST|25;UNDEFINED;;BUNDLE;TRUE;15000;1999;1999;1999;149000;Tier 20;25 Battle Chests;125 new cards!;Each Battle Chest contains 5 random cards. You'll be able to reroll the card of the highest rarity into one of the same rarity.;;
48;BlueChest55;BLUE_CHEST|55;UNDEFINED;TRUE;BUNDLE;TRUE;33000;-1;-1;-1;-1;;55 Battle Chests;275 new cards!;Each Battle Chest contains 5 random cards. You'll be able to reroll the card of the highest rarity into one of the same rarity.;;
49;PinkChest1;PINK_CHEST|1;UNDEFINED;TRUE;NONE;TRUE;6000;-1;-1;-1;-1;;1 Mythic Chest;4 Mythic items!;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
50;PinkChest2;PINK_CHEST|2;UNDEFINED;;BUNDLE;TRUE;-1;399;399;399;29900;Tier 4;2 Mythic Chests;;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
51;PinkChest4;PINK_CHEST|4;UNDEFINED;;BUNDLE;TRUE;-1;999;999;999;74900;Tier 10;4 Mythic Chests;;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
52;PinkChest11;PINK_CHEST|11;UNDEFINED;;BUNDLE;TRUE;-1;2499;2499;2399;189000;Tier 25;11 Mythic Chests;;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
53;PinkChest20;PINK_CHEST|20;UNDEFINED;;BUNDLE;TRUE;-1;3999;3999;3899;299000;Tier 40;20 Mythic Chests;;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
54;PinkChest25;PINK_CHEST|25;UNDEFINED;;BUNDLE;TRUE;-1;4499;4499;4399;339000;Tier 45;25 Mythic Chests;;Each Mythic Chest contains 4 Mythic items. A Mythic item can be a cosmetic or a Mythic card.;;
55;BundlePinkChest8;CHEST_BUNDLE|PINK|8;UNDEFINED;;BUNDLE;;-1;999;999;999;74900;Tier 10;Mythic Starter Pack;;;;
57;Memoria3200;MEMORIA|3200;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;3000 Memoria;;Memoria is used to craft cards..;;
58;LinkAvatar;LINK|AVATAR;UNDEFINED;;LINK;;-1;-1;-1;-1;-1;;Link Avatar Tab;;;Find new Avatars to incarnate.;
59;LinkBundle;LINK|BUNDLE;UNDEFINED;;LINK;;-1;-1;-1;-1;-1;;Link Bundle Tab;;;Take a look at our Bundles for great value offers!;
60;LinkCardBack;LINK|CARD_BACK;UNDEFINED;;LINK;;-1;-1;-1;-1;-1;;Link Card Back Tab;;;Spice up your collection with a beautiful card back.;
61;LinkOrb;LINK|ORB;UNDEFINED;;LINK;;-1;-1;-1;-1;-1;;Link Orb Tab;;;Pick out a new Orb for your Avatar to sit in.;
62;LinkWell;LINK|WELL;UNDEFINED;;LINK;;-1;-1;-1;-1;-1;;Link Well Tab;;;Decorate your half of the board with these custom Wells.;
63;AvatarSharra;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;When she was only a child, Sharra's fear burned away with her village.\n\nThis item unlocks a new avatar for your orb.;;
64;AvatarGreenElemental2;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Madmen sometimes see this creature in the wildest depths of untamed forests.\n\nThis item unlocks a new avatar for your orb.;;
65;AvatarRedElemental2;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Warlords sometimes see this creature as the sun rises on a battlefield.\n\nThis item unlocks a new avatar for your orb.;;
66;AvatarBlueElemental2;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Sages sometimes see this creature in the ruins of forgotten cities.\n\nThis item unlocks a new avatar for your orb.;;
67;AvatarYellowElemental2;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Murderers sometimes see this creature in the hour before a slaughter.\n\nThis item unlocks a new avatar for your orb.;;
68;AvatarKingsGuard;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;Blades may break. Ideals will not. The King's Guards will never fall.\n\nThis item unlocks a new avatar for your orb.;;
69;AvatarVerduranForce;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;No woodcutter buries an axe in one of these twice.\n\nThis item unlocks a new avatar for your orb.;;
70;AvatarDarkWisp;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;A mischievous spirit that lives in the spaces between things.\n\nThis item unlocks a new avatar for your orb.;;
71;AvatarBombSlinger;;EPIC;;AVATAR;;-1;-1;-1;-1;-1;Tier 6;;;Life isn't the number of breaths you take, it's the bombs that take your breath away.\n\nThis item unlocks a new avatar for your orb.;;
72;OrbSharra;;EPIC;TRUE;ORB;;18000;-1;-1;-1;-1;;;;When she was only a child, Sharra's fear burned away with her village.\n\nThis item unlocks a new orb for your avatar.;;
73;OrbSeifer;;EPIC;TRUE;ORB;;18000;-1;-1;-1;-1;;;;Seifer has burned his name into the ashes of broken kingdoms. Having conquered the devils and gained their power, Seifer enjoys nothing more than the sound of a screaming enemy.\n\nThis item unlocks a new orb for your avatar.;;
74;OrbGaea;;RARE;TRUE;ORB;;7500;-1;-1;-1;-1;;;;Imbued with the blessings of Gaea, this Orb's vines provide a potion that grants eternal youth.\n\nThis item unlocks a new orb for your avatar.;;
75;OrbAurora;;EPIC;TRUE;ORB;;18000;-1;-1;-1;-1;;;;Aurora's hobbies include mentoring future heroes, guiding the course of history and tasting new kinds of tea.\n\nThis item unlocks a new orb for your avatar.;;
76;OrbBombSlinger;;LEGENDARY;;ORB;;40000;-1;-1;-1;-1;;;;Life isn't the number of breaths you take, it's the bombs that take your breath away.\n\nThis item unlocks a new orb for your avatar.;;
77;WellSharra;;EPIC;TRUE;WELL;;18000;-1;-1;-1;-1;;;;When she was only a child, Sharra's fear burned away with her village.\n\nThis item unlocks a new pair of wells for your board.;;
78;WellAurora;;EPIC;TRUE;WELL;;18000;-1;-1;-1;-1;;;;Aurora's hobbies include mentoring future heroes, guiding the course of history and tasting new kinds of tea.\n\nThis item unlocks a new pair of wells for your board.;;
79;WellSeifer;;EPIC;TRUE;WELL;;18000;-1;-1;-1;-1;;;;Seifer has burned his name into the ashes of broken kingdoms. Having conquered the devils and gained their power, Seifer enjoys nothing more than the sound of a screaming enemy.\n\nThis item unlocks a new pair of wells for your board.;;
80;WellBombSlinger;;RARE;;WELL;;7500;499;499;499;37900;Tier 5;;;Life isn't the number of breaths you take, it's the bombs that take your breath away.\n\nThis item unlocks a new pair of wells for your board.;;
81;WellArcane;;RARE;TRUE;WELL;;7500;-1;-1;-1;-1;;;;These wells are favored by gods seeking to unravel the secrets of the cosmos.\n\nThis item unlocks a new pair of wells for your board.;;
82;WellCarnivorousPlant;;RARE;TRUE;WELL;;7500;-1;-1;-1;-1;;;;These hungry flowers grow around faeria springs. It helps them attract their prey.\n\nThis item unlocks a new pair of wells for your board.;;
83;WellGabria;;RARE;TRUE;WELL;;7500;-1;-1;-1;-1;;;;Gabrian architecture represents balance in all things.\n\nThis item unlocks a new pair of wells for your board.;;
84;CardBackSharra;;EPIC;TRUE;CARD_BACK;;18000;-1;-1;-1;-1;;;;When she was only a child, Sharra's fear burned away with her village.\n\nThis item unlocks a new card back for your deck.;;
85;CardBackAurora;;EPIC;TRUE;CARD_BACK;;18000;-1;-1;-1;-1;;;;Aurora's hobbies include mentoring future heroes, guiding the course of history and tasting new kinds of tea.\n\nThis item unlocks a new card back for your deck.;;
86;CardBackSeifer;;EPIC;TRUE;CARD_BACK;;18000;-1;-1;-1;-1;;;;Seifer has burned his name into the ashes of broken kingdoms. Having conquered the devils and gained their power, Seifer enjoys nothing more than the sound of a screaming enemy.\n\nThis item unlocks a new card back for your deck.;;
87;CardBackMucha;;EPIC;TRUE;CARD_BACK;;18000;-1;-1;-1;-1;;;;This item unlocks a new card back for your deck.;;
88;CardBackMosaicFlower;;EPIC;;CARD_BACK;;-1;-1;-1;-1;-1;;;;A typical mosaic takes a hundred kappas an entire day to craft. That's 30 days for your whole deck.\n\nThis item unlocks a new card back for your deck.;;
89;CardBackMosaicSolar;;RARE;TRUE;CARD_BACK;;7500;-1;-1;-1;-1;;;;A typical mosaic takes a hundred kappas an entire day to craft. That's 30 days for your whole deck.\n\nThis item unlocks a new card back for your deck.;;
90;CardBackBombSlinger;;LEGENDARY;;CARD_BACK;;40000;-1;-1;-1;-1;;;;Life isn't the number of breaths you take, it's the bombs that take your breath away.\n\nThis item unlocks a new card back for your deck.;;
91;EmoteSharraGreetings;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 1;;;;
92;EmoteSharraTaunt;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 2;;;;
93;EmoteSharraWellPlayed;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 3;;;;
94;EmoteSharraWow;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 4;;;;
95;EmoteSharraOops;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 5;;;;
96;EmoteSharraUnique;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Sharra Emote 6;;;;
97;EmoteAuroraGreetings;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 1;;;;
98;EmoteAuroraTaunt;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 2;;;;
99;EmoteAuroraWellPlayed;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 3;;;;
100;EmoteAuroraWow;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 4;;;;
101;EmoteAuroraOops;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 5;;;;
102;EmoteAuroraUnique;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Aurora Emote 6;;;;
103;EmoteSeiferGreetings;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 1;;;;
104;EmoteSeiferTaunt;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 2;;;;
105;EmoteSeiferWellPlayed;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 3;;;;
106;EmoteSeiferWow;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 4;;;;
107;EmoteSeiferOops;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 5;;;;
108;EmoteSeiferUnique;;LEGENDARY;;EMOTE;;-1;-1;-1;-1;-1;;Seifer Emote 6;;;;
109;BundleEmoteSharra;BUNDLE|91|92|93|94|95|96;EPIC;;BUNDLE;;3000;-1;-1;-1;-1;;Sharra Emotes Bundle;;;;
110;BundleEmoteAurora;BUNDLE|97|98|99|100|101|102;EPIC;;BUNDLE;;3000;-1;-1;-1;-1;;Aurora Emotes Bundle;;;;
111;BundleEmoteSeifer;BUNDLE|103|104|105|106|107|108;EPIC;;BUNDLE;;3000;-1;-1;-1;-1;;Seifer Emotes Bundle;;;;
112;BundleSetSharra;BUNDLE|63|72|77|84|109;EPIC;TRUE;BUNDLE;;-1;-1;-1;-1;-1;;Sharra's Set;;When she was only a child, Sharra's fear burned away with her village.\n\nThis set unlocks the character's special avatar, orb, wells, card back and 6 emotes.;;
113;BundleSetAurora;BUNDLE|20|75|78|85|110;EPIC;TRUE;BUNDLE;;-1;-1;-1;-1;-1;;Aurora's Set;;Aurora's hobbies include mentoring future heroes, guiding the course of history and tasting new kinds of tea.\n\nThis set unlocks the character's special avatar, orb, wells, card back and 6 emotes.;;
114;BundleSetSeifer;BUNDLE|10|73|79|86|111;EPIC;TRUE;BUNDLE;;-1;-1;-1;-1;-1;;Seifer's Set;;Seifer has burned his name into the ashes of broken kingdoms. Having conquered the devils and gained their power, Seifer enjoys nothing more than the sound of a screaming enemy.\n\nThis set unlocks the character's special avatar, orb, wells, card back and 6 emotes.;;
115;AvatarSagamiElder;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;Sagami count their age not in years lived, but in foes slain.\n\nThis item unlocks a new avatar for your orb.;;
116;ActTraining;ACT|10001;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
117;ActSharra;ACT|10002;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
118;ActAurora;ACT|10003;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
119;ActRapala;ACT|10004;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
120;ActSeifer;ACT|10005;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
121;ActHoaka;ACT|10006;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Hoaka's Mission Pack;Mission Pack;Challenge the famed Triton tactician on his unique boards.\nContains 7 Missions.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
122;ActFugoro;ACT|10007;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Fugoro's Mission Pack;Mission Pack;Play with powerful treasure cards and beat Fugoro at his own game.\nContains 7 Missions.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
123;ActMagda;ACT|10008;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Magda's Mission Pack;Mission Pack;Master unique treasure combinations to defeat the powerful Queen.\nContains 7 Missions.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
124;ActJalmyr01;ACT|10009;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;;;;;
125;ActJalmyr02;ACT|10010;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Jalmyr, Act II;Mission Pack;Master the game by solving the Sphinx's riddles.\nContains 10 Puzzles.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
126;ActJalmyr03;ACT|10011;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Jalmyr, Act III;Mission Pack;Master the game by solving the Sphinx's riddles.\nContains 10 Puzzles.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
127;ActJalmyr04;ACT|10012;UNDEFINED;TRUE;ACT;;-1;-1;-1;-1;-1;;Jalmyr, Act IV;Mission Pack;Master the game by solving the Sphinx's riddles.\nContains 10 Puzzles.\nTotal Rewards: 4 Battle Chests and 600 gold.;;
128;BundlePremium1;BUNDLE|113|4|22|45;UNDEFINED;;BUNDLE;;-1;-1;-1;-1;-1;;Premium Bundle;;;;
130;BlueChest4;BLUE_CHEST|4;UNDEFINED;TRUE;BUNDLE;TRUE;2400;-1;-1;-1;-1;;4 Battle Chests;20 new cards!;Each Battle Chest contains 5 random cards. You'll be able to reroll the card of the highest rarity into one of the same rarity.;;
131;BlueChest14;BLUE_CHEST|14;UNDEFINED;TRUE;BUNDLE;TRUE;8400;-1;-1;-1;-1;;14 Battle Chests;70 new cards!;Each Battle Chest contains 5 random cards. You'll be able to reroll the card of the highest rarity into one of the same rarity.;;
132;BlueChest26;BLUE_CHEST|26;UNDEFINED;TRUE;BUNDLE;TRUE;15600;-1;-1;-1;-1;;26 Battle Chests;130 new cards!;Each Battle Chest contains 5 random cards. You'll be able to reroll the card of the highest rarity into one of the same rarity.;;
139;AvatarGreenElemental1;;RARE;;AVATAR;;7500;-1;-1;-1;-1;;;;;;
140;AvatarGreenElemental3;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;He appears before madmen and grants their wishes. Warping the forests to their whims.\n\nThis item unlocks a new avatar for your orb.;;
141;AvatarBlueElemental1;;RARE;;AVATAR;;7500;-1;-1;-1;-1;;;;;;
142;AvatarBlueElemental3;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;He appears before sages and grants their wishes. Revealing the future to their sight.\n\nThis item unlocks a new avatar for your orb.;;
143;AvatarRedElemental1;;RARE;;AVATAR;;7500;-1;-1;-1;-1;;;;;;
144;AvatarRedElemental3;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;He appears before warlords and grants their wishes. Uniting the mountains under one banner.\n\nThis item unlocks a new avatar for your orb.;;
145;AvatarYellowElemental1;;RARE;;AVATAR;;7500;-1;-1;-1;-1;;;;;;
146;AvatarYellowElemental3;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;She appears before murderers and grants their wishes. Coating the sand with blood.\n\nThis item unlocks a new avatar for your orb.;;
147;AvatarHoaka;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;A master of warfare, Hoaka would be unbeatable if he didn't continually invent impractical new tactics.\n\nThis item unlocks a new avatar for your orb.;;
148;AvatarOgreBattler;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;"While his given name is Brutar, this Ogre Battler is known to his friends as, ""Mr. Clubbles.""\n\nThis item unlocks a new avatar for your orb.";;
149;AvatarKeldranEmissary;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;The Windborne Emissaries carry written prayers from the common folk up to the sacred clouds.\n\nThis item unlocks a new avatar for your orb.;;
150;AvatarShaytanAssassin;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;Shaytan Assassins are the messengers of the Archpriest. His message is always the same.\n\nThis item unlocks a new avatar for your orb.;;
151;AvatarKhalim;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;A prodigy of the Djidan order, Khalim defied his masters and engaged in a worldly war.\n\nThis item unlocks a new avatar for your orb.;;
152;AvatarMagda;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;The world's greatest legends are mere pieces on Queen Magda's chessboard.\n\nThis item unlocks a new avatar for your orb.;;
153;AvatarRuunin;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Ruunin is the deathless guardian of the natural order. She has outlived every friend she's ever known.\n\nThis item unlocks a new avatar for your orb.;;
154;AvatarRapala;;LEGENDARY;;AVATAR;;40000;-1;-1;-1;-1;;;;Some fish just want to watch the world burn.\n\nThis item unlocks a new avatar for your orb.;;
155;AvatarFugoro;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;Fugoro is the world's most daring merchant. He often sneaks past Orosei to steal the treasures of Pandora.\n\nThis item unlocks a new avatar for your orb.;;
156;AvatarJalmyr;;LEGENDARY;;AVATAR;;40000;-1;-1;-1;-1;;;;This mysterious sphinx watches over the cosmos and plays tutor to gods.\n\nThis item unlocks a new avatar for your orb.;;
157;AvatarKrog;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;Krog believes himself to be the Ogre King. No one else does.\n\nThis item unlocks a new avatar for your orb.;;
158;CardBackBasicCopper;;RARE;TRUE;CARD_BACK;;7500;-1;-1;-1;-1;;;;Baldurion crafted these from molten copper and sapphires.\n\nThis item unlocks a new card back for your deck.;;
159;CardBackBasicDiamond;;RARE;TRUE;CARD_BACK;;7500;-1;-1;-1;-1;;;;Baldurion crafted these from molten silver and sapphires.\n\nThis item unlocks a new card back for your deck.;;
160;CardBackDragon;;EPIC;;CARD_BACK;;18000;-1;-1;-1;-1;;;;;;
161;CardBackFugoro;;LEGENDARY;TRUE;CARD_BACK;;40000;-1;-1;-1;-1;;;;Fugoro is the world's most daring merchant. He often sneaks past Orosei to steal the treasures of Pandora.\n\nThis item unlocks a new card back for your deck.;;
162;CardBackHoaka;;LEGENDARY;TRUE;CARD_BACK;;40000;-1;-1;-1;-1;;;;A master of warfare, Hoaka would be unbeatable if he didn't continually invent impractical new tactics.\n\nThis item unlocks a new card back for your deck.;;
163;CardBackJalmyr;;LEGENDARY;;CARD_BACK;;40000;-1;-1;-1;-1;;;;This mysterious sphinx watches over the cosmos and plays tutor to gods.\n\nThis item unlocks a new card back for your deck.;;
