ID;IsActive;Name;Type;Char. Name;Char. Level;Req. Level;Difficulty;IsCoOp;XP reward;Coin reward;Gem;Blue Chest reward;Pink Chest Reward;Cards reward;Acts reward;Avatar reward;Orb reward;Card Back reward;Feature reward;Gold card;Co-op ally AI;Lore page reward;Shore;Avatar;Card Back;Orb;Wells;World location;Image;;;;;;
10;TRUE;TAESA_INTRO_01;Intro;Taesa;6;;70;;50;;;;;23|23|10|10|329|329|15|15|22|22|96|96|71|71|95|95|102|102|122|122|74|74|77|77;;;;;;;;;ShoreGabria;AvatarTaesa;CardBackBasic;OrbArcane;WellBasic;;;;;;;;
11;TRUE;KHALIM_INTRO_01;Intro;Khalim;6;;90;;50;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackBasic;OrbPower;WellBasic;;;;;;;;
12;TRUE;KHALIM_INTRO_02;Intro;Khalim;7;;90;;50;;;;;335|335|55|55|22|22|264|264|304|304|305|305|300|300|262|262|256|256|266|266;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackBasic;OrbPower;WellBasic;;;;;;;;
13;TRUE;SHARRA_01;Quest;Sharra;7;;90;;50;;;;;;;;;;;;;;ShoreSyland;AvatarSharra;CardBackBasic;OrbValor;WellBasic;;;;;;;;
14;TRUE;SHARRA_02;Quest;Sharra;8;;90;;50;;;;;;;;;;;;;;ShoreSyland;AvatarSharra;CardBackBasic;OrbValor;WellBasic;;;;;;;;
15;TRUE;SHARRA_03;Quest;Sharra;14;;100;;100;;;;;;;;;;;;;;ShoreSyland;AvatarSharra;CardBackBasic;OrbValor;WellBasic;;;;;;;;
16;TRUE;SHARRA_EPIC_01;Epic;Sharra;11;;100;;100;;;;;;;;;;;;;CARD_43;ShoreSyland;AvatarSharra;CardBackSharra;OrbSharra;WellSharra;;;;;;;;
17;TRUE;MAGDA_01;Quest;Magda;14;;80;;50;;;;;;;;;;;;;;ShoreSyland;AvatarMagda;CardBackBasic;OrbValor;WellBasic;;;;;;;;
18;FALSE;MAGDA_02;Quest;Magda;7;;90;;100;;;;;;;;;;;;;;ShoreSyland;AvatarMagda;CardBackBasic;OrbValor;WellBasic;;;;;;;;
19;FALSE;MAGDA_03;Quest;Magda;12;;100;;100;;;;;;;;;;;;;;ShoreSyland;AvatarMagda;CardBackBasic;OrbValor;WellBasic;;;;;;;;
20;TRUE;MAGDA_EPIC_01;Epic;Magda;14;;100;;100;;;;;;;;;;;;;;ShoreSyland;AvatarMagda;CardBackMagda;OrbMagda;WellMagda;;;;;;;;
21;TRUE;MAGDA_EPIC_02;Epic;Magda;20;;100;;100;;;;;;;;;;;;;;ShoreSyland;AvatarMagda;CardBackMagda;OrbMagda;WellMagda;;;;;;;;
22;TRUE;KROG_01;Quest;Krog;8;;60;;50;200;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackBasic;OrbGiants;WellBasic;;;;;;;;
23;TRUE;KROG_02;Quest;Krog;10;;70;;50;200;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackBasic;OrbGiants;WellBasic;;;;;;;;
24;TRUE;KROG_03;Quest;Krog;15;;80;;100;200;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackBasic;OrbGiants;WellBasic;;;;;;;;
25;TRUE;KROG_EPIC_01;Epic;Krog;17;;100;;100;;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackKrog;OrbKrog;WellKrog;;;;;;;;
26;TRUE;TARUM_01;Quest;Tarum;9;;100;;50;;;;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
27;TRUE;TARUM_02;Quest;Tarum;11;;90;;50;200;;;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
28;FALSE;TARUM_03;Quest;Tarum;12;;100;;100;;;;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
29;TRUE;TARUM_EPIC_01;Epic;Tarum;20;;100;;100;;;1;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackTarum;OrbTarum;WellTarum;;;;;;;;
30;TRUE;HOAKA_EPIC_01;Epic;Hoaka;7;;100;;100;;;;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbHoaka;WellHoaka;;;;;;;;
31;TRUE;HOAKA_EPIC_02;Epic;Hoaka;10;;100;;100;;;;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbHoaka;WellHoaka;;;;;;;;
32;TRUE;HOAKA_EPIC_03;Epic;Hoaka;12;;100;;100;;;1;;;;;;;;;;CARD_83;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbHoaka;WellHoaka;;;;;;;;
33;TRUE;HOAKA_EPIC_04;Epic;Hoaka;19;;100;;100;;;1;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbHoaka;WellHoaka;;;;;;;;
34;TRUE;RUUNIN_01;Quest;Ruunin;7;;90;;50;;;;;;;;;;;;;;ShoreForest;AvatarRuunin;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
35;TRUE;RUUNIN_02;Quest;Ruunin;11;;100;;50;200;;;;;;;;;;;;;ShoreForest;AvatarRuunin;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
36;FALSE;RUUNIN_03;Quest;Ruunin;12;;100;;100;;;;;;;;;;;;;;ShoreForest;AvatarRuunin;CardBackBasic;OrbGaea;WellBasic;;;;;;;;
37;FALSE;RUUNIN_EPIC_01;Epic;Ruunin;20;;100;;200;;;;;;;;;;;;;;ShoreForest;AvatarRuunin;CardBackRuunin;OrbRuunin;WellRuunin;;;;;;;;
38;TRUE;SEIFER_01;Quest;Seifer;11;;70;;50;200;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackBasic;OrbPower;WellBasic;;;;;;;;
39;TRUE;SEIFER_02;Quest;Seifer;13;;70;;50;200;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackBasic;OrbPower;WellBasic;;;;;;;;
40;TRUE;SEIFER_03;Quest;Seifer;12;;80;;100;;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackBasic;OrbPower;WellBasic;;;;;;;;
41;TRUE;SEIFER_EPIC_01;Epic;Seifer;10;;90;;100;;;1;;;;;;;;;;CARD_202;ShoreMenethyr;AvatarSeifer;CardBackSeifer;OrbSeifer;WellSeifer;;;;;;;;
42;TRUE;SEIFER_EPIC_02;Epic;Seifer;16;;90;;100;200;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackSeifer;OrbSeifer;WellSeifer;;;;;;;;
43;TRUE;SEIFER_EPIC_03;Epic;Seifer;18;;100;;100;;;1;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackSeifer;OrbSeifer;WellSeifer;;;;;;;;
44;TRUE;AURORA_01;Quest;Aurora;12;;100;;50;;;;;;;;;;;;;;ShoreGabria;AvatarAurora;CardBackBasic;OrbArcane;WellBasic;;;;;;;;
45;TRUE;AURORA_02;Quest;Aurora;16;;100;;50;;;;;;;;;;;;;;ShoreGabria;AvatarAurora;CardBackBasic;OrbArcane;WellBasic;;;;;;;;
46;FALSE;AURORA_03;Quest;Aurora;12;;100;;200;;;;;;;;;;;;;;ShoreGabria;AvatarAurora;CardBackBasic;OrbArcane;WellBasic;;;;;;;;
47;TRUE;AURORA_EPIC_01;Epic;Aurora;11;;100;;100;;;1;;;;;;;;;;;ShoreGabria;AvatarAurora;CardBackAurora;OrbAurora;WellAurora;;;;;;;;
48;TRUE;AURORA_EPIC_02;Epic;Aurora;18;;100;;100;;;;;;;;;;;;;CARD_125;ShoreGabria;AvatarAurora;CardBackAurora;OrbAurora;WellAurora;;;;;;;;
49;TRUE;KHALIM_01;Quest;Khalim;8;;80;;50;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackBasic;OrbValor;WellBasic;;;;;;;;
50;TRUE;KHALIM_02;Quest;Khalim;9;;90;;50;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackBasic;OrbValor;WellBasic;;;;;;;;
51;TRUE;KHALIM_03;Quest;Khalim;15;;100;;100;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackBasic;OrbValor;WellBasic;;;;;;;;
52;TRUE;KHALIM_EPIC_01;Epic;Khalim;13;;100;;100;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackKhalim;OrbKhalim;WellKhalim;;;;;;;;
53;TRUE;RAPALA_EPIC_01;Epic;Rapala;15;;100;;100;;;1;;;;;;;;;;;ShorePandora;AvatarRapala;CardBackRapala;OrbRapala;WellRapala;;;;;;;;
54;TRUE;RAPALA_EPIC_02;Epic;Rapala;10;;80;;100;;;;;;;;;;;;;CARD_71;ShorePandora;AvatarRapala;CardBackRapala;OrbRapala;WellRapala;;;;;;;;
55;TRUE;RAPALA_EPIC_03;Epic;Rapala;18;;100;;100;;;;;;;;;;;;;;ShorePandora;AvatarRapala;CardBackRapala;OrbRapala;WellRapala;;;;;;;;
56;FALSE;CHALLENGE_01;Challenge;Fugoro;10;;60;;100;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
57;FALSE;CHALLENGE_02;Challenge;Fugoro;15;;70;;200;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
58;FALSE;CHALLENGE_03;Challenge;Fugoro;20;;80;;300;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
59;FALSE;CHALLENGE_04;Challenge;Fugoro;30;;90;;400;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
60;TRUE;MYSTERY_01;Mystery;Mystery;1;;90;;100;200;;;;;;;;;;;;;ShorePandora;AvatarBasic;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
61;TRUE;MYSTERY_02;Mystery;Mystery;2;;95;;100;;;;;;;;;;;;;;ShorePandora;AvatarBasic;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
62;FALSE;MYSTERY_03;Mystery;Mystery;3;;100;;100;200;;;;;;;;;;;;;ShorePandora;AvatarBasic;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
63;TRUE;PUZZLE_01;Puzzle;Jalmyr;3;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;83;;;;;;
64;TRUE;PUZZLE_02;Puzzle;Jalmyr;9;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;87;;;;;;
65;TRUE;PUZZLE_03;Puzzle;Jalmyr;5;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;253;;;;;;
66;TRUE;PUZZLE_04;Puzzle;Jalmyr;4;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;87;;;;;;
67;TRUE;PUZZLE_05;Puzzle;Jalmyr;10;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;218;;;;;;
68;TRUE;PUZZLE_06;Puzzle;Jalmyr;11;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;211;;;;;;
69;TRUE;PUZZLE_07;Puzzle;Jalmyr;12;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;191;;;;;;
70;TRUE;PUZZLE_08;Puzzle;Jalmyr;6;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;71;;;;;;
71;TRUE;PUZZLE_09;Puzzle;Jalmyr;7;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;76;;;;;;
72;TRUE;PUZZLE_10;Puzzle;Jalmyr;8;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;293;;;;;;
73;TRUE;PUZZLE_11;Puzzle;Jalmyr;13;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;88;;;;;;
74;TRUE;PUZZLE_12;Puzzle;Jalmyr;14;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;243;;;;;;
75;TRUE;PUZZLE_13;Puzzle;Jalmyr;15;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;213;;;;;;
76;TRUE;PUZZLE_14;Puzzle;Jalmyr;16;;;;50;;;1;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;15;;;;;;
77;TRUE;PUZZLE_15;Puzzle;Jalmyr;17;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;212;;;;;;
78;TRUE;PUZZLE_16;Puzzle;Jalmyr;18;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;2;;;;;;
79;TRUE;PUZZLE_17;Puzzle;Jalmyr;19;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;256;;;;;;
80;TRUE;PUZZLE_18;Puzzle;Jalmyr;20;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;198;;;;;;
81;TRUE;PUZZLE_19;Puzzle;Jalmyr;21;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;179;;;;;;
82;TRUE;PUZZLE_20;Puzzle;Jalmyr;22;;;;50;;;1;;;;;;;;;;CARD_288;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;312;;;;;;
83;TRUE;PUZZLE_21;Puzzle;Jalmyr;23;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;105;;;;;;
84;TRUE;PUZZLE_22;Puzzle;Jalmyr;24;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;87;;;;;;
85;TRUE;PUZZLE_23;Puzzle;Jalmyr;25;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;262;;;;;;
86;TRUE;PUZZLE_24;Puzzle;Jalmyr;26;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;9;;;;;;
87;TRUE;PUZZLE_25;Puzzle;Jalmyr;27;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;226;;;;;;
88;TRUE;PUZZLE_26;Puzzle;Jalmyr;28;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;289;;;;;;
89;TRUE;PUZZLE_27;Puzzle;Jalmyr;29;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;121;;;;;;
90;TRUE;PUZZLE_28;Puzzle;Jalmyr;30;;;;50;;;1;;;;;;;;;;CARD_232;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;111;;;;;;
91;TRUE;PUZZLE_29;Puzzle;Jalmyr;31;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;245;;;;;;
92;TRUE;PUZZLE_30;Puzzle;Jalmyr;32;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;180;;;;;;
93;TRUE;PUZZLE_31;Puzzle;Jalmyr;33;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;309;;;;;;
94;TRUE;PUZZLE_32;Puzzle;Jalmyr;34;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;180;;;;;;
95;TRUE;PUZZLE_33;Puzzle;Jalmyr;35;;;;50;;;1;;;;;;;;;;CARD_108;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;328;;;;;;
96;TRUE;PUZZLE_34;Puzzle;Jalmyr;36;;;;50;;;1;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;75;;;;;;
97;TRUE;PUZZLE_35;Puzzle;Jalmyr;37;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;267;;;;;;
98;FALSE;PUZZLE_36;Puzzle;Jalmyr;38;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;;;;;;;
99;TRUE;PUZZLE_37;Puzzle;Jalmyr;39;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;94;;;;;;
100;FALSE;PUZZLE_38;Puzzle;Jalmyr;40;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;;;;;;;
101;TRUE;PUZZLE_39;Puzzle;Jalmyr;41;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;245;;;;;;
102;TRUE;PUZZLE_40;Puzzle;Jalmyr;42;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;144;;;;;;
103;FALSE;PUZZLE_41;Puzzle;Jalmyr;43;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;;;;;;;
104;FALSE;PUZZLE_42;Puzzle;Jalmyr;44;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;;;;;;;
105;TRUE;PUZZLE_43;Puzzle;Jalmyr;45;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;310;;;;;;
106;TRUE;PUZZLE_44;Puzzle;Jalmyr;46;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;144;;;;;;
107;TRUE;PUZZLE_45;Puzzle;Jalmyr;47;;;;50;;;1;;;;;;;;;;CARD_169;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;268;;;;;;
108;TRUE;PUZZLE_46;Puzzle;Jalmyr;48;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;132;;;;;;
109;TRUE;PUZZLE_47;Puzzle;Jalmyr;49;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;179;;;;;;
110;TRUE;PUZZLE_48;Puzzle;Jalmyr;50;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;49;;;;;;
111;TRUE;PUZZLE_49;Puzzle;Jalmyr;51;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;411;;;;;;
112;TRUE;PUZZLE_50;Puzzle;Jalmyr;52;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;425;;;;;;
113;TRUE;PUZZLE_51;Puzzle;Jalmyr;53;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;414;;;;;;
114;TRUE;PUZZLE_52;Puzzle;Jalmyr;54;;;;50;100;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;256;;;;;;
115;TRUE;PUZZLE_53;Puzzle;Jalmyr;55;;;;50;;;;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;131;;;;;;
116;TRUE;PUZZLE_54;Puzzle;Jalmyr;56;;;;50;;;1;;;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;206;;;;;;
117;TRUE;FUGORO_EPIC_01;Epic;Fugoro;5;;;;100;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
118;TRUE;FUGORO_EPIC_02;Epic;Fugoro;10;;;;100;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
119;TRUE;FUGORO_EPIC_03;Epic;Fugoro;15;;;;100;;;1;;;;;;;;;;CARD_512;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
120;TRUE;HOAKA_EPIC_05;Epic;Hoaka;19;;100;;100;;;;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbValor;WellHoaka;;;;;;;;
121;TRUE;MAGDA_EPIC_03;Epic;Magda;20;;100;;100;;;1;;;;;;;;;;CARD_36;ShoreSyland;AvatarMagda;CardBackMagda;OrbMagda;WellMagda;;;;;;;;
122;FALSE;GREEN_RAID_01;Epic;Ruunin;99;;;;;;;;;;;;;;;;;;ShoreForest;AvatarRuunin;CardBackRuunin;OrbRuunin;WellRuunin;;;;;;;;
123;FALSE;GREEN_RAID_02;Epic;Tarum;99;;;;;;;;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackTarum;OrbTarum;WellTarum;;;;;;;;
124;FALSE;GREEN_RAID_03;Epic;Tarum;99;;;;;;;;;;;;;;;;;;ShoreForest;AvatarTarum;CardBackTarum;OrbTarum;WellTarum;;;;;;;;
125;FALSE;BLUE_RAID_01;Epic;Rapala;99;;;;;;;;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackHoaka;OrbHoaka;WellHoaka;;;;;;;;
126;FALSE;BLUE_RAID_02;Epic;Rapala;99;;;;;;;;;;;;;;;;;;ShoreGabria;AvatarRapala;CardBackRapala;OrbRapala;WellRapala;;;;;;;;
127;FALSE;BLUE_RAID_03;Epic;Rapala;99;;;;;;;;;;;;;;;;;;ShoreGabria;AvatarRapala;CardBackRapala;OrbRapala;WellRapala;;;;;;;;
128;FALSE;RED_RAID_01;Epic;Krog;99;;;;;;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackKrog;OrbKrog;WellKrog;;;;;;;;
129;FALSE;RED_RAID_02;Epic;Seifer;99;;;;;;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackSeifer;OrbSeifer;WellSeifer;;;;;;;;
130;FALSE;RED_RAID_03;Epic;Bom-R;99;;;;;;;;;;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackSeifer;OrbSeifer;WellSeifer;;;;;;;;
131;FALSE;YELLOW_RAID_01;Epic;Khalim;99;;;;;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackKhalim;OrbKhalim;WellKhalim;;;;;;;;
132;FALSE;YELLOW_RAID_02;Epic;Khalim;99;;;;;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackKhalim;OrbKhalim;WellKhalim;;;;;;;;
133;FALSE;YELLOW_RAID_03;Epic;Khalim;99;;;;;;;;;;;;;;;;;;ShoreAmai;AvatarKhalim;CardBackKhalim;OrbKhalim;WellKhalim;;;;;;;;
134;TRUE;FUGORO_EPIC_00;Epic;Fugoro;5;;;;100;;;;;;;;;;;;;;ShorePandora;AvatarFugoro;CardBackFugoro;OrbFugoro;WellFugoro;;;;;;;;
135;TRUE;PANDORA_AURORA_A_01;Pandora;Aurora;30;;50;;80;;;;;;;;;;;;;;ShorePandora;AvatarAurora;CardBackAurora;OrbAurora;WellAurora;;;;;;;;
