Key;Text;Level
YAK_LEVEL;Tip: There's no Yak level;15
KROG_LORE_1;Krog mostly just goes around *telling* everyone he's the ogre king.;15
RAPALA_LORE_1;Some fish just want to watch the world burn.;15
THYRIAN_LORE_1;Thyrian Golems are said to come from a mythical paradise above the clouds.;15
YAKNUS_LORE_1;King Yaknus, first of his name, is known as the breaker of yokes and the beast of all burdens.;15
MAGNUS_LORE_1;As a boy Magnus was sent a dream by Aurora, which led him to the crown.;15
RUUNIN_LORE_1;Despite her protests, Ruunin's followers insist on honorably burying her each time she dies.;15
JALMYR_LORE_1;Rumor has it that Jalmyr will grant a wish to any that can teach him something new.;15
GARUDAN_LORE_1;Garudan is kind of a jerk.;15
HEXAGON_JOKE;Tip: A hexagon is an amazing shape. It has six fantastic sides.;15
SAGAMI_LORE_1;In the hands of the Sagami, the most hideous spirits become sacred guardians.;15
SAGAMI_LORE_2;The Sagami bind murderous spirits as sacred guardians.;15
SEIFER_LORE_1;Seifer has a pet ferret named Deathspark.;15
SEIFER_LORE_2;Seifer once challenged the sun to a staring contest. History does not record the winner.;15
DROWNING;Tip: Creatures in empty ocean tiles without flying or aquatic die at the end of their controller's turn.;15
PANDORA_GODS;Pandora is the world where dreams happens. Thankfully, gods are allowed to enter it.;15
AURORA_DREAMS;Thanks to her ability to enter persons' dreams, Aurora can change one's destiny.;15
MULTI_TAUNT;Tip: If several creatures are taunting the same creature, that creature can attack any of the taunts.;15
HOLD_EXPLORE;Tip: You can hold your <i>Explore</i> card to buff your event-based creatures later.;15
FALCON_DIVE;Tip: Falcon Dive is an excellent, versatile tool that can be included in almost any deck.;15
SYLAND_HORSEMASTER;Tip: Syland Horsemaster allows Green and Red decks to make surprise attacks.;15
GOD_HUNTER;Tip: God Hunter can't attack or move if there is a taunt creature nearby.;15
UNLIKELY_HERO;Tip: Unlikely Hero's ability can be activated by hitting the opponent's orb.;15
MOVING_WITH_JUMP_AND_CHARGE;Tip: Moving a creature with a card takes into account its Jump and Charge abilities.;15
RADIANCE;Tip: Radiance is not affected by cost reduction cards.;15
ELEMENTALS;Tip: Elementals are a great way to accelerate your special land production.;15
PANDORA_POINTS;Tip: Accumulate Pandora Points each season to win special prizes.;15
PANDORA_CARD_BACK;Tip: End each season at Rank 15 or better to earn a special card back.;15
GOD_CARD_BACK;Tip: Reach God rank to receive a unique golden card back each season.;15
SEASON_RESET;Tip: Ranked and Pandora seasons reset on the first Monday of every month.;15
HARVEST_ORDER;Tip: Creatures harvest Faeria from left to right, top to bottom, from the active player's perspective.;15
TRANSFORM_WITH_HASTE;Tip: Transforming a creature with Haste can remove its Haste property and make it unable to attack.;15
LAND_LOCK_COUNTER;Tip: If your opponent land-locks you, move a creature on to one of their lands and create one of your own on an empty ocean tile.;15
CANNOT_CANCEL_GIFT;Tip: You cannot cancel playing a creature with a Gift effect once you place it on board;15
OROSEI_LORE;Orosei keeps watch over the realm of Pandora and its treasures.;15
FUGORO_LORE;Fugoro pillages treasures from the realm of Pandora.;15
GOKI_01;Fugoro has a nephew named Goki. You can find him in the shop.;8
WILD_LANDS;All coloured lands count as wild lands when paying land costs.;8
CORRUPT_1;Tip: Corrupt creatures love movement tricks!;8
CORRUPT_2;Tip: Don't let enemy creatures Corrupt your lands!;8
CRUCIBLE;You can practice tournament format games in private lobby with friends.;15
FALL_OF_EVERLIFE;Corruption spreads in Oversky ever since Kaios ate the fruit of Everlife.;8
TRIBAL;Some cards gain tribal benefits. Yaks love forming a herd <3.;8
LORE_BOOK;Collect lore by completing the daily Lore Quest or by opening mythic chests.;5
DRAGONS_LAIR;Challenge new dragons every day in the Dragons Lair.;20
DECK_COSMETICS;Know the perfect cosmetics for your new deck? Choose a cosmetic set just for it in the deck editor.;10
WORLD_BOSSES;Defeat all of the World Bosses to unlock the Orb of Champions and its 3 Jewels.;10
