ID;Name;Rarity;IsPinkChestAvailable;IsHidden;IsSetItem;ProfileName;AvatarType
68;ShaytanAssassinBlue;RARE;TRUE;;;Azure Assassin;DEFAULT
69;TarumEvil;LEGENDARY;TRUE;;;Nature's Wrath Tarum;DEFAULT
70;MagdaSecretary;LEGENDARY;TRUE;;;Librarian Magda;DEFAULT
71;RuuninBlack;LEGENDARY;TRUE;;;Nightrunner Ruunin;DEFAULT
72;FugoroRainbow;LEGENDARY;TRUE;;;Chromatic Fugoro;DEFAULT
73;WispWhite;RARE;TRUE;;;Bright Wisp;DEFAULT
74;WispRainbow;RARE;TRUE;;;Rainbow Wisp;DEFAULT
75;KrogSuit;LEGENDARY;TRUE;;;Don Krog;DEFAULT
76;KrogBiker;LEGENDARY;TRUE;;;The Notorious K.R.O.G;DEFAULT
77;KaiosCorrupted;LEGENDARY;;;;Demented Kaios;DEFAULT
78;Banon;LEGENDARY;;;;Banon;DEFAULT
79;Orosei;LEGENDARY;;TRUE;;Orosei;DRAGON
80;Tethra;LEGENDARY;;TRUE;;Tethra;DRAGON
81;Garudan;LEGENDARY;;TRUE;;Garudan;DRAGON
82;Azarai;LEGENDARY;;TRUE;;Azarai;DRAGON
83;Celeste;LEGENDARY;;TRUE;;Celeste;DRAGON
84;YakLizard;LEGENDARY;;;;Yakizard;YAK
85;YakTeddy;LEGENDARY;;;;Teddy;YAK
86;YakBFYC;LEGENDARY;;;;Yakuza;YAK
87;YakDevil;LEGENDARY;;;;Yak Devil;YAK
88;YakIndianChief;LEGENDARY;;;;Pocyakontas;YAK
89;YakMC;LEGENDARY;;;;Yak MC;YAK
90;YakMetalhead;LEGENDARY;;;;Yak Metalhead;YAK
91;YakUnicorn;LEGENDARY;;;;Yakkicorn;YAK
92;Sorocco;LEGENDARY;;;;Sorocco;DEFAULT
