ID;Type;Objective;RewardType;RewardParam;Source;Param1;Param2;Param3
1537;COMPLETE_PANDORA_RUNS;1;;;ACHIEVEMENT;IS_PERFECT:FALSE;;
1538;COMPLETE_PANDORA_RUNS;10;;;ACHIEVEMENT;IS_PERFECT:FALSE;;
1539;COMPLETE_PANDORA_RUNS;30;;;ACHIEVEMENT;IS_PERFECT:FALSE;;
1540;COMPLETE_PANDORA_RUNS;1;;;ACHIEVEMENT;IS_PERFECT:TRUE;;
1541;COMPLETE_PANDORA_RUNS;10;;;ACHIEVEMENT;IS_PERFECT:TRUE;;
1542;COMPLETE_DAILY_QUESTS;5;;;ACHIEVEMENT;;;
1543;COMPLETE_DAILY_QUESTS;25;;;ACHIEVEMENT;;;
1544;COMPLETE_DAILY_QUESTS;100;;;ACHIEVEMENT;;;
1545;DESTROY_CREATURES;50;;;ACHIEVEMENT;;;
1546;DESTROY_CREATURES;250;;;ACHIEVEMENT;;;
1547;DESTROY_CREATURES;1000;;;ACHIEVEMENT;;;
1548;DEAL_DAMAGE_TO_GODS;100;;;ACHIEVEMENT;;;
1549;DEAL_DAMAGE_TO_GODS;1000;;;ACHIEVEMENT;;;
1550;DEAL_DAMAGE_TO_GODS;5000;;;ACHIEVEMENT;;;
1551;PLAY_BLUE_CARDS;250;;;ACHIEVEMENT;;;
1552;PLAY_GREEN_CARDS;250;;;ACHIEVEMENT;;;
1553;PLAY_RED_CARDS;250;;;ACHIEVEMENT;;;
1554;PLAY_YELLOW_CARDS;250;;;ACHIEVEMENT;;;
1555;PLAY_CARDS_RARITIES;250;;;ACHIEVEMENT;CARD_RARITIES:LEGENDARY;;
1556;WIN_WITH_FULL_MYTHIC_DECK;1;;;ACHIEVEMENT;;;
1557;DEFEAT_DRAGONS;5;;;ACHIEVEMENT;DRAGON_TYPES:AZARAI,GARUDAN,OROSEI,TETHRA,CELESTE;;
1558;DEFEAT_DRAGONS;50;;;ACHIEVEMENT;DRAGON_TYPES:AZARAI,GARUDAN,OROSEI,TETHRA,CELESTE;;
