ACCEPT;接受
EVENT_EGG_HATCHING_HAS_EGG;您的孵蛋器現在似乎已經空了……如果您發現一枚蛋，就可以在此處孵化！\n\n前往FaeriaTV Twitch頻道瀏覽我們的直播活動，就有機會獲得屬於您的稀有龍蛋。\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;歡迎來到你的孵蛋器。你的龍蛋目前保持得既安全又溫暖，說不定你不用等待太久....\n只要你現有的龍蛋孵化，你可以馬上照料下一顆。下回的冠軍月賽我們相約再見！
EVENT_HATCH_EGG_BUTTON;孵蛋
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;輸入你朋友的電子信箱
EVENT_TEXT_LOCK_OVERLAY;在潘朵拉模式贏得5場勝利以獲取第二把鑰匙。
EVENT_TEXT_TITLE;活動：邀請你的朋友
EXIT_CRAFT_MODE;合成
FAERIA_AVERAGE;靈力平均值
FRIENDLIST;好友列表
FRIENDLIST_FRIEND_REQUEST;查看好友邀請
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;查看建議
FRIENDLIST_STEAM_FRIEND_SUGGESTION;查看Steam建議
FRIENDLIST_GAME_INVITE;查看遊戲邀請
FRIENDLIST_DISCORD_HINT;加入我們的Discord頻道以保持聯繫！
FRIENDLIST_FRIEND;好友
FRIENDLIST_INGAME;遊戲中
FRIENDLIST_INVITE_TO_LOBBY;邀請至對戰大廳
FRIENDLIST_INVITE_TO_TOURNAMENT;邀請參與比賽
FRIENDLIST_IN_LOBBY;在大廳之中
FRIENDLIST_OFFLINE;離線
FRIENDLIST_ONLINE;線上
FRIENDLIST_RECENTLY_PLAYED;近期的對手
FRIENDLIST_REMOVE;移除好友
FRIENDLIST_REQUEST_INITIATOR;等待回覆
FRIENDLIST_REQUEST_RECIPIENT;好友邀請
FRIENDLIST_SEND_MESSAGE;傳送訊息
FRIENDLIST_SPECTATE_GAME;旁觀遊戲
FRIENDLIST_SPECTATING;觀戰中
FRIENDLIST_SPECTATING_YOU;觀看你的對戰
FRIENDLIST_SUGGESTED;建議
FRIENDLIST_SUGGEST_TO_LOBBY;發送建議到大廳
FRIENDLIST_VIEW_PROFILE;查閱個人資料
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;好友邀請
FX;Fx
GAME_CONNECTION_LOST_RECONNECTING;遊戲斷線\n嘗試重新連接中...
GAME_HAS_CRASHED;這款遊戲太美好而被世界強制崩潰啦！({0})
GEM_BONUS_AMOUNT;+ {0} 額外獎勵
GEM_PURCHASE_POPUP_TITLE;選擇寶石
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;你沒有足夠的寶石。是時候增加一些了！
GENERAL;通用
GENERIC_BUTTON_TEXT_PLAY;開始遊戲
GENERIC_BUTTON_TEXT_SHOP;商店
GENERIC_GAMEPLAY_ATTACK;攻擊
GENERIC_GAMEPLAY_COST;耗費
GENERIC_GAMEPLAY_LIFE;生命值
GENERIC_GAMEPLAY_WILD_COST;野性需求
GOT_IT;知道了！
GO_TO_CRAFT_MODE;合成
GO_TO_SHOP_BUTTON_TEXT;前往商店
GOLD_MINER_HIRING_TITLE;感謝你雇用我！\n我現在立刻開始工作。
GOLD_MINER_REGULAR_GOLD;哈囉，{0}。這裡是你的碎片。
GOLD_MINER_ABOVE_AVERAGE_GOLD;今天挖礦的時候發生了些好事！
GOLD_MINER_JACKPOT;我的老氂牛啊，我們中大獎了！
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;再見到你真好！這裡是你的碎片。
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;再見到你真好！這裡是你的碎片。
GOLD_MINER_LONG_DELAY_JACKPOT;你終於回來了！我們中了大獎！
GRAPHIC_QUALITY_HIGHER;更高
GRAPHIC_QUALITY_HIGHEST;最高
GRAPHIC_QUALITY_HIGH_IPAD;高
GRAPHIC_QUALITY_LOWER;更低
GRAPHIC_QUALITY_LOWEST;最低
GRAPHIC_QUALITY_LOW_IPAD;低
GRAPHIC_QUALITY_TITLE;品質
GUEST_ACCOUNT_NAME;遊客
INFO_NB_CONNECTED;線上玩家數：{0}
INFO_NB_FINDING_ARENA;潘朵拉模式配對中：{0}
INFO_NB_FINDING_CLASSIC;休閒模式配對中：{0}
INFO_NB_FINDING_CONSTRUCTED;排名模式配對中：{0}
INFO_NB_GAMES;遊戲中的人數：{0}
INFO_TIME_TO_FIND_GAME;預估配對所需時間：{0}
INGAME_DEFEAT;戰敗
INGAME_OPPONENT_STILL_MULLIGAN;你的對手仍在選擇替換卡牌
INGAME_ALLY_STILL_MULLIGAN;你的夥伴還在挑選要替換的卡牌
INGAME_PANDORA_OPENS;潘朵拉覺醒！
INGAME_PLAYER_TURN;{0}的回合
INGAME_PUZZLE_SOLVED;謎底解開
INGAME_PUZZLE_WIN_THIS_TURN;在此回合中獲得勝利！
INGAME_VERSUS;對上
INGAME_VICTORY;勝利
INGAME_YOUR_TURN;你的回合！
INVITED_TO_LOBBY;{0} 邀請你進行對戰。
ITEM_RARITY_COMMON;普通
ITEM_RARITY_EPIC;史詩
ITEM_RARITY_LEGENDARY;傳說
ITEM_RARITY_RARE;珍稀
ITEM_VALUE;價值
KEEP;保留
KICKED_FROM_LOBBY;你被踢出對戰大廳。
LANE_COMPLETED_QUEST;完成！
LANE_NEW_QUEST;全新任務！
LANE_UNLOCKED;已解鎖！
LANGUAGE;語言：
LEAGUE_UP;階級晉升！
LEGENDARY_CARD_LIMIT_MESSAGE;相同的傳說卡在牌組中的上限為一張。
LEVEL;等級{0}
LOADING;載入中
LOADING_LONG;載入時間超出預期。
LOBBY_ACCOUNT_SUGGESTED;建議
LOBBY_DECK_PICKING_CANCELED;牌組選擇程序已被{0}取消。
LOBBY_GAME_INVITE_PENDING;邀請中…
LOBBY_KICK_PLAYER;剔除玩家
LOBBY_PLAYERS_IN_GAME;等待仍在遊戲中的玩家
LOBBY_PLAYERS_PICKING_DECKS;玩家正在選擇他們的牌組…
LOBBY_PLAYER_1_STATUS;玩家1
LOBBY_PLAYER_2_STATUS;玩家2
LOBBY_READY_BUTTON_TEXT;準備完成
LOBBY_SET_PLAYER_1;設定為玩家1
LOBBY_SET_PLAYER_2;設定為玩家2
LOBBY_SET_SPECTATOR;設定為觀戰者
LOBBY_SPECTATOR_STATUS;觀戰者
LOBBY_CO_OP_WITH;和
MAINMENU_BUTTON_BOOSTERS;寶箱
MAINMENU_BUTTON_COLLECTION;牌庫
MAINMENU_BUTTON_DAILY_QUESTS;每日任務
MAINMENU_BUTTON_EVENT_END_TIME;活動即將於{0}小時{1}分鐘後結束。
MAINMENU_BUTTON_FRIEND_LIST;好友名單
MAINMENU_BUTTON_HOME;主畫面
MAINMENU_BUTTON_SETTINGS;設定
MAINMENU_TITLE_BATTLE;構築對戰
MAINMENU_TITLE_PANDORA;潘朵拉
MAINMENU_TITLE_SOLO;冒險
MAINMENU_TITLE_VIEWPROFILE;查閱個人資料
MAP_QUEST_LOCKED;未解鎖
MARKET_BUTTON_BUY_GEMS;資訊
MARKET_CATEGORY_AVATAR;頭像
MARKET_CATEGORY_BUNDLE;組合包
MARKET_CATEGORY_CARD_BACK;卡背
MARKET_CATEGORY_EMOTES;表情
MARKET_CATEGORY_ORB;神座
MARKET_CATEGORY_WELL;靈井
MARKET_FEATURED_TAB_AVATAR;頭像
MARKET_FEATURED_TAB_BUNDLE;組合包
MARKET_FEATURED_TAB_CARD_BACK;卡背
MARKET_FEATURED_TAB_EMOTE;表情
MARKET_FEATURED_TAB_ORB;神座
MARKET_FEATURED_TAB_WELL;靈井
MARKET_HOW_MANY_CHEST;你要購買多少個？
MARKET_ITEM_CONFIRM_PURCHASE;購買
MARKET_ITEM_OWNED;已擁有
MARKET_MENU_FEATURED;特賣
MARKET_PROCESSING_ORDER;處理中…
MARKET_ROTATINGITEMS_TITLE;本日特賣
MARKET_TITLE;商店
MATCHES_FORMAT;遊戲模式：
MISSION_PACK_NPC_REWARD_TOOLTIP;完成這個組合包中的最後一個任務你將會獲得一個獨特的夥伴作為獎勵
MISSION_PACK_XP_REWARD_TOOLTIP;完成這個組合包的中的所有任務將會獲得這些經驗值
MORNING;日
MULLIGAN;你希望保留卡牌或重抽？
MULLIGAN_BUTTON_TEXT_CONFIRM;確認
MULLIGAN_HINT_TEXT;重抽
MUSIC;音樂
MY_CHESTS;我的寶箱
NEW_ACCOUNT_BUTTON;創造一個帳號
NEW_ACCOUNT_LABEL;第一次接觸Faeria？
NEW_ACCOUNT_WARNING;如果你已經擁有一個Faeria帳號，你將無法用於{0}帳號。
NEW_CARD_HINT;新發現
NEW_DAILY_QUEST_RECEIVED;你獲得了新的每日任務!
NEW_DECK_NAME;我的牌組
NIGHT;夜
NO_DAILY_QUESTS_LEFT;你的每日任務皆已完成，請明日再來！
OBJECTIVES;目標
OK;是的
OVERSKY;蒼空
OVERSKY_ALL_CARDS_NAME;所有蒼空系列卡片
OVERSKY_BUY_ISLAND_BUTTON_TEXT;購買島嶼
OVERSKY_BUY_ISLAND_TEXT;你尚未擁有此島嶼。\n你必須購買後才能夠獲取這個任務的獎勵。
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> 新的卡牌將於購買後加入你的收藏
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;因為你已擁有這個組合包中的島嶼，價錢將會被調整
OVERSKY_COSMETIC_SET_TOOLTIP;包含獨一無二的傳奇物品：卡背，靈井，頭像和神座
OVERSKY_GET_POINTS_EMPEROR;皇帝的挑戰
OVERSKY_GET_POINTS_MISSION;蒼空任務
OVERSKY_GET_POINTS_PVP;PvP勝利
OVERSKY_GET_POINTS_WILD_PACK;完成隨機任務包
OVERSKY_GET_POINTS_WORLD_BOSS;擊敗世界首領
OVERSKY_GETTING_POINTS;為您的冒險者包獲取積分
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;邁納斯的強權皇帝將會每天為你帶來新的挑戰。在每天第一次打敗他的時候獲得冒險背包點數。
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;邁納斯的強權皇帝將會每天為你帶來新的挑戰。解鎖你的冒險背包來挑戰這個限定模式！
OVERSKY_LIMITED_BOSS_BATTLE_NAME;皇帝的試煉
OVERSKY_ONE_ISLAND;這座島
OVERSKY_POINTS_REWARD;冒險包積分
OVERSKY_POUCH_OWNED_CONTENT_TITLE;你的冒險背包獎勵
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;獲得探險背包點數以解鎖更多的獎勵！下面你可以查看獎勵清單和你的進度。
OVERSKY_POUCH_OWNED_ENDED;你的冒險背包已關閉。
OVERSKY_POUCH_OWNED_END_DAYS;你的冒險背包將會馬上打開，並在{0}天後關閉。
OVERSKY_POUCH_OWNED_END_HOURS;你的冒險背包將會馬上打開，並在{0}小時{1}分鐘後關閉。
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;冒險背包獎勵
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;立刻購買你的冒險背包來解鎖以下的獎勵 – 你可以在背包關閉前獲得多少點數？
OVERSKY_POUCH_NOT_OWNED_ENDED;時間到！冒險背包已經消失。
OVERSKY_POUCH_NOT_OWNED_END_DAYS;你的冒險背包將會在{0}天後關閉。
OVERSKY_POUCH_NOT_OWNED_END_HOURS;你的冒險包將會在{0}小時{1}分鐘後關閉。
OVERSKY_POUCH_NAME;冒險背包
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;一張您已擁有的蒼空系列牌的金卡版本\n<size=60%>若您已擁有蒼空系列的全套金卡，下次您購買島嶼時將獲得此項獎勵。</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;凱歐思的頭像與表情
OVERSKY_POUCH_TOOLTIP;提升你的背包等級以解鎖限定的探險獎勵！前往 faeria.com/oversky 來獲得更多資訊。
OVERSKY_SHOP_SLIDER_ITEM_NAME;蒼空內容包
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;蒼空系列已上架 – 從這獲得全新的內容！
OWNED_CARD_COUNT;此張卡牌你擁有{0}張
PANDORA_GATE_OPENED;你的潘朵拉模式開始了！
PANDORA_KEY_POOL_HELP_TEXT;將一枚硬幣投入大門中央以開啟潘朵拉。
PANDORA_LOSSES;戰敗
PANDORA_SHARD_1_FOUND;發現第一片碎片
PANDORA_SHARD_2_FOUND;發現第二片碎片
PANDORA_SHARD_3_FOUND;發現第三片碎片
PANDORA_SHARD_4_FOUND;發現第四片碎片
PANDORA_SHARD_5_FOUND;發現最後一片碎片！
PANDORA_VICTORIES;勝利
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;你的牌組包含太多{0}。三副牌組合計，相同的傳說卡僅能出現{1}張。
PANTHEON_DECK_NOT_RESPECTED;你的牌組包含太多{0}。三副牌組合計，相同的非傳說卡僅能出現{1}張。
PASSWORDS_DO_NOT_MATCH;密碼錯誤
PASSWORD_FIELD_CONFIRM;確認密碼
PASSWORD_FIELD_MANDATORY;密碼錯誤
PASSWORD_FIELD_NEW;新密碼
PASSWORD_MANDATORY;請輸入密碼
PASSWORD_TOO_LONG;密碼過長(上限{0}個字母)
PASSWORD_TOO_SHORT;密碼過短
PAUSE_MENU_TEXT;暫停
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}：{1}剩餘
PINK_CHESTS_NOT_YET_AVAILABLE;一股未知的力量阻止你接近這些寶箱。他們不會被打開…至少不是現在。
PLAY_MENU_SOLO_STANDARD;任務
PLAY_MENU_SOLO_OVERSKY;蒼空
PLAYER_LEFT_TOURNAMENT;Player '{0}' 離開了比賽。勝者是'{1}'。
PLAYER_LOST_CONNECTION;Player {0} 從遊戲中斷線。\n尚有{1}秒可以重新連接。
PRACTICE_BUTTON_TEXT;練習模式
PRIVATE_LOBBY;私人大廳
PRIVATE_LOBBY_INFO;歡迎來到私人大廳！當雙方玩家準備好後遊戲就會開始。
PRIVATE_PLAY_ALLY_READY;夥伴準備就緒！
PRIVATE_PLAY_OPPONENT_READY;對手準備好了！
PRIVATE_PLAY_PLAYER_READY;你準備好了！
PRIVATE_PLAY_READY;取消準備
PROFILE_BATTLERANK_TITLE;開始遊戲
PROFILE_MENU_PROFILE;個人資料
PROFILE_PANDORARANK_TITLE;潘朵拉模式
PROFILE_RANKINGS_TITLE;排名模式
PROLOGUE_HINT_ATTACK;在戰鬥中造成這麼多傷害
PROLOGUE_HINT_COST;打出這張牌所需要的靈力
PROLOGUE_HINT_LIFE;消滅對方所需要的傷害量
PROLOGUE_SPEECH_BUBBLE;完成這些任務來讓你的力量更加強大！
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>您好 {0}!</size>\n\n您正以遊客身份遊玩。\n\n輸入並確認您的電子郵箱地址可啟動您的賬戶，之後您將獲得2個戰爭寶箱（內含8張卡牌）的獎勵！
PROMPT_ACCOUNT_INFO_WELCOME;建立帳號
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;啟動碼已寄至你的信箱。
PROMPT_BINDING_SUCCESS;一個驗證連結已寄至你的信箱。
PROMPT_CANCEL_GAME_SEARCHES;這將會中斷你的遊戲搜尋。你確定要這麼做嗎？
PROMPT_CHALLENGE_CONFIRMATION;你只有一次機會來贏得這個挑戰。你準備好了嗎？
PROMPT_CONFIRM_USER_NAME;請慎重選擇，確定命名後將無法更改！
PROMPT_CRASH;遊戲崩潰了:(
PROMPT_DECKEMPTY;一個玩家因為無牌可抽而輸掉
PROMPT_DEFEAT;戰敗
PROMPT_DELETE_DECK_CONFIRMATION;你確定要刪除這副牌組嗎？
PROMPT_DELETE_FRIEND_CONFIRMATION;你確定要刪除這個朋友嗎？
PROMPT_DISENCHANT_ALL_IN_EXCESS;你確定要分解所有多餘的卡牌嗎？
PROMPT_DISENCHANT_WILL_ALTER_DECKS;如果分解了這張卡牌，有些牌組會受到影響而無法使用，你確定要分解嗎？
PROMPT_DOUBLE_KO;遊戲將在一次抽牌後結束！
PROMPT_DROP_RUN_CONFIRMATION;你確定要退出比賽嗎？這樣會被判定為{0}失敗{0}！
PROMPT_DUEL_PROPOSED;{0} 向你發起了挑戰。
PROMPT_EMAIL_HELP_TEXT;驗證你的帳號還可以帶來以下好處：\n\n\t- 密碼回復\n\t- 登入官方論壇
PROMPT_TEXT_LATER;稍後
PROMPT_EMAIL_TITLE_TEXT;Email地址
PROMPT_EMAIL_WELCOME;驗證你的帳號並獲得兩個戰爭寶箱(8張卡片)！
PROMPT_EXIT_CONFIRMATION;你確定要退出遊戲嗎？
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;接受這個遊戲邀請？
PROMPT_FRIENDLIST_ACCEPT_REQUEST;接受這個好友請求？
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;接受這個來自Steam的好友建議？
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;加入這個系統建議的好友？
PROMPT_GAME_HAS_CRASHED;遊戲崩潰了！
PROMPT_LOBBY_CANCEL_CONFIRMATION;你確定要取消並退出大廳嗎？
PROMPT_LOBBY_LEAVE_CONFIRMATION;你確定要離開大廳嗎？
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;你的更動尚未儲存。你確定要放棄這些更動嗎？
PROMPT_NEW_BINDING;你是否已經擁有Faeria的帳號了呢？
PROMPT_NO_DECK_FOUND;你必須要組件一副牌組才能開始遊戲
PROMPT_PASSWORD_CHANGE_SUCCESS;帳號 {0} 的密碼已成功修改。
PROMPT_REFUSED_INVITEE_PLAYING;你的好友正在遊戲中
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;你的好友正在搜尋遊戲中。
PROMPT_RESET_PASSWORD;重置你的密碼
PROMPT_SAVE_DECK_FIRST;你確定要保存牌組中的這些變更？
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;你似乎對卡牌遊戲十分拿手。你要跳過教學嗎？
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;跳過教學
PROMPT_STEAM_CONNECTION_REQUIRED;必須要與Steam連線。請從Steam啟動Faeria。
PROMPT_SURRENDER_CONFIRMATION;你確定要投降嗎？
PROMPT_TEXT_NO;取消
PROMPT_TEXT_OK;好的
PROMPT_TEXT_YES;確定
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;第一副牌組將必須在比賽中先拿出使用，直到你輸掉為止。你確定要繼續嗎？
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;在所有比賽進行完前離開大廳的話，將會判定你對比賽認輸。你確定要離開嗎？
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;你確定要用這些牌組嗎？一旦登錄後，你將無法再修改他們。
PROMPT_TRANSACTION_FAILED;交易失敗
PROMPT_USERNAME_SKIP_BUTTON_TEXT;跳過
PROMPT_USER_NAME_TITLE_TEXT;玩家名字
PROMPT_VICTORY;勝利！
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;繼續
PUBLIC_ARENA_GAME_SEARCH;搜尋
PUBLIC_GAME_SEARCH;搜尋
QUEST_HINT_WILD_COST;(總共)需要這麼多的特殊地形。
QUEST_HOW_TO_UNLOCK_LANE;提升你的等級到{0}以解鎖這組任務
QUEST_LANE_ACT_NAME;任務包
QUEST_LANE_COMPLETED;這組任務已完成！
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;隨機
QUEST_LOCKED_NAME;任務尚未解鎖
QUEST_OPPONENT_LEVEL;等級{0}
QUEST_PACK_COMPLETED;所有任務完成！
QUEST_REQUIRED_LEVEL;需要\n等級{0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;經驗
QUEST_TYPE_CHALLENGE;挑戰
QUEST_TYPE_EPIC;史詩任務
QUEST_TYPE_EPIC_FORCED_DECK;任務
QUEST_TYPE_INTRO;任務
QUEST_TYPE_MYSTERY;神話任務
QUEST_TYPE_PUZZLE;謎題
QUEST_TYPE_QUEST;任務
QUEST_TYPE_SURVIVAL;生存
RANK_DOWN;排名下降
RANK_STAR_DEFEAT;戰敗
RANK_STAR_FIRST_WIN_OF_THE_DAY;本日首勝！
RANK_STAR_HIGHER_LEAGUE_OPPONENT;你擊敗了一個強大的對手！
RANK_STAR_VICTORY;勝利
RANK_STAR_WIN_STREAK;連勝！
RANK_UP;排名上升！
RECOVERY_CODE;恢復碼
RECOVERY_STEAM;我已經在PC/macOS/Linux上創建過帳號。
RECOVERY_SUPPORT;以上選項對我不適用。
RECOVERY_VALIDATED;我的Faeria帳號已驗證過。(我曾提供我的Email)。
RECRUITER;推薦者
REFUSE;拒絕
REFUSE_FRIEND_REQUESTS;拒絕好友邀請
REFUSE_FRIEND_SPECTATE;拒絕好友觀戰
REPLAY_BUTTON_TEXT;再玩一次
REQUEST_CANCELED_BY_HOST;申請者取消申請
