1.cardName;農場男孩
69.cardText;當您控制{yellow}{yellow}後，會獲得+1/+1增益。當您控制{green}{green}後，會獲得+0/+2增益。
70.cardName;砂岩探險家
70.cardText;當您控制{red}{red}後，會獲得+2/+0增益。當您控制{yellow}{yellow}後，會獲得+1/+1增益。
71.cardName;紅寶魚
71.cardText;{aquatic}
72.cardName;知識竊賊
72.cardText;{options|獲得2/+2|抽兩張牌}\n- 獲得+2/+2。\n- 抽兩張牌。
73.cardName;加百列蓄水池
73.cardText;{production}：獲得{faeria|3}。對此建築造成1點傷害。
74.cardName;暴龍
75.cardName;加百列女巫
75.cardText;{gift}：指定另一個目標生物，其攻擊力轉化為與其生命值相同。
76.cardName;加百列指揮官
76.cardText;{aquatic}, {charge|2}\n當您第一次抽取到1張初始消耗為{faeria|7}或更多的牌時，該生物獲得{flying}屬性和+1/+1增益。
77.cardName;加百列典獄長
77.cardText;{gift}：目標生物獲得{protection}。
82.cardName;湧泉精靈
82.cardText;{gift}：您下一次抽得原始費用大於等於{faeria|7}的牌時，其費用減{faeria|3}。
83.cardName;崔頓戰士
83.cardText;{jump}
84.cardName;神祕野獸
84.cardText;{gift}：當召喚於與敵方靈井相鄰的地塊時，獲得+2/+0和{jump}。
85.cardName;鏡影幻象
85.cardText;{gift}：將自身以外的目標生物轉化為5/5<b>鏡影幻象</b>。
86.cardName;崔頓大廚
86.cardText;{gift}：將一張<b>崔頓盛宴</b>放入您的手牌。
87.cardName;忍者蟾蜍
87.cardText;{jump}、{haste}
88.cardName;變蛙術
88.cardText;將目標生物轉化為具有{jump}的2/2<b>青蛙</b>。
93.cardName;加百列結界
93.cardText;將目標生物的攻擊力調整為與生命值相同。\n抽1張牌。
94.cardName;奧羅拉的造物
94.cardText;將目標生物的複製品放入您的手牌，其費用減少{faeria|5}。
95.cardName;夜尋者
95.cardText;若您曾在本回合施放法術，此生物費用減少{faeria|2}。
96.cardName;咒法漩渦
96.cardText;將兩張隨機藍色卡牌放入您的手牌。
97.cardName;加百列貴族
97.cardText;{gift}：召喚一個1/1<b>紅寶魚</b>(您可以將它召喚在海洋)。
102.cardName;奧羅拉的門徒
102.cardText;每當您施放一張法術，此生物獲得+1/+1。
103.cardName;硬殼海龜
103.cardText;{aquatic}
104.cardName;貝濡，原初怒濤
104.cardText;{aquatic}\n{production} - 將鄰接地塊轉換為{blue}。
105.cardName;風暴幼體
105.cardText;{last_words}：獲得{faeria|10}。
106.cardName;老龜講古
106.cardText;抽3張牌。因此而抽到的生物牌費用減少{faeria|2}。
107.cardName;破浪巨像
107.cardText;本場遊戲中，每個您自敵方靈井採集的靈力都會使此生物的召喚費用減少{faeria|1}(最低費用{faeria|4})。
108.cardName;歐洛賽，深淵之夢
108.cardText;{flying}、{charge|2}\n{gift}：將自身以外的所有友方生物隨機轉化為靈力費用多{faeria|2}的生物。
109.cardName;水元素
109.cardText;{jump}\n{gift} - 創造{blue}。
110.cardName;寶錦仙靈
110.cardText;{flying}\n您下一次抽得法術牌時，此生物獲得+2/+2和{charge|2}。
111.cardName;沉沒之塔
111.cardText;{activate}：移動一座地塊。對此建築造成1點傷害。
112.cardName;蔚藍幽光
112.cardText;每當您從敵方靈井採集靈力，此生物獲得+1/+1。
113.cardName;崔頓聖地
113.cardText;每當您採集靈力，此建築獲得+0/+1.\n{activate} ： 摧毀此建築並獲得 {faeria|1} 靈力。
114.cardName;奧羅拉之夢
114.cardText;抽牌直到您有9張手牌。將您所有的手牌費用減至{faeria|0}。
115.cardName;暴雪槍騎兵
115.cardText;{jump}\n每當您施放一張法術，此生物於本回合獲得+2/+0(最多+6/+0)。
116.cardName;盧達安
116.cardText;每當此生物自敵方靈井採集靈力，將一張隨機的藍色卡牌放入您的手牌，其費用減少{faeria|2}。
117.cardName;夢幻蛋
117.cardText;當你下次抽到一張非傳說生物，夢幻蛋會變成它的複製品。
118.cardName;加百列執政官
118.cardText;{charge|2}\n當您施放過兩張原始費用大於等於{faeria|7}的卡牌，此生物獲得+2/+2。
119.cardName;崔頓潛水伕
119.cardText;{aquatic}、{jump}。
120.cardName;潮汐湧動
120.cardText;{options|移動一座地塊|抽一張牌}\n- 移動一座地塊。\n- 抽一張牌。
121.cardName;潮汐先知
121.cardText;{gift}：移動此生物所在的地塊兩次。
122.cardName;懾人幻視
122.cardText;將目標生物的攻擊力和生命值減半(無條件捨去)。
123.cardName;遠古傳令官
123.cardText;{gift}：您下一次抽得生命值大於等於5的生物牌時，該生物的召喚費用減少{faeria|2}。
124.cardName;崔頓盛宴
124.cardText;給予目標生物+1/+1和{jump}。
125.cardName;奧羅拉，神話之始
125.cardText;{gift}：將另一個友方生物的攻擊力和生命值變成6/6。
126.cardName;塑浪師
126.cardText;對手回合結束時，將所有玩家的靈力變為{faeria|3}。
127.cardName;失敗實驗
127.cardText;你此回合召喚的下個生物費用減少{faeria|4}。該生物於召喚後會立即死亡
128.cardName;奧羅拉的詭計
128.cardText;獲得攻擊力小於等於2的目標生物控制權。
129.cardName;青蛙快打
129.cardText;召喚2個具有{jump}的2/2<b>青蛙</b>。
130.cardName;風賜橫財
130.cardText;獲得{faeria|12}
131.cardName;薩迦密勇士
131.cardText;{dash|2}
132.cardName;骸骨收藏家
132.cardText;每當一個相鄰的生物死亡，此生物獲得+1/+1。
133.cardName;薩迦密繫魂師
133.cardText;{last_words}：隨機一個友方生物獲得+3/+5。
134.cardName;薩迦密守林員
134.cardText;{gift} - 您可將另一隻場上友方生物瞬移到由您控制的一塊{green}。
135.cardName;上古馴獸師
135.cardText;每當您召喚生命值大於等於5的生物時，給予該生物+1/+1。
136.cardName;蓋亞恩賜
136.cardText;目標生物獲得+0/+3生命值。您獲得3點生命值。
137.cardName;堤基酋長
137.cardText;{gift}：給予目標生物{taunt}。
138.cardName;繁花精靈
138.cardText;{last_words}：將一張隨機的綠色卡牌放入你的手牌，其費用減少{faeria|3}。
139.cardName;密林隱者
139.cardText;{last_words}：給予隨機一個友方生物+2/+4。
140.cardName;堤基守護者
140.cardText;{gift}：目標生物獲得+2/+2。
141.cardName;堤基吹笛手
141.cardText;{gift}：目標生物獲得+0/+4。
142.cardName;通靈之舞
142.cardText;目標生物獲得+0/+4和{taunt}。
143.cardName;堤基圖騰
143.cardText;給予每回合您召喚的第一個生物+1/+1。
144.cardName;著魔巨熊
144.cardText;此生物受到傷害後，加倍其攻擊力。
149.cardName;橡樹精靈
149.cardText;{last_words}：給予隨機一張手牌中的綠色生物+5/+5。
150.cardName;泰瑞亞魔像
151.cardName;播種者
151.cardText;{gift} - 在隨機鄰接地塊創造{green}。
152.cardName;藤蔓之牆
152.cardText;{taunt}\n{last_words} - 隨機創造{green}。
153.cardName;密林灰熊
154.cardName;堤基醫者
154.cardText;{gift} ： 獲得5點生命
155.cardName;茹妮的祭祠
155.cardText;{gift}：獲得{faeria|2}。\n{last_words}對手獲得{faeria|2}。
156.cardName;橡樹老爹
156.cardText;{gift} - 您每控制一塊{green}，都會使該生物獲得+0/+1增益。
157.cardName;靈力之樹
157.cardText;{production}：此建築獲得+0/+1生命值。\n當此建築的生命值大於等於5時，此建築會自我摧毀並使您獲得{faeria|10}。
158.cardName;垂柳樹人
158.cardText;{taunt}
159.cardName;野性成長
159.cardText;隨機創造{green}。
168.cardName;遠古巨像
168.cardText;您擁有的每座特殊地塊，都會讓此生物的召喚費用減少{faeria|1}(最低費用{faeria|6})。
169.cardName;泰斯拉，荒野之魂
169.cardText;{flying}、{charge|2}\n{gift}：目標生物獲得 +5/+5。
170.cardName;木元素
170.cardText;{taunt}\n{gift} - 創造{green}。
171.cardName;花錦仙靈
171.cardText;{flying}\n您下一次抽到法術牌時，此生物獲得+1/+4、{taunt}和{charge|2}。
172.cardName;蔓生之塔
172.cardText;{activate}：給予目標生物+1/+1，對此建築物造成1點傷害。
173.cardName;繁花幽光
173.cardText;每次您創造{green}，該生物都會獲得+1/+1增益。
174.cardName;重生精魂
174.cardText;每當另一個友方生物死亡，給予您手中隨機一張生物牌+1/+1。
175.cardName;密林之擁
175.cardText;目標生物獲得+2/+4。
176.cardName;茹妮的信使
176.cardText;{jump}\n每當此生物攻擊主神時，將一張隨機綠色生物放入您的手牌，其費用減少{faeria|2}。
177.cardName;蒼綠之力
178.cardName;叢林守護者
178.cardText;{taunt}
179.cardName;塔倫，世界樹
179.cardText;{taunt}\n{last_words}：使世界充滿森林。
180.cardName;垂淚神像
180.cardText;每當您受到傷害，獲得{faeria|1}。
181.cardName;操地術
181.cardText;{options|將您的一塊地塊轉換為{green}|將您的一塊地塊轉換為{blue}|將您的一塊地塊轉換為{red}|將您的一塊地塊轉換為{yellow}}\n將您的一塊地塊轉換為選定的顏色並抽取一張卡牌。
182.cardName;野性復仇者
182.cardText;{taunt}、{dash|2}\n每當您受到傷害，此生物獲得+0/+1。
183.cardName;上古野豬
183.cardText;{dash|2}\n若您操控著生命值大於等於5的生物，此生物的召喚費用減少{faeria|2}。
184.cardName;茹妮的引導
184.cardText;給予一個目標：\n- 生物：+2/+2\n-主神：5生命
185.cardName;飢渴之聲
185.cardText;{gift}：摧毀所有相鄰友方生物，此生物獲得因此而摧毀之總和的攻擊力與生命值。
186.cardName;林間幼苖
186.cardText;{production}：若此生物的生命值小於5，則獲得+1/+1。
187.cardName;珥頓，萬物之音
187.cardText;{last_words}：給予所有您手牌及牌組中的生物+1/+1。
188.cardName;野林獻祭
188.cardText;摧毀一個友方生物，獲得等同於其生命值的靈力並抽一張牌。
189.cardName;茹妮之靈
189.cardText;將一張隨機綠色生物放入您的手牌，給予該生物+6/+6。
190.cardName;茹妮，堅韌之心
190.cardText;{dash|2}\n{last_words}：回合結束時將茹妮返回到您的手牌，並獲得+2/+2。
191.cardName;黑幫暴匪
191.cardText;{combat}：獲得{faeria|2}。
192.cardName;狗頭人軍閥
192.cardText;{combat}：給予隨機一個友方生物+3/+0。
193.cardName;狗頭人戰獸
194.cardName;鋼鐵饋禮
194.cardText;給予目標生物+3/+0。若該生物有<b>戰鬥</b>異能，改為獲得+3/+3。
195.cardName;黑幫首領
195.cardText;{combat}：獲得{faeria|2}。
196.cardName;建築師
196.cardText;{gift}：給魚目標建築+0/+2。
197.cardName;食人魔貴族
197.cardText;{gift}：若對手的生命值小於等於10，此生物獲得+2/+2。
198.cardName;狗頭人軍營
198.cardText;相鄰友方生物+2/+0。
199.cardName;仇恨之種
199.cardText;本場遊戲中，每當您召喚攻擊力大於生命值的生物時，召喚費用減少{faeria|1}。
200.cardName;食人魔勇士
200.cardText;{taunt}
201.cardName;魯莽議價人
201.cardText;{gift}：隨機一張手牌的費用減少{faeria|7}。
202.cardName;塞弗，血腥暴君
202.cardText;塞弗每摧毀一個生物，便會獲得該生物的原始攻擊力及生命值。
203.cardName;食人魔蠻族
204.cardName;克羅格，食人魔之王
204.cardText;{combat}：隨機一張手牌的費用減少{faeria|7}。
205.cardName;磨斧者
205.cardText;{gift}：召喚於敵方靈井相鄰的地塊時，此生物獲得+1/+1。
206.cardName;巨石投手
206.cardText;{ranged_attack}\n此生物進行攻擊時，造成的傷害會擴散予與目標相鄰的敵方。
211.cardName;邪碇狂徒
211.cardText;{combat}：對敵方主神造成2點傷害。
212.cardName;血頌師
212.cardText;每當一個敵方生物死亡，對敵方主神造成1點傷害。
213.cardName;塞弗的死士
213.cardText;{last_words}：對敵方主神造成2點傷害。
214.cardName;吐火小妖
214.cardText;{gift}：對目標敵方造成1點傷害。
215.cardName;恐懼領主
215.cardText;當主神受到傷害，此生物獲得等量的攻擊力。
216.cardName;邪碇之禍
216.cardText;{gift}：如果您控制另一個攻擊力大於生命值的生物，此生物獲得+2/+0。
217.cardName;血色方尖碑
217.cardText;每當一個敵方生物在戰鬥中死亡，對敵方主神造成1點傷害並獲得{faeria|1}。
218.cardName;殘酷守衛
218.cardText;{taunt}\n{combat}：對敵方主神造成2點傷害。
223.cardName;擲彈兵
223.cardText;{gift}：對一個相鄰的敵方生物或建築造成4點傷害。
224.cardName;大砲搬運工
224.cardText;{gift} - 沿直線將一個4/2的<b>機械體</b>發射到任一地塊上。
225.cardName;烈焰爆發
225.cardText;造成3點傷害。
226.cardName;火焰噴射器
226.cardText;{ranged_attack}\n每當此生物攻擊敵方主神，對所有敵方生物造成1點傷害。
231.cardName;火山巨像
231.cardText;{ranged_attack}\n本場遊戲中每當您對敵方主神造成傷害，此生物的召喚費用減少{faeria|1}(最低費用{faeria|5})。
232.cardName;格魯丹，群山之心
233.cardName;火元素
233.cardText;{gift} - 創造{red}。
234.cardName;炎錦仙靈
234.cardText;{flying}\n您下一次抽得法術牌時，此生物獲得+3/+1和{ranged_attack}。
235.cardName;無主孤塔
235.cardText;{activate}：造成1點傷害。對此建築造成1點傷害。
236.cardName;血焰幽光
236.cardText;每當一個敵方生物死亡，此生物獲得+2/+1。
237.cardName;撼地者
237.cardText;{gift}：對所有敵方造成1點傷害。
238.cardName;烈焰信使
238.cardText;每當您召喚一個攻擊力大於生命值的生物，此生物獲得+1/+1(當此生物位於您的牌庫或手牌時)。
239.cardName;熾炎火蜥
239.cardText;{gift}：對所有相鄰的敵方生物造成2點傷害。
240.cardName;血石精靈
240.cardText;每當友方生物從敵方靈井採集靈力，對敵方主神造成1點傷害。
241.cardName;塞弗之怒
241.cardText;對目標生物造成2點傷害；若該生物因此死亡，額外對其操控者造成2點傷害。
242.cardName;暴食植株
242.cardText;{taunt}\n{production}：對所有相鄰的敵方生物造成2點傷害。
243.cardName;烈焰爆彈
243.cardText;對目標生物或建築造成4點傷害。
244.cardName;火焰風暴
244.cardText;選擇一個區域。對所有位於或相鄰該區域的敵方生物造成3點傷害。
245.cardName;戰爭狂怒獸
245.cardText;每當此生物受到傷害，對敵方主神造成等量的傷害。
246.cardName;崩裂魔像
246.cardText;每當對手召喚一個生物，便會對此生物造成1點傷害。
247.cardName;食人魔之舞
247.cardText;隨機一張手牌的費用減少{faeria|7}。
248.cardName;隕星墜落
248.cardText;摧毀目標及相鄰位置上的所有生物、建築和地塊。
249.cardName;紅魔鬼
249.cardText;{gift}：獲得{faeria|5}。
250.cardName;伊努斯，原初烈焰
250.cardText;當你從神力輪選擇+{faeria|1}時，隨機分配4點傷害予敵方。
251.cardName;奧拉丁僧侶
251.cardText;{haste}\n每當此生物攻擊主神，抽一張牌。
252.cardName;哈里姆的祈禱
252.cardText;獲得{faeria|2}並抽一張牌。當您在本回合中攻擊過主神才能施放，您每回合只能施放一次哈里姆的祈禱。
253.cardName;哈里姆的追隨者
253.cardText;{haste}\n攻擊主神時額外+2/+0。
254.cardName;奧拉丁聖堂騎士
254.cardText;{dash|1}\n攻擊主神時額外+3/+0。
255.cardName;奧拉丁射手
255.cardText;{ranged_attack}\n每當友方生物主神時，獲得{faeria|1}。
256.cardName;奧拉丁狂信者
256.cardText;{jump}\n{gift}：你可以移動一個友方生物。
257.cardName;沙漠龍捲風
257.cardText;將一隻生物傳送到由您控制的一塊{yellow}。
258.cardName;風之港
258.cardText;您可以將生物召喚於此建築相鄰的地塊上。\n{activate}：移動此建築。
259.cardName;惡意精魂
259.cardText;{gift}：奪取敵方主神2點生命。
260.cardName;哈里姆，穹蒼逸才
260.cardText;{flying}、{charge|2}\n每當哈里姆攻擊敵方主神時，將一張<b>哈里姆的追隨者</b> 放入您的手牌，其費用為{faeria|0}。
261.cardName;殺戮闇影
262.cardName;遺願惡鬼
262.cardText;{last_words}：獲得{faeria|2}。
263.cardName;最終夢魘
263.cardText;摧毀目標生物。
264.cardName;靈魂契約
264.cardText;對您造成2點傷害並獲得{faeria|2}。
265.cardName;魂魄祭壇
265.cardText;{activate}：對您造成2點傷害並將一張6/1<b>殺戮闇影</b>放入您的手牌，其費用為{faeria|2}。
266.cardName;撒但惡魔
266.cardText;{production}：對此生物的操控者造成2點傷害。
267.cardName;哈里姆的哨衛
267.cardText;{flying}\n 可召喚於我方生物旁邊。
268.cardName;哈里姆的試煉
268.cardText;目標生物獲得+1/+0、{flying}和{charge|2}。
273.cardName;風之兵
273.cardText;{haste}、{charge|3}\n此生物在回合結束時死亡。
274.cardName;龍頭旗艦
274.cardText;{flying}\n您抽得的{flying}生物獲得+1/+1。
275.cardName;御風密使
275.cardText;{flying}\n當您操控另一個飛行生物時，此生物額外+2/+0。
276.cardName;撒但拾荒者
276.cardText;如果您本回合攻擊過主神，此生物費用減少{faeria|2}。
277.cardName;沙丘飛龍
277.cardText;{flying}、{charge|2}\n此生物無法採集靈力。
278.cardName;御風英豪
278.cardText;{flying}、{charge|5}\n{gift}：移動目標生物。
287.cardName;風暴巨像
287.cardText;{dash|3}\n本場遊戲中，您施放的每個法術都會讓此生物的召喚費用減少{faeria|1}(最低費用{faeria|5})。
288.cardName;亞札萊，沙漠之怒
288.cardText;{flying}、{charge|2}\n{gift}：亞札萊奪取每個敵方生物2點攻擊力。
289.cardName;風元素
289.cardText;{flying}\n{gift} - 創造{yellow}。
290.cardName;日錦仙靈
290.cardText;{flying}\n您下一次抽得法術牌時，此生物獲得+3/+1和{charge|3}。
291.cardName;天界之塔
291.cardText;{activate}：目標生物於此回合獲得{charge|3}。對此建築造成1點傷害。
292.cardName;疾風幽光
292.cardText;{flying}、{charge|3}\n每當友方生物攻擊主神，此生物獲得+3/+0。
293.cardName;閃瞬疾風
294.cardName;黃金鳥舍
294.cardText;您的飛行生物獲得+1/+0。
295.cardName;狂熱鬥士
295.cardText;{charge|2}\n每當您攻擊主神時，此生物獲得+1/+1(當此生物位於您的牌庫或手牌時)。
296.cardName;凱追士兵
297.cardName;荒蕪之主
297.cardText;{gift}：您可以犧牲另一個友方生物來獲得{faeria|3}。
298.cardName;撒但刺客
298.cardText;{deathtouch}\n{gift}：您可以犧牲另一個友方生物以使此生物獲得{protection}。
299.cardName;惡魔引路人
299.cardText;{gift}：您可以犧牲另一個友方生物，並在該位置召喚一個具有{flying}的5/2<b>惡魔之翼</b>。
300.cardName;闇行死神
300.cardText;{deathtouch}\n您必須犧牲另一個友方生物來召喚闇行死神。
301.cardName;遺境之誓
301.cardText;摧毀目標友方生物。在該位置召喚一個{charge|3}的6/3<b>遺境騎兵</b>。
302.cardName;撒但魔怪
302.cardText;{charge|2}\n每當友方生物死亡，此生物便獲得其攻擊力。
303.cardName;愛歐娜，眾生之愛
303.cardText;{flying}\n無法被攻擊。
304.cardName;惡魔之翼
304.cardText;{flying}
305.cardName;遺境騎士
305.cardText;{charge|3}
306.cardName;攝魂術
306.cardText;奪取目標生物2點生命。
307.cardName;抑息流沙
307.cardText;摧毁攻擊力小於等於3的目標生物。
308.cardName;末日門扉，遺境之口
308.cardText;當末日門扉的生命值大於等於13時，此建築會自我摧毀並召喚<b>歐斯楚格</b>。\n{activate}：摧毀一個友方生物，抽一張牌且末日門扉獲得+2生命值。
309.cardName;暴風射手
309.cardText;{ranged_attack}\n每當您施放一個法術，此生物於本回合額外+1/+0。
310.cardName;暴風騎士
310.cardText;{charge|2}\n每當您施放一個法術，此生物於本回合額外+2/+0(最多+6/+0)。
311.cardName;終極掠食者
311.cardText;{jump}\n{gift}：此生物獲得等同於目標生物的攻擊力和生命值。
312.cardName;冰岩巨獸
312.cardText;{taunt}、{protection}
313.cardName;雙魂幽影
313.cardText;{flying}\n可召喚於與友方生物相鄰的位置。\n{gift}：召喚另一個<b>雙魂幽影</b>。
314.cardName;爆刺棘獸
314.cardText;{dash|2}\n{gift}：隨機分配4點傷害予敵方。隨機分配+4/+4予友方生物。
315.cardName;噬魂者
315.cardText;{flying}、{charge|3}\n本場遊戲中，每個死亡的友方生物都會讓此生物獲得+1/+1(當此生物在你的牌庫或手牌時)。
316.cardName;災禍焰靈
316.cardText;{flying}、{haste}、{charge|2}\n{combat}：對敵方主神造成3點傷害。
317.cardName;加百列士兵
317.cardText;{aquatic}、{charge|3}
318.cardName;青蛙
318.cardText;{jump}
319.cardName;製圖師
319.cardText;{last_words} - 隨機創造{green}{blue}{red}{yellow}中的一個。
321.cardName;噬天獸
321.cardText;{flying}
322.cardName;憤怒的草原氂牛
322.cardText;{haste}
323.cardName;探索
323.cardText;創造一座草原並獲得{faeria|2}。
324.cardName;憤怒氂牛
324.cardText;{haste}
325.cardName;荊棘幽光
325.cardText;您每次創造{green}，該生物都會獲得+1/+0增益。
328.cardName;歐斯楚格，遺境之手
328.cardText;{flying}、{haste}、{charge|13}\n靈井停止生產靈力。
329.cardName;割喉強盜
330.cardName;野蠻騎兵
331.cardName;智慧
331.cardText;抽兩張牌。
332.cardName;療癒祈禱
332.cardText;獲得3點生命。
333.cardName;老子不給玩
333.cardText;您不能施放這張牌。
334.cardName;深邃智慧
334.cardText;抽5張牌。
335.cardName;叛軍飛刀手
335.cardText;{gift}：對敵方主神造成2點傷害。
336.cardName;連結點之精魂
336.cardText;{last_words}：將其操控者的生命值變為1。
337.cardName;神火風暴
337.cardText;對所有的敵方生物造成10點傷害。
338.cardName;潮汐之力
338.cardText;移動一座地塊。
339.cardName;疾風
339.cardText;移動一個友方生物。
340.cardName;西蘭勇士
342.cardName;寇金，神聖之焰
342.cardText;{divine}\n寇金在場上時，能使他的主人派洛斯感到放鬆。\n{production} - 寇金損失1點生命值。
350.cardName;三聖願
350.cardText;獲得3點生命並且將對手牌組頂端的三張卡牌複製到您的手牌，複製牌的費用減少{faeria|1}並轉換為{wild}。但您不能複製他人的三聖願卡牌。
351.cardName;叛軍滑翔兵
351.cardText;{flying}、{dash|2}\n此生物無法採集靈力。
352.cardName;光輝號，帝國飛艇
352.cardText;{flying}、{dash|3}\n光輝號的費用等同於您的生命值。\n{gift}：您獲得等同於您手牌數量的生命。
353.cardName;禁書典藏館
353.cardText;{production} – 抽取一張卡牌， 獲得{faeria|1}並對自己造成2點傷害。
354.cardName;掠夢者
354.cardText;{dash|3}\n{gift}：將目標主神的生命變為10。
355.cardName;野性樹靈
355.cardText;{jump}\n此生物無法採集靈力。\n每當此生物攻擊主神，您獲得5點生命值。
356.cardName;獵神者
356.cardText;{jump}\n只能攻擊主神。\n此生物無法採集靈力。
357.cardName;鮮血歌詠
357.cardText;隨機一張手牌的費用減少{faeria|2}，重覆此過程四次。對您造成4點傷害。
358.cardName;地獄火
358.cardText;隨機分配9點傷害予敵方。
359.cardName;末日滅絕
359.cardText;將您的靈力值變為{faeria|0}。將您的生命減半(向下捨棄)。摧毀所有生物和建築。結束這回合。
360.cardName;惱人狂蠅
360.cardText;{flying}\n此生物無法採集靈力。\n{last_words}：對此生物的操控者造成2點傷害。此生物重生於隨機位置。
361.cardName;長角氂牛
361.cardText;{last_words}：下一張你抽到的生物會獲得等同此生物的攻擊力。
362.cardName;傳說時刻
362.cardText;抽取牌庫中最上方的傳說卡。如果牌庫中沒有傳說卡，加入一張隨機顏色的傳說卡到你的手中。該張卡轉化為{wild}。
363.cardName;崔頓訓練員
363.cardText;{jump}\n{gift}：您下一個召喚的{jump}生物獲得+1/+1。
364.cardName;真實之音
364.cardText;{gift}：你可以將目標生物的攻擊力與生命值回復到原始數值。
365.cardName;戰爭傳令官
