QUEST_NAME_PUZZLE_DLC_YRUSH_2;神性干預
QUEST_NAME_PUZZLE_03;謎題03
QUEST_NAME_PUZZLE_02;謎題02
QUEST_NAME_PUZZLE_01;謎題01
ACT_LOYALTY_PATCH;忠誠版本
ACT_JALMYR_04;亞米爾，第四幕
ACT_JALMYR_03;亞米爾，第三幕
ACT_JALMYR_02;亞米爾，第二幕
ACT_JALMYR_01;亞米爾，第一幕
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;因為所以
ACT_DLC_ELEMENTS_TRIBES;蒼空聚落
ACT_DLC_ELEMENTS_REDBLUE;蒸汽機械
ACT_DLC_ELEMENTS_PAIRS;一個樣
ACT_DLC_ELEMENTS_MOBILITY;御風而行
ACT_DLC_ELEMENTS_LEGENDS;傳說們
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;危險的生物們
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;跨越世代的組合
ACT_DLC_ELEMENTS_CHALLENGE;挑戰
ACT_DLC_ELEMENTS_BOARD_CLEAR;擦拭石板
ACT_PUZZLE_TUTORIAL;教學謎題
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;氂牛攻擊
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;滅絕事件
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;邪碇荒原
QUEST_NAME_PUZZLE_DLC_HIPPO;勇敢的犧牲
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;憤怒巴魯
QUEST_NAME_PUZZLE_DLC_COMMANDER;離水的魚
QUEST_NAME_PUZZLE_DLC_BARRACKS;魚在天上飛
