ACCOUNT_DOES_NOT_EXIST;這個帳號不存在。
RECIPIENT_IS_OFFLINE;{0}目前不在線上。
RECRUITER_SET;邀請人設定成功！
SELECT_A_DECK;你必須選擇一副牌組。
SERVER_BUSY_TRY_AGAIN;伺服器忙碌中，請稍候再試。
SERVER_COULD_NOT_FIND_GAME;伺服器無法找到要求的遊戲。
SERVER_SHUTDOWN;伺服器即將在{0}分鐘重啟，你需要在重啟後重新連接遊戲。
SERVER_SHUTDOWN_CANCELED;伺服器取消重啟。
SERVER_SHUTDOWN_WARNING;伺服器即將在{0}分鐘後更新，對戰配對將於{1}鐘後關閉。
SPECTATED_PLAYER_LEFT_GAME;您觀戰的玩家已離開遊戲。
STEAM_FINALISE_TXN_FAILED;無法完成交易。
STEAM_ID_NOT_FOUND;未找到Steam帳號。
STEAM_INIT_TXN_FAILED;無法啟動交易。
STEAM_PRICE_CHANGED;此向商品的價格已調整，請重新嘗試。
STEAM_USER_INFO_NOT_FOUND;無法獲取Steam的用戶資料。
UPDATE_CLIENT_TO_PLAY;你需要更新客戶端才能進行遊戲。
UPGRADE_ACCOUNT_FAILED;帳戶更新失敗。
USER_ALREADY_SET_YOU_AS_RECRUITER;{0}已將你設定為邀請人。
USER_ALREADY_SIGNED_IN;用戶已登入，請於1分鐘後重試。如問題持續存在，請聯繫support@faeria.com
USER_NAME_INVALID;用戶名稱僅允許使用字母、數字、連字號、底線。
USER_NAME_RESERVED;此用戶名稱已被預定。
USER_NAME_SIZE_MAX_INVALID;用戶名稱最長為{0}。
USER_NAME_SIZE_MIN_INVALID;用戶名稱最短為{0}。
USER_NOT_FOUND;該用戶不存在：{0}
WRONG_ACTIVATION_KEY;啟動碼錯誤。
WRONG_DECK_SIZE;你的牌組須{0}張卡牌才可使用。
WRONG_LEVEL_FOR_ARENA;你必須達到等級{0}才可以進入潘朵拉。
WRONG_LEVEL_FOR_RANKED;你需要到達等級{0}來遊玩天梯。
ACCOUNT_IS_BANNED;這個帳號現在被封鎖。
NO_AVAILABLE_LORE_PAGES_LEFT;沒有可用的紀錄篇章！
WRONG_LEVEL_FOR_OVERSKY;你需要到達等級{0}來遊玩蒼空。
WRONG_LEVEL_FOR_PUZZLE;你需要到達等級{0}來遊玩謎題。
WRONG_LEVEL_FOR_BOSS;你需要到達等級{0}來遊玩世界首領。
WRONG_LEVEL_FOR_DRAGONS_LAIR;你需要到達等級{0}來進入龍之巢穴。
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;該平臺上的好友僅會在他們已連入網路後出現。
FRIEND_ADDED_SUCCESSFULLY;已成功添加好友！
ALREADY_FRIENDS;您已經是該玩家的好友。
