QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervention Divine
QUEST_NAME_PUZZLE_11;Puzzle 11
QUEST_NAME_PUZZLE_10;Puzzle 10
QUEST_NAME_PUZZLE_09;Puzzle 09
QUEST_NAME_PUZZLE_08;Puzzle 08
QUEST_NAME_PUZZLE_07;Puzzle 07
QUEST_NAME_PUZZLE_06;Puzzle 06
QUEST_NAME_PUZZLE_05;Puzzle 05
QUEST_NAME_PUZZLE_04;Puzzle 04
QUEST_NAME_PUZZLE_03;Puzzle 03
QUEST_NAME_PUZZLE_02;Puzzle 02
QUEST_NAME_PUZZLE_01;Puzzle 01
ACT_LOYALTY_PATCH;Patch de la Loyauté
ACT_JALMYR_04;Jalmyr Acte IV
ACT_JALMYR_03;Jalmyr Acte III
ACT_JALMYR_02;Jalmyr Acte II
ACT_JALMYR_01;Jalmyr Acte I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Pour la Cause
ACT_DLC_ELEMENTS_TRIBES;Tribus d'Outreciel
ACT_DLC_ELEMENTS_REDBLUE;À vapeur
ACT_DLC_ELEMENTS_PAIRS;Ils font la paire
ACT_DLC_ELEMENTS_MOBILITY;Chevaucheur des Vents
ACT_DLC_ELEMENTS_LEGENDS;Légendes
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Créatures Dangereuses
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Combo A Travers Les Ages
ACT_DLC_ELEMENTS_CHALLENGE;Défi
ACT_DLC_ELEMENTS_BOARD_CLEAR;Effacer l'Ardoise
ACT_PUZZLE_TUTORIAL;Puzzles du didacticiel
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Les Yaks Attaquent !
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Extinction des espèces
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Dépouilles de Shedim
QUEST_NAME_PUZZLE_DLC_HIPPO;Sacrifice Courageux
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Baloo faché
QUEST_NAME_PUZZLE_DLC_COMMANDER;Comme un poisson hors de l'eau
QUEST_NAME_PUZZLE_DLC_BARRACKS;Pêche à la volée
