ACCEPT;Accepter
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Jouer
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Vous devez accomplir les missions précédentes pour débloquer celle-ci.
CO_OP_POPUP_ALLY_SELECTION_TITLE;Invitez votre allié
CO_OP_POPUP_NO_ALLY;Aucun allié disponible
CO_OP_LOBBY_CANCELLED;Votre allié a annulé la mission
COUPON_REDEEM;Faire valoir
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Impossible de désenchanter cette carte pendant la recherche d'une partie.
CRAFT_LEGENDARY_ERROR;Vous ne pouvez pas forger de cartes légendaires
CRAFT_GOLD_CARD_ERROR;Vous ne pouvez pas forger de cartes mythiques
CRAFT_FOURTH_CARD;Vous possédez déjà 3 copies ou plus de cette carte.
CRAFT_NOT_ENOUGH_CHARGES;Vous n'avez pas assez de charges d'artisanat pour forger une carte
CRAFT_FULLY_CHARGED;Plein
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Vous devez être au minimum niveau {0} pour forger cette carte
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Fabriquer
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Désenchanter
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Désenchanter tous les excédents
CRAFT_MODE_UNAVAILABLE_TOOTIP;Vous devez être au niveau {0} pour pouvoir utiliser l'Artisanat
CRAFT_SECOND_LEGENDARY_CARD;Vous possédez déjà cette carte légendaire.
CREATE_BLUEPRINT_DECK;Créer
CREATE_YOUR_ACCOUNT;Créer votre compte.
DAILY_REWARD_NEXT;Suivant
DAILY_REWARD_TITLE;Récompense de connexion journalière
DAILY_REWARD_POPUP_TITLE;Bonus de connexion journalier !
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Afficher les cartes mythiques ?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Standard
DECKEDITOR_SAVETEXT;Sauvegarder
DECKLAYOUT_INCOMPLETE_TEXT;Incomplet
DECKSELECTION_SOLO_INFO;Voici l'écran de sélection de deck pour les missions. Retournez au menu principal pour créer ou éditer des decks.
DECK_EDITOR_BUY_BATTLE_CHEST;Achetez des coffres de combat pour obtenir plus de cartes.
DECK_EDITOR_FILTER_NO_RESULT;Aucune carte ne correspond à votre critère de recherche.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;Vous n'avez pas de carte bleue.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;Vous n'avez pas de cartes verte.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;Vous n'avez pas de cartes neutre.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;Vous n'avez pas de carte rouge.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;Vous n'avez pas de carte jaune.
DECK_SIZE;Taille du deck :
DECK_SLOT_PURCHASE;+5 Emplacements de Deck
DELETE;Supprimer
DISCONNECT;Déconnecté
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Vous devez avoir plus de {0} cartes pour pouvoir en désenchanter
DONE;Terminer
DROP_RUN;Quitter
DYNAMIC_BUNDLE_CONFIRM_WARNING;Bundle dynamique : Vous possédez déjà certains objets de ce bundle, le prix ci-dessous a été réduit en conséquence.
EDIT;Editer
ELITE_MISSIONS_BUTTON_TEXT;Boss du Monde
ELITE_MISSIONS_BUTTON_TOOLTIP;Niveau {0} requis
EMAIL_ADDRESS;Adresse mail
EMOTE_MENU_GREETINGS;Salutations
EMOTE_MENU_OOPS;Oups
EMOTE_MENU_TAUNT;Provocation
EMOTE_MENU_UNIQUE;Unique
EMOTE_MENU_WELL_PLAYED;Bien joué
EMOTE_MENU_WOW;Wouaw
END_TURN;Finir le tour
ENEMY_TURN;Tour adverse
ENTER_DECK_NAME;Saisir le nom du deck
ENTER_YOUR_RECRUITERS_NAME;Saisissez le nom de votre recruteur...
EVENING;Soirée
EVENT_BUTTON_TEXT_SEND;Envoyer
EVENT_EGG_HATCHING_HAS_EGG;On dirait bien que votre incubateur est vide. Si vous trouvez un nouvel oeuf, vous pouvez vous en occuper ici!\n\nVisionnez nos évènements en streaming sur notre chaîne Twitch FaeriaTV pour avoir une chance de recevoir un tout nouvel oeuf.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Voici votre couveuse. En sécurité et au chaud, vous n'avez plus qu'à attendre que votre oeuf éclose !\nPourquoi ne pas y jeter un oeil ? Peut-être n'en a-t-il plus pour longtemps...\nUne fois votre oeuf éclos, vous pouvez partir à la recherche d'un nouveau. Suivez le prochain tournoi mensuel pour obtenir un oeuf!
EVENT_HATCH_EGG_BUTTON;Éclosion
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Saisissez l'adresse e-mail de votre ami.
EVENT_TEXT_LOCK_OVERLAY;Remportez 5 parties Pandore pour débloquer la deuxième clé.
EVENT_TEXT_TITLE;Événement : invitez vos amis
EXIT_CRAFT_MODE;Artisanat
FAERIA_AVERAGE;Coût moyen en Faeria
FRIENDLIST;Liste d'amis
FRIENDLIST_FRIEND_REQUEST;Voir la demande d'ami
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Voir la suggestion
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Voir la suggestion de Steam
FRIENDLIST_GAME_INVITE;Voir la partie à laquelle on vous invite
FRIENDLIST_DISCORD_HINT;Rejoignez notre canal Discord pour vous tenir au courant.
FRIENDLIST_FRIEND;Ami
FRIENDLIST_INGAME;En jeu
FRIENDLIST_INVITE_TO_LOBBY;Inviter au salon
FRIENDLIST_INVITE_TO_TOURNAMENT;Inviter au tournoi
FRIENDLIST_IN_LOBBY;Dans un salon privé
FRIENDLIST_OFFLINE;Hors ligne
FRIENDLIST_ONLINE;En ligne
FRIENDLIST_RECENTLY_PLAYED;Récemment affronté
FRIENDLIST_REMOVE;Supprimer un ami
FRIENDLIST_REQUEST_INITIATOR;En attente de réponse
FRIENDLIST_REQUEST_RECIPIENT;Demande d'ami reçue
FRIENDLIST_SEND_MESSAGE;Envoyez un message
FRIENDLIST_SPECTATE_GAME;Rejoindre une partie en tant que spectateur
FRIENDLIST_SPECTATING;Spectateur
FRIENDLIST_SPECTATING_YOU;Spectateur de votre partie
FRIENDLIST_SUGGESTED;Suggéré
FRIENDLIST_SUGGEST_TO_LOBBY;Recommander au salon
FRIENDLIST_VIEW_PROFILE;Afficher le profil
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Demande d'ami envoyée
FX;Effets Spéciaux
GAME_CONNECTION_LOST_RECONNECTING;Connexion au jeu perdue. \nTentative de reconnexion...
GAME_HAS_CRASHED;Le jeu a planté ({0}). Quel monde cruel.
GEM_BONUS_AMOUNT;+ {0} Bonus
GEM_PURCHASE_POPUP_TITLE;Choix de Gemmes
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;Vous n'avez pas assez de Gemmes. Il est temps d'en acheter !
GENERAL;Général
GENERIC_BUTTON_TEXT_PLAY;Jouer
GENERIC_BUTTON_TEXT_SHOP;Boutique
GENERIC_GAMEPLAY_ATTACK;Attaque
GENERIC_GAMEPLAY_COST;Coût
GENERIC_GAMEPLAY_LIFE;Vie
GENERIC_GAMEPLAY_WILD_COST;Coût libre
GOT_IT;Compris !
GO_TO_CRAFT_MODE;Artisanat
GO_TO_SHOP_BUTTON_TEXT;Aller à la boutique
GOLD_MINER_HIRING_TITLE;Merci de m'avoir recruté !\nJe me mets au travail.
GOLD_MINER_REGULAR_GOLD;Salut {0} !\nVoilà tes cristaux.
GOLD_MINER_ABOVE_AVERAGE_GOLD;J'ai eu de la chance dans les mines !
GOLD_MINER_JACKPOT;Nom d'un yak, c'est le jackpot !
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Ça fait plaisir de te voir ! Tiens, voici des cristaux.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Heureux de te revoir ! Tiens, voilà tes cristaux.
GOLD_MINER_LONG_DELAY_JACKPOT;Vous êtes enfin de retour ! On a touché le jackpot !
GRAPHIC_QUALITY_HIGHER;Plus élevée
GRAPHIC_QUALITY_HIGHEST;Maximale
GRAPHIC_QUALITY_HIGH_IPAD;Élevée
GRAPHIC_QUALITY_LOWER;Basse
GRAPHIC_QUALITY_LOWEST;Minimale
GRAPHIC_QUALITY_LOW_IPAD;Faible
GRAPHIC_QUALITY_TITLE;Qualité
GUEST_ACCOUNT_NAME;Invité
INFO_NB_CONNECTED;Joueurs connectés : {0}
INFO_NB_FINDING_ARENA;Recherche d'une partie en mode Pandore : {0}
INFO_NB_FINDING_CLASSIC;Recherche d'une partie en mode Casual : {0}
INFO_NB_FINDING_CONSTRUCTED;Recherche d'une partie en mode Classé : {0}
INFO_NB_GAMES;Partie en cours : {0}
INFO_TIME_TO_FIND_GAME;Temps de recherche estimé : {0}
INGAME_DEFEAT;Défaite
INGAME_OPPONENT_STILL_MULLIGAN;Votre adversaire est encore en train de choisir les cartes qu'il souhaite remplacer
INGAME_ALLY_STILL_MULLIGAN;Votre allié choisit ses cartes
INGAME_PANDORA_OPENS;Pandore s'ouvre !
INGAME_PLAYER_TURN;Tour de {0}
INGAME_PUZZLE_SOLVED;Puzzle résolu
INGAME_PUZZLE_WIN_THIS_TURN;Gagnez en un tour !
INGAME_VERSUS;Contre
INGAME_VICTORY;Victoire
INGAME_YOUR_TURN;À vous !
INVITED_TO_LOBBY;{0} vous invite à jouer une partie.
ITEM_RARITY_COMMON;Commune
ITEM_RARITY_EPIC;Épique
ITEM_RARITY_LEGENDARY;Légendaire
ITEM_RARITY_RARE;Rare
ITEM_VALUE;Valeur
KEEP;GARDER
KICKED_FROM_LOBBY;Vous avez été expulsé du salon.
LANE_COMPLETED_QUEST;Terminé !
LANE_NEW_QUEST;Nouveau !
LANE_UNLOCKED;Déverrouillé !
LANGUAGE;Langue :
LEAGUE_UP;Ligue supérieure !
LEGENDARY_CARD_LIMIT_MESSAGE;Les cartes légendaires sont limitées à 1 exemplaire par deck.
LEVEL;Niveau {0}
LOADING;Chargement
LOADING_LONG;Le chargement prend plus de temps que prévu.
LOBBY_ACCOUNT_SUGGESTED;Suggéré
LOBBY_DECK_PICKING_CANCELED;Sélection de deck annulée par {0}.
LOBBY_GAME_INVITE_PENDING;Invitation en attente...
LOBBY_KICK_PLAYER;Expulser le joueur
LOBBY_PLAYERS_IN_GAME;En attente des joueurs encore en jeu...
LOBBY_PLAYERS_PICKING_DECKS;Les joueurs sélectionnent leur deck...
LOBBY_PLAYER_1_STATUS;Joueur 1
LOBBY_PLAYER_2_STATUS;Joueur 2
LOBBY_READY_BUTTON_TEXT;Prêt
LOBBY_SET_PLAYER_1;Définir comme joueur 1
LOBBY_SET_PLAYER_2;Définir comme joueur 2
LOBBY_SET_SPECTATOR;Définir comme spectateur
LOBBY_SPECTATOR_STATUS;Spectateur
LOBBY_CO_OP_WITH;Avec
MAINMENU_BUTTON_BOOSTERS;Coffres
MAINMENU_BUTTON_COLLECTION;Collection
MAINMENU_BUTTON_DAILY_QUESTS;Quêtes journalières
MAINMENU_BUTTON_EVENT_END_TIME;Fin de l'événement dans {0} h et {1} min.
MAINMENU_BUTTON_FRIEND_LIST;Liste d'amis
MAINMENU_BUTTON_HOME;Accueil
MAINMENU_BUTTON_SETTINGS;Paramètres
MAINMENU_TITLE_BATTLE;COMBAT
MAINMENU_TITLE_PANDORA;PANDORE
MAINMENU_TITLE_SOLO;AVENTURE
MAINMENU_TITLE_VIEWPROFILE;Afficher le profil
MAP_QUEST_LOCKED;Verrouillé
MARKET_BUTTON_BUY_GEMS;Informations
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Lot
MARKET_CATEGORY_CARD_BACK;Dos de carte
MARKET_CATEGORY_EMOTES;Emote
MARKET_CATEGORY_ORB;Orbe
MARKET_CATEGORY_WELL;Puits
MARKET_FEATURED_TAB_AVATAR;Avatars
MARKET_FEATURED_TAB_BUNDLE;Lots
MARKET_FEATURED_TAB_CARD_BACK;Dos de carte
MARKET_FEATURED_TAB_EMOTE;Emotes
MARKET_FEATURED_TAB_ORB;Orbes
MARKET_FEATURED_TAB_WELL;Puits
MARKET_HOW_MANY_CHEST;Combien en voulez-vous ?
MARKET_ITEM_CONFIRM_PURCHASE;ACHETER
MARKET_ITEM_OWNED;Possédé
MARKET_MENU_FEATURED;À la une
MARKET_PROCESSING_ORDER;Patientez...
MARKET_ROTATINGITEMS_TITLE;Affaires du Jour
MARKET_TITLE;Boutique
MATCHES_FORMAT;Format du match :
MISSION_PACK_NPC_REWARD_TOOLTIP;En accomplissant la dernière mission de ce pack, vous obtiendrez un allié unique en récompense
MISSION_PACK_XP_REWARD_TOOLTIP;Voici le nombre total de points d'EXP que vous gagnerez en accomplissant les missions de ce pack
MORNING;Matinée
MULLIGAN;Voulez-vous garder vos cartes ou repiocher ?
MULLIGAN_BUTTON_TEXT_CONFIRM;Confirmer
MULLIGAN_HINT_TEXT;Repiocher
MUSIC;Musique
MY_CHESTS;Mes Coffres
NEW_ACCOUNT_BUTTON;Créer un compte
NEW_ACCOUNT_LABEL;C'est votre première fois sur Faeria ?
NEW_ACCOUNT_WARNING;Si vous possédez déjà un compte Faeria, vous ne pourrez plus l'utiliser avec ce compte {0} !
NEW_CARD_HINT;Nouveau
NEW_DAILY_QUEST_RECEIVED;Vous avez reçu une nouvelle quête quotidienne !
NEW_DECK_NAME;Mon deck
NIGHT;Nuit
NO_DAILY_QUESTS_LEFT;Il ne vous reste plus de quête quotidienne. Revenez demain !
OBJECTIVES;Objectifs
OK;OK
OVERSKY;Outreciel
OVERSKY_ALL_CARDS_NAME;Toutes les cartes d'Outreciel
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Acheter l'île
OVERSKY_BUY_ISLAND_TEXT;Vous ne possédez pas encore cette île.\nVous devez l'acheter pour pouvoir bénéficier des récompenses de cette mission.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> nouvelles cartes seront ajoutées à votre collection à l'achat
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;Le prix du bundle a été réduit car vous possédez déjà cette île
OVERSKY_COSMETIC_SET_TOOLTIP;Incluant des objets légendaires uniques : un dos de carte, une paire de puits, un avatar et un orbe
OVERSKY_GET_POINTS_EMPEROR;Défi de l'Empereur
OVERSKY_GET_POINTS_MISSION;Mission d'Outreciel
OVERSKY_GET_POINTS_PVP;Victoire JcJ
OVERSKY_GET_POINTS_WILD_PACK;Pack de missions Élite terminé
OVERSKY_GET_POINTS_WORLD_BOSS;Boss de monde vaincu
OVERSKY_GETTING_POINTS;Récolter des points dans votre besace
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;Le puissant Empereur de Mirnast vous imposera un nouveau défi tous les jours. Gagnez des points pour votre besace à chaque première victoire de la journée.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Chaque jour, le puissant Empereur de Mirnast vous imposera un nouveau défi. Obtenez votre besace pour accéder à ce mode limité.
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Défi de l'Empereur
OVERSKY_ONE_ISLAND;Cette Île
OVERSKY_POINTS_REWARD;points pour votre besace
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Récompenses de votre Besace d'Aventurier
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Continuez à gagner des points dans votre Besace d'Aventurier pour débloquer autant de récompenses que possible ! Retrouvez ci-dessous la liste des récompenses ainsi que votre progression.
OVERSKY_POUCH_OWNED_ENDED;Votre Besace d'Aventurier s'est refermée
OVERSKY_POUCH_OWNED_END_DAYS;Votre Besace d'Aventurier s'ouvre immédiatement et se refermera dans {0} jour(s)
OVERSKY_POUCH_OWNED_END_HOURS;Votre Besace d'Aventurier s'ouvre immédiatement et se refermera dans {0} heure(s) et {1} minute(s)
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Récompenses de la Besace de l'Aventurier
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Achetez votre Besace d'Aventurier dès maintenant pour débloquer les récompenses ci-dessous - combien de points pouvez-vous gagner avant qu'elle ne se referme ?
OVERSKY_POUCH_NOT_OWNED_ENDED;C'est fini ! La Besace de l'Aventurier n'est plus disponible.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Votre Besace d'Aventurier se refermera dans {0} jour(s)
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Votre Besace d'Aventurier se refermera dans {0} heure(s) et {1} minute(s)
OVERSKY_POUCH_NAME;La Besace de l'Aventurier
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Une copie mythique de l'une de vos cartes d'Outreciel\n<size=60%>Si vous avez déjà la collection complète des versions mythiques des cartes d'Outreciel que vous possédez, vous recevrez cette récompense la prochaine fois que vous achèterez une île.</size>  
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Avatar et Emotes de Kaios
OVERSKY_POUCH_TOOLTIP;Améliorez votre besace pour obtenir des récompenses d'aventure exclusives ! Plus d'infos sur faeria.com/oversky.
OVERSKY_SHOP_SLIDER_ITEM_NAME;Contenu d'Outreciel
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Outreciel est arrivé - mettez la main sur le nouveau contenu ici !
OWNED_CARD_COUNT;Vous possédez {0} exemplaires de cette carte
PANDORA_GATE_OPENED;Votre série commence !
PANDORA_KEY_POOL_HELP_TEXT;Placez une pièce au centre de la porte pour entrer à Pandore !
PANDORA_LOSSES;Défaites
PANDORA_SHARD_1_FOUND;Premier Éclat trouvé
PANDORA_SHARD_2_FOUND;Deuxième Éclat trouvé
PANDORA_SHARD_3_FOUND;Troisième Éclat trouvé
PANDORA_SHARD_4_FOUND;Quatrième Éclat trouvé
PANDORA_SHARD_5_FOUND;Dernier Éclat trouvé
PANDORA_VICTORIES;Victoires
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Votre deck comporte trop de : {0}s. Il est impossible d'utiliser plus de {1} exemplaire(s) d'une carte légendaire dans les 3 decks.
PANTHEON_DECK_NOT_RESPECTED;Votre deck comporte trop de : {0}s. Il est impossible d'utiliser plus de {1} exemplaire(s) d'une carte non légendaire dans les 3 decks.
PASSWORDS_DO_NOT_MATCH;Les mots de passe ne sont pas identiques
PASSWORD_FIELD_CONFIRM;Confirmez le mot de passe*
PASSWORD_FIELD_MANDATORY;Mot de passe*
PASSWORD_FIELD_NEW;Nouveau mot de passe*
PASSWORD_MANDATORY;Mot de passe obligatoire
PASSWORD_TOO_LONG;Mot de passe trop long (maximum{0} caractères)
PASSWORD_TOO_SHORT;Mot de passe trop court.
PAUSE_MENU_TEXT;Pause
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0} : {1} restant(s)
PINK_CHESTS_NOT_YET_AVAILABLE;Une mystérieuse force semble vous empêcher d'approcher de ces coffres. Il n'est pas possible de les ouvrir... pour le moment.
PLAY_MENU_SOLO_STANDARD;Missions
PLAY_MENU_SOLO_OVERSKY;Outreciel
PLAYER_LEFT_TOURNAMENT;Le joueur {0} a quitté le tournoi. Le vainqueur par forfait est {1}.
PLAYER_LOST_CONNECTION;Le joueur {0} a été déconnecté.\nIl lui reste {1} secondes pour se reconnecter.
PRACTICE_BUTTON_TEXT;Entrainement
PRIVATE_LOBBY;Salon privé
PRIVATE_LOBBY_INFO;Bienvenue dans le salon privé. La partie commencera dès que les deux joueurs seront prêts.
PRIVATE_PLAY_ALLY_READY;Allié prêt !
PRIVATE_PLAY_OPPONENT_READY;L'adversaire est prêt.
PRIVATE_PLAY_PLAYER_READY;Vous êtes prêt.
PRIVATE_PLAY_READY;Annuler
PROFILE_BATTLERANK_TITLE;Combat
PROFILE_MENU_PROFILE;Profil
PROFILE_PANDORARANK_TITLE;Pandore
PROFILE_RANKINGS_TITLE;Classements
PROLOGUE_HINT_ATTACK;Inflige ce montant de dégâts en combat
PROLOGUE_HINT_COST;Coûte cette quantité de Faeria à jouer
PROLOGUE_HINT_LIFE;Encaisse ce montant de dégâts avant de mourir
PROLOGUE_SPEECH_BUBBLE;Terminez ces missions pour débloquer vos pouvoirs !
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Bonjour {0}!</size>\n\nVous jouez actuellement en tant qu'invité.\n\nValidez votre compte en entrant et en confirmant votre adresse mail. Vous serez alors récompensé de deux Coffres de Bataille (8 cartes) !
PROMPT_ACCOUNT_INFO_WELCOME;Création de compte
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;Le code d'activation a été envoyé à votre adresse e-mail.
PROMPT_BINDING_SUCCESS;Un lien a été envoyé à votre adresse e-mail.
PROMPT_CANCEL_GAME_SEARCHES;Votre recherche de partie sera annulée. Voulez-vous continuer ?
PROMPT_CHALLENGE_CONFIRMATION;Vous n'aurez qu'un seul essai pour remporter ce défi. Êtes-vous prêt ?
PROMPT_CONFIRM_USER_NAME;Choisissez bien, votre nom est définitif !
PROMPT_CRASH;Le jeu a planté :(
PROMPT_DECKEMPTY;Un joueur a perdu car il n'avait plus de cartes à piocher dans son deck.
PROMPT_DEFEAT;Défaite
PROMPT_DELETE_DECK_CONFIRMATION;Voulez-vous vraiment supprimer votre deck ?
PROMPT_DELETE_FRIEND_CONFIRMATION;Voulez-vous vraiment supprimer cet ami ?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Voulez-vous vraiment désenchanter tous vos excédents ?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Désenchanter cette carte altérera certains decks. Voulez-vous continuer ?
PROMPT_DOUBLE_KO;La partie a fini en match nul !
PROMPT_DROP_RUN_CONFIRMATION;Voulez-vous vraiment quitter ? Cela sera considéré comme {0} défaite(s) !
PROMPT_DUEL_PROPOSED;{0} vous défie en duel.
PROMPT_EMAIL_HELP_TEXT;Valider votre compte vous offre aussi les avantages suivants :\n\n\t-Récupération du mot de passe\n\t- Accès à nos forums
PROMPT_TEXT_LATER;Plus tard
PROMPT_EMAIL_TITLE_TEXT;Adresse e-mail
PROMPT_EMAIL_WELCOME;Validez votre compte et recevez 2 Coffres de Combat (8 cartes) !
PROMPT_EXIT_CONFIRMATION;Voulez-vous vraiment quitter ?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Accepter cette invitation ?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Accepter cette demande d'ami ?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Accepter cette suggestion d'ami Steam ?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Accepter cette suggestion d'ami ?
PROMPT_GAME_HAS_CRASHED;Le jeu a planté !
PROMPT_LOBBY_CANCEL_CONFIRMATION;Voulez-vous vraiment annuler et quitter le salon ?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Voulez-vous vraiment quitter le salon ?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Vos changements ne sont pas appliqués. Voulez-vous les annuler ?
PROMPT_NEW_BINDING;Avez-vous déjà un compte Faeria ?
PROMPT_NO_DECK_FOUND;Vous devez créer un deck pour pouvoir jouer
PROMPT_PASSWORD_CHANGE_SUCCESS;Mot de passe modifié avec succès pour le compte {0}.
PROMPT_REFUSED_INVITEE_PLAYING;Votre ami est en pleine partie
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Votre ami cherche déjà une partie.
PROMPT_RESET_PASSWORD;Changer de mot de passe
PROMPT_SAVE_DECK_FIRST;Voulez-vous conserver les modifications effectuées dans votre deck ?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Vous semblez n'avoir aucun problème avec les jeux de cartes. Voulez-vous passer le didacticiel ?
