LOADING_HINT_QUEST_0;Astuce : Vous gagnez {faeria|3} faeria au début de votre tour.
LOADING_HINT_RANDOM_IONA_LORE_2;Le rêve de tout barde ? Composer une ode digne d'Iona.
LOADING_HINT_RANDOM_YAK_LEVEL;Astuce : Il n'y a pas de niveau secret des Yaks.
LOADING_HINT_RANDOM_KROG_LORE_1;Krog passe son temps à *dire* à tout le monde qu'il est le roi des ogres.
LOADING_HINT_RANDOM_RAPALA_LORE_1;Un certain poisson veut juste voir le monde périr dans les flammes.
LOADING_HINT_RANDOM_THYRIAN_LORE_1;On dit que les Golems Thyrians viennent d'un paradis mythique au dessus des nuages.
LOADING_HINT_RANDOM_YAKNUS_LORE_1;Lord Yaknus, premier du nom, est reconnu comme le libérateur du joug et le porteur de toutes les charges.
LOADING_HINT_RANDOM_MAGNUS_LORE_1;Quand Magnus était enfant, Aurora lui a envoyé un rêve qui l'a mené jusqu'à la couronne.
LOADING_HINT_RANDOM_RUUNIN_LORE_1;Malgré ses protestations, les fidèles de Ruunin insistent pour l'enterrer convenablement à chaque fois qu'elle meurt.
LOADING_HINT_RANDOM_JALMYR_LORE_1;On dit que Jalmyr accordera un vœu à quiconque lui enseignera quelque chose de nouveau.
LOADING_HINT_RANDOM_GARUDAN_LORE_1;Garudan a toujours voulu être un artiste.
LOADING_HINT_RANDOM_HEXAGON_JOKE;Astuce : L'hexagone est une forme fantastique : il a six magnifiques côtés !
LOADING_HINT_RANDOM_SAGAMI_LORE_1;Entre les mains des Sagami, les esprits les plus hideux deviennent des gardiens sacrés.
LOADING_HINT_RANDOM_SAGAMI_LORE_2;Les Sagami assujettissent les esprits meurtriers au rôle de sentinelles sacrées.
LOADING_HINT_RANDOM_SEIFER_LORE_1;Le furet domestique de Seifer s'appelle Mortincelle.
LOADING_HINT_RANDOM_SEIFER_LORE_2;Un jour, Seifer a provoqué le Soleil en duel de regard. L'histoire ne dit pas qui a gagné...
LOADING_HINT_RANDOM_DROWNING;Astuce : Les créatures présentes sur des cases océan sans avoir Vol ou Aquatique meurent à la fin du tour de celui qui les contrôlent.
LOADING_HINT_RANDOM_PANDORA_GODS;Pandore est le monde où les rêves prennent forme. Fort heureusement, les dieux y sont admis.
LOADING_HINT_RANDOM_AURORA_DREAMS;Grâce à sa capacité d'entrer dans les rêves des gens, Aurora peut changer les destinées.
LOADING_HINT_RANDOM_MULTI_TAUNT;Astuce : Si plusieurs créatures provoquent la même cible, cette dernière peut attaquer n'importe laquelle.
LOADING_HINT_RANDOM_HOLD_EXPLORE;Astuce : Vous pouvez garder pour plus tard votre carte Explorer afin de renforcer vos créatures en synergie avec les évènements.
LOADING_HINT_RANDOM_FALCON_DIVE;Astuce : <i>Piqué du Faucon</i> est un excellent outil, très polyvalent, qui peut être intégré dans presque n'importe quel deck.
LOADING_HINT_RANDOM_SYLAND_HORSEMASTER;Astuce : Le <i>Cavalier des Sylandes</i> permet aux decks Rouge et Vert d'attaquer par surprise.
LOADING_HINT_RANDOM_GOD_HUNTER;Astuce : Le <i>Traqueur de Dieux</i> ne peut ni attaquer, ni bouger s'il est adjacent à une créature ayant Provocation.
LOADING_HINT_RANDOM_UNLIKELY_HERO;Astuce : L'effet de l'<i>Héroïne improbable</i> peut être activé en tapant l'orbe de l'adversaire.
LOADING_HINT_RANDOM_MOVING_WITH_JUMP_AND_CHARGE;Astuce : Les capacités Saut et Charge sont prises en compte dans le mouvement d'une créature provoqué par l'effet d'une carte.
LOADING_HINT_RANDOM_RADIANCE;Astuce : <i>Radiance</i> n'est pas affecté par les effets de réduction de coût.
LOADING_HINT_RANDOM_ELEMENTALS;Astuce : Les Élémentaires sont un bon moyen d'accélérer la création de terrains spéciaux.
LOADING_HINT_RANDOM_PANDORA_POINTS;Astuce : Accumulez des Points de Pandore chaque saison pour gagner des récompenses spéciales.
LOADING_HINT_RANDOM_PANDORA_CARD_BACK;Astuce : Finissez chaque saison au rang 15 ou supérieur pour gagner un dos de carte spécial.
LOADING_HINT_RANDOM_GOD_CARD_BACK;Astuce : Atteignez le rang divin pour recevoir un dos de carte unique chaque saison.
LOADING_HINT_RANDOM_SEASON_RESET;Astuce : La remise à zéro saisonnière des modes Classé et Pandore a lieu le premier lundi de chaque mois.
LOADING_HINT_RANDOM_HARVEST_ORDER;Astuce : Les créatures récoltent la Faeria de gauche à droite et de haut en bas du point de vue du joueur actif.
LOADING_HINT_RANDOM_TRANSFORM_WITH_HASTE;Astuce : Transformer une créature possédant Célérité peut lui faire perdre cette capacité et l'empêcher d'attaquer lors de ce tour.
LOADING_HINT_RANDOM_LAND_LOCK_COUNTER;Astuce : Si votre adversaire vous bloque à l'aide de ses terrains, déplacez l'une de vos créatures sur son territoire et créez un terrain vous appartenant sur une case océan vide.
LOADING_HINT_RANDOM_CANNOT_CANCEL_GIFT;Astuce : Vous ne pouvez pas annuler la mise en jeu d'une créature avec Don une fois que vous l'avez posée sur le plateau
LOADING_HINT_RANDOM_OROSEI_LORE;Orosei garde le royaume de Pandore et ses trésors.
LOADING_HINT_RANDOM_FUGORO_LORE;Fugoro pille les trésors du royaume de Pandore.
LOADING_HINT_RANDOM_GOKI_01;Fugoro a un neveu qui s'appelle Goki. Vous pouvez le trouver dans le boutique.
LOADING_HINT_RANDOM_WORLD_BOSSES;Venez à bout de tous les Boss Mondiaux pour débloquer l'Orbe des Champions et ses 3 joyaux.
LOADING_HINT_RANDOM_WILD_LANDS;Tous les terrains colorés permettent de payer le coût d'une carte en terrains prismatiques.
LOADING_HINT_RANDOM_CORRUPT_1;Astuce : Les créatures corrompues adorent les ruses de déplacements !
LOADING_HINT_RANDOM_CORRUPT_2;Astuce : Ne laissez pas les créatures ennemies corrompre vos terrains !
LOADING_HINT_RANDOM_CRUCIBLE;Vous pouvez vous entraîner aux tournois dans les salons privés avec vos amis.
LOADING_HINT_RANDOM_FALL_OF_EVERLIFE;La corruption se répand en Outreciel depuis que Kaios a mangé le fruit de l'Arbre d'Éternité.
LOADING_HINT_RANDOM_TRIBAL;Certaines cartes gagnent des avantages tribaux. Les yaks adorent former un troupeau <3.
LOADING_HINT_RANDOM_LORE_BOOK;Collectez des histoires en complétant la Quête d'Histoire quotidienne ou en ouvrant des coffres mythiques.
LOADING_HINT_RANDOM_DECK_COSMETICS;Vous pensez avoir trouvé le cosmétique parfait pour votre nouveau deck ? Choisissez un set de cosmétiques assortis dans l'éditeur de decks.
LOADING_HINT_RANDOM_DRAGONS_LAIR;Combattez de nouveaux dragons tous les jours dans l'Antre des Dragons.
