1.cardName;Apprenti fermier
97.cardText;{gift} - Invoque un <b>Poisson Rubis</b> 1/1 (peut être invoqué sur une case océan).
102.cardName;Disciple d'Aurora
102.cardText;Gagne +1/+1 à chaque fois que vous jouez un évènement.
103.cardName;Carapace robuste
103.cardText;{aquatic}
104.cardName;Baeru, la Vague Originelle
104.cardText;{aquatic}\n{production} - Transforme tous les terrains adjacents en {blue}
105.cardName;Rejeton des tempêtes
105.cardText;{last_words} - Gagnez {faeria|10}.
106.cardName;Fable de la Vieille Tortue
106.cardText;Piochez 3 cartes. Toutes les créatures piochées de la sorte coûtent {faeria|2} de moins.
107.cardName;Colosse Brisécume
107.cardText;Coûte {faeria|1} de moins pour chaque fois où vous avez récolté de la faeria dans un puits ennemi pendant la partie (minimum : {faeria|4}).
108.cardName;Oroseï, Songe des Profondeurs
108.cardText;{flying}, {charge|2}\n{gift} - Transforme toutes vos autres créatures en créatures au coût accru de {faeria|2}.
109.cardName;Élémentaire des eaux
109.cardText;{jump}\n{gift} - Crée un {blue}
110.cardName;Faë de Gemmesoie
110.cardText;{flying}\nGagne +2/+2 et {charge|2} la première fois que vous piochez un évènement.
111.cardName;Tour engloutie
111.cardText;{activate} - Déplacez un terrain. Cette structure s'inflige 1 point de dégâts.
112.cardName;Follet azuré
112.cardText;Gagne +1/+1 chaque fois que vous récoltez des faeria depuis un puits adverse.
113.cardName;Sanctuaire des Tritons
113.cardText;Gagne 1 PV à chaque fois que vous récoltez de la faeria.\n{activate} - S'autodétruit. Gagnez un nombre de {faeria|1} équivalent à ses PV.
114.cardName;Rêve d'Aurora
114.cardText;Piochez jusqu'à avoir 9 cartes. Le coût de toutes les cartes de votre main est désormais de {faeria|0}.
115.cardName;Lancier du blizzard
115.cardText;{jump}\nGagne +2/+0 durant ce tour à chaque fois que vous jouez un évènement (maximum +6/+0).
116.cardName;Luduan
116.cardText;Chaque fois que cette créature récolte des faeria depuis un puits adverse, ajoutez une carte bleue aléatoire à votre main. Son coût est réduit de {faeria|2}.
117.cardName;Œuf des merveilles
117.cardText;La première fois que vous piochez une créature non-légendaire, l'Œuf des merveilles en devient la copie.
118.cardName;Archonte de Gabria
118.cardText;{charge|2}\nGagne +2/+2 si vous avez joué au moins deux cartes coûtant {faeria|7} ou plus.
119.cardName;Plongeur Triton
119.cardText;{aquatic}, {jump}
120.cardName;Caprices des marées
120.cardText;{options|Déplace un terrain|Piochez une carte}\nDéplace un terrain.\nPiochez une carte.
121.cardName;Prophète des marées
121.cardText;{gift} - Déplacez deux fois le terrain de cette créature.
122.cardName;Vision d'humilité
122.cardText;Divise les PV et l'attaque de base d'une créature par deux (arrondis au nombre inférieur).
123.cardName;Héraut antique
123.cardText;{gift} - La prochaine créature que vous piochez avec 5 PV ou plus coûte {faeria|2} de moins.
124.cardName;Banquet des Tritons
124.cardText;Donne à une créature +1/+1 et {jump}.
125.cardName;Aurora, Faiseuse de Mythes
125.cardText;{gift} - Change une créature alliée en 6/6.
126.cardName;Sculpteur de vagues
126.cardText;À la fin du tour de votre adversaire, les faeria de TOUS les joueurs deviennent égaux à {faeria|3}.
127.cardName;Expérience ratée
127.cardText;La prochaine créature que vous jouez lors de ce tour coûte {faeria|4} de moins. Elle meurt instantanément.
128.cardName;Ruse d'Aurora
128.cardText;Prenez le contrôle d'une créature dont l'attaque est inférieure ou égale à 2.
129.cardName;Grenouilles de combat
129.cardText;Invoque deux <b>Grenouilles</b> 2/2 avec {jump}.
130.cardName;Cadeau du ciel
130.cardText;Gagnez {faeria|12}.
131.cardName;Guerrier Sagami
131.cardText;{dash|2}
132.cardName;Collectionneuse d'ossements
132.cardText;Gagne +1/+1 à chaque fois qu'une créature adjacente meurt.
133.cardName;Sagami à l'âme recluse
133.cardText;{last_words} - Donne +3/+5 à une créature alliée aléatoire.
134.cardName;Clameur des bosquets Sagami
134.cardText;{gift} - Vous pouvez téléporter une autre créature alliée vers une {green} que vous contrôlez.
135.cardName;Belluaire antique
135.cardText;Quand vous invoquez une créature ayant au moins 5 PV, lui donne +1/+1.
136.cardName;Grâce de Gaïa
136.cardText;Une créature gagne +0/+3. Gagnez 3 PV.
137.cardName;Chef de clan Tiki
137.cardText;{gift} - Donne {taunt} à une créature.
138.cardName;Esprit floral
138.cardText;{last_words} - Ajoute une carte verte aléatoire à votre main. Son coût est réduit de {faeria|3}.
139.cardName;Ermite de la forêt ancestrale
139.cardText;{last_words} - Donne +2/+4 à une créature alliée aléatoire.
140.cardName;Gardien de la forêt Tiki
140.cardText;{gift} - Donne +2/+2 à une créature.
141.cardName;Flûtiste Tiki
141.cardText;{gift} - Donne +0/+4 à une créature.
142.cardName;Danse chamanique
142.cardText;Donne +0/+4 et {taunt} à une créature.
143.cardName;Totem Tiki
143.cardText;Donne +1/+1 à la première créature que vous invoquez chaque tour.
144.cardName;Ours possédé
144.cardText;Cette créature double ses points d'attaque à chaque fois qu'elle reçoit des points de dégâts.
149.cardName;Chêneton
149.cardText;{last_words} - Donne +5/+5 à une créature verte aléatoire de votre main.
150.cardName;Golem Thyrian
151.cardName;Semeur
151.cardText;{gift} - Crée une {green} adjacente aléatoirement.
152.cardName;Mur de vignes
152.cardText;{taunt}\n{last_words} - Crée une {green} aléatoirement.
153.cardName;Grizzly des Bois Enfouis
154.cardName;Guérisseuse Tiki
154.cardText;{gift} - Gagnez 5 PV.
155.cardName;Temple de Ruunin
155.cardText;{gift} - Gagnez {faeria|2}.\n{last_words} - Votre adversaire gagne {faeria|2}.
156.cardName;Chêne patriarche
156.cardText;{gift} - Gagne +0/+1 pour chaque {green} que vous contrôlez.
157.cardName;Arbre à Faeria
157.cardText;{production} - Gagne 1 point de vie.\nQuand cette structure atteint 5 PV ou plus, elle s'autodétruit et vous gagnez {faeria|10}.
158.cardName;Saule vivant
158.cardText;{taunt}
159.cardName;Croissance sauvage
159.cardText;Crée une {green} aléatoirement.
168.cardName;Colosse primordial
168.cardText;Coûte {faeria|1} de moins pour chaque terrain spécial que vous contrôlez (minimum : {faeria|6}).
169.cardName;Tethra, Âme Sauvage
169.cardText;{flying}, {charge|2}\n{gift} - Donne +5/+5 à une créature.
170.cardName;Élémentaire des bois
170.cardText;{taunt}\n{gift} - Crée une {green}
171.cardName;Faë de Fleursoie
171.cardText;{flying}\nGagne +1/+4, {taunt} et {charge|2} la première fois que vous piochez un évènement.
172.cardName;Tour embrousaillée
172.cardText;{activate} - Donne +1/+1 à une créature. Cette structure s'inflige 1 point de dégâts.
173.cardName;Follet perpétuel
173.cardText;Gagne +1/+0 à chaque fois que vous créez une {green}.
174.cardName;Esprit du renouveau
174.cardText;Donne +1/+1 à une créature aléatoire de votre main à chaque fois qu'une autre créature alliée meurt.
175.cardName;Étreinte de la Forêt Ancestrale
175.cardText;Donne +2/+4 à une créature.
176.cardName;Messager de Ruunin
176.cardText;{jump}\nÀ chaque fois que cette créature attaque une divinité, ajoute une créature verte aléatoire à votre main. Elle coûte {faeria|2} de moins.
177.cardName;Puissance Verduralde
178.cardName;Gardien des bosquets
178.cardText;{taunt}
179.cardName;Tarum, Monde-Forêt
179.cardText;{taunt}\n{last_words} - Remplit le monde de forêts.
180.cardName;Idole en pleurs
180.cardText;Chaque fois qu'on vous inflige des blessures, gagnez {faeria|1}.
181.cardName;Jaillissement terrestre
181.cardText;{options|Transforme un de vos terrains en {green}|Transforme un de vos terrains en {blue}|Transforme un de vos terrains en {red}|Transforme un de vos terrains en {yellow}}\nTransforme la couleur d'un terrain que vous contrôlez.\nPiochez une carte.
182.cardName;Vengeur sauvage
182.cardText;{taunt},{dash|2}\nA +0/+1 pour chaque fois où vous avez reçu des points de dégâts durant la partie.
183.cardName;Sanglier antique
183.cardText;{dash|2}\nCoûte {faeria|2} de moins si vous contrôlez une créature à la vie supérieure ou égale à 5.
184.cardName;Auspices de Ruunin
184.cardText;Donne à une cible :\n- créature : +2/+2\n- divinité : 5 PV
185.cardName;Râle de la Faim
185.cardText;{gift} - Détruit toutes les créatures alliées adjacentes. Gagne un nombre de points d'attaque et de PV équivalent à la somme de leurs PV.
186.cardName;Jeune pousse
186.cardText;{production} - Gagne +1/+1 tant qu'elle a moins de 5 PV.
187.cardName;Eredon, Voix de Tous
187.cardText;{last_words} - Donne +1/+1 à toutes les créatures de votre deck et de votre main.
188.cardName;Retour à la Terre
188.cardText;Détruit une créature alliée pour gagner des faeria équivalents à ses PV. Piochez une carte.
189.cardName;Présence de Ruunin
189.cardText;Ajoute une créature verte aléatoire à votre main et lui donne +6/+6.
190.cardName;Ruunin, l'Eternelle
190.cardText;{dash|2}\n{last_words} - Replace Ruunin dans votre main à la fin du tour. Elle gagne +2/+2.
191.cardName;Brigand des souterrains
191.cardText;{combat} - Gagnez {faeria|2}.
192.cardName;Seigneur de guerre Kobold
192.cardText;{combat} - Donne +3/+0 à une créature alliée aléatoire.
193.cardName;Bête de guerre Kobold
194.cardName;Don de l'acier
194.cardText;Donne +3/+0 à une créature. Si elle a <b>Combat</b>, lui donne +3/+3 à la place.
195.cardName;Patron des catacombes
195.cardText;{combat} - Gagnez {faeria|2}.
196.cardName;Architecte
196.cardText;{gift} - Donne +0/+2 à une structure.
197.cardName;Ogre exalté
197.cardText;{gift} - Gagne +2/+2 si votre adversaire a 10 PV ou moins.
198.cardName;Caserne Kobold
198.cardText;Les créatures alliées adjacentes gagnent +2/+0.
199.cardName;Graine de Rancœur
199.cardText;Coûte {faeria|1} de moins pour chaque créature que vous avez invoquée et avec plus de points d'attaque que de PV.
200.cardName;Ogre batailleur
200.cardText;{taunt}
201.cardName;Marchandeur déloyal
201.cardText;{gift} - Une carte aléatoire de votre main coûte {faeria|7} de moins.
202.cardName;Seifer, Tyran Sanguinaire
202.cardText;Lorsque Seifer détruit une créature, il gagne un nombre de points d'attaque et de points de vie équivalent à l'attaque et aux PV d'origine de la créature détruite.
203.cardName;Ogre barbare
204.cardName;Krog, Roi des Ogres
204.cardText;{combat} - Une carte aléatoire de votre main coûte {faeria|7} de moins.
205.cardName;Affûteur de haches
205.cardText;{gift} - Gagne +1/+1 s'il est invoqué sur une case adjacente à un puits adverse.
206.cardName;Lanceur de rochers
206.cardText;{ranged_attack}\nQuand il attaque, il inflige également des dégâts aux ennemis adjacents à sa cible.
211.cardName;Brute Shedime
211.cardText;{combat} - Inflige 2 points de dégâts à votre adversaire.
212.cardName;Chante-sang
212.cardText;Inflige 1 point de dégâts à votre adversaire chaque fois qu'une créature ennemie meurt.
213.cardName;Sbire de Seifer
213.cardText;{last_words} - Inflige 2 points de dégâts à votre adversaire.
214.cardName;Cracheur de flammes
214.cardText;{gift} - Inflige 1 point de dégâts à un ennemi.
215.cardName;Seigneur de la Terreur
215.cardText;À chaque fois qu'une divinité reçoit des dégâts, cette créature gagne autant de points d'attaque.
216.cardName;Harceleur Shedime
216.cardText;{gift} - Gagne +2/+2 si vous avez une autre créature avec plus de points d'attaque que de PV.
217.cardName;Obélisque de sang
217.cardText;Chaque fois qu'une créature ennemie meurt au combat, infligez 1 point de dégâts à votre adversaire et gagnez {faeria|1}.
218.cardName;Garde funeste
218.cardText;{taunt}\n{combat} - Inflige 2 points de dégâts à votre adversaire.
223.cardName;Lance-bombes
223.cardText;{gift} - Inflige 4 points de dégâts à une créature ou structure ennemie adjacente.
224.cardName;Cannonier
224.cardText;{gift} - Projette un Mecha 4/2 sur un terrain en ligne droite.
225.cardName;Explosion de flammes
225.cardText;Inflige 3 points de dégâts.
226.cardName;Lance-flammes
226.cardText;{ranged_attack}\nChaque fois que cette créature attaque une divinité, infligez 1 point de dégâts à toutes les créatures ennemies.
231.cardName;Colosse volcanique
231.cardText;{ranged_attack}\nCoûte {faeria|1} de moins pour chaque tour où vous avez infligé des dégâts à votre adversaire (minimum : {faeria|5}).
232.cardName;Garudan, Cœur de la Montagne
233.cardName;Élémentaire de feu
233.cardText;{gift} - Crée une {red}
234.cardName;Faë de Flammesoie
234.cardText;{flying}\nGagne +3/+1 et {ranged_attack} la première fois que vous piochez un évènement.
235.cardName;Tour délabrée
235.cardText;{activate} - Infligez 1 point de dégâts à une cible. Cette structure s'inflige 1 point de dégâts.
236.cardName;Follet Feu-de-Sang
236.cardText;Gagne +2/+1 à chaque fois qu'une créature ennemie meurt.
237.cardName;Trembleterre
237.cardText;{gift} - Inflige 1 point de dégâts à TOUS les ennemis.
238.cardName;Sèmefeu
238.cardText;Tant que cette carte est dans votre deck ou votre main, gagne +1/+1 à chaque fois que vous invoquez une créature avec plus de points d'attaque que de PV.
239.cardName;Salamandre ardente
239.cardText;{gift} - Inflige 2 points de dégâts à tous les ennemis adjacents.
240.cardName;Esprit Pierre-de-Sang
240.cardText;À chaque fois que vous récoltez depuis un puits adverse, inflige 1 point de dégâts à votre adversaire.
241.cardName;Courroux de Seifer
241.cardText;Inflige 2 points de dégâts à une créature. Si elle meurt, inflige 2 points de dégâts à celui qui la contrôle.
242.cardName;Plante vorace
242.cardText;{taunt}\n{production} - Inflige 2 points de dégâts à toutes les créatures ennemies adjacentes.
243.cardName;Bombe incendiaire
243.cardText;Inflige 4 points de dégâts à une créature ou à une structure.
244.cardName;Tempête de feu
244.cardText;Choisissez un espace. Inflige 3 points de dégât à toutes les créatures ennemies sur cet espace ou un espace adjacent.
245.cardName;Combattant enragé
245.cardText;À chaque fois que cette créature subit des dégâts, elle inflige à votre adversaire un nombre de points de dégâts équivalent.
246.cardName;Golem croulant
246.cardText;À chaque fois que votre adversaire invoque une créature, cette créature s'inflige 1 point de dégâts.
247.cardName;Bal des Ogres
247.cardText;Une carte aléatoire de votre main coûte {faeria|7} de moins.
248.cardName;Météore
248.cardText;Choisissez une case. Détruisez toutes les créatures, structures et terrains sur cette case et sur les cases adjacentes.
249.cardName;Diable rouge
249.cardText;{gift} - Gagnez {faeria|5}.
250.cardName;Ignus, la Flamme Originelle
250.cardText;Quand vous sélectionnez +{faeria|1} dans la roue des pouvoirs, inflige 4 points de dégâts répartis aléatoirement entre les ennemis.
251.cardName;Moine Oradrim
251.cardText;{haste}\nÀ chaque fois que cette créature attaque une divinité, piochez une carte.
252.cardName;Prière de Khalim
252.cardText;Gagnez {faeria|2} et piochez une carte. Ne jouez cette Prière que si vous avez attaqué une divinité ce tour, et une fois par tour.
253.cardName;Fidèle de Khalim
253.cardText;{haste}\nA +2/+0 contre les divinités.
254.cardName;Templier Oradrim
254.cardText;{dash|1}\nA +3/+0 contre les divinités.
255.cardName;Sagittaire Oradrim
255.cardText;{ranged_attack}\nChaque fois qu'une créature alliée attaque une divinité, gagnez {faeria|1}.
256.cardName;Fanatique Oradrim
256.cardText;{jump}\n{gift} - Vous pouvez déplacer une créature alliée.
257.cardName;Tornade du désert
257.cardText;Téléportez une créature vers un {yellow} que vous contrôlez.
258.cardName;Porte du vent
258.cardText;Vous pouvez invoquer des créatures sur les cases adjacentes à cette structure.\n{activate} - Déplace la Porte du vent.
259.cardName;Esprit malfaisant
259.cardText;{gift} - Vous drainez 2 PV à votre adversaire.
260.cardName;Khalim, Prodige Céleste
260.cardText;{flying}, {charge|2}\nLorsque Khalim attaque une divinité, ajoutez un <b>Fidèle de Khalim</b> à votre main. Il coûte {faeria|0}.
261.cardName;Ombre du carnage
262.cardName;Goule morbide
262.cardText;{last_words} - Gagnez {faeria|2}.
263.cardName;Dernier cauchemar
263.cardText;Détruit une créature.
264.cardName;Pacte d'âmes
264.cardText;Infligez-vous 2 points de dégâts. Gagnez {faeria|2}.
265.cardName;Autel des âmes
265.cardText;{activate} - Vous inflige 2 points de dégâts et ajoute une <b>Ombre Massacrante</b> 6/1 à votre main. Elle coûte {faeria|2}.
266.cardName;Démon Shaytan
266.cardText;{production} - Vous inflige 2 points de dégâts.
267.cardName;Garde céleste de Khalim
267.cardText;{flying}\nPeut être invoqué sur une case adjacente à une créature alliée.
268.cardName;Entrainement de Khalim
268.cardText;Donne +1/+0, {flying} et {charge|2} à une créature.
273.cardName;Soldat du vent
273.cardText;{haste}, {charge|3}\nLe soldat du vent meurt à la fin du tour.
274.cardName;Drakkar céleste
274.cardText;{flying}\nChaque créature volante que vous piochez gagne +1/+1.
275.cardName;Émissaire Éolien
275.cardText;{flying}.\nA +2/+0 tant que vous contrôlez une autre créature volante.
276.cardName;Charognard Shaytan
276.cardText;Coûte {faeria|2} de moins si vous attaquez une divinité à ce tour.
277.cardName;Drakon des dunes
277.cardText;{flying}, {charge|2}\nNe peut pas récolter de faeria.
278.cardName;Champion Éolien
278.cardText;{flying}, {charge|5}\n{gift} - Déplace une créature.
287.cardName;Colosse tempétueux
287.cardText;{dash|3}\nCoûte {faeria|1} de moins pour chaque évènement que vous avez joué durant la partie (minimum : {faeria|5}).
288.cardName;Azaraï, Courroux du Désert
288.cardText;{flying}, {charge|2}\n{gift} – Azaraï draine 2 points d'attaque à chaque créature ennemie.
289.cardName;Élémentaire des airs
289.cardText;{flying}\n{gift} - Crée un {yellow}
290.cardName;Faë d'Heliosoie
290.cardText;{flying}\nGagne +3/+1 et {charge|3} la première fois que vous piochez un évènement.
291.cardName;Tour céleste
291.cardText;{activate} - Donne {charge|3} à une créature ce tour. S'inflige 1 point de dégâts.
292.cardName;Follet du vent
292.cardText;{flying}, {charge|3}\nGagne +3/+0 chaque fois que vous attaquez une divinité.
293.cardName;Vent éclair
294.cardName;Volière dorée
294.cardText;Toutes vos créatures volantes gagnent +1/+0.
295.cardName;Croisé zélé
295.cardText;{charge|2}\nTant que cette carte est dans votre deck ou votre main, gagne +1/+1 à chaque fois qu'une créature alliée attaque une divinité.
296.cardName;Soldat Keldran
297.cardName;Seigneur Nécrophage
297.cardText;{gift} - Vous pouvez sacrifier une autre créature pour gagner {faeria|3}.
298.cardName;Assassin Shaytan
298.cardText;{deathtouch}\n{gift} - Vous pouvez sacrifier une autre créature pour donner {protection} à cette créature.
299.cardName;Dresseur démoniaque
299.cardText;{gift} - Vous pouvez sacrifier une autre créature et invoquer une <b>aile de démon</b> 5/2 {flying} à sa place.
300.cardName;Marche-Mort
300.cardText;{deathtouch}\nVous devez sacrifier une autre créature pour invoquer celle-ci.
301.cardName;Serment de l'Oubli
301.cardText;Sacrifie une créature. Invoque un <b>Chevaucheur de l'Oubli</b> 6/3 avec {charge|3} à sa place.
302.cardName;Atrocité Shaytan
302.cardText;{charge|2}\nCette créature draine les points d'attaque des créatures alliées qui meurent.
303.cardName;Iona, la Bien-Aimée
303.cardText;{flying}\nNe peut être attaquée.
304.cardName;Aile démoniaque
304.cardText;{flying}
305.cardName;Chevaucheur de l'Oubli
305.cardText;{charge|3}
306.cardName;Drain d'âme
306.cardText;Draine 2 PV à une créature.
307.cardName;Sables mouvants
307.cardText;Détruit une créature à l'attaque inférieure ou égale à 3.
308.cardName;Doomgate, Portail vers l'oubli
308.cardText;Quand cette structure a au moins 13 PV, elle s'autodétruit et invoque <b>Ostregoth</b> à sa place.\n{activate} - Sacrifiez une créature puis piochez une carte. Cette structure gagne 2 PV.
309.cardName;Archer tempétueux
309.cardText;{ranged_attack}\nÀ chaque fois que vous jouez un évènement, gagne +1/+0 jusqu'à la fin du tour.
310.cardName;Chargeur tempétueux
310.cardText;{charge|2}\nÀ chaque fois que vous jouez un évènement, gagne +2/+0 jusqu'à la fin du tour (maximum : +6/+0).
311.cardName;Superprédateur
311.cardText;{jump}\n{gift} - Gagne une attaque et une vie égales à celles de n'importe quelle créature.
312.cardName;Béhémoth de Rocheglace
312.cardText;{taunt}, {protection}
313.cardName;Âme sœur
313.cardText;{flying}\nPeut être invoquée sur toute case adjacente à celle d'une créature alliée.\n{gift} - Invoque une autre <b>Âme Sœur</b>.
314.cardName;Beste de Gouffrépines
314.cardText;{dash|2}\n{gift} - Inflige 4 points de dégâts répartis aléatoirement entre les ennemis. Donne +4/+4 répartis aléatoirements entre les alliés.
315.cardName;Mangeur d'âmes
315.cardText;{flying}, {charge|3}\nTant que cette carte est dans votre deck ou votre main, elle gagne +1/+1 à chaque fois qu'une créature alliée meurt.
316.cardName;Spectre Fléau-des-Flammes
316.cardText;{flying}, {haste}, {charge|2}\n{combat} - Inflige 3 points de dégâts à votre adversaire.
317.cardName;Soldat de Gabria
317.cardText;{aquatic}, {charge|3}
318.cardName;Grenouille
318.cardText;{jump}
319.cardName;Cartographe
319.cardText;{last_words} - Crée une {green}, un {blue}, une {red} et un {yellow} aléatoirement.
