CARD_ALREADY_OWNED_TOOLTIP_TEXT;你拥有{0}张这张卡。
REWARD_FEATURE_DLC_386;嘎嘎娜云游记已解锁！
CARD_FILTER_GAGANA;嘎嘎娜
REWARD_FEATURE_DLC_390;你已解锁了所有灵泉！
REWARD_FEATURE_DLC_389;你已解锁了所有神座！
REWARD_FEATURE_DLC_388;你已解锁了所有卡背！
REWARD_FEATURE_DLC_387;你已解锁了所有头像！
GAMEPAD_REWARD_LORE_PAGE_CLICK_TO_READ;按{GAMEPAD_RIGHT_BUTTONS_LEFT}以阅读
MOUSE_ENGAGEMENT_PRESS_CONFIRM_TEXT;点击以开始游戏
GAMEPAD_ENGAGEMENT_PRESS_CONFIRM_TEXT;按任意键开始游戏
NON_XBOX_LIVE_PLAYERS_MIGHT_BE_PRESENT;非Xbox Live玩家可能会出现在此游戏模式中。
GAMEPAD_QUEST_BUTTON_TOOLTIP_TEXT;按{GAMEPAD_ACTION_CONFIRM}以开始战斗
PLATFORM_STEAM_ACCOUNT_BINDING_MESSAGE;如果这是你第一次使用Steam账号玩Faeria，系统会为你创建一个Faeria账号，并将其与你的Steam账号绑定。
PLATFORM_SWITCH_ACCOUNT_BINDING_MESSAGE;如果这是你第一次使用Nintendo账号玩Faeria，系统会为你创建一个Faeria账号，并将其与你的Nintendo账号绑定。
LORE_PAGE_LABEL;故事页面
ENTER_A_DECK_NAME;输入牌库名称
ENTER_COUPON_CODE;输入优惠券代码
ENTER_CARD_NAME;输入卡牌名称
ENTER_FRIEND_ID;输入好友支持ID
DLC_FEATURES_WELLS_PACK;该DLC包括当前游戏中的20多种灵泉和计划发布的额外灵泉。
DLC_FEATURES_ORBS_PACK;该DLC包括当前游戏中的30多种神座和计划发布的额外神座。
DLC_FEATURES_CARDBACKS_PACK;该DLC包括当前游戏中的20多种卡背和计划发布的额外卡背。
DLC_FEATURES_AVATARS_PACK;该DLC包括当前游戏中的50多个头像和计划发布的额外头像。
DLC_FEATURES_PREMIUM_EDITION;-双倍经验 - 来源不限！\n-以正常速度的两倍获取战斗宝箱和碎片。\n- 10个额外牌库槽\n-高级卡背\n-黄金Faeria标识\n- 5个装满饰品的神话宝箱\n-奖励碎片
DLC_FEATURES_PUZZLE_ELEMENTS;- 40个新谜题，难度从低到极难。\n-相当于10个神话宝箱的奖励\n-解锁获取“元素”卡背的技能
DLC_FEATURES_FALL_OF_EVERLIFE;-解锁了40种新卡牌\n-介绍腐蚀关键词\n-介绍子类：牦牛、瑞寇和野兽！\n-唯一的饰品套
DLC_FEATURES_RESURGENCE;-解锁了40种新卡牌\n-介绍崔顿子类\n-唯一的饰品套
DLC_FEATURES_CHRONICLES_OF_GAGANA;-解锁了40种新卡牌\n-介绍发现关键词\n-新的机人子类\n-唯一的饰品套
DLC_DESCRIPTION_WELLS_PACK;该DLC会立即解锁所有灵泉饰品，而这些饰品也能随着游戏的进程而逐步解锁。
DLC_DESCRIPTION_ORBS_PACK;该DLC会立即解锁所有神座饰品，而这些饰品也能随着游戏的进度而逐步解锁。
DLC_DESCRIPTION_CARDBACKS_PACK;该DLC会立即解锁所有卡背饰品，而这些饰品也能随着游戏的进程而逐步解锁。
DLC_DESCRIPTION_AVATARS_PACK;该DLC会立即解锁所有头像饰品，而这些饰品也能随着游戏的进程而逐步解锁。
DLC_DESCRIPTION_PREMIUM_EDITION;解锁高级Faeria体验！\n\n该DLC包同时提供了加速进度和专属物品。提供双倍经验 - 实现时间投入回报最大化，更多牌库槽、特殊装饰等。\n\n想要最有效率地玩Faeria吗？该内容包专为你量身打造。
DLC_DESCRIPTION_PUZZLE_ELEMENTS;你一直以来的谜题大师贾尔米尔退位让贤，让元素接管。\n\n该Faeria谜题包新增40个需要你绞尽脑汁来完成的挑战。\n\n你能战胜元素吗？\n\n警告：这当中的许多谜题都非常难！
DLC_DESCRIPTION_FALL_OF_EVERLIFE;帝王凯欧思消耗了永生之果，给云巅带来可怕的腐化。携手牦牛和瑞寇，击败它！
DLC_DESCRIPTION_RESURGENCE;腐化在世界蔓延，威胁着要污染所有善良和纯洁之物。新的怪物和恶徒加入帝国麾下，期望着分瓜战利品。\n\n尽管遭受巨大损失，决定要反击的人还是满怀希望。在新缔结的盟友的驰援下，尽管困难重重，胜利依然可期。
DLC_DESCRIPTION_CHRONICLES_OF_GAGANA;帝王凯欧思战败了，云巅获救了。\n\n为了找到应对一场即将到来的大灾难的解决方案，嘎嘎娜一行又进入未知领域展开探险。\n\n他们会遇到新的文明、新的大陆、新的生物…最后：嘎嘎娜的财宝。
DLC_SHOP_OPEN_SHOP;打开商店
DLC_SHOP_CONTENT_TITLE_TEXT;内容：
