ACCEPT;接受
CO_OP_POPUP_ALLY_SELECTION_TITLE;邀请你的盟友
CO_OP_POPUP_NO_ALLY;没有盟友
CO_OP_LOBBY_CANCELLED;你的盟友取消了任务
COUPON_REDEEM;兑换
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;在寻找比赛的时候不能分解这张卡牌
CRAFT_LEGENDARY_ERROR;你无法合成传说卡
CRAFT_GOLD_CARD_ERROR;你无法合成金卡
CRAFT_FOURTH_CARD;你已经拥有了3张或者更多该卡牌
CRAFT_NOT_ENOUGH_CHARGES;你没有足够的能量使用合成
CRAFT_FULLY_CHARGED;充能已满
CRAFT_ACCOUNT_LEVEL_TOO_LOW;你必须达到{0} 级才能合成这张卡。
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;合成
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;分解
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;分解所有多余卡牌
CRAFT_MODE_UNAVAILABLE_TOOTIP;你需要到达{0}级才可以合成卡牌
CRAFT_SECOND_LEGENDARY_CARD;你已经拥有这张传奇卡牌
CREATE_BLUEPRINT_DECK;创建
CREATE_YOUR_ACCOUNT;创建你的账号
DAILY_REWARD_NEXT;下一个
DAILY_REWARD_TITLE;每日登陆奖励
DAILY_REWARD_POPUP_TITLE;每日上线奖励！
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;显示金卡？
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;普通
DECKEDITOR_SAVETEXT;保存
DECKLAYOUT_INCOMPLETE_TEXT;不完全
DECKSELECTION_SOLO_INFO;这是任务模式卡牌选择界面。回到主菜单来创建或者编辑套牌。
DECK_EDITOR_BUY_BATTLE_CHEST;购买战斗宝箱来获取更多的卡牌。
DECK_EDITOR_FILTER_NO_RESULT;没有对应你搜索内容的卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;你没有蓝色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;你没有绿色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;你没有中立卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;你没有红色卡牌。
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;你没有黄色卡牌。
DECK_SIZE;套牌数量：
DECK_SLOT_PURCHASE;添加+5个牌组位
DELETE;删除
DISCONNECT;连接断了
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;你需要拥有超过{0}张卡牌才可以分解卡牌
DONE;完成
DROP_RUN;退出
DYNAMIC_BUNDLE_CONFIRM_WARNING;灵活包：你已经拥有了这个包里的物品，下面的价钱会相对的打折。
EDIT;编辑
ELITE_MISSIONS_BUTTON_TEXT;世界首领
ELITE_MISSIONS_BUTTON_TOOLTIP;需要{0}级
EMAIL_ADDRESS;电子邮箱
EMOTE_MENU_GREETINGS;你好
EMOTE_MENU_OOPS;哎呀，搞错了
EMOTE_MENU_TAUNT;嘲讽
EMOTE_MENU_UNIQUE;特殊
EMOTE_MENU_WELL_PLAYED;打得不错嘛
EMOTE_MENU_WOW;我靠
END_TURN;回合结束
ENEMY_TURN;对手回合
ENTER_DECK_NAME;输入套牌名称
ENTER_YOUR_RECRUITERS_NAME;输入你的招募人员名字...
EVENING;晚
EVENT_BUTTON_TEXT_SEND;发送
EVENT_EGG_HATCHING_HAS_EGG;看起来你的孵蛋器现在空了...不过如果你找到一个蛋，你可以在这里照顾它！\n\n来Twitch频道FaeriaTV观看我们的直播，就有机会获得你的宝贝龙蛋。\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;欢迎来到你的孵蛋器。直到它孵出来之前，你的蛋是安全，温暖的保存在这里！\n查看一下你的蛋是否还安全，说不定：你不需要再等太久喽...\n当你的蛋孵出来后，你可以再次寻找另个蛋，并保存到这里。敬请关注下次每月冠军杯决赛！
EVENT_HATCH_EGG_BUTTON;孵化你的蛋
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;输入你的朋友电邮邮箱
EVENT_TEXT_LOCK_OVERLAY;赢得5次潘多拉模式来解锁第二把钥匙。
EVENT_TEXT_TITLE;事件：邀请你的朋友
EXIT_CRAFT_MODE;合成
FAERIA_AVERAGE;通过faeria消耗数过滤
FRIENDLIST;好友名单
FRIENDLIST_FRIEND_REQUEST;查看好友请求
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;查看好友推荐
FRIENDLIST_STEAM_FRIEND_SUGGESTION;查看Steam好友推荐
FRIENDLIST_GAME_INVITE;查看游戏邀请
FRIENDLIST_DISCORD_HINT;加入我们的Discord频道，保持联系！
FRIENDLIST_FRIEND;好友
FRIENDLIST_INGAME;在游戏中
FRIENDLIST_INVITE_TO_LOBBY;邀请进入大厅
FRIENDLIST_INVITE_TO_TOURNAMENT;邀请进入比赛
FRIENDLIST_IN_LOBBY;在一个大厅
FRIENDLIST_OFFLINE;离线
FRIENDLIST_ONLINE;在线
FRIENDLIST_RECENTLY_PLAYED;刚对战的对手
FRIENDLIST_REMOVE;移除好友
FRIENDLIST_REQUEST_INITIATOR;等待回复
FRIENDLIST_REQUEST_RECIPIENT;好友邀请
FRIENDLIST_SEND_MESSAGE;发送消息
FRIENDLIST_SPECTATE_GAME;观看游戏
FRIENDLIST_SPECTATING;观看中
FRIENDLIST_SPECTATING_YOU;观看你的对战
FRIENDLIST_SUGGESTED;建议
FRIENDLIST_SUGGEST_TO_LOBBY;发送建议到大厅
FRIENDLIST_VIEW_PROFILE;看个人资料
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;好友邀请
FX;Fx
GAME_CONNECTION_LOST_RECONNECTING;游戏连接中断\n尝试重新连接中...
GAME_HAS_CRASHED;这个游戏对于这个世界太过于美丽了=。=所以游戏崩溃了({0})。
GEM_BONUS_AMOUNT;+ {0} 额外奖励
GEM_PURCHASE_POPUP_TITLE;选择宝石
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;你没有足够的宝石。是时候增加一些了！
GENERAL;全部
GENERIC_BUTTON_TEXT_PLAY;开始游戏
GENERIC_BUTTON_TEXT_SHOP;商店
GENERIC_GAMEPLAY_ATTACK;攻击
GENERIC_GAMEPLAY_COST;消耗
GENERIC_GAMEPLAY_LIFE;生命
GENERIC_GAMEPLAY_WILD_COST;野性花费
GOT_IT;知道了！
GO_TO_CRAFT_MODE;合成
GO_TO_SHOP_BUTTON_TEXT;前往商店
GOLD_MINER_HIRING_TITLE;感谢你雇用我！\n我现在立刻开始工作。
GOLD_MINER_REGULAR_GOLD;哈喽{0}.\n这是今天的收获。
GOLD_MINER_ABOVE_AVERAGE_GOLD;我在金矿里收获颇多！
GOLD_MINER_JACKPOT;太牛牪犇了，我们中奖了！
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;好久不见！这些是你的碎片。
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;好久不见！这些是你的碎片。
GOLD_MINER_LONG_DELAY_JACKPOT;你终于回来了！我们中奖了！
GRAPHIC_QUALITY_HIGHER;更高
GRAPHIC_QUALITY_HIGHEST;最高
GRAPHIC_QUALITY_HIGH_IPAD;高
GRAPHIC_QUALITY_LOWER;更低
GRAPHIC_QUALITY_LOWEST;最低
GRAPHIC_QUALITY_LOW_IPAD;低
GRAPHIC_QUALITY_TITLE;品质
GUEST_ACCOUNT_NAME;游客
INFO_NB_CONNECTED;在线玩家：{0}
INFO_NB_FINDING_ARENA;寻找潘多拉玩家：{0}
INFO_NB_FINDING_CLASSIC;寻找休闲模式玩家：{0}
INFO_NB_FINDING_CONSTRUCTED;寻找排名模式玩家：{0}
INFO_NB_GAMES;游戏进行中：{0}
INFO_TIME_TO_FIND_GAME;大概搜索时间：{0}
INGAME_DEFEAT;失败
INGAME_OPPONENT_STILL_MULLIGAN;你的对手还在选择替换卡牌
INGAME_ALLY_STILL_MULLIGAN;你的盟友还在选择替换卡牌
INGAME_PANDORA_OPENS;潘多拉觉醒！
INGAME_PLAYER_TURN;{0}的回合
INGAME_PUZZLE_SOLVED;谜题解开
INGAME_PUZZLE_WIN_THIS_TURN;这个回合取得胜利！
INGAME_VERSUS;对战
INGAME_VICTORY;胜利
INGAME_YOUR_TURN;你的回合！
INVITED_TO_LOBBY;{0}正在邀请你对战
ITEM_RARITY_COMMON;普通
ITEM_RARITY_EPIC;史诗
ITEM_RARITY_LEGENDARY;传奇
ITEM_RARITY_RARE;稀有
ITEM_VALUE;价值
KEEP;保留
KICKED_FROM_LOBBY;你被踢出对战大厅
LANE_COMPLETED_QUEST;完成！
LANE_NEW_QUEST;全新任务！
LANE_UNLOCKED;已解锁！
LANGUAGE;语言：
LEAGUE_UP;阶级晋升！
LEGENDARY_CARD_LIMIT_MESSAGE;每张传奇卡牌在每副套牌只限有1张。
LEVEL;等级{0}
LOADING;载入中
LOADING_LONG;载入时间比预计要长
LOBBY_ACCOUNT_SUGGESTED;建议
LOBBY_DECK_PICKING_CANCELED;套牌选择被{0}取消了。
LOBBY_GAME_INVITE_PENDING;邀请进行中...
LOBBY_KICK_PLAYER;踢出玩家
LOBBY_PLAYERS_IN_GAME;等待玩家进入游戏...
LOBBY_PLAYERS_PICKING_DECKS;玩家们开始选择他们的套牌...
LOBBY_PLAYER_1_STATUS;玩家1
LOBBY_PLAYER_2_STATUS;玩家2
LOBBY_READY_BUTTON_TEXT;开始
LOBBY_SET_PLAYER_1;设置成玩家1
LOBBY_SET_PLAYER_2;设置成玩家2
LOBBY_SET_SPECTATOR;设置成观战者
LOBBY_SPECTATOR_STATUS;观战者
LOBBY_CO_OP_WITH;与
MAINMENU_BUTTON_BOOSTERS;宝箱
MAINMENU_BUTTON_COLLECTION;牌库
MAINMENU_BUTTON_DAILY_QUESTS;日常任务
MAINMENU_BUTTON_EVENT_END_TIME;活動在{0}小时{1}分钟后结束
MAINMENU_BUTTON_FRIEND_LIST;好友名单
MAINMENU_BUTTON_HOME;返回菜单
MAINMENU_BUTTON_SETTINGS;设置
MAINMENU_TITLE_BATTLE;对战模式
MAINMENU_TITLE_PANDORA;潘多拉模式
MAINMENU_TITLE_SOLO;探险
MAINMENU_TITLE_VIEWPROFILE;查看个人资料
MAP_QUEST_LOCKED;未解锁
MARKET_BUTTON_BUY_GEMS;信息
MARKET_CATEGORY_AVATAR;头像
MARKET_CATEGORY_BUNDLE;礼包
MARKET_CATEGORY_CARD_BACK;卡背
MARKET_CATEGORY_EMOTES;表情
MARKET_CATEGORY_ORB;神座
MARKET_CATEGORY_WELL;灵泉
MARKET_FEATURED_TAB_AVATAR;头像
MARKET_FEATURED_TAB_BUNDLE;礼包
MARKET_FEATURED_TAB_CARD_BACK;卡背
MARKET_FEATURED_TAB_EMOTE;表情
MARKET_FEATURED_TAB_ORB;神座
MARKET_FEATURED_TAB_WELL;灵泉
MARKET_HOW_MANY_CHEST;你要购买多少个？
MARKET_ITEM_CONFIRM_PURCHASE;购买
MARKET_ITEM_OWNED;拥有
MARKET_MENU_FEATURED;特卖
MARKET_PROCESSING_ORDER;处理中...
MARKET_ROTATINGITEMS_TITLE;每日特卖
MARKET_TITLE;商店
MATCHES_FORMAT;对局模式:
MISSION_PACK_NPC_REWARD_TOOLTIP;完成这个包的最后一个任务可以奖励你一个独一无二的盟友
MISSION_PACK_XP_REWARD_TOOLTIP;完成这个包的任务，这个是你可以获得的所有经验奖励。
MORNING;日
MULLIGAN;你想保留你的卡牌或者重新抽取？
MULLIGAN_BUTTON_TEXT_CONFIRM;确认
MULLIGAN_HINT_TEXT;重新抽取卡牌
MUSIC;音乐
MY_CHESTS;我的宝箱
NEW_ACCOUNT_BUTTON;创建一个账号
NEW_ACCOUNT_LABEL;Faeria的新手？
NEW_ACCOUNT_WARNING;如果你已经拥有一个Faeria账号，你无法使用这个在{0}账号里！
NEW_CARD_HINT;新发现
NEW_DAILY_QUEST_RECEIVED;你得到了一个新的日常任务！
NEW_DECK_NAME;我的套牌
NIGHT;夜
NO_DAILY_QUESTS_LEFT;你已经没有日常任务了。明天再来看看吧！
OBJECTIVES;目标
OK;是的
OVERSKY;云巅
OVERSKY_ALL_CARDS_NAME;所有云巅卡牌
OVERSKY_BUY_ISLAND_BUTTON_TEXT;购买岛屿
OVERSKY_BUY_ISLAND_TEXT;你没有拥有这个岛屿。\n你需要购买它才可以获得任务奖励。
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> 新卡将在购买后添加到你的收藏
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;包的价格已经做了调整，因为你已经拥有了这个岛屿。
OVERSKY_COSMETIC_SET_TOOLTIP;包含独一无二的传奇物品：卡背，Faeria井，头像和神座。
OVERSKY_GET_POINTS_EMPEROR;帝王的挑战
OVERSKY_GET_POINTS_MISSION;云巅任务
OVERSKY_GET_POINTS_PVP;PvP 胜利
OVERSKY_GET_POINTS_WILD_PACK;野性任务包完成
OVERSKY_GET_POINTS_WORLD_BOSS;世界首领被击败
OVERSKY_GETTING_POINTS;获得旅行包积分
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;勇猛的莫纳斯特帝王会每天给你带来一个新的挑战。每天第一次击败他来获得旅行包积分。
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;勇猛的莫纳斯特帝王会每天给你带来一个新的挑战。获得你的旅行包来解锁这个限量模式吧！
OVERSKY_LIMITED_BOSS_BATTLE_NAME;帝王的挑战
OVERSKY_ONE_ISLAND;这个岛屿
OVERSKY_POINTS_REWARD;旅行包积分
OVERSKY_POUCH_OWNED_CONTENT_TITLE;你的探险旅行包奖励
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;继续赢得探险旅行包积分来解锁更多奖励！在下面你可以看到奖励列表以及你目前的进度。
OVERSKY_POUCH_OWNED_ENDED;你的探险旅行包已经关闭了
OVERSKY_POUCH_OWNED_END_DAYS;你的探险旅行包会立刻开放，并且在{0}天后关闭
OVERSKY_POUCH_OWNED_END_HOURS;你的探险旅行包会立刻开放，并且在{0}小时{1}分钟后关闭
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;探险旅行包奖励
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;现在就购买你的探险旅行包来解锁下面的奖励 - 在探险旅行包关闭之前，你能赢得多少积分呢？
OVERSKY_POUCH_NOT_OWNED_ENDED;时间到了！探险旅行包已经结束。
OVERSKY_POUCH_NOT_OWNED_END_DAYS;你的探险旅行包会在{0}天后关闭
OVERSKY_POUCH_NOT_OWNED_END_HOURS;你的探险旅行包会在{0}小时{1}分钟后关闭
OVERSKY_POUCH_NAME;探险旅行包
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;一张你拥有的云巅卡牌的金卡版本\n<size=60%>如果你已经拥有了全套云巅金卡，你下次购买一个岛屿的时候会收到这个奖励。</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;凯欧思的头像和表情
OVERSKY_POUCH_TOOLTIP;升级你的旅行包来解锁独家探险奖励！更多信息请关注faeria.com/oversky。
OVERSKY_SHOP_SLIDER_ITEM_NAME;云巅内容
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;云巅已经到来 - 点击这里来获得新内容！
OWNED_CARD_COUNT;你拥有{0}张这样的卡牌
PANDORA_GATE_OPENED;你的潘多拉之旅开始了！
PANDORA_KEY_POOL_HELP_TEXT;将一枚硬币投入大门中间来开启潘多拉！
PANDORA_LOSSES;失败局
PANDORA_SHARD_1_FOUND;第一片碎片发现了
PANDORA_SHARD_2_FOUND;第二片碎片发现了
PANDORA_SHARD_3_FOUND;第三片碎片发现了
PANDORA_SHARD_4_FOUND;第四片碎片发现了
PANDORA_SHARD_5_FOUND;最后一片碎片发现了
PANDORA_VICTORIES;胜利局
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;你的卡牌包含太多{0}。每张传奇卡牌，在你的3副手牌里不能超过{1}张。
PANTHEON_DECK_NOT_RESPECTED;你的卡牌包含太多{0}。每张非传奇卡牌，在你的3副手牌里不能超过{1}张。
PASSWORDS_DO_NOT_MATCH;密码错误
PASSWORD_FIELD_CONFIRM;确认密码*
PASSWORD_FIELD_MANDATORY;密码*
PASSWORD_FIELD_NEW;新密码*
PASSWORD_MANDATORY;填写密码是必须项
PASSWORD_TOO_LONG;密码太长(最多{0}个字母)
PASSWORD_TOO_SHORT;密码太短
PAUSE_MENU_TEXT;暂停
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}：{1}剩余
PINK_CHESTS_NOT_YET_AVAILABLE;一股神秘的力量阻止你打开这些宝箱。他们开不开啊...就现在而言。
PLAY_MENU_SOLO_STANDARD;任务
PLAY_MENU_SOLO_OVERSKY;云巅
PLAYER_LEFT_TOURNAMENT;玩家'{0}'离开了比赛。胜利属于'{1}'。
PLAYER_LOST_CONNECTION;玩家'{0}'游戏连接中断\n等待{1}秒钟重新连接
PRACTICE_BUTTON_TEXT;练习
PRIVATE_LOBBY;私人大厅
PRIVATE_LOBBY_INFO;欢迎来到私人大厅！当双方玩家都准备好的时候游戏开始。
PRIVATE_PLAY_ALLY_READY;盟友准备好了！
PRIVATE_PLAY_OPPONENT_READY;对手准备好了！
PRIVATE_PLAY_PLAYER_READY;你准备好了！
PRIVATE_PLAY_READY;取消
PROFILE_BATTLERANK_TITLE;开战
PROFILE_MENU_PROFILE;账号
PROFILE_PANDORARANK_TITLE;潘多拉模式
PROFILE_RANKINGS_TITLE;排名模式
PROLOGUE_HINT_ATTACK;在战斗中造成这些伤害
PROLOGUE_HINT_COST;打出这张卡所需要的faeria
PROLOGUE_HINT_LIFE;打出这些伤害来消灭对方
PROLOGUE_SPEECH_BUBBLE;完成这些任务后解锁你的力量！
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>你好{0}！</size>\n\n你当前正以访客身份进行游戏。\n\n请输入并确认你的电子邮件地址以验证你的账号，你将获得2个战争宝箱作为奖励（8张卡）！
PROMPT_ACCOUNT_INFO_WELCOME;建立账号
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;激活码已经发送到你的邮箱。
PROMPT_BINDING_SUCCESS;一个验证连接已经发送到你的邮箱。
PROMPT_CANCEL_GAME_SEARCHES;这样会取消你游戏搜索，你还要继续吗？
PROMPT_CHALLENGE_CONFIRMATION;你只有一次机会赢得这个挑战，准备好了吗？
PROMPT_CONFIRM_USER_NAME;请认真选择，你在以后是无法修改自己的名字的！
PROMPT_CRASH;游戏崩溃了:(
PROMPT_DECKEMPTY;一个玩家因为套牌是空的而失败了。
PROMPT_DEFEAT;失败
PROMPT_DELETE_DECK_CONFIRMATION;你确定你要删除这副套牌吗？
PROMPT_DELETE_FRIEND_CONFIRMATION;你确定你要移除这位好友码？
PROMPT_DISENCHANT_ALL_IN_EXCESS;你确定你要分解所有多余的卡牌吗？
PROMPT_DISENCHANT_WILL_ALTER_DECKS;如果你分解了这张卡牌，有些套牌会产生变化，你确定吗？
PROMPT_DOUBLE_KO;游戏平局结束！
PROMPT_DROP_RUN_CONFIRMATION;你确定你要退出比赛吗？这样会被判定为{0}失败！
PROMPT_DUEL_PROPOSED;{0}向你发起了挑战。
PROMPT_EMAIL_HELP_TEXT;验证你的账号会同样带来以下好处:\n\n\t- 密码恢复\n\t-访问我们的论坛
PROMPT_TEXT_LATER;稍后
PROMPT_EMAIL_TITLE_TEXT;邮件地址
PROMPT_EMAIL_WELCOME;验证你的账号来获得2个战斗宝箱（8张卡牌）！
PROMPT_EXIT_CONFIRMATION;你确定你要退出吗？
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;接受这个游戏邀请？
PROMPT_FRIENDLIST_ACCEPT_REQUEST;接受这个好友请求？
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;接受这个Steam好友建议？
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;添加这位系统建议的好友？
PROMPT_GAME_HAS_CRASHED;游戏崩溃了！
PROMPT_LOBBY_CANCEL_CONFIRMATION;你确定你要取消然后退出大厅吗？
PROMPT_LOBBY_LEAVE_CONFIRMATION;你确定你要离开大厅吗？
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;你的更改尚未确认。你确定要放弃更改吗？
PROMPT_NEW_BINDING;你是否已经拥有了Faeria账号了呢？
PROMPT_NO_DECK_FOUND;你必须要组建一副套牌才能开始游戏。
PROMPT_PASSWORD_CHANGE_SUCCESS;账号{0}密码成功修改。
PROMPT_REFUSED_INVITEE_PLAYING;你的好友在游戏中。
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;你的好友已经在搜索一场比赛了。
PROMPT_RESET_PASSWORD;重置你的密码
PROMPT_SAVE_DECK_FIRST;你想要保存你套牌的修改吗？
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;你似乎对卡牌游戏很拿手。你希望跳过教学吗？
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;跳过教学
PROMPT_STEAM_CONNECTION_REQUIRED;需要Steam连接。请从Steam里启动Faeria。
PROMPT_SURRENDER_CONFIRMATION;你确定你要投降吗？
PROMPT_TEXT_NO;取消
PROMPT_TEXT_OK;好的
PROMPT_TEXT_YES;确定
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;你选择的第一副套牌必须用于比赛的第一场游戏，并且用到你输掉第一场比赛为止。你确定要继续吗？
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;在所有比赛没结束之前离开比赛大厅会判定为对自己比赛的认输。你确定要离开吗？
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;你确定你要使用这些套牌？一旦你确认，以后是不允许修改的。
PROMPT_TRANSACTION_FAILED;交易失败
PROMPT_USERNAME_SKIP_BUTTON_TEXT;跳过
PROMPT_USER_NAME_TITLE_TEXT;玩家名字
PROMPT_VICTORY;胜利！
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;继续
PUBLIC_ARENA_GAME_SEARCH;搜索
PUBLIC_GAME_SEARCH;搜索
QUEST_HINT_WILD_COST;需要这么多特殊地块（总共）。
QUEST_HOW_TO_UNLOCK_LANE;晋级到{0}级来解锁这组任务。
QUEST_LANE_ACT_NAME;任务包
QUEST_LANE_COMPLETED;这组任务完成！
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;随机
QUEST_LOCKED_NAME;任务被锁
QUEST_OPPONENT_LEVEL;等级{0}
QUEST_PACK_COMPLETED;任务包完成
QUEST_REQUIRED_LEVEL;需要\n等级{0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;经验
QUEST_TYPE_CHALLENGE;挑战
QUEST_TYPE_EPIC;史诗任务
QUEST_TYPE_EPIC_FORCED_DECK;任务
QUEST_TYPE_INTRO;任务
QUEST_TYPE_MYSTERY;神话任务
QUEST_TYPE_PUZZLE;谜题
QUEST_TYPE_QUEST;任务
QUEST_TYPE_SURVIVAL;生存
RANK_DOWN;排名下降
RANK_STAR_DEFEAT;失败
RANK_STAR_FIRST_WIN_OF_THE_DAY;今日首胜！
RANK_STAR_HIGHER_LEAGUE_OPPONENT;你击败了一个强大的对手！
RANK_STAR_VICTORY;胜利
RANK_STAR_WIN_STREAK;连胜！
RANK_UP;排名上升
RECOVERY_CODE;恢复码
RECOVERY_STEAM;我已经在PC/macOS/Linux创建了我的账号。
RECOVERY_SUPPORT;以上选项对我不适用。
RECOVERY_VALIDATED;我的Faeria账号已经被验证了(我提供了我的电子邮箱)
RECRUITER;招募人员
REFUSE;拒绝
REFUSE_FRIEND_REQUESTS;拒绝好友邀请
REFUSE_FRIEND_SPECTATE;拒绝好友观看
REPLAY_BUTTON_TEXT;重玩模式
REQUEST_CANCELED_BY_HOST;邀请被申请者取消
REROLL;重新选择
RESOLUTION;分辨率 : {0}
RUSH_TUTORIAL;速攻开局
SAVE;保存
SEARCH_MODE_CASUAL_BUTTON_TEXT;休闲模式
SEARCH_MODE_RANKED_BUTTON_TEXT;排名模式
SEARCH_TIME_ARENA_MODE_NAME;潘多拉模式
SEARCH_TIME_CONSTRUCTED_MODE_NAME;创造牌模式
SERVER_INFO_CUSTOM;{0}
