1.cardName;农场男孩
77.cardText;{gift} - 给予一个生物{protection}。
82.cardName;泉中精灵
82.cardText;{gift} - 下一张卡是{faeria|7}及以上的卡，那么消耗减少{faeria|3}。
83.cardName;崔顿战士
83.cardText;{jump}
84.cardName;神秘的野兽
84.cardText;{gift} - 如果在敌方灵泉相邻地块召唤它，获得+2/+0和{jump}。
85.cardName;镜像幻灵
85.cardText;{gift} - 将另外一个生物转化成5/5的 <b>镜像幻灵</b>。
86.cardName;崔顿大厨
86.cardText;{gift} - 加入一张 <b>崔顿盛宴</b> 到你手牌中。
87.cardName;忍者蟾蜍
87.cardText;{jump}, {haste}
88.cardName;化蛙
88.cardText;将一个生物转化为2/2带有{jump}的<b>青蛙</b>。
93.cardName;加百兰的魔法
93.cardText;使一个生物的攻击力与它的生命值相等。\n抽一张牌。
94.cardName;奥罗拉的造物
94.cardText;将一个生物的复制加入你的手牌，它减少 {faeria|5}。
95.cardName;暗黑尾随者
95.cardText;如果你在本回合使用过一张事件牌，此生物的费用减{faeria|2}。
96.cardName;魔力漩涡
96.cardText;将2张随机的蓝色牌加入到手牌中。
97.cardName;加百兰贵族
97.cardText;{gift} - 召唤一条 1/1 <b>红宝石鱼</b> (你可以把它召唤在海洋)。
102.cardName;奥罗拉的门徒
102.cardText;每当你使用事件牌时，此生物获得+1/+1。
103.cardName;坚硬的外壳
103.cardText;{aquatic}
104.cardName;巴尔鲁，原初波涛
104.cardText;{aquatic}\n{production} - 将相邻地块转化为{blue}。
105.cardName;风暴幼体
105.cardText;{last_words} - 获得 {faeria|10}。
106.cardName;老乌龟的轶事
106.cardText;抽3张卡，抽到的生物牌消耗减 {faeria|2}。
107.cardName;裂浪巨像
107.cardText;每当你从敌方灵泉上获得faeria时，费用减{faeria|1}(最低费用: {faeria|4})。
108.cardName;欧罗塞，深渊之梦
108.cardText;{flying}, {charge|2}\n{gift} - 将在场的所有其他友方生物 随机转化为消耗多{faeria|2}的生物。
109.cardName;水元素
109.cardText;{jump}\n{gift} - 创造{blue}。
110.cardName;宝锦仙灵
110.cardText;{flying}\n当你第一次抽到一张事件牌时，此生物获得+2/+2和 {charge|2}。
111.cardName;沉没之塔
111.cardText;{activate} - 移动一块地块。对此建筑造成1点伤害。
112.cardName;蔚蓝光灵
112.cardText;每当你从敌方灵泉收集faeria时，获得+1/+1。
113.cardName;崔顿圣地
113.cardText;每当你收集faeria，此建筑获得+0/+1。\n{activate} - 摧毁此建筑获得与之生命等量的{faeria|1}。
114.cardName;奥罗拉的愿望
114.cardText;抽牌直到你有9张手牌。将所有的手牌消耗减至{faeria|0}。
115.cardName;暴雪枪骑
115.cardText;{jump}\n每当你使用一张事件牌，此生物本回合中获得+2/+0(上限为 +6/+0)。
116.cardName;卢杜安
116.cardText;每当此生物从敌方灵泉上收集faeria时，随机加入一张蓝色的牌到你手中，它的消耗减{faeria|2}。
117.cardName;梦幻蛋
117.cardText;在你下一次抽到一张非传说生物时，梦幻蛋会变成它的复制。
118.cardName;加百兰执政官
118.cardText;{charge|2}\n如果你在本场游戏使用过两张初始费用超过{faeria|7}或者更高的卡，此生物获得+2/+2。
119.cardName;崔顿潜水员
119.cardText;{aquatic}, {jump}
120.cardName;潮汐移位
120.cardText;{options|移动一块地块|抽一张牌}\n- 移动一块地块。\n- 抽一张牌。
121.cardName;潮汐先知
121.cardText;{gift} - 移动此生物所在的地块两次。
122.cardName;慑心愿景
122.cardText;将一个生物的攻击和生命变为一半(向下取整)。
123.cardName;远古使者
123.cardText;{gift} - 你抽的下一张生物卡生命大于或等于5，此生物消耗减少{faeria|2}。
124.cardName;崔顿盛宴
124.cardText;给予一个生物+1/+1和{jump}。
125.cardName;奥罗拉，神话撰师
125.cardText;{gift} - 使另一个友方生物的攻击和生命变成6/6。
126.cardName;海浪创造者
126.cardText;在你对手回合结束开始，所有玩家的faeria变为{faeria|3}。
127.cardName;失败的实验
127.cardText;你本回合召唤的下一个生物消耗减少{faeria|4}。他会立刻死亡。
128.cardName;奥罗拉的诡计
128.cardText;获得一个攻击力小于或等于2的生物的控制权。
129.cardName;忍者蛙队
129.cardText;召唤2只2/2具有{jump}的<b>青蛙</b>。
130.cardName;意外之财
130.cardText;获得{faeria|12}。
131.cardName;萨嘎米勇士
131.cardText;{dash|2}
132.cardName;骸骨收集者
132.cardText;每当一个相邻生物死亡，获得+1/+1。
133.cardName;萨嘎米附魂师
133.cardText;{last_words} - 随机给予一个友方生物+3/+5。
134.cardName;萨嘎米唤林者
134.cardText;{gift} - 你可将另一个场上友方生物传送到一个你控制的{green}。
135.cardName;远古驯兽师
135.cardText;每当你召唤一个生命值大于或等于5的生物，召唤生物获得+1/+1。
136.cardName;盖亚的恩赐
136.cardText;目标生物获得+0/+3。你获得3点生命值
137.cardName;提基酋长
137.cardText;{gift} - 给予一个生物 {taunt}。
138.cardName;花妖
138.cardText;{last_words} - 随机将一张绿色牌加入到你的手中，消耗减 {faeria|3}。
139.cardName;密林隐者
139.cardText;{last_words} - 随机给予一个友方生物+2/+4。
140.cardName;提基守护者
140.cardText;{gift} - 给予一个生物 +2/+2。
141.cardName;提基吹笛手
141.cardText;{gift} - 给予一个生物 +0/+4。
142.cardName;通灵之舞
142.cardText;给予一个生物 +0/+4和{taunt}。
143.cardName;提基图腾
143.cardText;每回合给予你第一次召唤的生物+1/+1。
144.cardName;着魔巨熊
144.cardText;当此生物受到伤害后，它的攻击翻倍。
149.cardName;小橡精
149.cardText;{last_words} - 随机给予你手牌中的一个绿色生物+5/+5。
150.cardName;泰瑞尔巨像
151.cardName;播种者
151.cardText;{gift} - 在随机相邻地块创造{green}。
152.cardName;藤蔓之墙
152.cardText;{taunt}\n{last_words} - 随机创造{green}。
153.cardName;深林灰熊
154.cardName;提基医者
154.cardText;{gift} - 你获得5点生命值。
155.cardName;茹妮的神龛
155.cardText;{gift} - 获得{faeria|2}。\n{last_words} - 你的对手获得{faeria|2}。
156.cardName;橡树之父
156.cardText;{gift} - 由你控制的每一个{green}会使此生物获得+0/+1。
157.cardName;仙灵之树
157.cardText;{production} - 此建筑获得+0/+1。\n当它的生命大于或等于5，摧毁它，并获得{faeria|10}。
158.cardName;垂柳树人
158.cardText;{taunt}
159.cardName;野性成长
159.cardText;随机创造{green}。
168.cardName;远古巨像
168.cardText;你每拥有一块特殊地块，此生物的费用便减少{faeria|1}(最低费用{faeria|6})。
169.cardName;泰斯拉，荒野之魂
169.cardText;{flying}, {charge|2}\n{gift} - 给予一个生物 +5/+5。
170.cardName;木元素
170.cardText;{taunt}\n{gift} - 创造{green}。
171.cardName;花锦仙灵
171.cardText;{flying}\n当你第一次抽到一张事件牌时，此生物获得+1/+4，{taunt} 和 {charge|2}。
172.cardName;蔓生之塔
172.cardText;{activate} - 给予一个生物 +1/+1，并对此建筑造成1点伤害。
173.cardName;繁花光灵
173.cardText;每当你创造{green}，该生物获得+1/+1。
174.cardName;重生之魂
174.cardText;每当一个友方生物阵亡，给予你手牌中的一个随机生物+1/+1。
175.cardName;密林之拥
175.cardText;给予一个生物+2/+4。
176.cardName;茹妮的信使
176.cardText;{jump}\n每当此生物攻击神明，增加一个随机绿色生物到你的手牌。其费用减少{faeria|2}。
177.cardName;苍绿之力
178.cardName;丛林守护者
178.cardText;{taunt}
179.cardName;塔里木，世界树祖
179.cardText;{taunt}\n{last_words} - 使世界充满森林。
180.cardName;垂泣神像
180.cardText;每当你受到伤害，便获得{faeria|1}。
181.cardName;纵地术
181.cardText;{options|将你的一个地块转化为{green}|将你的一个地块转化为{blue}|将你的一哥地块转化为{red}|将你的一个地块转化为{yellow}}\n将你的一个地块转化为选择的颜色并抽一张卡。
182.cardName;狂野复仇者
182.cardText;{taunt}, {dash|2}\n在本场游戏中，每当你被攻击，给予此生物+0/+1。
183.cardName;远古战猪
183.cardText;{dash|2}\n如果你控制的一个生物生命大于或等于5，消耗减少{faeria|2}。
184.cardName;茹妮的指引
184.cardText;给予目标:\n- 生物: +2/+2\n- 神明: 5点生命值
185.cardName;饥渴之声
185.cardText;{gift} - 摧毁所有相邻友方生物。 此生物获得攻击<b>和</b>生命，数值等同于所有被摧毁生物的生命总和。
186.cardName;幼苗
186.cardText;{production} - 如果此生物的生命低于5点，获得+1/+1。
187.cardName;艾瑞顿，万物之音
187.cardText;{last_words} - 给予所有在你手牌及套牌中的生物+1/+1。
188.cardName;森林献祭
188.cardText;摧毁一个友方生物，获得与其生命等量的faeria，并抽一张卡。
189.cardName;茹妮现灵
189.cardText;将一张随机绿色生物加入你的手牌中，并给予其+6/+6。
190.cardName;茹妮，百折不挠
190.cardText;{dash|2}\n{last_words} - 在回合结束时将茹妮放回手牌，她获得+2/+2。
191.cardName;地下暴匪
191.cardText;{combat} - 获得{faeria|2}。
192.cardName;地精军阀
192.cardText;{combat} - 给予一个随机友方生物+3/+0。
193.cardName;地精战争兽
194.cardName;金属赠礼
194.cardText;给予一个生物 +3/+0。如果该生物具有 <b>战斗</b> 技能，则给予+3/+3。
195.cardName;地下首领
195.cardText;{combat} - 获得{faeria|2}。
196.cardName;建筑师
196.cardText;{gift} - 给予一个建筑+0/+2。
197.cardName;高昂的食人魔
197.cardText;{gift} - 如果敌方神明的生命为小于或等于10，此生物获得+2/+2。
198.cardName;地精兵营
198.cardText;邻近的友方生物+2/+0。
199.cardName;仇恨之种
199.cardText;在本场游戏中，每当你召唤一个攻击大于生命的生物时，此生物的费用减少{faeria|1}。
200.cardName;食人魔勇士
200.cardText;{taunt}
201.cardName;莽撞交易者
201.cardText;{gift} - 随机使你手中的一张牌消耗减少{faeria|7}。
202.cardName;塞弗，血色暴君
202.cardText;每当塞弗摧毁一个生物时，他获得该被消灭生物原始攻击及生命值。
203.cardName;食人魔蛮族
204.cardName;克罗格，食人魔大帝
204.cardText;{combat} - 随机一张手牌减少消耗{faeria|7}。
205.cardName;磨斧小鬼
205.cardText;{gift} - 召唤于敌方灵泉相邻的地时，获得+1/+1。
206.cardName;巨砾投掷者
206.cardText;{ranged_attack}\n当此生物攻击目标时，目标周围的敌方生物受到同等伤害。
211.cardName;舍丁禽兽
211.cardText;{combat} - 对你的敌方神明造成2点伤害。
212.cardName;鲜血颂师
212.cardText;每当一个敌方生物死亡时，对敌方神明造成1点伤害。
213.cardName;塞弗的死士
213.cardText;{last_words} - 对敌方神明造成2点伤害。
214.cardName;吐火者
214.cardText;{gift} - 对一个敌方造成1点伤害。
215.cardName;恐怖领主
215.cardText;每当神明受到伤害，此生物获得与伤害等量的攻击力。
216.cardName;舍丁祸害
216.cardText;{gift} - 如果你控制另一个攻击大于生命的生物，获得+2/+2。
217.cardName;血色方尖碑
217.cardText;每当一个敌方生物在战斗中死亡，获得{faeria|1}并对你的敌方神明造成1点伤害。
218.cardName;残酷守卫
218.cardText;{taunt}\n{combat} - 对敌方神明造成2点伤害。
223.cardName;炸弹投手
223.cardText;{gift} - 对一个邻近的敌方生物或建筑造成4点伤害。
224.cardName;重炮载体
224.cardText;{gift} - 沿直线发射一个4/2的<b>机人</b>到一个地块上。
225.cardName;烈焰冲击
225.cardText;造成3点伤害
226.cardName;火焰喷射器
226.cardText;{ranged_attack}\n每当此生物攻击神明， 对其他所有敌方生物造成1点伤害。
231.cardName;火山巨像
231.cardText;{ranged_attack}\n在本场游戏中，在你对敌方神明造成伤害的回合，此生物的费用减少{faeria|1} (最低费用: {faeria|5})。
232.cardName;格鲁丹，山岳之心
233.cardName;火元素
233.cardText;{gift} - 创造{red}。
234.cardName;炎锦仙灵
234.cardText;{flying}\n当你第一次抽到一张事件牌时，获得+3/+1及 {ranged_attack}。
235.cardName;无主之塔
235.cardText;{activate} - 造成1点伤害。并对此建筑造成1点伤害。
236.cardName;血焰光灵
236.cardText;每当一个敌方生物死亡时，此生物获得+2/+1。
237.cardName;撼地器
237.cardText;{gift} - 对所有敌方各造成1点伤害。
238.cardName;引火者
238.cardText;每当你召唤一个攻击大于生命的生物，获得+1/+1(当此生物在你的套牌或手牌中)。
239.cardName;烈焰火蜥
239.cardText;{gift} - 对所有相邻的敌人造成2点伤害。
240.cardName;血石精灵
240.cardText;每当友方生物从敌方的灵泉里收获faeria，对敌方神明造成1点伤害。
241.cardName;塞弗之怒
241.cardText;对一个生物造成2点伤害，如果它因此死亡，则对它的操控者造成2点伤害。
242.cardName;暴食植株
242.cardText;{taunt}\n{production} - 对相邻的所有敌方生物造成2点伤害。
243.cardName;火焰爆弹
243.cardText;对一个生物或建筑造成4点伤害。
244.cardName;烈焰风暴
244.cardText;指定一个位置，对此位置和相邻位置上的所有敌方生物造成3点伤害。
245.cardName;战地狂暴者
245.cardText;每当此生物受到伤害时，对敌方神明造成等量的伤害。
246.cardName;崩裂魔像
246.cardText;每当敌方神明召唤一个生物，对此魔像造成1点伤害。
247.cardName;食人魔之舞
247.cardText;随机使你手中的一张牌消耗减少{faeria|7}。
248.cardName;陨星坠落
248.cardText;选择一个位置。摧毁所有在该位置及邻近位置上的生物、建筑和地块。
249.cardName;红色魔鬼
249.cardText;{gift} - 获得{faeria|5}。
250.cardName;伊恩尼斯，原初烈焰
250.cardText;每当你从神力轮选择 +{faeria|1}， 造成4点伤害，随机分配给敌人。
251.cardName;奥拉蒂姆僧侣
251.cardText;{haste}\n每当此生物攻击神明时，你抽一张牌。
252.cardName;克里姆的祈福者
252.cardText;获得{faeria|2}并抽一张牌。本回合中使用生物攻击敌方神明后才可使用，且每回合只能用一次。
253.cardName;克里姆的追随者
253.cardText;{haste}\n攻击神明时拥有+2/+0。
254.cardName;奥拉蒂姆圣堂武士
254.cardText;{dash|1}\n攻击神明时拥有+3/+0。
255.cardName;奥拉蒂姆射手
255.cardText;{ranged_attack}\n每当友方生物攻击神明时，获得{faeria|1}。
256.cardName;奥拉蒂姆狂信徒
256.cardText;{jump}\n{gift} - 你可移动一个友方生物。
257.cardName;沙漠龙卷风
257.cardText;将一个生物传送到一个你控制的{yellow}。
258.cardName;风之港
258.cardText;你能在此建筑周围召唤生物。\n{activate} - 移动该建筑。
259.cardName;灾祸凶灵
259.cardText;{gift} - 吸取敌方神明2点生命。
260.cardName;克里姆，天兆奇才
260.cardText;{flying}, {charge|2}\n当克里姆攻击神明时，将一张消耗为{faeria|0} <b>克里姆的追随者</b> 加入手牌。
261.cardName;杀戮恶影
262.cardName;遗愿饿鬼
262.cardText;{last_words} - 获得 {faeria|2}。
263.cardName;终焉梦魇
263.cardText;摧毁一个生物。
264.cardName;灵魂契约
264.cardText;对自己造成2点伤害并获得{faeria|2}。
265.cardName;灵魂祭坛
265.cardText;{activate} - 对自己造成2点伤害，加入一个6/1 <b>杀戮恶影</b> 到你的手牌。它消耗{faeria|2}。
266.cardName;沙丹恶魔
266.cardText;{production} - 对你的神明造成2点伤害。
267.cardName;克里姆哨卫
267.cardText;{flying}\n可以召唤在友方生物周围。
268.cardName;克里姆的试炼
268.cardText;给予一个生物+1/+0，{flying}和{charge|2}。
273.cardName;风之兵士
273.cardText;{haste}, {charge|3}\n回合结束时该生物死亡。
274.cardName;龙头旗舰
274.cardText;{flying}\n每当你抽到一张{flying}生物，给予那个生物+1/+1。
275.cardName;御风密使
275.cardText;{flying}\n当你控制其它飞行的生物时，它获得+2/+0。
276.cardName;沙丹拾荒者
276.cardText;如果本回合你攻击了一个神明，它的消耗减少{faeria|2} 。
277.cardName;沙丘幼龙
277.cardText;{flying}, {charge|2}\n不能收集faeria。
278.cardName;御风英豪
278.cardText;{flying}, {charge|5}\n{gift} - 移动任意生物。
287.cardName;风暴巨像
287.cardText;{dash|3}\n在本场游戏中，每当你每使用一个事件，此生物的费用减少{faeria|1}(最低消耗: {faeria|5})。
288.cardName;阿扎莱，沙漠之怒
288.cardText;{flying}, {charge|2}\n{gift} - 阿扎莱从每个敌方生物上吸取2点攻击。
289.cardName;风元素
289.cardText;{flying}\n{gift} - 创造{yellow}。
290.cardName;阳锦仙灵
290.cardText;{flying}\n当你第一次抽到事件牌时，此生物获得+3/+1和{charge|3}。
291.cardName;天界之塔
291.cardText;{activate} - 目标生物在本回合中获得{charge|3}，并对此建筑造成1点伤害。
292.cardName;风之光灵
292.cardText;{flying}, {charge|3}\n每当一个友方生物攻击神明，此生物获得+3/+0。
293.cardName;极速疾风
293.cardText;移动一个友方生物，或者支付{faeria|2}并移动一个敌方生物。
294.cardName;黄金鸟舍
294.cardText;所有你的飞行生物获得 +1/+0。
295.cardName;狂热圣徒
295.cardText;{charge|2}\n每当一个友方生物攻击神明，此生物便获得+1/+1 (在牌堆或手牌中时)。
296.cardName;科尔丹士兵
297.cardName;荒芜之主
297.cardText;{gift} - 你可以牺牲一个友方生物，获得{faeria|3}。
298.cardName;沙丹刺客
298.cardText;{deathtouch}\n{gift} - 你可以牺牲另外一个友方生物给予此生物{protection}。
299.cardName;恶魔引路者
299.cardText;{gift} - 你可以选择牺牲另一个友方生物，并在该位置召唤一个5/2具有{flying}的 <b>恶魔之翼</b>。
300.cardName;暗行死神
300.cardText;{deathtouch}\n你必须牺牲另一个友方生物来召唤此生物。
301.cardName;遗渊之誓
301.cardText;摧毁一个友方生物，并在该位置召唤一个6/3带有{charge|3}的 <b>遗渊骑士</b>。
302.cardName;沙丹魔物
302.cardText;{charge|2}\n每当友方生物死亡，吸取该生物的攻击力。
303.cardName;伊欧娜，众生之爱
303.cardText;{flying}\n无法被生物攻击。
304.cardName;恶魔之翼
304.cardText;{flying}
305.cardName;遗渊骑士
305.cardText;{charge|3}
306.cardName;摄魂术
306.cardText;从一个生物吸取2点生命。
307.cardName;窒息之沙
307.cardText;摧毁一个攻击力小于或等于3的生物。
308.cardName;末日之门，遗渊之口
308.cardText;当末日之门的生命等于或大于13时，摧毁它并在该地召唤<b>欧斯彻古斯</b>\n{activate} - 牺牲一只生物，抽一张牌并令末日之门获得+0/+2。
309.cardName;暴风射手
309.cardText;{ranged_attack}\n每当你使用一张事件牌时，它在本回合内获得+1/+0。
310.cardName;暴风骑士
310.cardText;{charge|2}\n每当你使用一张事件牌时，此生物在本回合内获得 +2/+0(最多+6/+0)。
311.cardName;终极掠食者
311.cardText;{jump}\n{gift} - 获得等同于任何在场目标生物的攻击和生命。
312.cardName;冰岩巨兽
312.cardText;{taunt}, {protection}
313.cardName;双魂精灵
313.cardText;{flying}\n可以召唤在友方生物旁。\n{gift} - 再次召唤一个 <b>双魂精灵</b>。
314.cardName;荆棘野兽
314.cardText;{dash|2}\n{gift} - 造成4点伤害随机分配给敌方。给予+4/+4随机分配给友方。
315.cardName;噬魂者
315.cardText;{flying}, {charge|3}\n每当一个友方生物死亡，此生物获得+1/+1。（在牌堆或手牌中时）
316.cardName;天灾火灵
316.cardText;{flying}, {haste}, {charge|2}\n{combat} - 对敌对神明造成3点伤害。
317.cardName;加百兰士兵
317.cardText;{aquatic}, {charge|3}
318.cardName;青蛙
318.cardText;{jump}
319.cardName;制图者
319.cardText;{last_words} - 随机创造{green}{blue}{red}{yellow}中的一个。
321.cardName;天空吞噬者
321.cardText;{flying}
322.cardName;愤怒的草原牦牛
322.cardText;{haste}
323.cardName;探索
323.cardText;创造一块草原并且获得{faeria|2}。
324.cardName;愤怒牦牛
324.cardText;{haste}
325.cardName;荆棘光灵
325.cardText;每当你创造{green}，该生物获得+1/+0。
328.cardName;欧斯彻古斯，遗渊之手
328.cardText;{flying}, {haste}, {charge|13}\nfaeria灵泉停止生产。
329.cardName;割喉强盗
330.cardName;野蛮的骑兵
331.cardName;知识
331.cardText;抽2张牌。
332.cardName;治愈祈福者
332.cardText;获得3点生命。
333.cardName;老子不玩了
333.cardText;你不能使用这张卡。
334.cardName;伟大知识
334.cardText;抽5张卡。
335.cardName;叛军飞刀手
335.cardText;{gift} - 对敌方神明造成2点伤害。
336.cardName;纳克萨斯的精灵
336.cardText;{last_words} - 把自己的主人生命值变成1。
337.cardName;神火风暴
337.cardText;对所有敌方生物将造成10点伤害。
338.cardName;潮汐之力
338.cardText;移动一块地块。
339.cardName;疾风
339.cardText;移动一个友方的生物。
340.cardName;塞兰德勇士
342.cardName;寇金，神圣火焰
342.cardText;{divine}\n寇金在场上可以使他的主人派若斯冷静。\n{production} - 寇金损失1点生命。
350.cardName;三圣愿
350.cardText;获得3点生命并且将对手牌堆顶端的3张牌复制到你的手牌中，复制牌的费用减少{faeria|1}并转化为{wild}。你不能复制他人的三圣愿。
351.cardName;叛军滑翔者
351.cardText;{flying}, {dash|2}\n无法收集faeria。
352.cardName;光辉号，帝国无敌飞艇
352.cardText;{flying}, {dash|3}\n光辉号的faeria消耗等同于你的生命值。\n{gift} - 获得与手牌数等量的生命。
353.cardName;禁术馆
353.cardText;{production} - 抽一张卡， 获得{faeria|1}并对自己造成2点伤害。
354.cardName;掠梦者
354.cardText;{dash|3}\n{gift} - 把一个神明的生命变为10点。
355.cardName;荒野木灵
355.cardText;{jump}\n不能收集faeria。\n每当此生物攻击神明时，你获得5点生命。
356.cardName;猎神者
356.cardText;{jump}\n只能攻击神明。\n不能收集faeria。
357.cardName;血歌
357.cardText;随机使你一张手牌消耗减{faeria|2}，重复四次。对自己造成4点伤害。
358.cardName;地狱火
358.cardText;造成9点伤害，随机分配给敌人。
359.cardName;世界末日
359.cardText;把你的faeria值变成{faeria|0}。生命减半(向下取整)。摧毁所有建筑和生物。结束这个回合。
360.cardName;烦人的蚊子
360.cardText;{flying}\n不能收集faeria。\n{last_words} - 对你自身造成2点伤害。于随机位置召唤此生物。
361.cardName;长角牦牛
361.cardText;{last_words} - 你抽取的下一个生物获得与这个生物等同的攻击力。
362.cardName;传奇时刻
362.cardText;抽取套牌最顶端的一张传奇卡牌。如果套牌里没有传奇卡牌响应号召，将一张随机的传奇卡牌加入你的手牌。该牌的费用转化为{wild}。
363.cardName;崔顿教练
363.cardText;{jump}\n{gift} - 给予你召唤的下一个{jump}生物+1/+1。
364.cardName;真理唤灵
364.cardText;{gift} - 你可将目标生物的攻击力与生命值恢复至原始数值。
365.cardName;烽火先驱
365.cardText;{combat} - 给予你下一个召唤的{combat}生物+1/+1。
366.cardName;寒风指引者
366.cardText;{flying}\n给予召唤于此生物相邻的友方生物{dash|2}和 {flying}。
367.cardName;神圣守护者
367.cardText;{divine}\n当你的主神承受致命伤害时，此生物阻止该次伤害并且自毁。
368.cardName;皇帝圣旨
