LOADING_HINT_QUEST_0;提示:你每个回合获得{faeria|3}个faeria。
LOADING_HINT_RANDOM_COMPLETE_SOLO_CONTENT;提示:刚开始玩Faeria，完成单人模式任务是最好的开始。
LOADING_HINT_RANDOM_RED_COLOR_EXPLAINED;提示:红色代表火焰和战争。
LOADING_HINT_RANDOM_BLUE_COLOR_EXPLAINED;提示:蓝色代表着变形以及诡计多端。
LOADING_HINT_RANDOM_GREEN_COLOR_EXPLAINED;提示:绿色代表着生长以及捕食者的野性。
LOADING_HINT_RANDOM_YELLOW_COLOR_EXPLAINED;提示:黄色代表了狂风和奔驰。
LOADING_HINT_RANDOM_CHARGE_CANT_PASS_THROUGH;提示:你不能使用冲锋越过其他生物。
LOADING_HINT_RANDOM_BLOCK_AQUATIC_WITH_LANDS;提示:创造地块可以阻挡水栖生物的敌人。
LOADING_HINT_RANDOM_DAILY_QUEST_1;提示：获得战斗箱的最有效方法是每天回来完成你的日常任务。
LOADING_HINT_RANDOM_THE_HUB;你知道吗:Faeria.com/the-hub 是我们的官方网站，在那里玩家们可以发布自己的攻略，建议。
LOADING_HINT_RANDOM_CARDBACK_FROM_SOLO;提示:完成所有单人模式任务来解锁卡牌背后图案—龙。
LOADING_HINT_RANDOM_PANDORA_ECONMY;提示:当潘多拉觉醒时，所有faeria灵泉都会清空。但是玩家每回合会得到双倍的Faeria。
LOADING_HINT_RANDOM_TAUNT_BEST_DEFENSE;提示:拥有嘲讽的生物经常是保护你自己的最佳伙伴。
LOADING_HINT_RANDOM_BUILD_LANDS_EARLY_GAME;提示:尽量在前期建造你所需的地，抽牌跟+1 faeria的选项可以在确保科技后再考虑。
LOADING_HINT_RANDOM_GIANT_LATEGAME_CREATURES_EXIST;提示:很多套牌的打法是建立后期强有力的攻势。所以你最好手里留着点直杀魔法。
LOADING_HINT_RANDOM_COUNTERING_RUSH_1;提示:当对战速攻卡牌的时候，用你自己的生物占领对方的激进的地块。
LOADING_HINT_RANDOM_STRUCTURES_LEGAL_PLACEMENT;提示:建筑可以落在任何颜色的地块上。
LOADING_HINT_RANDOM_STRUCTURES_DIRECTLY_ACTIVATES;提示：建筑物可以在被召唤的回合马上使用。
LOADING_HINT_RANDOM_GET_LANDS_NEAR_OPPONENT;提示:尽可能的在你敌方主神身边创造地块。
LOADING_HINT_RANDOM_OVERDRAWING_DESTROYS_CARDS;提示:你最多手中同时只能有9张卡牌。抽出任何超过此数量的卡牌会被抛弃。
LOADING_HINT_RANDOM_COUNTERING_RUSH_2;提示:阻碍对方激进创造地块可以有效打击速攻。在你的对手突破阻碍之前尽快反击。
LOADING_HINT_RANDOM_YAK_LORE_1;<i>如果你伤害了一头秏牛，你同时也伤害了全世界 !</i>\n<align=right>塞兰德谚语</align>
LOADING_HINT_RANDOM_FRIENDS_BLOCK_RANGED;提示:远程生物不能穿过友方单位攻击。
LOADING_HINT_RANDOM_LANDS_ARE_BETTER_THAN_CARDS;提示:创造地块通常要比抽卡更重要。
LOADING_HINT_RANDOM_ENDGAME_THREATS_EXIST;提示:一定不要犹豫退缩，战场瞬息万变。一旦你拥有优势，一定要乘胜追击！
LOADING_HINT_RANDOM_FATIGUE_HURTS;提示:当你套牌已经没有卡牌的时候，每一次抽牌都会给你造成递加的伤害。
LOADING_HINT_RANDOM_JALMYR_LORE_2;杰尔马接踵而来的谜题经常困扰着大多数精明的玩家。(然而，百度可以轻而易举的拯救你！-译者注)
LOADING_HINT_RANDOM_STEAM_FORGE_LORE;吸取faeria，帝国蒸汽熔炉无法预测，不过倒是挺有效果。
LOADING_HINT_RANDOM_JALMYR_LORE_3;杰尔马不忍心彻底摧毁他的兄弟，黑暗领主。
LOADING_HINT_RANDOM_YELLOW_USES_HASTE;提示:黄色套牌经常出现急速生物。请确保你事先做好防御工事。
LOADING_HINT_RANDOM_RED_DIRECT_DAMAGE;提示:红色套牌通常会造成直接伤害。你生命值低的时候要小心。
LOADING_HINT_RANDOM_FIRESTORM_EXISTS;提示:火焰风暴是一张可以造成全部敌方生物3点伤害的卡牌。
LOADING_HINT_RANDOM_UNIQUE_EMOTES_EXIST;提示:很多头像有自己独特的表情。
LOADING_HINT_RANDOM_BYPASSING_TAUNT;提示:一个被嘲讽的生物不能自己移动，但是可以靠其他效果被移动。即便是技能突进。
LOADING_HINT_RANDOM_DON'T_OVERBUFF_CREATURES;提示:在把一个生物升级超过6/6之前要慎重考虑。一个直杀魔法你就杯具了。
LOADING_HINT_RANDOM_JOIN_FAERIA'S_DISCORD;提示:有问题或者建议？加入官方Faeria Discord服务器。链接可以自好友名单中找到。
LOADING_HINT_RANDOM_ESPORTS_FAERIA_EXISTS;提示:登录esports.faeria.com了解更多Faeria比赛和奖励信息。
LOADING_HINT_RANDOM_TOP_8_GODS_ON_LADDER_INVITED;提示:每个赛季，神位排名最高的10位选手会被邀请参加一个特殊的比赛。
LOADING_HINT_RANDOM_HARD_REMOVAL_COSTS_6;提示:最好的直杀魔法要花费6个faeria。
LOADING_HINT_RANDOM_KILL_BURN_FAST;提示:当对抗红色卡牌时，尽快结束战斗才是上上之策。
LOADING_HINT_RANDOM_REVIEW_FAERIA_PLEASE;如果你喜爱Faeria，别忘了给我们留下你宝贵的意见。这样能够帮助这个社区的成长。
LOADING_HINT_RANDOM_RAPALA_LORE_2;海边村落最恐惧的景象不是海啸，而是张牙舞爪的鱼。
LOADING_HINT_RANDOM_TIPS_EXIST;提示:载入时，提示有时会出现在屏幕上
LOADING_HINT_RANDOM_PROTECT_YOUR_ORB;提示:不要让你的对手在你身边创造地块。
LOADING_HINT_RANDOM_EMPEROR_LORE;皇帝盼望着有一天，全国的市民都不再有拥有利用价值。
LOADING_HINT_RANDOM_WISDOM_IS_BAD;提示:聪明的玩家很少使用知识，这样的卡牌。
LOADING_HINT_RANDOM_IONA_LORE_1;在伊欧娜之前的年代，沙丹人们根本不知道“怜悯”为何物。
LOADING_HINT_RANDOM_OUTLAND_RANGER_LORE_1;域外游侠是一个古老的贵族工会，他们宁可抛弃石头城堡，也要选择蓝天白云。
LOADING_HINT_RANDOM_SYLAND_FARMERS_LORE;从未间断过，每一代的塞兰德农夫们都会孕育出一位伟大的英雄。
LOADING_HINT_RANDOM_IONA_LORE_2;每个乐师的梦想都是能谱写出伊欧娜欣赏的作品。
LOADING_HINT_RANDOM_YAK_LEVEL;提示:没有隐藏的牦牛关
LOADING_HINT_RANDOM_KROG_LORE_1;克罗格基本上就是自己到处“散播”自己是食人魔大帝。
LOADING_HINT_RANDOM_RAPALA_LORE_1;有些鱼就是喜欢看着世界燃烧殆尽。
LOADING_HINT_RANDOM_THYRIAN_LORE_1;泰瑞尔巨像据说是从一个天上遥远国度的神话天堂来的。
LOADING_HINT_RANDOM_YAKNUS_LORE_1;雅克纳斯国王，第一位冠此名的国王，又被称为“牛枷破除者”以及扛起所有困难的野兽。
LOADING_HINT_RANDOM_MAGNUS_LORE_1;在马格努斯还是个小男孩的时候，奥罗拉就托梦给他，最后也正因为如此他当上了国王。
LOADING_HINT_RANDOM_RUUNIN_LORE_1;尽管她反对，茹妮的追随者坚持要在每次茹妮死后厚葬她。
LOADING_HINT_RANDOM_JALMYR_LORE_1;有流言说，如果你能教杰尔马任何新的东东，他就会满足你一个愿望。
LOADING_HINT_RANDOM_GARUDAN_LORE_1;格鲁丹就是个缺德龙
LOADING_HINT_RANDOM_HEXAGON_JOKE;提示:六边形是个完美形状，因为它有6个无与伦比的边。
LOADING_HINT_RANDOM_SAGAMI_LORE_1;在萨嘎米的手中，即便是最龌龊的精灵也会变成无比高大上的神圣守护。
LOADING_HINT_RANDOM_SAGAMI_LORE_2;萨嘎米正邪不分，胡乱用人。
LOADING_HINT_RANDOM_SEIFER_LORE_1;塞弗有个宠物白鼬叫火花凋零。
LOADING_HINT_RANDOM_SEIFER_LORE_2;塞弗有一次曾经跟太阳比赛瞪眼。截止到目前为止还是没有分出胜负。
LOADING_HINT_RANDOM_DROWNING;提示:生物在没有地块的大海空格子里，如果没有飞行和水生技能，在玩家回合结束后就挂了。
LOADING_HINT_RANDOM_PANDORA_GODS;潘多拉是这个世界上的一片桃花源地。还好众神们允许凡人进入。
LOADING_HINT_RANDOM_AURORA_DREAMS;奥罗拉可以通过进入他人梦境，而改变此人的命运。
LOADING_HINT_RANDOM_MULTI_TAUNT;提示:如果一个生物身边有好几个具有嘲讽技能的敌人。那它可以选择攻击它想要攻击的嘲讽敌人。
LOADING_HINT_RANDOM_HOLD_EXPLORE;提示:你可以保留你手上的 <i>探索</i>卡牌，在以后增强那些靠法术变强的生物。
LOADING_HINT_RANDOM_FALCON_DIVE;提示:猎鹰俯冲是一张非常巧妙，便利的卡牌，它可以加入绝大部分的套牌中。
LOADING_HINT_RANDOM_SYLAND_HORSEMASTER;提示:塞兰德马术大师可以配合绿色和红色的卡牌制造突然袭击。
LOADING_HINT_RANDOM_GOD_HUNTER;提示:猎神者没办法攻击或者移动，如果身边有个敌对嘲讽生物。
LOADING_HINT_RANDOM_UNLIKELY_HERO;提示:攻击敌方神明可以激活不可能的英雄卡牌技能。
LOADING_HINT_RANDOM_MOVING_WITH_JUMP_AND_CHARGE;提示:通过卡牌移动一个生物的时候，要考虑它是否拥有跳跃和冲锋的技能。
LOADING_HINT_RANDOM_RADIANCE;提示:光辉号不会受到降低消耗的卡牌影响。
LOADING_HINT_RANDOM_ELEMENTALS;提示:使用元素卡牌是加速创造地块的最好方法。
LOADING_HINT_RANDOM_PANDORA_POINTS;提示：积攒潘多拉点数来赢取每季的特别奖励。
LOADING_HINT_RANDOM_PANDORA_CARD_BACK;提示:如果在赛季结束达到天梯15级，会得到特殊卡背奖励。
LOADING_HINT_RANDOM_GOD_CARD_BACK;提示:每个赛季，晋级到天梯神级会得到一个独一无二的金色卡背。
LOADING_HINT_RANDOM_SEASON_RESET;提示:天梯和潘多拉赛季，会在每个月的第一个周一重置。
LOADING_HINT_RANDOM_HARVEST_ORDER;提示:生物收集faeria顺序是以当前玩家的视角从左到右，从上到下。
LOADING_HINT_RANDOM_TRANSFORM_WITH_HASTE;提示:变形一个带有急速的生物会移除急速的特性，并且会让它丧失攻击机会。
LOADING_HINT_RANDOM_LAND_LOCK_COUNTER;提示:如果你的对手用地块把你包围了，移动一个你的生物到对手的土地然后就可以在一个空格子上创造地块了。
LOADING_HINT_RANDOM_CANNOT_CANCEL_GIFT;提示：一旦你在地图上打出了一个有赋礼效果的生物，你便无法取消它的召唤。
LOADING_HINT_RANDOM_OROSEI_LORE;欧罗塞一直守护着潘多拉神域和那里的财宝。
LOADING_HINT_RANDOM_FUGORO_LORE;福咕噜的财宝都是潘多拉神域掠夺来的。
LOADING_HINT_RANDOM_GOKI_01;福咕噜有个侄子叫呱呱。你在商店里可以找到他。
LOADING_HINT_RANDOM_WORLD_BOSSES;击败所有世界首领可以解锁冠军神座和3块宝石。
LOADING_HINT_RANDOM_WILD_LANDS;在支付地块需求时，所有有颜色的地块都会被计算为野性地块的需求。
LOADING_HINT_RANDOM_CORRUPT_1;提示: 腐化生物们最喜欢移动法术了！
LOADING_HINT_RANDOM_CORRUPT_2;提示: 别让敌方的生物腐化你的土地！
LOADING_HINT_RANDOM_CRUCIBLE;你可以与朋友在私人大厅里练习打比赛。
LOADING_HINT_RANDOM_FALL_OF_EVERLIFE;自从凯欧思吃掉永生之果后，腐化便在云巅扩散开来。
LOADING_HINT_RANDOM_TRIBAL;有些卡片能够与它们的种族相互配合获得收益。牦牛们喜欢成群结队<3。
LOADING_HINT_RANDOM_LORE_BOOK;通过完成每日任务或者开启神话宝箱来收集背景故事。
LOADING_HINT_RANDOM_DECK_COSMETICS;想为你的新套牌搭配最适合的一套饰品吗？你可以在套牌编辑器里为其选择专属饰品套装。
LOADING_HINT_RANDOM_DRAGONS_LAIR;每天都可以去巨龙巢穴挑战新的巨龙关卡。
