ACCEPT;Aceptar
CONNECTION_QUEUE_TITLE;¡Los servidores están llenos!
CONSTRUCTED_MODE;Modo Clasificatoria
CONSTRUCTED_RUN_DECK_NAME;Mazo de modo Clasificatoria
CO_OP_POPUP_JOIN_BUTTON_TEXT;Unete
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Jugar
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Debes completar las misiones previas para desbloquear esto.
CO_OP_POPUP_ALLY_SELECTION_TITLE;Invita a tu aliado
CO_OP_POPUP_NO_ALLY;No hay aliados disponibles
CO_OP_LOBBY_CANCELLED;Tu aliado canceló la misión
COUPON_REDEEM;Canjear
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;No puedes desencantar esta carta mientras buscas una partida.
CRAFT_LEGENDARY_ERROR;No puedes Crear cartas legendarias
CRAFT_GOLD_CARD_ERROR;No puedes Crear cartas míticas
CRAFT_FOURTH_CARD;Ya tienes 3 o más copias de esta carta.
CRAFT_NOT_ENOUGH_CHARGES;No tienes suficientes cargas para crear una carta
CRAFT_FULLY_CHARGED;Lleno
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Debes ser al menos nivel {0} para Crear esta carta.
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Crear
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Desencantar
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Desencantar todas las cartas sobrantes
CRAFT_MODE_UNAVAILABLE_TOOTIP;Necesitas ser al menos nivel {0} para Craftear cartas.
CRAFT_SECOND_LEGENDARY_CARD;Ya tienes esta carta legendaria.
CREATE_BLUEPRINT_DECK;Crear
CREATE_YOUR_ACCOUNT;Crea tu cuenta
DAILY_REWARD_NEXT;Siguiente
DAILY_REWARD_TITLE;Recompensa diaria por inicio de sesión
DAILY_REWARD_POPUP_TITLE;Bono de conexión diaria!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;¿Mostrar Míticas?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Común
DECKEDITOR_SAVETEXT;Guardar
DECKLAYOUT_INCOMPLETE_TEXT;Incompleto
DECKSELECTION_SOLO_INFO;Esta es la pantalla de selección de mazos para el modo Misiones. Vuelve al menú principal para crear o editar mazos.
DECK_EDITOR_BUY_BATTLE_CHEST;Compra Cofres de Batalla para obtener más cartas.
DECK_EDITOR_FILTER_NO_RESULT;Ninguna carta coincide con tu criterio de búsqueda.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;No tienes cartas azules.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;No tienes cartas verdes.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;No tienes cartas neutrales.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;No tienes cartas rojas.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;No tienes cartas amarillas.
DECK_SIZE;Tamaño del mazo:
DECK_SLOT_PURCHASE;+5 Espacios para Mazos
DELETE;Borrar
DISCONNECT;Desconectado
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Necesitas tener más de {0} cartas para Desencantar
DONE;Hecho
DROP_RUN;Salir
DYNAMIC_BUNDLE_CONFIRM_WARNING;Paquete Dinámico: ya posees artículos de este paquete, en consencuencia, el precio de abajo ha sido descontado.
EDIT;Editar
ELITE_MISSIONS_BUTTON_TEXT;Jefes del Mundo
ELITE_MISSIONS_BUTTON_TOOLTIP;Requiere nivel {0}
EMAIL_ADDRESS;Dirección de correo
EMOTE_MENU_GREETINGS;Saludos
EMOTE_MENU_OOPS;Ups
EMOTE_MENU_TAUNT;Burla
EMOTE_MENU_UNIQUE;Excepcional
EMOTE_MENU_WELL_PLAYED;Bien jugado
EMOTE_MENU_WOW;¡Increible!
END_TURN;Finalizar Turno
ENEMY_TURN;Turno del Enemigo
ENTER_DECK_NAME;Introduce el Nombre del Mazo
ENTER_YOUR_RECRUITERS_NAME;Introduce el nombre de tu reclutador...
EVENING;Anochecer
EVENT_BUTTON_TEXT_SEND;enviar
EVENT_EGG_HATCHING_HAS_EGG;Parece que tu incubadora está vacía ahora mismo. ¡Si encuentras otro huevo, puedes buscarlo aquí!\n\nMira nuestros eventos en directo en el canal de Twitch FaeriaTV para tener probabilidades de conseguir tu propio huevo.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Bienvenido a tu incubadora. ¡Tu huevo se mantendrá calentito y a salvo hasta que esté listo para eclosionar!\nMira debajo para comprobar que tu huevo sigue bien, y quién sabe..., puede que la espera llegue pronto a su fin.\nEn cuanto eclosione el huevo, podrás buscar otro para guardarlo aquí.
EVENT_HATCH_EGG_BUTTON;Incuba tu huevo
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Ingresa el correo electronico de tu amigo
EVENT_TEXT_LOCK_OVERLAY;Desbloquea la segunda llave ganando 5 juegos de Pandora.
EVENT_TEXT_TITLE;Evento: Invita a tus amigos
EXIT_CRAFT_MODE;Crear
FAERIA_AVERAGE;Media de Faeria
FRIENDLIST;Lista de amigos
FRIENDLIST_FRIEND_REQUEST;Ver solicitudes de amigo
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Ver sugerencia
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Ver sugerencia de Steam
FRIENDLIST_GAME_INVITE;Ver invitaciones de partida
FRIENDLIST_DISCORD_HINT;¡Unete a nuestro canal de Discord para estar en contacto!
FRIENDLIST_FRIEND;Amigo
FRIENDLIST_INGAME;Amigo en juego
FRIENDLIST_INVITE_TO_LOBBY;Invitar a una sala
FRIENDLIST_INVITE_TO_TOURNAMENT;Invitar a un torneo
FRIENDLIST_IN_LOBBY;En una sala
FRIENDLIST_OFFLINE;Desconectado
FRIENDLIST_ONLINE;Conectado
FRIENDLIST_RECENTLY_PLAYED;Jugado recientemente
FRIENDLIST_REMOVE;Eliminar amigo
FRIENDLIST_REQUEST_INITIATOR;Esperando respuesta
FRIENDLIST_REQUEST_RECIPIENT;Solicitud de amistad
FRIENDLIST_SEND_MESSAGE;Enviar mensaje
FRIENDLIST_SPECTATE_GAME;Observar partida
FRIENDLIST_SPECTATING;Observando Partida
FRIENDLIST_SPECTATING_YOU;Observando tu Partida
FRIENDLIST_SUGGESTED;Sugerido
FRIENDLIST_SUGGEST_TO_LOBBY;Sugerir sala
FRIENDLIST_VIEW_PROFILE;Ver perfil
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Solicitud de amistad
FX;Fx
GAME_CONNECTION_LOST_RECONNECTING;Se ha perdido la conexión\nIntentando reconectar...
GAME_HAS_CRASHED;El juego ha fallado ({0}). Era demasiado hermoso para este mundo.
GEM_BONUS_AMOUNT;+{0} Bonificación
GEM_PURCHASE_POPUP_TITLE;Selecciona Gemas
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;No tienes suficientes gemas.¡Es hora de conseguir algunas!
GENERAL;General
GENERIC_BUTTON_TEXT_PLAY;Jugar
GENERIC_BUTTON_TEXT_SHOP;Tienda
GENERIC_GAMEPLAY_ATTACK;Atacar
GENERIC_GAMEPLAY_COST;Coste
GENERIC_GAMEPLAY_LIFE;Vida
GENERIC_GAMEPLAY_WILD_COST;Costo de Tierra Salvaje
GOT_IT;¡Entendido!
GO_TO_CRAFT_MODE;Crear
GO_TO_SHOP_BUTTON_TEXT;Ir a la tienda
GOLD_MINER_HIRING_TITLE;¡Gracias por contratarme!\nMe pondré a trabajar inmediatamente.
GOLD_MINER_REGULAR_GOLD;Hola {0}.\n Aquí están tus fragmentos.
GOLD_MINER_ABOVE_AVERAGE_GOLD;¡He tenido algo de suerte en las minas!
GOLD_MINER_JACKPOT;¡Santo Yak! ¡Hemos ganado la lotería!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;¡Que bueno verte nuevamente! Aquí están tus fragmentos.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;¡Que bueno verte nuevamente! Aquí están tus fragmentos.
GOLD_MINER_LONG_DELAY_JACKPOT;¡Al fin has regresado! ¡Hemos ganado la lotería!
GRAPHIC_QUALITY_HIGHER;Alta
GRAPHIC_QUALITY_HIGHEST;Muy alta
GRAPHIC_QUALITY_HIGH_IPAD;Alta
GRAPHIC_QUALITY_LOWER;Baja
GRAPHIC_QUALITY_LOWEST;Muy baja
GRAPHIC_QUALITY_LOW_IPAD;Baja
GRAPHIC_QUALITY_TITLE;Calidad
GUEST_ACCOUNT_NAME;Invitado
INFO_NB_CONNECTED;Jugadores conectados: {0}
INFO_NB_FINDING_ARENA;Buscando partida de Pandora: {0}
INFO_NB_FINDING_CLASSIC;Buscando partida Casual: {0}
INFO_NB_FINDING_CONSTRUCTED;Buscando partida Clasificatoria: {0}
INFO_NB_GAMES;Juego en progreso: {0}
INFO_TIME_TO_FIND_GAME;Tiempo de busqueda aproximado: {0}
INGAME_DEFEAT;Derrota
INGAME_OPPONENT_STILL_MULLIGAN;Tu oponente aún está eligiendo que cartas reemplazar
INGAME_ALLY_STILL_MULLIGAN;Tu aliado aún está eligiendo que cartas reemplazar
INGAME_PANDORA_OPENS;¡Pandora despierta!
INGAME_PLAYER_TURN;Turno de {0}
INGAME_PUZZLE_SOLVED;Rompecabezas resuelto
INGAME_PUZZLE_WIN_THIS_TURN;¡Gana este Turno!
INGAME_VERSUS;Contra
INGAME_VICTORY;Victoria
INGAME_YOUR_TURN;¡Tu turno!
INVITED_TO_LOBBY;{0} te está invitando a una partida.
ITEM_RARITY_COMMON;Común
ITEM_RARITY_EPIC;Épica
ITEM_RARITY_LEGENDARY;Legendaria
ITEM_RARITY_RARE;Rara
ITEM_VALUE;Valor
KEEP;CONSERVAR
KICKED_FROM_LOBBY;Has sido expulsado de la sala
LANE_COMPLETED_QUEST;¡Completado!
LANE_NEW_QUEST;¡Nuevo!
LANE_UNLOCKED;¡Desbloqueado!
LANGUAGE;Lenguaje:
LEAGUE_UP;¡Subes de liga!
LEGENDARY_CARD_LIMIT_MESSAGE;Las cartas Legendarias están limitadas a 1 copia por mazo.
LEVEL;Nivel {0}
LOADING;Cargando
LOADING_LONG;La carga está demorando más de lo esperado.
LOBBY_ACCOUNT_SUGGESTED;Sugerido
LOBBY_DECK_PICKING_CANCELED;La selección de mazos fue cancelada por {0}.
LOBBY_GAME_INVITE_PENDING;Invitación pendiente...
LOBBY_KICK_PLAYER;Echar jugador
LOBBY_PLAYERS_IN_GAME;Esperando a los jugadores que aún están en juego
LOBBY_PLAYERS_PICKING_DECKS;Los jugadores están eligiendo sus mazos...
LOBBY_PLAYER_1_STATUS;Jugador 1
LOBBY_PLAYER_2_STATUS;Jugador 2
LOBBY_READY_BUTTON_TEXT;Listo
LOBBY_SET_PLAYER_1;Poner como jugador 1
LOBBY_SET_PLAYER_2;Poner como jugador 2
LOBBY_SET_SPECTATOR;Poner como espectador.
LOBBY_SPECTATOR_STATUS;Espectador
LOBBY_CO_OP_WITH;Junto a
MAINMENU_BUTTON_BOOSTERS;Cofres
MAINMENU_BUTTON_COLLECTION;Colección
MAINMENU_BUTTON_DAILY_QUESTS;Misiones diarias
MAINMENU_BUTTON_EVENT_END_TIME;El evento termina en {0} horas y {1} minutos.
MAINMENU_BUTTON_FRIEND_LIST;Lista de amigos
MAINMENU_BUTTON_HOME;Menú Principal
MAINMENU_BUTTON_SETTINGS;Ajustes
MAINMENU_TITLE_BATTLE;BATALLA
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;AVENTURA
MAINMENU_TITLE_VIEWPROFILE;Ver Perfil
MAP_QUEST_LOCKED;Bloqueado
MARKET_BUTTON_BUY_GEMS;Info
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Paquete
MARKET_CATEGORY_CARD_BACK;Dorso
MARKET_CATEGORY_EMOTES;Emoción
MARKET_CATEGORY_ORB;Orbe
MARKET_CATEGORY_WELL;Pozo
MARKET_FEATURED_TAB_AVATAR;Avatares
MARKET_FEATURED_TAB_BUNDLE;Paquetes
MARKET_FEATURED_TAB_CARD_BACK;Dorsos
MARKET_FEATURED_TAB_EMOTE;Emociones
MARKET_FEATURED_TAB_ORB;Orbes
MARKET_FEATURED_TAB_WELL;Pozos
MARKET_HOW_MANY_CHEST;¿Cuantos quieres?
MARKET_ITEM_CONFIRM_PURCHASE;COMPRAR
MARKET_ITEM_OWNED;En Propiedad
MARKET_MENU_FEATURED;Destacado
MARKET_PROCESSING_ORDER;Procesando...
MARKET_ROTATINGITEMS_TITLE;Promociones del Día
MARKET_TITLE;Tienda
MATCHES_FORMAT;Formato de juego:
MISSION_PACK_NPC_REWARD_TOOLTIP;Al completar la última mision de este paquete, serás recompensado con un aliado único
MISSION_PACK_XP_REWARD_TOOLTIP;Esta es la experiencia total que podrás obtener al completar las misiones de este paquete
MORNING;Mañana
MULLIGAN;¿Quieres quedarte con estas cartas o prefieres cambiar alguna?
MULLIGAN_BUTTON_TEXT_CONFIRM;Confirmar
MULLIGAN_HINT_TEXT;Cambiar
MUSIC;Música
MY_CHESTS;Mis Cofres
NEW_ACCOUNT_BUTTON;Crear una cuenta
NEW_ACCOUNT_LABEL;¿Eres nuevo en Faeria?
NEW_ACCOUNT_WARNING;Si ya tienes una cuenta de Faeria, ¡no podrás usarla con esta cuenta {0}!
NEW_CARD_HINT;Nueva
NEW_DAILY_QUEST_RECEIVED;¡Has recibido una nueva misión diaria!
NEW_DECK_NAME;Mi Mazo
NIGHT;Noche
NO_DAILY_QUESTS_LEFT;Ya no tienes misiones diarias ¡Vuelve a revisar mañana!
OBJECTIVES;Objetivos
OK;Si
OVERSKY;Oversky
OVERSKY_ALL_CARDS_NAME;Todas las cartas de Oversky
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Compra la isla
OVERSKY_BUY_ISLAND_TEXT;No posees esta isla.\nNecesitas comprarla para que sea elegible para las recompensas de esta misión.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> nuevas cartas serán añadidas a tu colección al comprarlas
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;El precio del paquete ha sido adaptado ya que posees esta isla.
OVERSKY_COSMETIC_SET_TOOLTIP;Incluyendo artículos legendarios únicos: Dorso, Pozos, Avatar y Orbe
OVERSKY_GET_POINTS_EMPEROR;Desafío del Emperador
OVERSKY_GET_POINTS_MISSION;Misión de Oversky
OVERSKY_GET_POINTS_PVP;Victoria PvP
OVERSKY_GET_POINTS_WILD_PACK;Paquete Salvaje Completado
OVERSKY_GET_POINTS_WORLD_BOSS;Jefe del Mundo Derrotado
OVERSKY_GETTING_POINTS;Obtén puntos para tu bolsa
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;El poderoso Emperador de Mirnast te traerá un nuevo desafío cada día. Obten puntos para tu Bolsa la primera vez que lo derrotes, cada día.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Cada día, el poderoso Emperador de Mirnast te traerá un nuevo desafío. ¡Obten tu Bolsa para acceder a este modo limitado!
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Desafío del Emperador
OVERSKY_ONE_ISLAND;Esta Isla
OVERSKY_POINTS_REWARD;puntos para tu bolsa
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Tus recompensas de la Bolsa de Aventura
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;¡Continúa obteniendo puntos de la Bolsa de Aventura para desbloquear la mayor cantidad de premios que puedas! Debajo encontrarás la lista de premios y también podrás ver tu progreso.
OVERSKY_POUCH_OWNED_ENDED;Tu Bolsa de Aventura se ha cerrado
OVERSKY_POUCH_OWNED_END_DAYS;Tu Bolsa de Aventura se abrirá inmediatamente, y cerrará en {0} día(s)
OVERSKY_POUCH_OWNED_END_HOURS;Tu Bolsa de Aventura se abrirá inmediatamente, y cerrará en {0} hora(s) y {1} minuto(s)
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Recompensas de la Bolsa de Aventura
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Compra tu Bolsa de Aventura ahora para desbloquear las recompensas que figuran a continuación - ¿Cuántos puntos puedes ganar antes de que la Bolsa de Aventura cierre?
OVERSKY_POUCH_NOT_OWNED_ENDED;¡Se acabó el tiempo! La Bolsa de Aventura no está disponible.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Tu Bolsa de Aventura se cerrará en {0} día(s)
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Tu Bolsa de Aventura se cerrará en {0} hora(s) y {1} minuto(s)
OVERSKY_POUCH_NAME;La Bolsa de Aventura
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Una copia Mítica de una de tus cartas de Oversky\n<size=60%>Si ya tienes completa la colección de míticas de todas las cartas que posees de Oversky, recibirás esta recompensa la próxima vez que compres una isla.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Avatar y Emociones de Kaios
OVERSKY_POUCH_TOOLTIP;¡Mejora tu Bolsa para desbloquear recompensas exclusivas! Más información en faeria.com/oversky.
OVERSKY_SHOP_SLIDER_ITEM_NAME;Contenido de Oversky
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;¡Oversky ha llegado - obten nuevo contenido aquí!
OWNED_CARD_COUNT;Tienes {0} de esta carta.
PANDORA_GATE_OPENED;¡Tu Ronda Comienza!
PANDORA_KEY_POOL_HELP_TEXT;¡Arrastra una moneda al centro de la puerta para entrar en Pandora!
PANDORA_LOSSES;Derrotas
PANDORA_SHARD_1_FOUND;Primer Fragmento Encontrado
PANDORA_SHARD_2_FOUND;Segundo Fragmento Encontrado
PANDORA_SHARD_3_FOUND;Tercer Fragmento Encontrado
PANDORA_SHARD_4_FOUND;Cuarto Fragmento Encontrado
PANDORA_SHARD_5_FOUND;Último Fragmento Encontrado
PANDORA_VICTORIES;Victorias
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Tu mazo contiene demasiados {0}s. No puedes tener más de {1} copia de una carta Legendaria entre los 3 mazos.
PANTHEON_DECK_NOT_RESPECTED;Tu mazo contiene demasiados {0}s. No puedes tener más de {1} copias de una carta No-Legendaria entre los 3 mazos.
PASSWORDS_DO_NOT_MATCH;Las contraseñas no coinciden
PASSWORD_FIELD_CONFIRM;Confirmar contraseña*
PASSWORD_FIELD_MANDATORY;Contraseña*
PASSWORD_FIELD_NEW;Nueva contraseña*
PASSWORD_MANDATORY;La contraseña es obligatoria
PASSWORD_TOO_LONG;La contraseña es muy larga (Máximo  {0} caracteres)
PASSWORD_TOO_SHORT;Contraseña demasiado corta.
PAUSE_MENU_TEXT;Pausa
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} restantes
PINK_CHESTS_NOT_YET_AVAILABLE;Una fuerza misteriosa te impide aproximarte a estos cofres. No podrás abrirlos... por ahora.
PLAY_MENU_SOLO_STANDARD;Misiones
PLAY_MENU_SOLO_OVERSKY;Oversky
PLAYER_LEFT_TOURNAMENT;El jugador '{0}' ha dejado el torneo. El ganador por defecto es '{1}'.
PLAYER_LOST_CONNECTION;El jugador {0} ha perdido su conexión\nTiene {1} segundos para reconectarse.
PRACTICE_BUTTON_TEXT;Práctica
PRIVATE_LOBBY;Sala Privada
PRIVATE_LOBBY_INFO;¡Bienvenido a la sala privada! El juego comienza cuando ambos jugadores estén listos.
PRIVATE_PLAY_ALLY_READY;¡Aliado preparado!
PRIVATE_PLAY_OPPONENT_READY;¡Oponente listo!
PRIVATE_PLAY_PLAYER_READY;¡Estás listo!
PRIVATE_PLAY_READY;Cancelar
PROFILE_BATTLERANK_TITLE;Batalla
PROFILE_MENU_PROFILE;Perfil
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Clasificación
PROLOGUE_HINT_ATTACK;Inflige esta cantidad de daño cuando lucha
PROLOGUE_HINT_COST;Cuesta esta cantidad de Faeria para ser jugado/a.
PROLOGUE_HINT_LIFE;Muere tras recibir esta cantidad de daño
PROLOGUE_SPEECH_BUBBLE;¡Completa estas misiones para desbloquear tus poderes!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>¡Hola {0}!</size>\n\nActualmente estas jugando como un invitado.\n\nValida tu cuenta entrando y confirmando tu correo electrónico y recibirás ¡2 Cofres de Batalla como recompensa (8 cartas)!
PROMPT_ACCOUNT_INFO_WELCOME;Crear Cuenta
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;El código de activación fue enviado a tu dirección de correo electronico.
PROMPT_BINDING_SUCCESS;Te hemos enviado el enlace a tu dirección de correo.
PROMPT_CANCEL_GAME_SEARCHES;Esto cancelará tú búsqueda de partida. ¿Deseas continuar?
PROMPT_CHALLENGE_CONFIRMATION;Solo tienes una oportunidad de ganar este reto. ¿Estás listo?
PROMPT_CONFIRM_USER_NAME;Elige con cuidado, ¡No podrás cambiarte el nombre más tarde!
PROMPT_CRASH;El juego ha fallado :(
PROMPT_DECKEMPTY;Un jugador ha perdido por haber robado una carta de un mazo vacío.
PROMPT_DEFEAT;Derrota
PROMPT_DELETE_DECK_CONFIRMATION;¿Estás seguro de que quieres borrar tu mazo?
PROMPT_DELETE_FRIEND_CONFIRMATION;¿Estás seguro de que quieres borrar este amigo?
PROMPT_DISENCHANT_ALL_IN_EXCESS;¿Estás seguro de que quieres desencantar todas las cartas sobrantes?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Si desencantas ésta carta, algunos mazos se verán alterados, ¿Estás seguro?
PROMPT_DOUBLE_KO;¡La partida terminó en empate!
PROMPT_DROP_RUN_CONFIRMATION;¿Estás seguro de que quieres salir? ¡Contará como {0} derrotas!
PROMPT_DUEL_PROPOSED;{0} te ha retado a un duelo.
PROMPT_EMAIL_HELP_TEXT;La validación de tu cuenta también tiene las siguientes ventajas:\n\n\t- Recuperación de contraseña\n\t-  Acceso a nuestros foros
PROMPT_TEXT_LATER;Más tarde
PROMPT_EMAIL_TITLE_TEXT;Correo electrónico
PROMPT_EMAIL_WELCOME;¡Valida tu cuenta y obtén 2 Cofres de Batalla gratis (8 Cartas)!
PROMPT_EXIT_CONFIRMATION;¿Estás seguro de que quieres salir?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;¿Quieres aceptar esta invitación a jugar?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;¿Aceptas esta solicitud de amistad?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;¿Aceptas esta sugerencia de un amigo de Steam?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;¿Aceptas esta sugerencia de amistad?
PROMPT_GAME_HAS_CRASHED;¡El juego ha fallado!
PROMPT_LOBBY_CANCEL_CONFIRMATION;¿Estás seguro que quieres cancelar y salir de la sala?
PROMPT_LOBBY_LEAVE_CONFIRMATION;¿Estás seguro de que quieres salir de la sala?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Tus cambios no se han aplicado. ¿Quieres descartarlos?
PROMPT_NEW_BINDING;¿Ya tienes una cuenta de Faeria?
PROMPT_NO_DECK_FOUND;Necesitas crear un mazo para poder jugar
PROMPT_PASSWORD_CHANGE_SUCCESS;La contraseña para la cuenta {0} ha sido cambiada correctamente.
PROMPT_REFUSED_INVITEE_PLAYING;Tu amigo está jugando
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Tu amigo ya está buscando un juego
PROMPT_RESET_PASSWORD;Reestablece tu contraseña
PROMPT_SAVE_DECK_FIRST;¿Quieres guardar los cambios realizados a tu mazo?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Parece que sabes jugar bien a los juegos de cartas. ¿Quieres saltar el tutorial?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Saltar el tutorial
PROMPT_STEAM_CONNECTION_REQUIRED;Se requiere conexión a Steam. Por favor, inicia Faeria desde Steam.
PROMPT_SURRENDER_CONFIRMATION;¿Estás seguro de que quieres rendirte?
PROMPT_TEXT_NO;No
PROMPT_TEXT_OK;Ok
PROMPT_TEXT_YES;Si
