QUEST_NAME_PUZZLE_DLC_YRUSH_2;Intervención Divina
ACT_DLC_ELEMENTS_REDBLUE;Trabajos a Vapor
ACT_DLC_ELEMENTS_PAIRS;Dos de un Mismo Tipo
ACT_DLC_ELEMENTS_MOBILITY;Monta los Vientos
ACT_DLC_ELEMENTS_LEGENDS;Leyendas
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Criaturas Peligrosas
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Combo A Través de las Épocas
ACT_DLC_ELEMENTS_CHALLENGE;Desafío
ACT_DLC_ELEMENTS_BOARD_CLEAR;Limpia la Pizarra
ACT_PUZZLE_TUTORIAL;Rompecabezas del Tutorial
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Ataque Yak
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Evento de Extinción
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Derroche Shedim
QUEST_NAME_PUZZLE_DLC_HIPPO;Sacrificio Valiente
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Baloo Enojado
QUEST_NAME_PUZZLE_DLC_COMMANDER;Pez fuera del Agua
QUEST_NAME_PUZZLE_DLC_BARRACKS;Pesca Voladora
