1.cardName;Granjero
178.cardText;{taunt}
179.cardName;Tarum, Mundo Forestal
179.cardText;{taunt}\n{last_words} - Llena el mundo con bosques.
180.cardName;Ídolo Llorón
180.cardText;Cada vez que recibas daño, ganas {faeria|1}.
181.cardName;Arte Terrestre
181.cardText;{options|Transforma una de tus tierras en un {green}|Transforma una de tus tierras en un {blue}|Transforma una de tus tierras en una {red}|Transforma una de tus tierras en un {yellow}} un color.\nTransforma una tierra que controles en el color elegido y roba una carta.
182.cardName;Vengador Salvaje
182.cardText;{taunt}, {dash|2}\nGana 1 de Vida cada vez que hayas recibido daño durante esta partida.
183.cardName;Jabalí Antiguo
183.cardText;{dash|2}\nCuesta {faeria|2} menos si controlas una criatura con 5 de Vida o más.
184.cardName;Guía de Ruunin
184.cardText;Otorga a un objetivo:\n- Criatura: +2/+2.\n- Dios: 5 de Vida.
185.cardName;Voz del Hambre
185.cardText;{gift} - Destruye a todas las criaturas amistosas adyacentes. Esta criatura gana Ataque y Vida igual a sus Vidas combinadas.
186.cardName;Planta de Semillero
186.cardText;{production} - Si esta criatura tiene menos de 5 de Vida, gana +1/+1.
187.cardName;Éredon, Vocal de Todos
187.cardText;{last_words} - Otorga +1/+1 a todas las criaturas en tu mano y en tu mazo.
188.cardName;Alimenta el Bosque
188.cardText;Destruye a una criatura amistosa para ganar Faeria igual a su Vida y roba una carta.
189.cardName;Presencia de Ruunin
189.cardText;Agrega una criatura verde aleatoria a tu mano. Obtiene +6/+6.
190.cardName;Ruunin, la Implacable
190.cardText;{dash|2}\n{last_words} - Regresa a Ruunin a tu mano al final del turno. Gana +2/+2.
191.cardName;Bandido Clandestino
191.cardText;{combat} - Ganas {faeria|2}.
192.cardName;Señor de la Guerra Kobold
192.cardText;{combat} - Otorga +3/+0 a una criatura amistosa aleatoria.
193.cardName;Bestia de Guerra Kobold
194.cardName;Don del Acero
194.cardText;Otorga +3/+0 a una criatura. Si es una criatura con <b>Combate</b>, le otorga +3/+3 en su lugar.
195.cardName;Jefe Clandestino
195.cardText;{combat} - Ganas {faeria|2}.
196.cardName;Arquitecto
196.cardText;{gift} - Otorga a una estructura +0/+2.
197.cardName;Ogro Exaltado
197.cardText;{gift} - Si tu oponente tiene 10 de Vida o menos, esto gana +2/+2.
198.cardName;Barracón Kobold
198.cardText;Las criaturas adyacentes tienen +2/+0.
199.cardName;Sembrador del Odio
199.cardText;Cuesta {faeria|1} menos por cada criatura que hayas invocado con mas Ataque que Vida durante esta partida.
200.cardName;Ogro Combatiente
200.cardText;{taunt}
201.cardName;Negociador Audaz
201.cardText;{gift} - Una carta aleatoria de tu mano cuesta {faeria|7} menos.
202.cardName;Seifer, el Tirano Sanguinario
202.cardText;Cuando Seifer destruye una criatura, él gana Ataque y Vida iguales al Ataque y Vida base de la criatura destruida.
203.cardName;Ogro Bárbaro
204.cardName;Krog, el Rey de los Ogros
204.cardText;{combat} - Una carta aleatoria de tu mano cuesta {faeria|7} menos.
205.cardName;Afilador de Hachas
205.cardText;{gift} - Gana +1/+1 si es invocado adyacente a un pozo del oponente.
206.cardName;Lanzapiedras
206.cardText;{ranged_attack}\nCuando esto ataca, daña tambien a cada enemigo adyacente a su objetivo.
211.cardName;Shedim Brutal
211.cardText;{combat} - Inflige 2 de daño a tu oponente.
212.cardName;Cantante Sanguinario
212.cardText;Inflige 1 de daño a tu oponente cuando una criatura enemiga muere.
213.cardName;Forraje de Seifer
213.cardText;{last_words} - Inflige 2 de daño a tu oponente.
214.cardName;Escupellamas
214.cardText;{gift} - Inflige 1 de daño a un enemigo.
215.cardName;Señor del Terror
215.cardText;Cuando un dios recibe daño, esta criatura gana la misma cantidad en Ataque.
216.cardName;Alimaña Cruel
216.cardText;{gift} - Esto gana +2/+2 si tienes otra criatura con mas Ataque que Vida.
217.cardName;Obelisco Sanguinario
217.cardText;Cuando una criatura enemiga muere luchando en combate, inflige 1 de daño a tu oponente y gana {faeria|1}.
218.cardName;Guardia Siniestro
218.cardText;{taunt}\n{combat} - Inflige 2 de daño a tu oponente.
223.cardName;Lanzabombas
223.cardText;{gift} - Inflige 4 de daño a una criatura o estructura enemiga adyacente.
224.cardName;Portador del Cañón
224.cardText;{gift} - Dispara un Mecha 4/2 a cualquier tierra en una línea recta.
225.cardName;Llama Explosiva
225.cardText;Inflige 3 de daño.
226.cardName;Lanzallamas
226.cardText;{ranged_attack}\nCuando esta criatura ataca al dios enemigo, también inflige 1 de daño a todas las criaturas enemigas.
231.cardName;Coloso Volcánico
231.cardText;{ranged_attack}\nCuesta {faeria|1} menos por cada turno en el que has infligido daño a tu oponente durante esta partida. (Coste mínimo: {faeria|5}).
232.cardName;Garudan, Corazón de la Montaña
233.cardName;Elemental de Fuego
233.cardText;{gift} - Crea una {red}
234.cardName;Faerie de Seda Ardiente
234.cardText;{flying}\nLa primera vez que robas un evento, esta criatura gana +3/+1 y\n{ranged_attack}.
235.cardName;Torre Abandonada
235.cardText;{activate} - Inflige 1 de daño. Esto recibe 1 de daño.
236.cardName;Brizna Sanguinaria
236.cardText;Cuando una criatura enemiga muere, esto gana +2/+1.
237.cardName;Tiemblasuelos
237.cardText;{gift} - Inflige 1 de daño a TODOS los enemigos.
238.cardName;Provocador del Fuego
238.cardText;Esto gana +1/+1 cuando invocas una criatura con mas Ataque que Vida (mientras está en tu mazo o en tu mano).
239.cardName;Salamandra Ardiente
239.cardText;{gift} - Inflije 2 de daño a todos los enemigos adyacentes.
240.cardName;Duende Piedrasangrienta
240.cardText;Cuando una criatura amistosa recolecte Faeria de un pozo del oponente, inflige 1 de daño a tu oponente.
241.cardName;Ira de Seifer
241.cardText;Inflige 2 de daño a una criatura. Si muere, inflige 2 de daño a quien la controla.
242.cardName;Planta Carnívora
242.cardText;{taunt},\n{production} - Inflige 2 de daño a todas las criaturas enemigas adyacentes.
243.cardName;Bomba de Fuego
243.cardText;Inflige 4 de daño a una criatura o a una estructura.
244.cardName;Tormenta de Fuego
244.cardText;Elige un espacio. Inflije 3 de daño a todas las criaturas enemigas sobre o adyacentes a ese espacio.
245.cardName;Guerrero Rabioso
245.cardText;Cuando esto recibe daño, inflige la misma cantidad de daño a tu oponente.
246.cardName;Gólem Deteriorado
246.cardText;Cuando tu oponente invoca una criatura, esto recibe 1 de daño.
247.cardName;Danza de los Ogros
247.cardText;Una carta aleatoria de tu mano cuesta {faeria|7} menos.
248.cardName;Meteoro
248.cardText;Elige un espacio. Destruye todas las criaturas, estructuras y tierras sobre o adyacentes a ese espacio.
249.cardName;Diablo Rojo
249.cardText;{gift} - Ganas {faeria|5}.
250.cardName;Ignus, la Primera Llama
250.cardText;Cuando selecciones +{faeria|1} de la rueda de poder, inflige 4 de daño dividido aleatoriamente entre todos los enemigos.
251.cardName;Monje Oradrim
251.cardText;{haste}\nCuando esto ataca a un dios, roba una carta.
252.cardName;Plegaria a Khalim
252.cardText;Gana {faeria|2} y roba una carta. Solo puedes usarla si has atacado a un dios este turno. Puedes rezar solo una vez por turno.
253.cardName;Seguidor de Khalim
253.cardText;{haste}\nTiene +2/+0 contra dioses.
254.cardName;Templario Oradrim
254.cardText;{dash|1}\nTiene +3/+0 contra dioses.
255.cardName;Sagitario Oradrim
255.cardText;{ranged_attack}\nCuando una criatura amistosa ataque al Dios enemigo, ganas {faeria|1}.
256.cardName;Fanático Oradrim
256.cardText;{jump}\n{gift} - Puedes mover a una criatura amistosa.
257.cardName;Tornado del Desierto
257.cardText;Teletransporta una criatura a un {yellow} que controles.
258.cardName;Portal del Viento
258.cardText;Puedes invocar criaturas en espacios adyacentes a esta estructura.\n{activate} - Mueve el Portal del Viento.
259.cardName;Espíritu Malévolo
259.cardText;{gift} - Drenas 2 de Vida de tu oponente.
260.cardName;Khalim, Prodigio del Cielo
260.cardText;{flying}, {charge|2}\nCada vez que Khalim ataca a un dios, añade un <b>Seguidor de Khalim</b> a tu mano. Cuesta {faeria|0}.
261.cardName;Sombra Asesina
262.cardName;Necrófago Buscamuerte
262.cardText;{last_words} - Ganas {faeria|2}.
263.cardName;Última Pesadilla
263.cardText;Destruye una criatura.
264.cardName;Pacto de Almas
264.cardText;Inflige 2 de daño a ti mismo y gana {faeria|2}.
265.cardName;Altar de Almas
265.cardText;{activate} - Te inflige 2 de daño a ti mismo y añade una <b>Sombra Asesina</b> 6/1 a tu mano que cuesta {faeria|2}.
266.cardName;Demonio Shaytan
266.cardText;{production} - Te inflige 2 de daño a ti mismo.
267.cardName;Guardian del Cielo de Khalim
267.cardText;{flying}\nPuede invocarse adyacente a una criatura amistosa.
268.cardName;Entrenamiento de Khalim
268.cardText;Otorga +1/+0, {flying} y {charge|2} a una criatura.
273.cardName;Soldado del Viento
273.cardText;{haste}, {charge|3}\nEl Soldado del Viento muere al acabar el turno de su propietario.
274.cardName;Capitán del cielo Drakkar
274.cardText;{flying}\nCuando robes una criatura con {flying}, otórgale +1/+1.
275.cardName;Emisario del Viento
275.cardText;{flying}.\nTiene +2/+0 mientras controlas a otra criatura voladora.
276.cardName;Carroñero Shaytan
276.cardText;Cuesta {faeria|2} menos si has atacado a un dios este turno.
277.cardName;Draco de las Dunas
277.cardText;{flying}, {charge|2}\nNo puede recolectar faeria.
278.cardName;Campeón del Viento
278.cardText;{flying}, {charge|5}\n{gift} - Mueve una criatura.
287.cardName;Coloso Huracanado
287.cardText;{dash|3}\nCuesta {faeria|1} menos por cada evento que hayas jugado en esta partida. (coste mínimo: {faeria|5}).
288.cardName;Azarai, Ira del Desierto
288.cardText;{flying}, {charge|2}\n{gift} - Azarai drena 2 de Ataque de cada criatura enemiga.
289.cardName;Elemental del Aire
289.cardText;{flying}\n{gift} - Crea un {yellow}
290.cardName;Faerie de Seda Solar
290.cardText;{flying}\nLa primera vez que robas un evento, esto gana +3/+1 y {charge|3}.
291.cardName;Torre Celestial
291.cardText;{activate} - Otorga {charge|3} a una criatura durante este turno. Inflige 1 de daño a esta estructura.
292.cardName;Brizna Eólica
292.cardText;{flying}, {charge|3}\nCuando una criatura amistosa ataca a un dios, esto gana +3/+0.
293.cardName;Ráfaga
293.cardText;Mueve a una criatura amistosa o consume {faeria|2} y mueve a una criatura enemiga.
294.cardName;Aviario Dorado
294.cardText;Todas tus criaturas voladoras tienen +1/+0.
295.cardName;Cruzado Ferviente
295.cardText;{charge|2}\nGana +1/+1 cada vez que una criatura amistosa ataca a un dios (mientras está en tu mazo o en tu mano).
296.cardName;Soldado Keldrán
297.cardName;Señor de los Desperdicios
297.cardText;{gift} - Puedes sacrificar a una criatura amistosa para ganar {faeria|3}.
298.cardName;Asesino Shaytan
298.cardText;{deathtouch}\n{gift} - Puedes sacrificar a otra criatura para que esta criatura gane {protection}.
299.cardName;Demonio Combatiente
299.cardText;{gift} - Puedes sacrificar a una criatura amistosa para invocar un <b>Demonio Alado</b> 5/2 con {flying} en su lugar.
300.cardName;Caminante de la Muerte
300.cardText;{deathtouch}\nDebes sacrificar una criatura para invocarla.
301.cardName;Juramento al Olvido
301.cardText;Sacrifica una criatura. Invoca un <b>Jinete del Olvido</b> 6/3 con\n{charge|3}\nen su lugar.
302.cardName;Monstruosidad Shaytan
302.cardText;{charge|2}\nCuando una criatura amistosa muere, esta criatura drena su Ataque.
303.cardName;Iona, Amada por Todos
303.cardText;{flying}\nNo puede ser atacada.
304.cardName;Demonio Alado
304.cardText;{flying}
305.cardName;Jinete del Olvido
305.cardText;{charge|3}
306.cardName;Drenar Alma
306.cardText;Drena 2 de Vida de una criatura.
307.cardName;Arenas Asfixiantes
307.cardText;Destruye una criatura con 3 de Ataque o menor.
308.cardName;Portal Condenado, la Puerta al Olvido
308.cardText;Cuando el Portal Condenado tenga 13 de Vida o más, destrúyelo e invoca a <b>Ostregoth</b> en su lugar.\n{activate} - Sacrifica una criatura, roba una carta y este portal gana +0/+2.
309.cardName;Arquero Huracanado
309.cardText;{ranged_attack}\nCuando juegas un evento, esto gana +1/+0 durante este turno.
310.cardName;Jinete Huracanado
310.cardText;{charge|2}\nCuando juegas un evento, esto gana +2/+0 durante este turno (límite +6/+0).
311.cardName;Depredador Definitivo
311.cardText;{jump}\n{gift} - Suma el Ataque y la Vida de una criatura seleccionada a sus propios atributos.
312.cardName;Behemoth Rocagélida
312.cardText;{taunt}, {protection}
313.cardName;Espíritu de Almas Gemelas
313.cardText;{flying}\nPuede invocarse adyacente a una criatura amistosa.\n{gift} - Invoca otro <b>Espíritu de Almas Gemelas</b>.
314.cardName;Bestia de las Grietas Espinosas
314.cardText;{dash|2}\n{gift} - Inflige 4 de daño dividido de forma aleatoria entre todos los enemigos. Otorga al azar 4 veces +1/+1 a tus criaturas.
315.cardName;Devorador de Almas
315.cardText;{flying}, {charge|3}\nGana +1/+1 por cada criatura amistosa que haya muerto en esta partida (mientras esté en tu mano o en tu mazo).
316.cardName;Espectro del Azote Flamígero
316.cardText;{flying}, {haste}\n{charge|2}\n{combat} - Inflige 3 de daño a tu oponente.
317.cardName;Soldado Gabriano
317.cardText;{aquatic}, {charge|3}
318.cardName;Rana
318.cardText;{jump}
319.cardName;Cartógrafo
319.cardText;{last_words} - Crea un {green}, un {blue}, una {red} y un {yellow} de manera aleatoria.
321.cardName;Devoracielos
321.cardText;{flying}
322.cardName;Yak del Prado Enfurecido
322.cardText;{haste}
323.cardName;Explorar
323.cardText;Crea un prado y gana {faeria|2}.
324.cardName;Yak Furioso
324.cardText;{haste}
325.cardName;Brizna Espinosa
325.cardText;Cuando crees un {green}, gana +1/+0.
