ACCEPT;Accept
CONSTRUCTED_MODE;Ranked Mode
CONSTRUCTED_RUN_DECK_NAME;Ranked Deck
CO_OP_POPUP_JOIN_BUTTON_TEXT;Join
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Play
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;You must complete previous missions to unlock this
CO_OP_POPUP_ALLY_SELECTION_TITLE;Invite your ally
CO_OP_POPUP_NO_ALLY;No allies available
CO_OP_LOBBY_CANCELLED;Your ally canceled the mission
COUPON_REDEEM;Redeem
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Cannot disenchant this card while in search for a game.
CRAFT_LEGENDARY_ERROR;You cannot craft legendary cards
CRAFT_GOLD_CARD_ERROR;You cannot craft mythic cards
CRAFT_FOURTH_CARD;You already have 3 or more copies of this card
CRAFT_NOT_ENOUGH_CHARGES;You don't have enough charges to craft a card
CRAFT_FULLY_CHARGED;Full
CRAFT_ACCOUNT_LEVEL_TOO_LOW;You must be at least level {0} to craft this card
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Craft
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Disenchant
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Disenchant all in Excess
CRAFT_MODE_UNAVAILABLE_TOOTIP;You need to be level {0} to use Crafting
CRAFT_SECOND_LEGENDARY_CARD;You already have this legendary card
CREATE_BLUEPRINT_DECK;Create
CREATE_YOUR_ACCOUNT;Create your account
DAILY_REWARD_NEXT;Next
DAILY_REWARD_TITLE;Daily Login Reward
DAILY_REWARD_POPUP_TITLE;Daily Connection Bonus!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Show mythics?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Standard
DECKEDITOR_SAVETEXT;Save
DECKLAYOUT_INCOMPLETE_TEXT;Incomplete
DECKSELECTION_SOLO_INFO;This is the Deck Selection screen for the Missions mode. Go back to the main menu to create or edit decks.
DECK_EDITOR_BUY_BATTLE_CHEST;Buy Battle Chests to get more cards.
DECK_EDITOR_FILTER_NO_RESULT;No card matches your search criteria.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;You have no blue cards.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;You have no green cards.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;You have no neutral cards.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;You have no red cards.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;You have no yellow cards.
DECK_SIZE;Deck Size:
DECK_SLOT_PURCHASE;+5 Deck Slots
DELETE;Delete
DISCONNECT;Disconnected
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;You need to have more than {0} cards for Disenchanting
DONE;Done
DROP_RUN;Quit
DYNAMIC_BUNDLE_CONFIRM_WARNING;Dynamic Bundle: You already own items from this bundle, the price below has been discounted accordingly.
EDIT;Edit
ELITE_MISSIONS_BUTTON_TEXT;World Bosses
ELITE_MISSIONS_BUTTON_TOOLTIP;Requires level {0}
EMAIL_ADDRESS;Email address
EMOTE_MENU_GREETINGS;Greetings
EMOTE_MENU_OOPS;Oops
EMOTE_MENU_TAUNT;Taunt
EMOTE_MENU_UNIQUE;Unique
EMOTE_MENU_WELL_PLAYED;Well played
EMOTE_MENU_WOW;Wow
END_TURN;End Turn
ENEMY_TURN;Enemy Turn
ENTER_DECK_NAME;Enter Deck Name
ENTER_YOUR_RECRUITERS_NAME;Enter your recruiter's name...
EVENING;Evening
EVENT_BUTTON_TEXT_SEND;send
EVENT_EGG_HATCHING_HAS_EGG;It looks like your incubator is empty right now. If you find another egg, you can look after it here!\n\nWatch our streaming events on the FaeriaTV Twitch channel for a chance to receive your very own egg.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Welcome to your incubator. Your egg is being kept safe and warm until it's ready to hatch!\nLook below to check your egg is still safe, and who knows: maybe you won't have long to wait...\nOnce your egg has hatched, you can search for another one to keep safe here. Check out our next Monthly Cup Finals!
EVENT_HATCH_EGG_BUTTON;Hatch your egg
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Enter your friend's email address
EVENT_TEXT_LOCK_OVERLAY;Unlock the second key by winning 5 Pandora games.
EVENT_TEXT_TITLE;Event: Invite your Friends
EXIT_CRAFT_MODE;Crafting
FAERIA_AVERAGE;Faeria Average
FRIENDLIST;Friendlist
FRIENDLIST_FRIEND_REQUEST;View friend request
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;View suggestion
FRIENDLIST_STEAM_FRIEND_SUGGESTION;View Steam suggestion
FRIENDLIST_GAME_INVITE;View game invite
FRIENDLIST_DISCORD_HINT;Join our Discord channel to stay in touch!
FRIENDLIST_FRIEND;Friend
FRIENDLIST_INGAME;Ingame
FRIENDLIST_INVITE_TO_LOBBY;Invite to lobby
FRIENDLIST_INVITE_TO_TOURNAMENT;Invite to tournament
FRIENDLIST_IN_LOBBY;In a lobby
FRIENDLIST_OFFLINE;Offline
FRIENDLIST_ONLINE;Online
FRIENDLIST_RECENTLY_PLAYED;Recently played
FRIENDLIST_REFUSED;
FRIENDLIST_REMOVE;Remove friend
FRIENDLIST_REQUEST_INITIATOR;Waiting for Response
FRIENDLIST_REQUEST_RECIPIENT;Friend Requested
FRIENDLIST_SEND_MESSAGE;Send message
FRIENDLIST_SPECTATE_GAME;Spectate game
FRIENDLIST_SPECTATING;Spectating
FRIENDLIST_SPECTATING_YOU;Spectating you
FRIENDLIST_SUGGESTED;Suggested
FRIENDLIST_SUGGEST_TO_LOBBY;Suggest to lobby
FRIENDLIST_VIEW_PROFILE;View profile
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Friend Requested
FX;Fx
GAME_CONNECTION_LOST_RECONNECTING;Game connection lost\nAttempting to reconnect...
GAME_HAS_CRASHED;The game has crashed ({0}). It was too beautiful for this world.
GEM_BONUS_AMOUNT;+ {0} Bonus
GEM_PURCHASE_POPUP_TITLE;Select Gems
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;You don't have enough Gems. Time to get some!
GENERAL;General
GENERIC_BUTTON_TEXT_PLAY;Play
GENERIC_BUTTON_TEXT_SHOP;Shop
GENERIC_GAMEPLAY_ATTACK;Attack
GENERIC_GAMEPLAY_COST;Cost
GENERIC_GAMEPLAY_LIFE;Life
GENERIC_GAMEPLAY_WILD_COST;Wild Cost
GOT_IT;Got it!
GO_TO_CRAFT_MODE;Crafting
GO_TO_SHOP_BUTTON_TEXT;Go to the shop
GOLD_MINER_HIRING_TITLE;Thanks for hiring me!\nI'll get right to work.
GOLD_MINER_REGULAR_GOLD;Hello {0}.\nHere's your shards.
GOLD_MINER_ABOVE_AVERAGE_GOLD;I've had some great luck in the mines!
GOLD_MINER_JACKPOT;Holy yak, we hit the jackpot!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Good to see you again! Here's your shards.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Good to see you again! Here's your shards.
GOLD_MINER_LONG_DELAY_JACKPOT;You're finally back! We hit the jackpot!
GRAPHIC_QUALITY_HIGHER;Higher
GRAPHIC_QUALITY_HIGHEST;Highest
GRAPHIC_QUALITY_HIGH_IPAD;High
GRAPHIC_QUALITY_LOWER;Lower
GRAPHIC_QUALITY_LOWEST;Lowest
GRAPHIC_QUALITY_LOW_IPAD;Low
GRAPHIC_QUALITY_TITLE;Quality :
GUEST_ACCOUNT_NAME;Guest
INFO_NB_CONNECTED;Connected players: {0}
INFO_NB_FINDING_ARENA;Finding Pandora: {0}
INFO_NB_FINDING_CLASSIC;Finding Casual: {0}
INFO_NB_FINDING_CONSTRUCTED;Finding Ranked: {0}
INFO_NB_GAMES;Game in progress: {0}
INFO_TIME_TO_FIND_GAME;Approx. search time: {0}
INGAME_DEFEAT;Defeat
INGAME_OPPONENT_STILL_MULLIGAN;Your opponent is still choosing to replace cards
INGAME_ALLY_STILL_MULLIGAN;Your ally is still choosing to replace cards
INGAME_PANDORA_OPENS;Pandora awakens!
INGAME_PLAYER_TURN;{0}'s turn
INGAME_PUZZLE_SOLVED;Puzzle solved
INGAME_PUZZLE_WIN_THIS_TURN;Win this turn!
INGAME_VERSUS;Versus
INGAME_VICTORY;Victory
INGAME_YOUR_TURN;Your turn!
INVITED_TO_LOBBY;{0} is inviting you to a game.
ITEM_RARITY_COMMON;Common
ITEM_RARITY_EPIC;Epic
ITEM_RARITY_LEGENDARY;Legendary
ITEM_RARITY_RARE;Rare
ITEM_VALUE;Value
KEEP;KEEP
KICKED_FROM_LOBBY;You were kicked out of the lobby.
LANE_COMPLETED_QUEST;Completed!
LANE_NEW_QUEST;New!
LANE_UNLOCKED;Unlocked!
LANGUAGE;Language :
LEAGUE_UP;League up!
LEGENDARY_CARD_LIMIT_MESSAGE;Legendary cards are limited to 1 copy per deck.
LEVEL;Level {0}
LOADING;Loading
LOADING_LONG;Loading is taking longer than expected.
LOBBY_ACCOUNT_SUGGESTED;Suggested
LOBBY_DECK_PICKING_CANCELED;Deck selection was canceled by {0}.
LOBBY_GAME_INVITE_PENDING;Invite pending...
LOBBY_KICK_PLAYER;Kick player out
LOBBY_PLAYERS_IN_GAME;Waiting for players still in game...
LOBBY_PLAYERS_PICKING_DECKS;Players are selecting their decks...
LOBBY_PLAYER_1_STATUS;Player 1
LOBBY_PLAYER_2_STATUS;Player 2
LOBBY_READY_BUTTON_TEXT;Ready
LOBBY_SET_PLAYER_1;Set as player 1
LOBBY_SET_PLAYER_2;Set as player 2
LOBBY_SET_SPECTATOR;Set as spectator
LOBBY_SPECTATOR_STATUS;Spectator
LOBBY_CO_OP_WITH;With
MAINMENU_BUTTON_BOOSTERS;Chests
MAINMENU_BUTTON_COLLECTION;Collection
MAINMENU_BUTTON_DAILY_QUESTS;Daily quests
MAINMENU_BUTTON_EVENT_END_TIME;Event ends in {0} hours and {1} minutes.
MAINMENU_BUTTON_FRIEND_LIST;Friend list
MAINMENU_BUTTON_HOME;Home
MAINMENU_BUTTON_SETTINGS;Settings
MAINMENU_TITLE_BATTLE;BATTLE
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;ADVENTURE
MAINMENU_TITLE_VIEWPROFILE;View Profile
MAP_QUEST_LOCKED;Locked
MARKET_BUTTON_BUY_GEMS;Info
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Bundle
MARKET_CATEGORY_CARD_BACK;Card Back
MARKET_CATEGORY_CHEST;
MARKET_CATEGORY_EMOTES;Emote
MARKET_CATEGORY_NONE;
MARKET_CATEGORY_ORB;Orb
MARKET_CATEGORY_PANDORA;
MARKET_CATEGORY_WELL;Well
MARKET_FEATURED_TAB_AVATAR;Avatars
MARKET_FEATURED_TAB_BUNDLE;Bundles
MARKET_FEATURED_TAB_CARD_BACK;Card Backs
MARKET_FEATURED_TAB_EMOTE;Emotes
MARKET_FEATURED_TAB_ORB;Orbs
MARKET_FEATURED_TAB_WELL;Wells
MARKET_HOW_MANY_CHEST;How many do you want?
MARKET_ITEM_CONFIRM_PURCHASE;BUY
MARKET_ITEM_OWNED;Owned
MARKET_MENU_FEATURED;Featured
MARKET_PROCESSING_ORDER;Processing...
MARKET_ROTATINGITEMS_TITLE;Deals of the Day
MARKET_TITLE;Shop
MATCHES_FORMAT;Match format:
MISSION_PACK_NPC_REWARD_TOOLTIP;Completing the last mission of this pack will reward you with a unique ally
MISSION_PACK_XP_REWARD_TOOLTIP;This is the total XP you can earn by completing the missions of this pack
MORNING;Morning
MULLIGAN;Do you want to keep your cards or redraw?
MULLIGAN_BUTTON_TEXT_CONFIRM;Confirm
MULLIGAN_HINT_TEXT;Redrawn
MUSIC;Music
MY_CHESTS;My Chests
NEW_ACCOUNT_BUTTON;Create an account
NEW_ACCOUNT_LABEL;New to Faeria?
NEW_ACCOUNT_WARNING;If you already have a Faeria account, you won't be able to use it with this {0} account!
NEW_CARD_HINT;New
NEW_DAILY_QUEST_RECEIVED;You received a new daily quest!
NEW_DECK_NAME;My Deck
NIGHT;Night
NO_DAILY_QUESTS_LEFT;You have no Daily Quests left. Check back in tomorrow!
OBJECTIVES;Objectives
OK;Yes
OVERSKY;Oversky
OVERSKY_ALL_CARDS_NAME;All Oversky Cards
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Purchase island
OVERSKY_BUY_ISLAND_TEXT;You don't own this island.\nYou need to purchase it to be eligible for the rewards of this mission.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> new cards will be added to your collection upon purchase
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;The bundle price has been adjusted because you already own this island
OVERSKY_COSMETIC_SET_TOOLTIP;Including unique legendary items: Card Back, Faeria Well, Avatar and Orb
OVERSKY_GET_POINTS_EMPEROR;Emperor's Challenge
OVERSKY_GET_POINTS_MISSION;Oversky Mission
OVERSKY_GET_POINTS_PVP;PvP Win
OVERSKY_GET_POINTS_WILD_PACK;Wild Pack Completed
OVERSKY_GET_POINTS_WORLD_BOSS;World Boss Defeated
OVERSKY_GETTING_POINTS;Getting points for your pouch
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;The mighty Emperor of Mirnast will bring you a new challenge every day. Get points for your pouch the first time you defeat him, each day.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Each day, the mighty Emperor of Mirnast will bring you a new challenge. Get your pouch to access this limited mode!
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Emperor's Challenge
OVERSKY_ONE_ISLAND;This Island
OVERSKY_POINTS_REWARD;points for your pouch
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Your Adventure Pouch Rewards
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Keep on earning Adventure Pouch points to unlock as many rewards as you can! Below you can find the list of rewards and see your progress.
OVERSKY_POUCH_OWNED_ENDED;Your Adventure Pouch has closed
OVERSKY_POUCH_OWNED_END_DAYS;Your Adventure Pouch will open immediately, and close in {0} day(s)
OVERSKY_POUCH_OWNED_END_HOURS;Your Adventure Pouch will open immediately, and close in {0} hour(s) and {1} minute(s)
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Adventure Pouch Rewards
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Purchase your Adventure Pouch now to unlock the rewards shown below - how many points can you earn before the Adventure Pouch closes?
OVERSKY_POUCH_NOT_OWNED_ENDED;Time's up! The Adventure Pouch is not available anymore.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Your Adventure Pouch will close in {0} day(s)
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Your Adventure Pouch will close in {0} hour(s) and {1} minute(s)
OVERSKY_POUCH_NAME;The Adventure Pouch
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;A mythic copy of one of your Oversky cards\n<size=60%>If you already have a full set of mythic versions of all the Oversky cards you own, you will receive this reward the next time you purchase an island.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Kaios' Avatar and Emotes
OVERSKY_POUCH_TOOLTIP;Level-up your pouch to unlock exclusive adventuring rewards! More info on faeria.com/oversky.
OVERSKY_SHOP_SLIDER_ITEM_NAME;Oversky content
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Oversky has arrived - grab new content here!
OWNED_CARD_COUNT;You own {0} of this card
PANDORA_GATE_OPENED;Your Run Begins!
PANDORA_KEY_POOL_HELP_TEXT;Drag a coin to the center of the gate to enter Pandora!
PANDORA_LOSSES;Losses
PANDORA_SHARD_1_FOUND;First Shard Found
PANDORA_SHARD_2_FOUND;Second Shard Found
PANDORA_SHARD_3_FOUND;Third Shard Found
PANDORA_SHARD_4_FOUND;Fourth Shard Found
PANDORA_SHARD_5_FOUND;Final Shard Found
PANDORA_VICTORIES;Wins
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Your decks contain too many {0}s. You can't have more than {1} copy of a Legendary card across all 3 decks.
PANTHEON_DECK_NOT_RESPECTED;Your decks contain too many {0}s. You can't have more than {1} copies of a non-Legendary card across all 3 decks.
PASSWORDS_DO_NOT_MATCH;The passwords do not match
PASSWORD_FIELD_CONFIRM;Confirm password*
PASSWORD_FIELD_MANDATORY;Password*
PASSWORD_FIELD_NEW;New password*
PASSWORD_MANDATORY;Password is mandatory
PASSWORD_TOO_LONG;Password too long (max {0} characters).
PASSWORD_TOO_SHORT;Password too short.
PAUSE_MENU_TEXT;Pause
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} left
PINK_CHESTS_NOT_YET_AVAILABLE;An unknown force prevents you from approaching these chests. They won't open... for now.
PLAY_MENU_SOLO_STANDARD;Missions
PLAY_MENU_SOLO_OVERSKY;Oversky
PLAYER_LEFT_TOURNAMENT;Player '{0}' left the tournament. The winner by default is '{1}'.
PLAYER_LOST_CONNECTION;Player {0} lost connection\nHas {1} seconds to reconnect
PRACTICE_BUTTON_TEXT;Practice
PRIVATE_LOBBY;Private Lobby
PRIVATE_LOBBY_INFO;Welcome to the private lobby! The game starts when both players are ready.
PRIVATE_PLAY_ALLY_READY;Ally ready!
PRIVATE_PLAY_OPPONENT_READY;Opponent ready!
PRIVATE_PLAY_PLAYER_READY;You are ready!
PRIVATE_PLAY_READY;Cancel
PROFILE_BATTLERANK_TITLE;Battle
PROFILE_MENU_PROFILE;Profile
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Rankings
PROLOGUE_HINT_ATTACK;Deals this much damage in fights
PROLOGUE_HINT_COST;Costs this much Faeria to play
PROLOGUE_HINT_LIFE;Takes this much damage to kill
PROLOGUE_SPEECH_BUBBLE;Complete these missions to unlock your powers!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Hello {0}!</size>\n\nYou are currently playing as a guest.\n\nValidate your account by entering and confirming your email address and you'll be rewarded with 2 Battle Chests (8 cards)!
PROMPT_ACCOUNT_INFO_WELCOME;Account Creation
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;Activation code was sent to your email address.
PROMPT_BINDING_SUCCESS;A binding link was sent to your email address.
PROMPT_CANCEL_GAME_SEARCHES;This will cancel your game search. Do you want to continue?
PROMPT_CHALLENGE_CONFIRMATION;You only have one chance to win this challenge. Are you ready?
PROMPT_CONFIRM_USER_NAME;Choose carefully, you won't be able to change your name later on!
PROMPT_CRASH;The game has crashed :(
PROMPT_DECKEMPTY;A player lost due to drawing from an empty deck.
PROMPT_DEFEAT;Defeat
PROMPT_DELETE_DECK_CONFIRMATION;Are you sure you want to delete your deck?
PROMPT_DELETE_FRIEND_CONFIRMATION;Are you sure you want to remove this friend?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Are you sure you want to disenchant all your excess?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;If you disenchant this card, some decks will be altered, are you sure?
PROMPT_DOUBLE_KO;Game ended in a draw!
PROMPT_DROP_RUN_CONFIRMATION;Are you sure you want to quit? It will count as {0} loss(es)!
PROMPT_DUEL_PROPOSED;{0} has challenged you to a duel.
PROMPT_EMAIL_HELP_TEXT;Validating your account also has the following advantages:\n\n\t- Password recovery\n\t- Access to our forums
PROMPT_TEXT_LATER;Later
PROMPT_EMAIL_TITLE_TEXT;Email address
PROMPT_EMAIL_WELCOME;Validate your account and get 2 Battle Chests (8 cards)!
PROMPT_EXIT_CONFIRMATION;Are you sure you want to quit?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Accept this game invitation?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Accept this friend request?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Accept this Steam friend suggestion?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Accept this friend suggestion?
PROMPT_GAME_HAS_CRASHED;The game has crashed!
PROMPT_LOBBY_CANCEL_CONFIRMATION;Are you sure you want to cancel and exit the lobby?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Are you sure you want to leave the lobby?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Your changes aren't applied. Do you want to discard them?
PROMPT_NEW_BINDING;Do you already have a Faeria account?
PROMPT_NO_DECK_FOUND;You have to create a deck in order to play
PROMPT_PASSWORD_CHANGE_SUCCESS;Password modified successfully for account {0}.
PROMPT_REFUSED_INVITEE_PLAYING;Your friend is playing
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Your friend is already searching for a game.
PROMPT_RESET_PASSWORD;Reset Your Password
PROMPT_SAVE_DECK_FIRST;Do you want to save the changes to your deck?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;You seem to handle card games well. Do you want to skip the tutorial?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Skip Tutorial
PROMPT_STEAM_CONNECTION_REQUIRED;Steam connection required. Please launch Faeria from Steam.
PROMPT_SURRENDER_CONFIRMATION;Are you sure you want to surrender?
PROMPT_TEXT_NO;No
PROMPT_TEXT_OK;Ok
PROMPT_TEXT_YES;Yes
PROMPT_TOURNAMENT_LEAD_DECK_PICK_CONFIRM;The first deck you pick will be the one you MUST use for the first game of a match, until your first loss. Are you sure you want to proceed?
PROMPT_TOURNAMENT_LOBBY_LEAVE_CONFIRMATION;Leaving a tournament lobby before all remaining games are completed will make you lose your games. Do you really want to leave?
PROMPT_TOURNAMENT_SIGNUP_CONFIRM;Are you sure you want to use these decks? Once you sign up, you will not be able to change them.
PROMPT_TRANSACTION_FAILED;Transaction failed
PROMPT_USERNAME_SKIP_BUTTON_TEXT;Skip
PROMPT_USER_NAME_TITLE_TEXT;Player Name
PROMPT_VICTORY;Victory!
PROMPT_VICTORY_CONTINUE_BUTTON_TEXT;Continue
PUBLIC_ARENA_GAME_SEARCH;Searching
PUBLIC_GAME_SEARCH;Searching
QUEST_HINT_WILD_COST;Requires this many special lands (total).
QUEST_HOW_TO_UNLOCK_LANE;Reach level {0} to unlock this lane.
QUEST_LANE_ACT_NAME;Mission Pack
QUEST_LANE_COMPLETED;Lane Completed!
QUEST_LANE_PROGRESSION;{0}/{1}
QUEST_LANE_WILD_NAME;Wild
QUEST_LOCKED_NAME;Mission locked
QUEST_OPPONENT_LEVEL;Lvl {0}
QUEST_PACK_COMPLETED;Mission Pack Completed
QUEST_REQUIRED_LEVEL;Requires\nLevel {0}
QUEST_REWARD_EXPERIENCE_ABBREVIATION;XP
QUEST_TYPE_CHALLENGE;Challenge
QUEST_TYPE_EPIC;Epic Mission
QUEST_TYPE_EPIC_FORCED_DECK;Mission
QUEST_TYPE_INTRO;Mission
QUEST_TYPE_MYSTERY;Mystery Mission
QUEST_TYPE_PUZZLE;Puzzle
QUEST_TYPE_QUEST;Quest
QUEST_TYPE_SURVIVAL;Survival
RANK_DOWN;Rank Down
RANK_STAR_DEFEAT;Defeat
RANK_STAR_FIRST_WIN_OF_THE_DAY;First win of the day!
RANK_STAR_HIGHER_LEAGUE_OPPONENT;You defeated a much stronger opponent!
RANK_STAR_VICTORY;Victory
RANK_STAR_WIN_STREAK;Win streak!
RANK_UP;Rank Up
RECOVERY_CODE;Recovery Code
RECOVERY_STEAM;I have created my account on PC/macOS/Linux.
RECOVERY_SUPPORT;The above option(s) did not work for me.
RECOVERY_VALIDATED;My Faeria account is validated (I gave my email address).
RECRUITER;Recruiter
REFUSE;Decline
REFUSE_FRIEND_REQUESTS;Refuse friend requests
REFUSE_FRIEND_SPECTATE;Refuse friend spectate
REPLAY_BUTTON_TEXT;Replay Mode
REQUEST_CANCELED_BY_HOST;The request was canceled by host
REROLL;Reroll
RESOLUTION;Resolution : {0}
RUSH_TUTORIAL;The Rush Opening
SAVE;SAVE
SEARCH_MODE_CASUAL_BUTTON_TEXT;Casual
SEARCH_MODE_RANKED_BUTTON_TEXT;Ranked
SEARCH_TIME_ARENA_MODE_NAME;Pandora
SEARCH_TIME_CONSTRUCTED_MODE_NAME;Constructed
SERVER_INFO_CUSTOM;{0}
SERVER_INFO_LAST_ANNOUNCEMENT;Latest announcement available <u><link={0}>here</link></u>.
SERVER_INFO_MAINTENANCE_SCHEDULED;A server maintenance is scheduled for {0}
SERVER_INFO_MAINTENANCE_IN_PROGRESS;Our Yaknicians are performing server maintenance. We expect our servers to be back around {0}
SERVER_INFO_NEW_VERSION_CHANGELOG;Latest patch notes are available <u><link={0}>here</link></u>.
SERVER_INFO_SERVER_IS_DOWN;Server is down.
SERVER_IP;Ip Server
SETTING_ANIMATED_BACKGROUND;Animated background:
SETTING_BUTTON_TEXT_EXIT;Exit
