ACCOUNT_DOES_NOT_EXIST;Dieser Account existiert nicht.
INVALID_HIGHLANDER_DECK_DUPLICATE;Ungültiges Highlander-Deck: Du kannst die gleiche Karte nicht mehr als einmal verwenden.
INVALID_STEAM_KEY;Ungültiger Steam-Produktschlüssel.
LEGENDARY_CARD_LIMITED;Legendäre Karten sind auf 1 Exemplar pro Deck limitiert.
MAIL_ALREADY_EXISTS;E-Mail-Adresse bereits belegt.
MARKET_ITEM_ALREADY_OWNED;Du besitzt diesen Gegenstand bereits.
NEW_BOSS_MISSION_UNLOCKED;Neue Bossmission freigeschaltet!
NO_ACTIONS_LEFT_RETRYING_PUZZLE;Keine Züge mehr übrig! Versuche es erneut.
ORB_DIED_RETRYING_PUZZLE;Ich habe dich besiegt! Versuche es erneut.
PAUSE_LIMIT_REACHED;Du kannst das Spiel nicht mehr anhalten (das Limit von {0} Pausen wurde erreicht).
PICK_TOURNAMENT_MATCHES_FORMAT;Bitte wähle ein Matchformat für das Turnier.
PLAYER_LEFT_GAME;Spieler {0} hat das Spiel verlassen!
RECIPIENT_IS_OFFLINE;{0} ist offline
RECRUITER_SET;Anwerber erfolgreich ausgewählt!
SELECT_A_DECK;Du musst ein Deck auswählen.
SERVER_BUSY_TRY_AGAIN;Der Server ist überlastet, bitte versuche es in einigen Minuten noch einmal.
SERVER_COULD_NOT_FIND_GAME;Der Server konnte das gewünschte Spiel nicht finden.
SERVER_SHUTDOWN;Serverupdate in {0} Minute(n). Unter Umständen musst du dich nach deinem Spiel neu einloggen.
SERVER_SHUTDOWN_CANCELED;Der Server wird nicht mehr heruntergefahren.
SERVER_SHUTDOWN_WARNING;Serverupdate in {0} Minute(n). Die Warteschlangen werden in {1} Minute(n) deaktiviert.
SPECTATED_PLAYER_LEFT_GAME;Der Spieler, dem du zugeschaut hast, hat das Spiel verlassen.
STEAM_FINALISE_TXN_FAILED;Transaktion konnte nicht abgeschlossen werden.
STEAM_ID_NOT_FOUND;Steam-Benutzername wurde nicht gefunden.
STEAM_INIT_TXN_FAILED;Transaktion konnte nicht initialisiert werden.
STEAM_PRICE_CHANGED;Der Preis dieses Gegenstands hat sich geändert. Bitte versuche es erneut.
STEAM_USER_INFO_NOT_FOUND;Benutzerinformationen konnten nicht von Steam abgerufen werden.
UPDATE_CLIENT_TO_PLAY;Du musst dein Spiel aktualisieren, um spielen zu können.
UPGRADE_ACCOUNT_FAILED;Account-Aufwertung fehlgeschlagen.
USER_ALREADY_SET_YOU_AS_RECRUITER;{0} hat dich bereits als seinen Anwerber festgelegt.
USER_ALREADY_SIGNED_IN;Nutzer ist bereits angemeldet, versuche es in 1 Minute erneut. Falls das Problem bestehen bleibt, kontaktiere bitte support@faeria.com.
USER_NAME_INVALID;Nutzernamen dürfen nur Buchstaben, Zahlen, Bindestriche und Unterstriche enthalten.
USER_NAME_RESERVED;Nutzername ist reserviert
USER_NAME_SIZE_MAX_INVALID;Maximale Länge des Nutzernamens beträgt {0}.
USER_NAME_SIZE_MIN_INVALID;Minimale Länge des Nutzernamens beträgt {0}.
USER_NOT_FOUND;Nutzer existiert nicht: {0}
WRONG_ACTIVATION_KEY;Der eingegebene Aktivierungsschlüssel scheint falsch zu sein.
WRONG_DECK_SIZE;In deinem Deck müssen mindestens {0} Karten sein.
WRONG_LEVEL_FOR_ARENA;Du musst Stufe {0} erreichen, um Pandora zu betreten.
WRONG_LEVEL_FOR_RANKED;Erreiche Level {0} um Ranglistenspiele zu spielen.
ACCOUNT_IS_BANNED;Dieser Account ist zur Zeit gebannt.
NO_AVAILABLE_LORE_PAGES_LEFT;Keine Geschichtsseiten mehr übrig!
WRONG_LEVEL_FOR_OVERSKY;Erreiche Level {0} um die Himmelswelt zu spielen.
WRONG_LEVEL_FOR_PUZZLE;Erreiche Level {0} um Puzzles zu spielen.
WRONG_LEVEL_FOR_BOSS;Erreiche Level {0} um die Weltenbosse zu spielen.
WRONG_LEVEL_FOR_DRAGONS_LAIR;Erreiche Level {0} um die Drachenhöhle zu betreten.
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;Freunde erscheinen nur auf dieser Plattform, wenn sie verbunden sind.
FRIEND_ADDED_SUCCESSFULLY;Freund erfolgreich hinzugefügt!
ALREADY_FRIENDS;Mit diesem Spieler bist du bereits befreundet.
