1.cardName;Bauernjunge
39.cardText;Das erste Mal, wenn diese Kreatur kämpft und überlebt, erhält sie +3/+3 und {charge|2}.
40.cardName;Magnus, König von Meroval
40.cardText;{charge|3}\n{combat} – Ziehe eine Karte. Diese kostet {faeria|0}.
41.cardName;Seuchenbringer
41.cardText;{last_words} – Füge ALLEN Kreaturen 2 Schaden zu.
42.cardName;Belagerungsmaschine
42.cardText;{ranged_attack}\nNachdem diese Kreatur angegriffen hat, erhält sie +1/+0.
43.cardName;Sharra, die Drachentöterin
43.cardText;Sharra ist immun gegen jeden Schaden von 4 oder höher.
44.cardName;Hungersnot
44.cardText;Füge ALLEN Kreaturen 1 Schaden zu.
45.cardName;Königlicher Richter
45.cardText;{options|Ziehe eine Schutzkuppel.|Ziehe eine Bestrafung.}\nNimm eine <b>Schutzkuppel</b> auf deine Hand. Sie kostet {faeria|0}.\nNimm eine <b>Bestrafung</b> auf deine Hand. Sie kostet {faeria|0}.
46.cardName;Kartograph
46.cardText;{last_words} – Nimm ein <b>Erkunden</b> auf deine Hand.
47.cardName;Schimmernde Statue
47.cardText;{taunt}\n{production} - Erhalte 1 Leben.
48.cardName;Dorfältester
48.cardText;{last_words} – Ziehe eine Karte.
49.cardName;Geschichtenerzähler
49.cardText;{gift} – Jeder Spieler zieht 2 Karten und erhält 2 Leben.
50.cardName;Wandermönch
50.cardText;Erhält +1/+0, immer wenn du eine Karte ziehst.
51.cardName;Vollstrecker der Dampfschmiede
52.cardName;Getreuer des Königs
52.cardText;{protection}
53.cardName;Tag der Drachen
53.cardText;Nimm die vier elementaren <b>Drachen</b> auf die Hand. Sie kosten {faeria|3} weniger und werden {wild}.
54.cardName;Wagemutiger Abenteurer
54.cardText;{gift} - Erhält +2/+2 für jede benachbarte feindliche Kreatur.
55.cardName;Keulenschwinger
56.cardName;Baron Thulgar
56.cardText;{last_words} – Jeder Spieler zieht eine Karte. Diese kosten {faeria|0}.
57.cardName;Weisheit
57.cardText;Ziehe zwei Karten.
58.cardName;Kriegs-Yak
58.cardText;Hat +2/+0, solange dein Gegner 10 Leben oder weniger hat.
59.cardName;Verteidiger der Heimat
59.cardText;{taunt}\n{gift} - Wenn du letzten Zug angegriffen wurdest, beschwöre einen weiteren <b>Verteidiger der Heimat</b>.
60.cardName;Meuchelmörder der Königin
60.cardText;{deathtouch}
61.cardName;Vogelfreier
61.cardText;{last_words} – Dein Gegner zieht eine Karte und erhält {faeria|2}.
62.cardName;Glücksritter
62.cardText;Wenn diese Kreatur Faeria sammelt, erhält eine zufällige verbündete Kreatur +1/+1.
63.cardName;Wildnishüter
63.cardText;{gift} – Nimm ein <b>Lagerfeuer</b> auf deine Hand.
64.cardName;Imperiale Pumpstation
64.cardText;Faeria-Brunnen sind leer.\n{production} - Diese Karte erhält 1 Schaden.\n{last_words} - Fülle jeden Faeria-Brunnen wieder auf.
65.cardName;Regenwald-Forscher
65.cardText;Hat +1/+1 solange du mindestens {blue}{blue} kontrollierst und +0/+2 solange du mindestens {green}{green} kontrollierst.
66.cardName;Kratersee-Forscher
66.cardText;Hat +1/+1 solange du mindestens {blue}{blue} kontrollierst und +2/+0 solange du mindestens {red}{red} kontrollierst.
67.cardName;Oasen-Forscher
67.cardText;Hat +1/+1 solange du mindestens {blue}{blue} kontrollierst und +1/+1 solange du mindestens {yellow}{yellow} kontrollierst.
68.cardName;Taiga-Forscher
68.cardText;Hat +2/+0 solange du mindestens {red}{red} kontrollierst und +0/+2 solange du mindestens {green}{green} kontrollierst.
69.cardName;Savannen-Forscher
69.cardText;Hat +1/+1 solange du mindestens {yellow}{yellow} kontrollierst und +0/+2 solange du mindestens {green}{green} kontrollierst.
70.cardName;Sandsteinwüsten-Forscher
70.cardText;Hat +2/+0 solange du mindestens {red}{red} kontrollierst und +1/+1 solange du mindestens {yellow}{yellow} kontrollierst.
71.cardName;Rubinroter Fisch
71.cardText;{aquatic}
72.cardName;Märchendieb
72.cardText;{options|Dies erhält +2/+2|Ziehe 2 Karten.}\n - Dies erhält +2/+2.\n - Ziehe 2 Karten.
73.cardName;Gabrianische Zisterne
73.cardText;{production} - Du erhälst {faeria|3}. Füge diesem Bauwerk 1 Schaden zu.
74.cardName;Tyranax
75.cardName;Gabrianische Verzauberin
75.cardText;{gift} – Setze den Angriff einer anderen Kreatur auf die Höhe ihres Lebens.
76.cardName;Gabrianischer Befehlshaber
76.cardText;{aquatic}, {charge|2}\n Das erste Mal, wenn du eine Karte mit Grundkosten {faeria|7} oder höher ziehst, erhält diese Kreatur +1/+1 und {flying}.
77.cardName;Gabrianischer Aufseher
77.cardText;{gift} – Gib einer Kreatur {protection}.
82.cardName;Mochi des Frühlings
82.cardText;{gift} – Die nächste Karte mit Grundkosten von {faeria|7} oder höher, die du ziehst, kostet {faeria|3} weniger.
83.cardName;Triton-Krieger
83.cardText;{jump}
84.cardName;Mystische Bestie
84.cardText;{gift} – Erhält +2/+0 und {jump}, wenn sie angrenzend zu einem gegnerischen Brunnen beschworen wird.
85.cardName;Spiegelndes Trugbild
85.cardText;{gift} – Verwandle eine andere Kreatur in ein 5/5 <b>Spiegelndes Trugbild</b>.
86.cardName;Triton-Chefkoch
86.cardText;{gift} – Nimm ein <b>Triton-Bankett</b> auf deine Hand.
87.cardName;Ninja-Kröte
87.cardText;{jump}, {haste}
88.cardName;Verfroschen
88.cardText;Verwandle eine Kreatur in einen 2/2 <b>Frosch</b> mit {jump}.
93.cardName;Gabrianische Verzauberung
93.cardText;Setze den Angriff einer Kreatur auf die Höhe ihres Lebens.\nZiehe eine Karte.
94.cardName;Auroras Schöpfung
94.cardText;Nimm die Kopie einer Kreatur auf deine Hand. Sie kostet {faeria|5} weniger.
95.cardName;Dunkler Pirscher
95.cardText;Kostet {faeria|2} weniger, wenn du in diesem Zug ein Ereignis gespielt hast.
96.cardName;Zauberstrudel
96.cardText;Nimm 2 zufällige blaue Karten auf die Hand.
97.cardName;Gabrianischer Adliger
97.cardText;{gift} – Beschwöre einen 1/1 <b>Rubinroten Fisch</b> (du kannst ihn auf einem Ozean beschwören).
102.cardName;Auroras Schüler
102.cardText;Erhält immer, wenn du ein Ereginis spielst, +1/+1.
103.cardName;Panzerschildkröte
103.cardText;{aquatic}
104.cardName;Baeru, die Erste Sturmflut
104.cardText;{aquatic}\n{production} - Verwandle alle angrenzenden Länder in {blue}
105.cardName;Sturmgeborener
105.cardText;{last_words} – Erhalte {faeria|10}.
106.cardName;Sage der Alten Schildkröte
106.cardText;Ziehe 3 Karten. Alle Kreaturen, die auf diese Art gezogen werden, kosten {faeria|2} weniger.
107.cardName;Wellenbrecher-Koloss
107.cardText;Kostet {faeria|1} weniger für jedes mal, das du Faeria von einem Brunnen deines Gegners gesammelt hast (Mininum: {faeria|4}).
108.cardName;Orosei, Traum aus der Tiefe
108.cardText;{flying}, {charge|2}\n{gift} – Verwandele alle deine anderen Kreaturen in zufällige Kreaturen, die {faeria|2} mehr kosten.
109.cardName;Wasserelementar
109.cardText;{jump}\n{gift} - Platziere {blue}
110.cardName;Seidengemmen-Fee
110.cardText;{flying} \n Erhält das erste mal, wenn du ein Ereignis ziehst +2/+2 und {charge|2}.
111.cardName;Versunkener Turm
111.cardText;{activate} - Bewege ein Land. Füge diesem Bauwerk 1 Schaden zu.
112.cardName;Azurblaues Irrlicht
112.cardText;Erhalte jedes Mal +1/+1, wenn du Faeria von einem Brunnen eines Gegners sammelst.
113.cardName;Triton-Heiligtum
113.cardText;Erhält +0/+1 immer wenn du Faeria sammelst. \n {activate} - Zerstöre dieses Bauwerk und erhalte {faeria|1} in Höhe seines Lebens.
114.cardName;Auroras Traum
114.cardText;Ziehe Karten, bis du 9 auf der Hand hast. Senke die Kosten aller Karten auf deiner Hand auf {faeria|0}.
115.cardName;Lanzenreiter des Schneesturms
115.cardText;{jump}\n Immer wenn du ein Ereignis spielst, erhält diese Kreatur +2/+0 bis zum Ende des Zuges (Maximal +6/+0).
116.cardName;Luduan
116.cardText;Füge jedes Mal, wenn diese Kreatur Faeria von einem gegnerischen Brunnen sammelt, eine blaue Karte deiner Hand hinzu. Diese kostet {faeria|2} weniger.
117.cardName;Wundersames Ei
117.cardText;Wenn du eine nicht-legendäre Kreatur ziehst, wird das Wundersame Ei zu einer Kopie dieser Kreatur.
118.cardName;Gabrianischer Archon
118.cardText;{charge|2}\nHat +2/+2, wenn du mindestens zwei Karten mit Grundkosten von {faeria|7} oder mehr in diesem Spiel gespielt hast.
119.cardName;Triton-Taucher
119.cardText;{aquatic}, {jump}
120.cardName;Gezeitenwechsel
120.cardText;{options|Bewege ein Land.|Ziehe eine Karte.}\nBewege ein Land.\nZiehe eine Karte.
121.cardName;Prophet der Gezeiten
121.cardText;{gift} - Bewege das Land, auf dem diese Kreatur steht, zweimal.
122.cardName;Vision von Demut
122.cardText;Halbiere den Angriff und die Verteidigung einer Kreatur (runded ab).
123.cardName;Uralter Bote
123.cardText;{gift} – Die nächste Kreatur mit 5 oder mehr Leben, die du ziehst, kostet {faeria|2} weniger.
124.cardName;Triton-Bankett
124.cardText;Gib einer Kreatur +1/+1 und {jump}.
125.cardName;Aurora, Schöpferin der Sagen
125.cardText;{gift} - Setze Leben und Angriff einer anderen verbündeten Kreatur auf 6/6.
126.cardName;Wellenformer
126.cardText;Setze am Ende des gegnerischen Zugs das Faeria ALLER Spieler auf {faeria|3}.
127.cardName;Fehlgeschlagenes Experiment
127.cardText;Die nächste Kreatur, die du in diesem Zug spielst, kostet {faeria|4} weniger, allerdings stirbt sie sofort.
128.cardName;Auroras List
128.cardText;Erhalte die Kontrolle über eine Kreatur mit 2 oder weniger Angriff.
129.cardName;Kampfkröten
129.cardText;Beschwöre zwei 2/2 <b>Frösche</b> mit {jump}.
130.cardName;Glücksfall
130.cardText;Erhalte {faeria|12}.
131.cardName;Krieger der Sagami
131.cardText;{dash|2}
132.cardName;Knochensammler
132.cardText;Erhält immer, wenn eine benachbarte Kreature stirbt, +1/+1.
133.cardName;Seelengebundener Sagami
133.cardText;{last_words} - Eine zufällige verbündete Kreatur erhält +3/+5.
134.cardName;Hainrufer der Sagami
134.cardText;{gift} - Du kannst eine verbündete Kreatur auf {green} unter deiner Kontrolle teleportieren.
135.cardName;Uralter Bändiger
135.cardText;Wenn du eine Kreatur mit 5 oder mehr Leben beschwörst, erhält sie +1/+1.
136.cardName;Gaias Gnade
136.cardText;Eine Kreatur erhält +0/+3. Erhalte 3 Leben.
137.cardName;Tiki-Häuptling
137.cardText;{gift} – Gewährt einer Kreatur {taunt}.
138.cardName;Blütengeist
138.cardText;{last_words} – Nimm eine zufällige grüne Karte auf deine Hand. Sie kostet {faeria|3} weniger.
139.cardName;Einsiedler des Elderwalds
139.cardText;{last_words} - Eine zufällige verbündete Kreatur erhält +2/+4.
140.cardName;Tiki-Wächter
140.cardText;{gift} – Gib einer Kreatur +2/+2.
141.cardName;Tiki-Pfeifer
141.cardText;{gift} – Gib einer Kreatur +0/+4.
142.cardName;Schamanentanz
142.cardText;Gib einer Kreatur +0/+4 und {taunt}.
143.cardName;Tiki-Totem
143.cardText;Jeden Zug erhält die erste Kreatur die du beschwörst +1/+1.
144.cardName;Besessener Bär
144.cardText;Nachdem diese Kreatur Schaden erleidet, verdopple ihren Angriff.
149.cardName;Eichenholzgestalt
149.cardText;{last_words} - Gib einer zufälligen grünen Kreatur in deiner Hand +5/+5.
150.cardName;Thyrianischer Golem
151.cardName;Saatsetzer
151.cardText;{gift} - Erschaffe {green} auf einem zufälligen angrenzenden Feld.
152.cardName;Rankenwall
152.cardText;{taunt}\n{last_words} - Erschaffe {green} auf einem zufälligen Feld.
153.cardName;Düsterforst-Bär
154.cardName;Tiki-Heiler
154.cardText;{gift} - Erhalte 5 Leben.
155.cardName;Ruunins Schrein
155.cardText;{gift} - Erhalte {faeria|2}.\n{last_words} - Dein Gegner erhält {faeria|2}.
156.cardName;Eichenvater
156.cardText;{gift} - Dies erhält +0/+1 für jeden {green} unter deiner Kontrolle.
157.cardName;Faeria-Baum
157.cardText;{production} - Dieses Bauwerk erhält +0/+1.\n Wenn dies 5 oder mehr Leben hat, zerstöre es und erhalte {faeria|10}.
158.cardName;Lebende Weide
158.cardText;{taunt}
159.cardName;Wildwuchs
159.cardText;Erschaffe {green} auf einem zufälligen Feld.
168.cardName;Urzeit-Koloss
168.cardText;Kostet {faeria|1} weniger für jedes farbige Land unter deiner Kontrolle. (Minimum: {faeria|6})
169.cardName;Tethra, Seele der Wildnis
169.cardText;{flying}, {charge|2}\n{gift} – Gib einer Kreatur +5/+5.
170.cardName;Holzelementar
170.cardText;{taunt}\n{gift} - Platziere {green}
171.cardName;Seidenblumen-Fee
171.cardText;{flying}\n Erhält +1/+4 {taunt} und {charge|2} wenn du das erste mal ein Ereignis ziehst.
172.cardName;Überwucherter Turm
172.cardText;{activate} - Gib einer Kreatur +1/+1. Füge diesem Bauwerk 1 Schaden zu.
173.cardName;Immerblühendes Irrlicht
173.cardText;Erhält +1/+1, immer wenn du {green} erschaffst.
174.cardName;Geisterwesen der Wiedergeburt
174.cardText;Immer wenn eine verbündete Kreatur stirbt, gib einer zufälligen Kreatur in deiner Hand +1/+1.
175.cardName;Umarmung des Elderwalds
175.cardText;Gib einer Kreatur +2/+4.
176.cardName;Ruunins Botschafter
176.cardText;{jump}\n Wann immer diese Kreatur einen Gott angreift, füge deiner Hand eine grüne Kreatur hinzu. Sie kostet {faeria|2} weniger.
177.cardName;Naturgewalt der Pflanzenwelt
178.cardName;Wächter des Hains
178.cardText;{taunt}
179.cardName;Tarum, der Weltenwald
179.cardText;{taunt}\n{last_words} – Fülle das Spielbrett mit Wäldern.
180.cardName;Weinendes Götzenbild
180.cardText;Erhalte immer, wenn dir Schaden zugefügt wird, {faeria|1}.
181.cardName;Bodenkunde
181.cardText;{options|Verwandle eines deiner Länder in {green}|Verwandle eines deiner Länder in {blue}|Verwandle eines deiner Länder in {red}|Verwandle eines deiner Länder in {yellow}} color.\nVerwandle eines deiner Länder in ein Land deiner Wahl, dann ziehe eine Karte.
182.cardName;Wilder Rächer
182.cardText;{taunt},{dash|2}\n Hat +0/+1 für jedes mal das du dieses Spiel Schaden erlitten hast.
183.cardName;Uralter Eber
183.cardText;{dash|2}\nKostet {faeria|2} weniger, wenn du eine Kreatur mit 5 oder mehr Leben unter deiner Kontrolle hast.
184.cardName;Ruunins Ratschlag
184.cardText;Das Ziel erhält:\n- Kreatur: +2/+2\n- Gott: 5 Leben
185.cardName;Stimme des Hungers
185.cardText;{gift} - Zerstöre alle angrenzenden Verbündeten Kreaturen. Diese Kreatur erhält Angriff UND Leben gleich der zerstörten Leben.
186.cardName;Setzling
186.cardText;{production} - Wenn diese Kreatur weniger als 5 Leben hat, erhält sie +1/+1.
187.cardName;Eredon, die Stimme von Allen
187.cardText;{last_words} - Alle Karten in deinem Deck und deiner Hand bekommen +1/+1.
188.cardName;Den Wald nähren
188.cardText;Zerstöre eine verbündete Kreatur, um Faeria in Höhe ihres Lebens zu erhalten, und ziehe eine Karte.
189.cardName;Ruunins Gegenwart
189.cardText;Füge deiner Hand eine zufällige Kreatur hinzu. Sie bekommt +6/+6.
190.cardName;Ruunin, die Unnachgiebige
190.cardText;{dash|2}\n{last_words} - Ruunin kehrt am Ende des Zuges in deine Hand zurück. Sie erhält +2/+2.
191.cardName;Räuber aus dem Untergrund
191.cardText;{combat} – Erhalte {faeria|2}.
192.cardName;Kriegsherr der Kobolde
192.cardText;{combat} - Gib einer zufälligen verbündeten Kreatur +3/+0.
193.cardName;Kriegsbestie der Kobolde
194.cardName;Geschenk des Stahls
194.cardText;Gib einer Kreatur +3/+0. Die Kreatur erhält außerdem 3 Leben wenn sie die <b>Gefecht</b> Fähigkeit besitzt.
195.cardName;Untergrund-Boss
195.cardText;{combat} – Erhalte {faeria|2}.
196.cardName;Architekt
196.cardText;{gift} - Gib einem Bauwerk +0/+2.
197.cardName;Mächtiger Oger
197.cardText;{gift} - Wenn dein Gegner 10 oder weniger Leben hat, erhält diese Kreatur +2/+2
198.cardName;Kobold-Kaserne
198.cardText;Angrenzende verbündete Kreaturen erhalten +2/+0.
199.cardName;Saat des Hasses
199.cardText;Kostet {faeria|1} weniger für jeder Kreatur mit mehr Angriff als Leben, die du dieses Spiel beschworen hast.
200.cardName;Kampflustiger Oger
200.cardText;{taunt}
201.cardName;Dreister Feilscher
201.cardText;{gift} – Eine zufällige Karte auf deiner Hand kostet {faeria|7} weniger.
202.cardName;Seifer, Blutdürstiger Tyrann
202.cardText;Wenn Seifer eine Kreatur zerstört, erhält er Angriff und Leben gleich der ursprünglichen Angriff und Leben der zerstörten Kreatur.
203.cardName;Barbarischer Oger
204.cardName;Krog, König der Oger
204.cardText;{combat} – Eine zufällige Karte auf deiner Hand kostet {faeria|7} weniger.
205.cardName;Axtschleifer
205.cardText;{gift} - Bekommt +1/+1 wenn er angrenzend zu einem gegnerischen Brunnen beschworen wird.
206.cardName;Felsenschleuderer
206.cardText;{ranged_attack}\n Wenn diese Kreatur angreift, fügt sie auch am Ziel benachbarten Gegnern Schaden zu.
211.cardName;Shedim-Rohling
211.cardText;{combat} – Fügt deinem Gegner 2 Schaden zu.
212.cardName;Blutsänger
212.cardText;Fügt deinem Gegner immer 1 Schaden zu, wenn eine feindliche Kreatur stirbt.
213.cardName;Seifers Kanonenfutter
213.cardText;{last_words} – Fügt deinem Gegner 2 Schaden zu.
214.cardName;Feuerspucker
214.cardText;{gift} – Fügt einem gegnerischen Ziel 1 Schaden zu.
215.cardName;Herr des Schreckens
215.cardText;Immer, wenn ein Gott Schaden erleidet, erhält diese Kreatur genauso viel Angriff.
216.cardName;Shedim-Quälgeist
216.cardText;{gift} - Bekommt +2/+2 wenn du eine andere Kreatur mit mehr Angriff als Leben kontrollierst.
217.cardName;Blutobelisk
217.cardText;Füge jedes Mal, wenn eine gegnerische Kreatur im Kampf stirbt, deinem Gegner 1 Schaden zu und erhalte {faeria|1}.
218.cardName;Grausiger Wächter
218.cardText;{taunt}\n{combat} – Fügt deinem Gegner 2 Schaden zu.
223.cardName;Bombenwerfer
223.cardText;{gift} – Fügt einer angrenzenden feindlichen Kreatur oder Bauwerk 4 Schaden zu.
224.cardName;Kanonenträger
224.cardText;{gift} - Wirf einen 4/2 Mecha in einer geraden Linie auf ein Land.
225.cardName;Flammenexplosion
225.cardText;Füge einem Ziel 3 Schaden zu.
226.cardName;Flammenwerfer
226.cardText;{ranged_attack}\nFügt allen gegnerischen Kreaturen jedes Mal 1 Schaden zu, wenn diese Kreatur einen Gott angreift.
231.cardName;Vulkan-Koloss
231.cardText;{ranged_attack}\nKostet {faeria|1} weniger für jeden Zug, in dem du deinem Gegner in diesem Spiel Schaden zugefügt hast. (Minimalkosten: {faeria|5}).
232.cardName;Garudan, Herz des Berges
233.cardName;Feuerelementar
233.cardText;{gift} - Platziere {red}
234.cardName;Seidenfeuer-Fee
234.cardText;{flying}\n Erhält +3/+1 und {ranged_attack} wenn du das erste mal ein Event ziehst.
235.cardName;Verfallener Turm
235.cardText;{activate} - Füge 1 Schaden zu. Füge diesem Bauwerk einen Schaden zu.
236.cardName;Blutrotes Irrlicht
236.cardText;Erhält, immer wenn eine gegnerische Kreatur stirbt, +2/+1.
237.cardName;Erdkrustenbrecher
237.cardText;{gift} – Fügt ALLEN Feinden 1 Schaden zu.
238.cardName;Flammender Bote
238.cardText;Erhält immer, wenn du eine Kreatur mit mehr Angriff als Leben beschwörst, +1/+1. (Solange in deinem Deck oder deiner Hand.
239.cardName;Lodernder Salamander
239.cardText;{gift} - Füge allen benachbarten Gegnern 2 Schaden zu.
240.cardName;Blutstein-Elementar
240.cardText;Immer wenn eine verbündete Kreatur von einem Brunnen deines Gegners Faeria sammelt, füge deinem Gegner 1 Schaden zu.
241.cardName;Seifers Zorn
241.cardText;Füge einer Kreatur 2 Schaden zu. Stirbt sie, füge ihrem Beherrscher 2 Schaden zu.
242.cardName;Schlingpflanze
242.cardText;{taunt} \n {production} - Füge allen benachbarten feindlichen Kreaturen 2 Schaden zu.
243.cardName;Flammenbombe
243.cardText;Füge einer Kreatur oder einem Bauwerk 4 Schaden zu.
244.cardName;Feuersturm
244.cardText;Wähle ein Feld aus. Füge allen feindlichen Kreaturen auf oder neben diesem Feld 3 Schaden zu.
245.cardName;Kampfwüter
245.cardText;Immer wenn diese Kreatur Schaden erleidet, füge deinem Gegner denselben Schaden zu.
246.cardName;Zerbröckelnder Golem
246.cardText;Immer wenn dein Gegner eine Kreatur beschwört, füge <b> Zerbröckelnder Golem </b> 1 Schaden zu.
247.cardName;Oger-Tanz
247.cardText;Eine zufällige Karte auf deiner Hand kostet {faeria|7} weniger.
248.cardName;Meteor
248.cardText;Wähle ein Feld. Zerstöre alle Kreaturen, Bauwerke und Länder auf diesem und angrenzenden Feldern.
249.cardName;Roter Teufel
249.cardText;{gift} – Erhalte {faeria|5}.
250.cardName;Ignus, die Flamme des Ursprungs
250.cardText;Jedes Mal, wenn du +{faeria|1} vom Kraftrad wählst, verteile insgesamt 4 Schaden auf zufällige Gegner.
251.cardName;Mönch der Oradrim
251.cardText;{haste}\n Immer wenn diese Kreatur einen Gott angreift, ziehe eine Karte.
252.cardName;Khalims Gebet
252.cardText;Erhalte {faeria|2} und ziehe eine Karte. Kann nur gespielt werden, wenn du in diesem Zug einen Gott angegriffen hast, und nur einmal pro Zug.
253.cardName;Khalims Anhänger
253.cardText;{haste}\n Hat +2/+0 beim Angriff auf Götter
254.cardName;Templer der Oradrim
254.cardText;{dash|1}\n Hat +3/+0 beim Angriff auf Götter.
255.cardName;Schütze der Oradrim
255.cardText;{ranged_attack}\n Immer wenn eine verbündete Kreatur einen Gott angreift, erhälst du {faeria|1}.
256.cardName;Fanatiker der Oradrim
256.cardText;{jump}\n{gift} - Du kannst eine befreundete Kreatur bewegen.
257.cardName;Wirbelnder Wüstenwind
257.cardText;Teleportiere eine Kreatur auf {yellow} unter deiner Kontrolle.
258.cardName;Windportal
258.cardText;Du kannst Kreaturen auf an dieses Bauwerk angrenzenden Feldern beschwören.\n{activate} - Bewege das Windportal.
259.cardName;Heimtückisches Geisterwesen
259.cardText;{gift} – Du entziehst deinem Gegner 2 Leben.
260.cardName;Khalim, Sturmzauberer
260.cardText;{flying}, {charge|2}\nWenn Khalim einen Gott angreift, nimm einen <b>Khalims Anhänger</b> auf deine Hand. Er kostet {faeria|0}.
261.cardName;Mörderisches Schattenwesen
262.cardName;Todeswunsch-Ghul
262.cardText;{last_words} – Erhalte {faeria|2}.
263.cardName;Letzter Alptraum
263.cardText;Zerstöre eine Kreatur.
264.cardName;Seelenpakt
264.cardText;Füge dir selbst 2 Schaden zu und erhalte {faeria|2}.
265.cardName;Altar der Seelen
265.cardText;{activate} – Füge dir selbst 2 Schaden zu und nimm ein 6/1 <b>Mörderisches Schattenwesen</b> auf deine Hand. Es kostet {faeria|2}.
266.cardName;Dämonischer Schaitan
266.cardText;{production} – Fügt dir selbst 2 Schaden zu.
267.cardName;Khalims Himmelswächter
267.cardText;{flying}\nKann angrenzend zu verbündeten Kreaturen beschworen werden.
268.cardName;Khalims Unterweisung
268.cardText;Gib einer Kreatur +1/+0, {flying} und {charge|2}.
273.cardName;Windsoldat
273.cardText;{haste}, {charge|3}\nDer Windsoldat stirbt am Ende des Zuges.
274.cardName;Himmelsfahrer der Drakkar
274.cardText;{flying}\nWenn du eine Kreatur mit {flying} ziehst, erhält diese +1/+1.
275.cardName;Windgetragener Botschafter
275.cardText;{flying}\nHat +2/+0, solange du eine weitere fliegende Kreatur kontrollierst.
276.cardName;Plündernder Schaitan
276.cardText;Kostet {faeria|2} weniger, wenn du in diesem Zug einen Gott angegriffen hast.
277.cardName;Dünendrache
277.cardText;{flying}, {charge|2}\nKann kein Faeria sammeln.
278.cardName;Windgetragener Held
278.cardText;{flying}, {charge|5}\n{gift} – Bewege eine Kreatur.
287.cardName;Sturm-Koloss
287.cardText;{dash|3}\nKostet {faeria|1} weniger für jedes Ereignis, das du in diesem Spiel gespielt hast (Minimalkosten: {faeria|5}).
288.cardName;Azarai, Zorn der Wüste
288.cardText;{flying}, {charge|2}\n{gift} – Azarai entzieht jeder feindlichen Kreatur 2 Angriff.
289.cardName;Luftelementar
289.cardText;{flying}\n{gift} - Platziere {yellow}
290.cardName;Seidensonnen-Fee
290.cardText;{flying}\nDas erste Mal, wenn du ein Ereignis ziehst, erhält diese Karte +3/+1 und {charge|3}.
291.cardName;Himmlischer Turm
291.cardText;{activate} - Gib einer Kreatur {charge|3} für diesen Zug. Diese Karte erhält 1 Schaden.
292.cardName;Wolkenweißes Irrlicht
292.cardText;{flying}, {charge|3}\nErhält +3/+0, wenn eine verbündete Kreatur einen Gott angreift.
293.cardName;Plötzlicher Windstoß
294.cardName;Goldenes Aviarium
294.cardText;Alle deine fliegenden Kreaturen haben +1/+0.
295.cardName;Fanatischer Kreuzritter
295.cardText;{charge|2}\nWährend diese Karte in deinem Deck oder deiner Hand ist, erhält sie +1/+1, wenn eine verbündete Kreatur einen Gott angreift.
296.cardName;Soldat der Keldran
297.cardName;Fürst der Ödlande
297.cardText;{gift} – Du kannst eine andere Kreatur opfern, um {faeria|3} zu erhalten.
298.cardName;Meuchelnder Schaitan
298.cardText;{deathtouch}\n{gift} – Du kannst eine andere Kreatur opfern, um dieser Kreatur {protection} zu gewähren.
299.cardName;Dämonenzüchter
299.cardText;{gift} – Du kannst eine andere Kreatur opfern, um an seiner Stelle eine 5/2 {flying}e <b>Dämonenschwinge</b> zu beschwören.
300.cardName;Todeswandler
