ACCEPT;Annehmen
CHAT_GENERIC_WARNING;Denke bitte daran, dass Mitarbeiter von Abrakam Entertainment niemals um dein Passwort bitten werden, wenn sie dir helfen. Gib in Chats keine sensiblen Daten weiter.
CHAT_HINT_USER_BACK_ONLINE;{0} ist wieder online!
CHAT_HINT_USER_WENT_OFFLINE;{0} ist offline gegangen.
CHAT_INPUT_PLACEHOLDER;/w Nutzername Deine Nachricht
CHAT_TOOLTIP_DND_MODE;Bitte nicht stören!-Modus. Wenn dieser Modus aktiviert wurde, erscheint dieses Fenster bei Erhalt einer neuen Nachricht nicht. Nachrichten werden stattdessen lautlos aufgezeichnet.
CHAT_TO_SOMEBODY;An [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Erhöhe dein Level oder schließe Tägliche Quests ab um mehr Truhen zu erhalten.
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;Derzeitig hast du alle mythischen Gegenstände. Komm später wieder.
CHOOSE_OTHER_BLUEPRINT;Rezept wechseln
CLAIM_REWARDS;Erhalte deinen Preis
CLEAR;Leeren
COLLECTION_FILTER_CARD_TYPE;Sortieren nach Kartentyp
COLLECTION_FILTER_FAERIA_COST;Sortieren nach Faeriakosten
COLLECTION_MODE;Herstellung
COLLECTION_SEARCH_PLACEHOLDER;Suchen...
CONFIRM;Bestätigen
CONNECTION_LOST_RECONNECTING;Verbindung verloren\nVersuche, die Verbindung wiederherzustellen...
CONNECTION_QUEUE_CAPTION;Dein Platz auf der Warteliste:
CONNECTION_QUEUE_TITLE;Die Server sind ausgelastet!
CONSTRUCTED_MODE;Ranglistenmodus
CONSTRUCTED_RUN_DECK_NAME;Ranglistendeck
CO_OP_POPUP_JOIN_BUTTON_TEXT;Beitreten
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Spielen
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Du musst die vorherigen Missionen spielen um dies freizuschalten.
CO_OP_POPUP_ALLY_SELECTION_TITLE;Lade deinen Verbündeten ein
CO_OP_POPUP_NO_ALLY;Keine Verbündeten verfügbar
CO_OP_LOBBY_CANCELLED;Dein Verbündeter hat die Mission abgebrochen
COUPON_REDEEM;Einlösen
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Diese Karte kann nicht entzaubert werden, während du nach einer Partie suchst.
CRAFT_LEGENDARY_ERROR;Du kannst keine legendären Karten herstellen.
CRAFT_GOLD_CARD_ERROR;Du kannst keine mythischen Karten herstellen.
CRAFT_FOURTH_CARD;Du besitzt bereits drei Kopien dieser Karte.
CRAFT_NOT_ENOUGH_CHARGES;Du hast nicht genügend Ladungen um eine Karte herzustellen.
CRAFT_FULLY_CHARGED;Voll
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Du musst mindestens level {0} sein um diese Karte herzustellen.
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Herstellen
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Entzaubern
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Alle überzähligen Karten entzaubern
CRAFT_MODE_UNAVAILABLE_TOOTIP;Du musst mindestens Stufe {0} sein, um Karten herstellen zu können
CRAFT_SECOND_LEGENDARY_CARD;Du besitzt diese legendäre Karte bereits
CREATE_BLUEPRINT_DECK;Erstellen
CREATE_YOUR_ACCOUNT;Erstelle deinen Account
DAILY_REWARD_NEXT;Nächste
DAILY_REWARD_TITLE;Tägliche Login-Belohnung
DAILY_REWARD_POPUP_TITLE;Belohnung für das tägliche Einloggen!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Mythische Karten anzeigen?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Standard
DECKEDITOR_SAVETEXT;Speichern
DECKLAYOUT_INCOMPLETE_TEXT;Unvollständig
DECKSELECTION_SOLO_INFO;Dies ist der Deckauswahlbildschirm für den Missionsmodus. Gehe zurück ins Hauptmenü, um Decks zu erstellen oder zu bearbeiten.
DECK_EDITOR_BUY_BATTLE_CHEST;Kaufe Beutetruhen um mehr Karten zu bekommen.
DECK_EDITOR_FILTER_NO_RESULT;Keine Karte stimmt mit deinen Suchkriterien überein.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;Du besitzt keine blauen Karten.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;Du hast keine grünen Karten.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;Du hast keine neutralen Karten.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;Du besitzt keine roten Karten.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;Du besitzt keine gelben Karten.
DECK_SIZE;Deckgröße:
DECK_SLOT_PURCHASE;+5 weitere Deckplätze
DELETE;Löschen
DISCONNECT;Verbindung getrennt
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Du musst mindestens {0} Karten besitzen, um Entzaubern zu können
DONE;Erledigt
DROP_RUN;Beenden
DYNAMIC_BUNDLE_CONFIRM_WARNING;Dynamisches Paket: Du besitzt bereits Gegenstände aus diesem Paket, deshalb wurde der Gesamtpreis entsprechend reduziert.
EDIT;Editieren
ELITE_MISSIONS_BUTTON_TEXT;Weltenbosse
ELITE_MISSIONS_BUTTON_TOOLTIP;Benötigt Stufe {0}
EMAIL_ADDRESS;Emailadresse
EMOTE_MENU_GREETINGS;Sei gegrüßt
EMOTE_MENU_OOPS;Hoppla
EMOTE_MENU_TAUNT;Verspotten
EMOTE_MENU_UNIQUE;Einzigartig
EMOTE_MENU_WELL_PLAYED;Gut gespielt
EMOTE_MENU_WOW;Wow
END_TURN;Zug beenden
ENEMY_TURN;Gegner ist dran
ENTER_DECK_NAME;Deck-Namen eingeben
ENTER_YOUR_RECRUITERS_NAME;Gib den Namen deines Anwerbers ein ...
EVENING;Abend
EVENT_BUTTON_TEXT_SEND;Abschicken
EVENT_EGG_HATCHING_HAS_EGG;Dein Inkubator ist gerade leer. Wenn du ein Ei findest, kannst hier danach sehen.\n\nSieh dir unsere Streamingevents auf dem FaeriaTV Twitch Channel an um eine Chance auf ein Ei zu erhalten.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Das ist deine Brutmaschine. Sie schützt dein Ei und hält es warm, bis es bereit zum Schlüpfen ist!\nÜberprüfe unten, ob es deinem Ei gut geht, und wer weiß: Vielleicht brauchst du gar nicht lange warten ...\nNachdem das Ei geschlüpft ist, kannst du nach einem neuen suchen, um es hier sicher zu verwahren. Schau bei unserem nächsten monatlichen Pokalfinale vorbei.
EVENT_HATCH_EGG_BUTTON;Ei ausbrüten
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Gib die E-Mail-Adresse deines Freundes ein.
EVENT_TEXT_LOCK_OVERLAY;Schalte den zweiten Schlüssel frei, indem du 5 Pandora-Spiele gewinnst.
EVENT_TEXT_TITLE;Ereignis: Lade deine Freunde ein
EXIT_CRAFT_MODE;Herstellung
FAERIA_AVERAGE;Mittlere Faeria-Kosten
FRIENDLIST;Freundesliste
FRIENDLIST_FRIEND_REQUEST;Freundesanfrage Ansehen
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Vorschlag Ansehen
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Steam-Vorschlag Ansehen
FRIENDLIST_GAME_INVITE;Spieleinladung Ansehen
FRIENDLIST_DISCORD_HINT;Tritt unserem Discord-Kanal bei um immer auf dem neuesten Stand zu bleiben!
FRIENDLIST_FRIEND;Freund
FRIENDLIST_INGAME;Im Spiel
FRIENDLIST_INVITE_TO_LOBBY;In den Privatbereich einladen
FRIENDLIST_INVITE_TO_TOURNAMENT;Zum Turnier einladen
FRIENDLIST_IN_LOBBY;In einem Privatbereich
FRIENDLIST_OFFLINE;Offline
FRIENDLIST_ONLINE;Online
FRIENDLIST_RECENTLY_PLAYED;Kürzlich gespielt
FRIENDLIST_REMOVE;Freund löschen
FRIENDLIST_REQUEST_INITIATOR;Warte auf Antwort
FRIENDLIST_REQUEST_RECIPIENT;Freundschaftsanfrage gesendet
FRIENDLIST_SEND_MESSAGE;Nachricht senden
FRIENDLIST_SPECTATE_GAME;Beim Spiel zuschauen
FRIENDLIST_SPECTATING;Schaut einem Spiel zu
FRIENDLIST_SPECTATING_YOU;Schaut dir zu
FRIENDLIST_SUGGESTED;Vorschläge
FRIENDLIST_SUGGEST_TO_LOBBY;Privatbereich vorschlagen
FRIENDLIST_VIEW_PROFILE;Profil ansehen
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Freundschaftsanfrage gesendet
FX;Effekte
GAME_CONNECTION_LOST_RECONNECTING;Die Verbindung zum Spiel wurde unterbrochen!\nVerbindung wird neu hergestellt …
GAME_HAS_CRASHED;Das Spiel ist abgestürzt ({0}). Es war zu schön für diese Welt.
GEM_BONUS_AMOUNT;+ {0} Bonus
GEM_PURCHASE_POPUP_TITLE;Juwelenpaket auswählen
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;Du hast nicht genug Juwelen. Es ist Zeit, dir welche zu besorgen!
GENERAL;Allgemein
GENERIC_BUTTON_TEXT_PLAY;Spielen
GENERIC_BUTTON_TEXT_SHOP;Shop
GENERIC_GAMEPLAY_ATTACK;Angriff
GENERIC_GAMEPLAY_COST;Kosten
GENERIC_GAMEPLAY_LIFE;Leben
GENERIC_GAMEPLAY_WILD_COST;Farbige Länder
GOT_IT;Alles klar!
GO_TO_CRAFT_MODE;Herstellen
GO_TO_SHOP_BUTTON_TEXT;Geh in den Shop
GOLD_MINER_HIRING_TITLE;Danke, dass du mich angeheuert hast!\nIch mach mich sofort an die Arbeit.
GOLD_MINER_REGULAR_GOLD;Hallo {0}. \nHier sind deine Splitter.
GOLD_MINER_ABOVE_AVERAGE_GOLD;Ich hab ziemliches Glück in der Mine gehabt!
GOLD_MINER_JACKPOT;Beim heiligen Yak, wir haben den Jackpot geknackt!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Schön, dich wiederzusehen! Hier sind deine Splitter.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Schön, dich wiederzusehen! Hier sind deine Splitter.
GOLD_MINER_LONG_DELAY_JACKPOT;Endlich bist du wieder da! Wir haben den Jackpot geknackt!
GRAPHIC_QUALITY_HIGHER;Höher
GRAPHIC_QUALITY_HIGHEST;Am höchsten
GRAPHIC_QUALITY_HIGH_IPAD;Hoch
GRAPHIC_QUALITY_LOWER;Niedriger
GRAPHIC_QUALITY_LOWEST;Am niedrigsten
GRAPHIC_QUALITY_LOW_IPAD;Niedrig
GRAPHIC_QUALITY_TITLE;Qualität
GUEST_ACCOUNT_NAME;Gast
INFO_NB_CONNECTED;Verbundene Spieler: {0}
INFO_NB_FINDING_ARENA;Suche Pandora: {0}
INFO_NB_FINDING_CLASSIC;Suche Casual: {0}
INFO_NB_FINDING_CONSTRUCTED;Suche Rangliste: {0}
INFO_NB_GAMES;Partien im Gange: {0}
INFO_TIME_TO_FIND_GAME;Vorauss. Suchzeit: {0}
INGAME_DEFEAT;Niederlage
INGAME_OPPONENT_STILL_MULLIGAN;Dein Gegner ist noch dabei, Karten auszutauschen.
INGAME_ALLY_STILL_MULLIGAN;Dein Verbündeter überlegt noch, welche Karten er ersetzen möchte
INGAME_PANDORA_OPENS;Pandora erwacht!
INGAME_PLAYER_TURN;{0} ist am Zug.
INGAME_PUZZLE_SOLVED;Aufgabe gelöst
INGAME_PUZZLE_WIN_THIS_TURN;Gewinne in diesem Zug!
INGAME_VERSUS;Versus
INGAME_VICTORY;Sieg
INGAME_YOUR_TURN;Dein Zug!
INVITED_TO_LOBBY;{0} hat dich zu einer Partie eingeladen.
ITEM_RARITY_COMMON;Gewöhnlich
ITEM_RARITY_EPIC;Episch
ITEM_RARITY_LEGENDARY;Legendär
ITEM_RARITY_RARE;Selten
ITEM_VALUE;Gesamtwert
KEEP;BEHALTEN
KICKED_FROM_LOBBY;Du wurdest aus dem Privatbereich geworfen.
LANE_COMPLETED_QUEST;Fertig!
LANE_NEW_QUEST;Neu!
LANE_UNLOCKED;Freigeschaltet!
LANGUAGE;Sprache:
LEAGUE_UP;Klassenaufstieg!
LEGENDARY_CARD_LIMIT_MESSAGE;Legendäre Karten sind auf 1 Exemplar pro Deck limitiert.
LEVEL;Level {0}
LOADING;Wird geladen
LOADING_LONG;Das Laden dauert länger als erwartet.
LOBBY_ACCOUNT_SUGGESTED;Vorgeschlagen
LOBBY_DECK_PICKING_CANCELED;Deckauswahl wurde von {0} abgebrochen.
LOBBY_GAME_INVITE_PENDING;Einladung ausstehend …
LOBBY_KICK_PLAYER;Spieler rauswerfen
LOBBY_PLAYERS_IN_GAME;Warten auf Spieler, die noch im Spiel sind …
LOBBY_PLAYERS_PICKING_DECKS;Spieler wählen ihre Decks aus …
LOBBY_PLAYER_1_STATUS;Spieler 1
LOBBY_PLAYER_2_STATUS;Spieler 2
LOBBY_READY_BUTTON_TEXT;Bereit
LOBBY_SET_PLAYER_1;Als Spieler 1 festlegen
LOBBY_SET_PLAYER_2;Als Spieler 2 festlegen
LOBBY_SET_SPECTATOR;Als Zuschauer festlegen
LOBBY_SPECTATOR_STATUS;Zuschauer
LOBBY_CO_OP_WITH;Mit
MAINMENU_BUTTON_BOOSTERS;Truhen
MAINMENU_BUTTON_COLLECTION;Sammlung
MAINMENU_BUTTON_DAILY_QUESTS;Tägliche Quests
MAINMENU_BUTTON_EVENT_END_TIME;Das Ereignis endet in {0} Stunden und {1} Minuten.
MAINMENU_BUTTON_FRIEND_LIST;Freundesliste
MAINMENU_BUTTON_HOME;Start
MAINMENU_BUTTON_SETTINGS;Einstellungen
MAINMENU_TITLE_BATTLE;KAMPF
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;ABENTEUER
MAINMENU_TITLE_VIEWPROFILE;Profil ansehen
MAP_QUEST_LOCKED;Gesperrt
MARKET_BUTTON_BUY_GEMS;Info
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Bundle
MARKET_CATEGORY_CARD_BACK;Kartenrücken
MARKET_CATEGORY_EMOTES;Emote
MARKET_CATEGORY_ORB;Sphäre
MARKET_CATEGORY_WELL;Brunnen
MARKET_FEATURED_TAB_AVATAR;Avatare
MARKET_FEATURED_TAB_BUNDLE;Pakete
MARKET_FEATURED_TAB_CARD_BACK;Kartenrücken
MARKET_FEATURED_TAB_EMOTE;Emotes
MARKET_FEATURED_TAB_ORB;Sphären
MARKET_FEATURED_TAB_WELL;Brunnen
MARKET_HOW_MANY_CHEST;Wie viele möchtest du?
MARKET_ITEM_CONFIRM_PURCHASE;KAUFEN
MARKET_ITEM_OWNED;Im Besitz
MARKET_MENU_FEATURED;Vorgeschlagen
MARKET_PROCESSING_ORDER;Verarbeite ...
MARKET_ROTATINGITEMS_TITLE;Angebote des Tages
MARKET_TITLE;Shop
MATCHES_FORMAT;Matchformat:
MISSION_PACK_NPC_REWARD_TOOLTIP;Erhalte einen einzigartigen Verbündeten, wenn du die letzte Mission dieses Pakets abschließt
MISSION_PACK_XP_REWARD_TOOLTIP;Dies ist die Gesamtmenge an Erfahrung, die du durch das Bestehen von Missionen dieses Pakets gewinnen kannst
MORNING;Morgen
MULLIGAN;Willst du deine Karten behalten oder neue ziehen?
MULLIGAN_BUTTON_TEXT_CONFIRM;Bestätigen
MULLIGAN_HINT_TEXT;Neu gezogen
MUSIC;Musik
MY_CHESTS;Meine Truhen
NEW_ACCOUNT_BUTTON;Einen Account erstellen
NEW_ACCOUNT_LABEL;Neu bei Faeria?
NEW_ACCOUNT_WARNING;Wenn du bereits einen Faeria-Account hast, wirst du ihn nicht mit diesem {0}-Account nutzen können!
NEW_CARD_HINT;Neu
NEW_DAILY_QUEST_RECEIVED;Neue tägliche Quest erhalten!
NEW_DECK_NAME;Mein Deck
NIGHT;Nacht
NO_DAILY_QUESTS_LEFT;Keine täglichen Quests mehr übrig. Komm morgen wieder!
OBJECTIVES;Zielvorgaben
OK;Ja
OVERSKY;Wolkenwelt
OVERSKY_ALL_CARDS_NAME;Alle Karten der Wolkenwelt
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Inselpaket kaufen
OVERSKY_BUY_ISLAND_TEXT;Du besitzt dieses Inselpaket noch nicht.\nDu musst es kaufen, bevor du die Belohnungen dieser Mission gewinnen kannst.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> Neue Karten werden deiner Sammlung beim Kauf hinzugefügt
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;Der Gesamtpreis wurde angepasst, da du dieses Inselpaket bereits besitzt
OVERSKY_COSMETIC_SET_TOOLTIP;Beinhaltet einzigartige legendäre Gegenstände: Kartenrücken, Faeria-Brunnen, Avatar und Sphäre
OVERSKY_GET_POINTS_EMPEROR;Herausforderung des Imperators
OVERSKY_GET_POINTS_MISSION;Wolkenwelt-Mission
OVERSKY_GET_POINTS_PVP;PvP-Sieg
OVERSKY_GET_POINTS_WILD_PACK;Unberechenbares Missionspaket abgeschlossen
OVERSKY_GET_POINTS_WORLD_BOSS;Weltboss besiegt
OVERSKY_GETTING_POINTS;Punkte für deinen Beutel bekommen
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;Der mächtige Imperator von Mirnast wird dich jeden Tag vor eine neue Herausforderung stellen. Jeden Tag erhältst du für den ersten Sieg über ihn Punkte für deinen Abenteuerbeutel.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Der mächtige Imperator von Mirnast wird dich jeden Tag vor eine neue Herausforderung stellen. Schnapp dir deinen Beutel um Zugang zu diesem limitierten Spielmodus zu erhalten!
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Herausforderung des Imperators
OVERSKY_ONE_ISLAND;Diese Insel
OVERSKY_POINTS_REWARD;Punkte für deinen Beutel
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Deine Abenteuerbeutel-Belohnungen
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Verdiene mehr und mehr Punkte für deinen Abenteuerbeutel, um soviele Belohnungen wie möglich freizuschalten! Unten siehst du eine Liste der Belohnungen und deinen persönlichen Fortschritt.
OVERSKY_POUCH_OWNED_ENDED;Dein Abenteuerbeutel ist verschlossen.
OVERSKY_POUCH_OWNED_END_DAYS;Dein Abenteuerbeutel wird sofort geöffnet, und in {0} Tag(en) wieder verschlossen.
OVERSKY_POUCH_OWNED_END_HOURS;Dein Abenteuerbeutel wird sofort geöffnet, und in {0} Stunde(n) und {1} Minute(n) wieder verschlossen.
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Abenteuerbeutel-Belohnungen
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Erwerbe jetzt gleich deinen Abenteuerbeutel um die unten aufgeführten Belohnungen freizuschalten - wieviele Punkte kannst du sammeln bevor dein Abenteuerbeutel sich wieder schließen wird?
OVERSKY_POUCH_NOT_OWNED_ENDED;Die Zeit ist um! Der Abenteuerbeutel ist nicht mehr verfügbar.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Dein Abenteuerbeutel wird sich in {0} Tag(en) schließen
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Dein Abenteuerbeutel wird sich in {0} Stunde(n) und {1} Minute(n) schließen
OVERSKY_POUCH_NAME;Der Abenteuerbeutel
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Eine mythische Kopie einer deiner Wolkenwelt-Karten\n<size=60%>Wenn du bereits über ein vollständiges mythisches Set aller Wolkenwelt-Karten in deinem Besitz verfügst, bekommst du diese Belohnung stattdessen das nächste Mal, wenn du ein Inselpaket freischaltest.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Kaios Avatar und Emotes
OVERSKY_POUCH_TOOLTIP;Steigere die Stufe deines Beutel um exklusive Belohnungen freizuschalten! Mehr Infos gibt es auf faeria.com/oversky
OVERSKY_SHOP_SLIDER_ITEM_NAME;Inhalte der Wolkenwelt
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Die Wolkenwelt ist angekommen - schnapp dir die neuen Inhalte!
OWNED_CARD_COUNT;Du besitzt diese Karte {0} Mal.
PANDORA_GATE_OPENED;Deine Pandora-Runde beginnt!
PANDORA_KEY_POOL_HELP_TEXT;Ziehe eine Münze auf die Mitte des Tores, um Pandora zu betreten!
PANDORA_LOSSES;Niederlagen
PANDORA_SHARD_1_FOUND;Erstes Artefakt gefunden
PANDORA_SHARD_2_FOUND;Zweites Artefakt gefunden
PANDORA_SHARD_3_FOUND;Drittes Artefakt gefunden
PANDORA_SHARD_4_FOUND;Viertes Artefakt gefunden
PANDORA_SHARD_5_FOUND;Letztes Artefakt gefunden
PANDORA_VICTORIES;Siege
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Dein Deck beinhaltet zu viele Exemplare von {0}. Du kannst nicht mehr als {1} Exemplar einer legendären Karte in allen 3 Decks haben.
PANTHEON_DECK_NOT_RESPECTED;Dein Deck beinhaltet zu viele Exemplare von {0}. Du kannst nicht mehr als {1} Exemplare einer nicht legendären Karte in allen 3 Decks haben.
PASSWORDS_DO_NOT_MATCH;Die Passwörter stimmen nicht überein
PASSWORD_FIELD_CONFIRM;Bestätige dein Passwort*
PASSWORD_FIELD_MANDATORY;Passwort*
PASSWORD_FIELD_NEW;Neus Passwort*
PASSWORD_MANDATORY;Ein Passwort ist verpflichtend
PASSWORD_TOO_LONG;Das Passwort ist zu lang (max {0} Buchstaben).
PASSWORD_TOO_SHORT;Das Passwort ist zu kurz.
PAUSE_MENU_TEXT;Pause
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} übrig
PINK_CHESTS_NOT_YET_AVAILABLE;Eine unbekannte Macht verwehrt dir den Zugang zu diesen Truhen. Sie lassen sich nicht öffnen ... fürs Erste.
PLAY_MENU_SOLO_STANDARD;Missionen
PLAY_MENU_SOLO_OVERSKY;Wolkenwelt
PLAYER_LEFT_TOURNAMENT;Spieler {0} hat das Turnier verlassen. Somit ist {1} automatisch der Sieger.
PLAYER_LOST_CONNECTION;Spieler {0} hat die Verbindung verloren.\nDer Spieler hat noch {1} Sekunden, um die Verbindung wiederherzustellen.
PRACTICE_BUTTON_TEXT;Übung
PRIVATE_LOBBY;Privatbereich
PRIVATE_LOBBY_INFO;Willkommen im Privatbereich! Die Partie beginnt, sobald beide Spieler bereit sind.
PRIVATE_PLAY_ALLY_READY;Verbündeter ist bereit!
PRIVATE_PLAY_OPPONENT_READY;Dein Gegner ist bereit!
PRIVATE_PLAY_PLAYER_READY;Du bist bereit!
PRIVATE_PLAY_READY;Abbrechen
PROFILE_BATTLERANK_TITLE;Kampf
PROFILE_MENU_PROFILE;Profil
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Rangliste
PROLOGUE_HINT_ATTACK;Fügt im Kampf diese Menge an Schaden zu
PROLOGUE_HINT_COST;Dies zu spielen, kostet diese Menge an Faeria
PROLOGUE_HINT_LIFE;So viel Schaden ist nötig, um diese Karte zu zerstören
PROLOGUE_SPEECH_BUBBLE;Schließe diese Missionen ab, um deine Kräfte zu entfesseln!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Hallo {0}!</size>\n\nDu bist momentan ein Gastspieler.\n\nValidiere dein Konto, indem du deine E-Mail-Adresse eingibst und bestätigst, dann erhältst du zur Belohnung 2 Kampfkisten (8 Karten)!
PROMPT_ACCOUNT_INFO_WELCOME;Account erstellen
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;Der Aktivierungscode wurde an deine E-Mail-Adresse geschickt.
PROMPT_BINDING_SUCCESS;Es wurde ein Verknüpfungs-Link an deine E-Mail-Adresse geschickt.
PROMPT_CANCEL_GAME_SEARCHES;Dadurch wird deine Suche nach einer Partie abgebrochen. Fortfahren?
PROMPT_CHALLENGE_CONFIRMATION;Du hast nur eine Chance, diese Herausforderung zu bestehen. Bist du bereit?
PROMPT_CONFIRM_USER_NAME;Wähle weise, denn du kannst deinen Namen später nicht mehr ändern!
PROMPT_CRASH;Das Spiel ist abgestürzt :(
PROMPT_DECKEMPTY;Ein Spieler hat verloren, da er keine Karten mehr im Deck hatte.
PROMPT_DEFEAT;Niederlage
PROMPT_DELETE_DECK_CONFIRMATION;Willst du dein Deck wirklich löschen?
PROMPT_DELETE_FRIEND_CONFIRMATION;Willst du diesen Freund wirklich entfernen?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Willst du wirklich all deine überschüssigen Karten entzaubern?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Wenn du diese Karte entzauberst, werden manche Decks verändert. Fortfahren?
PROMPT_DOUBLE_KO;Das Spiel endete in einem Unentschieden!
PROMPT_DROP_RUN_CONFIRMATION;Bist du sicher, dass du die Partie verlassen willst? Dies wird dir als {0} Niederlage(n) angerechnet!
PROMPT_DUEL_PROPOSED;{0} hat dich zu einem Duell herausgefordert.
PROMPT_EMAIL_HELP_TEXT;Deinen Account zu verifizieren hat auch noch folgende Vorteile:\n\n\t- Passwortwiederherstellung\n\t- Zugang zu unserem Forum
PROMPT_TEXT_LATER;Später
PROMPT_EMAIL_TITLE_TEXT;Email-Adresse
