QUEST_NAME_PUZZLE_DLC_YRUSH_2;Heilige Intervention
QUEST_NAME_PUZZLE_DLC_ARCHONS_2;Ich habe einen Traum und die Frösche erzittern.
QUEST_NAME_PUZZLE_DLC_ARCHONS_1;Überwältigende Kraft
QUEST_NAME_LOYALTY_PATCH_03;Fall des Ewigen Lebens
QUEST_NAME_LOYALTY_PATCH_02;Scylla
QUEST_NAME_LOYALTY_PATCH_01;Der Hammer
QUEST_NAME_LOYALTY_PATCH_00;Verderbnis
QUEST_NAME_PUZZLE_54;Puzzle 54
QUEST_NAME_PUZZLE_53;Puzzle 53
QUEST_NAME_PUZZLE_52;Puzzle 52
QUEST_NAME_PUZZLE_51;Puzzle 51
QUEST_NAME_PUZZLE_50;Puzzle 50
QUEST_NAME_PUZZLE_49;Puzzle 49
QUEST_NAME_PUZZLE_48;Puzzle 48
QUEST_NAME_PUZZLE_47;Puzzle 47
QUEST_NAME_PUZZLE_46;Puzzle 46
QUEST_NAME_PUZZLE_45;Puzzle 45
QUEST_NAME_PUZZLE_44;Puzzle 44
QUEST_NAME_PUZZLE_43;Puzzle 43
QUEST_NAME_PUZZLE_42;Puzzle 42
QUEST_NAME_PUZZLE_41;Puzzle 41
QUEST_NAME_PUZZLE_40;Puzzle 40
QUEST_NAME_PUZZLE_39;Puzzle 39
QUEST_NAME_PUZZLE_38;Puzzle 38
QUEST_NAME_PUZZLE_37;Puzzle 37
QUEST_NAME_PUZZLE_36;Puzzle 36
QUEST_NAME_PUZZLE_35;Puzzle 35
QUEST_NAME_PUZZLE_34;Puzzle 34
QUEST_NAME_PUZZLE_33;Puzzle 33
QUEST_NAME_PUZZLE_32;Puzzle 32
QUEST_NAME_PUZZLE_31;Puzzle 31
QUEST_NAME_PUZZLE_30;Puzzle 30
QUEST_NAME_PUZZLE_29;Puzzle 29
QUEST_NAME_PUZZLE_28;Puzzle 28
QUEST_NAME_PUZZLE_27;Puzzle 27
QUEST_NAME_PUZZLE_26;Puzzle 26
QUEST_NAME_PUZZLE_25;Puzzle 25
QUEST_NAME_PUZZLE_24;Puzzle 24
QUEST_NAME_PUZZLE_23;Puzzle 23
QUEST_NAME_PUZZLE_22;Puzzle 22
QUEST_NAME_PUZZLE_21;Puzzle 21
QUEST_NAME_PUZZLE_20;Puzzle 20
QUEST_NAME_PUZZLE_19;Puzzle 19
QUEST_NAME_PUZZLE_18;Puzzle 18
QUEST_NAME_PUZZLE_17;Puzzle 17
QUEST_NAME_PUZZLE_16;Puzzle 16
QUEST_NAME_PUZZLE_15;Puzzle 15
QUEST_NAME_PUZZLE_14;Puzzle 14
QUEST_NAME_PUZZLE_13;Puzzle 13
QUEST_NAME_PUZZLE_12;Puzzle 12
QUEST_NAME_PUZZLE_11;Puzzle 11
QUEST_NAME_PUZZLE_10;Puzzle 10
QUEST_NAME_PUZZLE_09;Puzzle 09
QUEST_NAME_PUZZLE_08;Puzzle 08
QUEST_NAME_PUZZLE_07;Puzzle 07
QUEST_NAME_PUZZLE_06;Puzzle 06
QUEST_NAME_PUZZLE_05;Puzzle 05
QUEST_NAME_PUZZLE_04;Puzzle 04
QUEST_NAME_PUZZLE_03;Puzzle 03
QUEST_NAME_PUZZLE_02;Puzzle 02
QUEST_NAME_PUZZLE_01;Puzzle 01
ACT_LOYALTY_PATCH;Loyalitätspatch
ACT_JALMYR_04;Jalmyr Akt IV
ACT_JALMYR_03;Jalmyr Akt III
ACT_JALMYR_02;Jalmyr Akt II
ACT_JALMYR_01;Jalmyr Akt I
ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE;Aus Prinzip
ACT_DLC_ELEMENTS_TRIBES;Stämme der Himmelswelt
ACT_DLC_ELEMENTS_REDBLUE;Dampfwerke
ACT_DLC_ELEMENTS_PAIRS;Zwei von einer Sorte
ACT_DLC_ELEMENTS_MOBILITY;Reite die Winde
ACT_DLC_ELEMENTS_LEGENDS;Legenden
ACT_DLC_ELEMENTS_INDIRECT_DAMAGE;Gefährlich Kreaturen
ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES;Scharf kombiniert
ACT_DLC_ELEMENTS_CHALLENGE;Herausforderung
ACT_DLC_ELEMENTS_BOARD_CLEAR;Wische die Tafel
ACT_PUZZLE_TUTORIAL;Einführungspuzzles
QUEST_NAME_PUZZLE_DLC_YAK_NEUTRAL;Yak-Angriff
QUEST_NAME_PUZZLE_DLC_WINDCHAMPION_METEOR;Vernichtendes Ereignis
QUEST_NAME_PUZZLE_DLC_KILL_DONT_DIE;Shedim Einöde
QUEST_NAME_PUZZLE_DLC_HIPPO;Mutiges Opfer
QUEST_NAME_PUZZLE_DLC_ENCHANTMENT;Wütender Bär
QUEST_NAME_PUZZLE_DLC_COMMANDER;Fische aus dem Wasser
QUEST_NAME_PUZZLE_DLC_BARRACKS;Fliegenfischen
